변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,부채비율,도입기 vs 성장기,7486.324,3223.8889,4262.435,11.3385,0.0104,*
기본 재무비율,부채비율,도입기 vs 성숙기,7486.324,4001.0191,3485.3049,10.8238,0.0131,*
기본 재무비율,부채비율,도입기 vs 쇠퇴기,7486.324,6250.1123,1236.2117,0.663,0.8818,n.s.
기본 재무비율,부채비율,성장기 vs 성숙기,3223.8889,4001.0191,-777.1302,0.3937,0.9415,n.s.
기본 재무비율,부채비율,성장기 vs 쇠퇴기,3223.8889,6250.1123,-3026.2234,3.3709,0.3386,n.s.
기본 재무비율,부채비율,성숙기 vs 쇠퇴기,4001.0191,6250.1123,-2249.0932,2.2616,0.5203,n.s.
기본 재무비율,총부채비율,도입기 vs 성장기,87.8452,78.0766,9.7686,4.4123,0.2212,n.s.
기본 재무비율,총부채비율,도입기 vs 성숙기,87.8452,71.5614,16.2838,17.5052,0.0006,***
기본 재무비율,총부채비율,도입기 vs 쇠퇴기,87.8452,84.2708,3.5744,0.4107,0.938,n.s.
기본 재무비율,총부채비율,성장기 vs 성숙기,78.0766,71.5614,6.5152,2.05,0.5624,n.s.
기본 재무비율,총부채비율,성장기 vs 쇠퇴기,78.0766,84.2708,-6.1942,1.0464,0.79,n.s.
기본 재무비율,총부채비율,성숙기 vs 쇠퇴기,71.5614,84.2708,-12.7095,5.3506,0.1488,n.s.
기본 재무비율,장기부채비율,도입기 vs 성장기,3826.9695,1722.7002,2104.2693,11.1758,0.0112,*
기본 재무비율,장기부채비율,도입기 vs 성숙기,3826.9695,1809.5866,2017.383,14.666,0.0023,**
기본 재무비율,장기부채비율,도입기 vs 쇠퇴기,3826.9695,3172.725,654.2445,0.751,0.8611,n.s.
기본 재무비율,장기부채비율,성장기 vs 성숙기,1722.7002,1809.5866,-86.8864,0.0199,0.9993,n.s.
기본 재무비율,장기부채비율,성장기 vs 쇠퇴기,1722.7002,3172.725,-1450.0248,3.1299,0.3727,n.s.
기본 재무비율,장기부채비율,성숙기 vs 쇠퇴기,1809.5866,3172.725,-1363.1385,3.3598,0.3401,n.s.
기본 재무비율,장기부채의존도,도입기 vs 성장기,35.9533,31.0761,4.8772,2.0076,0.5711,n.s.
기본 재무비율,장기부채의존도,도입기 vs 성숙기,35.9533,27.696,8.2573,8.2163,0.0425,*
기본 재무비율,장기부채의존도,도입기 vs 쇠퇴기,35.9533,31.7974,4.1559,1.0134,0.798,n.s.
기본 재무비율,장기부채의존도,성장기 vs 성숙기,31.0761,27.696,3.3801,1.0072,0.7995,n.s.
기본 재무비율,장기부채의존도,성장기 vs 쇠퇴기,31.0761,31.7974,-0.7213,0.0259,0.9989,n.s.
기본 재무비율,장기부채의존도,성숙기 vs 쇠퇴기,27.696,31.7974,-4.1014,1.0171,0.7971,n.s.
기본 재무비율,차입금의존도,도입기 vs 성장기,70.7766,58.6325,12.1441,10.3774,0.0161,*
기본 재무비율,차입금의존도,도입기 vs 성숙기,70.7766,45.7724,25.0042,62.8123,0.0,***
기본 재무비율,차입금의존도,도입기 vs 쇠퇴기,70.7766,52.9102,17.8663,15.6145,0.0015,**
기본 재무비율,차입금의존도,성장기 vs 성숙기,58.6325,45.7724,12.8601,12.1552,0.0072,**
기본 재무비율,차입금의존도,성장기 vs 쇠퇴기,58.6325,52.9102,5.7223,1.359,0.7153,n.s.
기본 재무비율,차입금의존도,성숙기 vs 쇠퇴기,45.7724,52.9102,-7.1378,2.5683,0.4635,n.s.
기본 재무비율,순차입금비율,도입기 vs 성장기,6537.8405,2589.6163,3948.2242,11.4892,0.0097,**
기본 재무비율,순차입금비율,도입기 vs 성숙기,6537.8405,3350.5734,3187.267,10.6901,0.014,*
기본 재무비율,순차입금비율,도입기 vs 쇠퇴기,6537.8405,5487.329,1050.5114,0.5654,0.9043,n.s.
기본 재무비율,순차입금비율,성장기 vs 성숙기,2589.6163,3350.5734,-760.9571,0.4458,0.9306,n.s.
기본 재무비율,순차입금비율,성장기 vs 쇠퇴기,2589.6163,5487.329,-2897.7127,3.6501,0.3026,n.s.
기본 재무비율,순차입금비율,성숙기 vs 쇠퇴기,3350.5734,5487.329,-2136.7556,2.4107,0.4921,n.s.
기본 재무비율,금융부채비율,도입기 vs 성장기,6610.5705,2641.8756,3968.6949,11.2828,0.0107,*
기본 재무비율,금융부채비율,도입기 vs 성숙기,6610.5705,3419.2529,3191.3175,10.4164,0.0158,*
기본 재무비율,금융부채비율,도입기 vs 쇠퇴기,6610.5705,5552.1253,1058.4452,0.5579,0.906,n.s.
기본 재무비율,금융부채비율,성장기 vs 성숙기,2641.8756,3419.2529,-777.3773,0.4522,0.9292,n.s.
기본 재무비율,금융부채비율,성장기 vs 쇠퇴기,2641.8756,5552.1253,-2910.2497,3.5784,0.3115,n.s.
기본 재무비율,금융부채비율,성숙기 vs 쇠퇴기,3419.2529,5552.1253,-2132.8723,2.3346,0.5063,n.s.
기본 재무비율,자기자본비율,도입기 vs 성장기,11.0192,21.7071,-10.6879,4.2237,0.2392,n.s.
기본 재무비율,자기자본비율,도입기 vs 성숙기,11.0192,27.3376,-16.3184,14.0579,0.003,**
기본 재무비율,자기자본비율,도입기 vs 쇠퇴기,11.0192,12.1489,-1.1297,0.0328,0.9984,n.s.
기본 재무비율,자기자본비율,성장기 vs 성숙기,21.7071,27.3376,-5.6305,1.2244,0.7472,n.s.
기본 재무비율,자기자본비율,성장기 vs 쇠퇴기,21.7071,12.1489,9.5582,1.9923,0.5743,n.s.
기본 재무비율,자기자본비율,성숙기 vs 쇠퇴기,27.3376,12.1489,15.1887,6.1108,0.1073,n.s.
기본 재무비율,유보율,도입기 vs 성장기,-899.9163,1146.0302,-2045.9466,14.9195,0.002,**
기본 재무비율,유보율,도입기 vs 성숙기,-899.9163,1211.9385,-2111.8549,22.6962,0.0001,***
기본 재무비율,유보율,도입기 vs 쇠퇴기,-899.9163,-179.9425,-719.9738,1.2844,0.7329,n.s.
기본 재무비율,유보율,성장기 vs 성숙기,1146.0302,1211.9385,-65.9083,0.0162,0.9995,n.s.
기본 재무비율,유보율,성장기 vs 쇠퇴기,1146.0302,-179.9425,1325.9727,3.6961,0.297,n.s.
