기준연도,사업자등록번호,회계년도,생애주기_최종,생애주기_점수,부실라벨_ICR3년
2015,1018130747,2015,성숙기,0.0,1
2015,1018151607,2015,성숙기,0.0,0
2015,1018154356,2012,도입기,100.0,1
2015,1018173033,2015,조정기,76.2,1
2015,1018607858,2015,도입기,100.0,1
2015,1018668909,2015,성숙기,0.0,0
2015,1018676277,2015,성숙기,0.0,0
2015,1048102478,2015,성숙기,0.0,0
2015,1048104006,2015,조정기,76.2,1
2015,1048115691,2014,성숙기,0.0,1
2015,1048121344,2012,조정기,76.2,1
2015,1048122402,2015,조정기,76.2,0
2015,1048125656,2014,성장기,25.7,0
2015,1048125812,2015,조정기,76.2,1
2015,1048125980,2015,성장기,25.7,0
2015,1048127386,2015,성장기,25.7,0
2015,1048601678,2015,쇠퇴기,86.9,1
2015,1048611593,2014,성숙기,0.0,1
2015,1048622237,2014,성장기,25.7,0
2015,1048651732,2015,성숙기,0.0,0
2015,1058103830,2015,도입기,100.0,1
2015,1058129811,2012,도입기,100.0,1
2015,1058140612,2012,성숙기,0.0,1
2015,1058162727,2015,성장기,25.7,0
2015,1058632252,2015,쇠퇴기,86.9,1
2015,1058712699,2012,성숙기,0.0,1
2015,1058713188,2012,쇠퇴기,86.9,1
2015,1058736935,2015,도입기,100.0,0
2015,1058770194,2015,도입기,100.0,0
2015,1058779161,2015,도입기,100.0,0
2015,1058779609,2015,성장기,25.7,0
2015,1058779986,2015,성장기,25.7,0
2015,1068101174,2015,성장기,25.7,0
2015,1068103395,2015,성숙기,0.0,0
2015,1068108653,2015,도입기,100.0,0
2015,1068118879,2014,쇠퇴기,86.9,0
2015,1068710146,2015,성숙기,0.0,0
2015,1078119643,2015,성숙기,0.0,0
2015,1078159330,2013,도입기,100.0,1
2015,1078176324,2015,성숙기,0.0,0
2015,1078694652,2015,조정기,76.2,1
2015,1078754832,2015,성숙기,0.0,0
2015,1078780285,2015,도입기,100.0,0
2015,1078793489,2015,도입기,100.0,0
2015,1078794436,2015,도입기,100.0,0
2015,1088176929,2015,성숙기,0.0,0
2015,1088190616,2015,도입기,100.0,0
2015,1098110876,2015,도입기,100.0,0
2015,1098117563,2015,조정기,76.2,0
2015,1098136070,2015,성장기,25.7,1
2015,1098139795,2015,도입기,100.0,1
2015,1098171140,2015,성장기,25.7,0
2015,1098173449,2015,성숙기,0.0,0
2015,1108172950,2012,성숙기,0.0,1
2015,1118106851,2015,조정기,76.2,0
2015,1118123700,2012,도입기,100.0,1
2015,1128142049,2012,도입기,100.0,1
2015,1128148140,2015,성숙기,0.0,0
2015,1138105218,2015,도입기,100.0,0
2015,1148143097,2012,도입기,100.0,0
2015,1148164618,2015,성숙기,0.0,0
2015,1148171083,2015,도입기,100.0,0
2015,1148172646,2012,도입기,100.0,1
2015,1148636247,2015,도입기,100.0,1
2015,1148660539,2012,성숙기,0.0,1
2015,1148705488,2015,성장기,25.7,0
2015,1168102753,2015,성숙기,0.0,0
2015,1178101927,2012,성장기,25.7,1
2015,1198109115,2013,성숙기,0.0,1
2015,1198163195,2014,도입기,100.0,1
2015,1198178174,2015,도입기,100.0,0
2015,1198623354,2015,성장기,25.7,0
2015,1208101336,2015,성장기,25.7,0
2015,1208101919,2015,성숙기,0.0,1
2015,1208102465,2015,성숙기,0.0,0
2015,1208103635,2015,성장기,25.7,1
2015,1208109492,2015,성숙기,0.0,0
2015,1208110102,2015,도입기,100.0,0
2015,1208127151,2015,성숙기,0.0,0
2015,1208171318,2015,성장기,25.7,0
2015,1208185296,2012,성장기,25.7,1
2015,1208615999,2014,성장기,25.7,1
2015,1208647813,2015,성장기,25.7,0
2015,1208679275,2014,조정기,76.2,0
2015,1208723744,2012,쇠퇴기,86.9,0
2015,1208779592,2015,성장기,25.7,0
2015,1208810912,2015,성장기,25.7,0
2015,1218615968,2015,도입기,100.0,1
2015,1218618441,2015,조정기,76.2,0
2015,1238163874,2012,성숙기,0.0,1
2015,1238175782,2015,쇠퇴기,86.9,0
2015,1238177999,2015,성숙기,0.0,0
2015,1238642030,2015,성숙기,0.0,0
2015,1248123064,2015,성숙기,0.0,0
2015,1248168402,2015,성장기,25.7,0
2015,1248613862,2015,성숙기,0.0,0
2015,1248727679,2015,도입기,100.0,0
2015,1258147638,2015,도입기,100.0,0
2015,1258196051,2015,성숙기,0.0,0
2015,1258609094,2015,도입기,100.0,0
2015,1268177697,2015,성숙기,0.0,0
2015,1278100599,2015,성장기,25.7,1
2015,1278555113,2015,성숙기,0.0,0
2015,1278650468,2015,성숙기,0.0,0
2015,1288103828,2012,성장기,25.7,1
2015,1298189343,2015,성장기,25.7,0
2015,1298627153,2015,성숙기,0.0,1
2015,1318605472,2015,성장기,25.7,0
2015,1318605486,2015,성숙기,0.0,0
2015,1318605808,2012,도입기,100.0,1
2015,1318609594,2015,성장기,25.7,0
2015,1318611635,2015,도입기,100.0,0
2015,1318620639,2015,도입기,100.0,0
2015,1318643267,2015,도입기,100.0,0
2015,1318645509,2015,도입기,100.0,0
2015,1318652150,2015,성숙기,0.0,0
2015,1328158623,2015,성장기,25.7,0
2015,1338112727,2012,조정기,76.2,1
2015,1338130614,2012,도입기,100.0,1
2015,1338132534,2012,성숙기,0.0,1
2015,1348107135,2013,쇠퇴기,86.9,1
2015,1348151311,2012,쇠퇴기,86.9,1
2015,1348662792,2015,성장기,25.7,0
2015,1348692205,2015,성숙기,0.0,0
2015,1358100625,2012,조정기,76.2,1
2015,1358117392,2015,성숙기,0.0,0
2015,1358125422,2015,성장기,25.7,0
2015,1358142741,2015,성숙기,0.0,0
2015,1358197061,2015,도입기,100.0,0
2015,1358624976,2015,성장기,25.7,0
2015,1358640428,2015,조정기,76.2,0
2015,1358642917,2015,성숙기,0.0,0
2015,1378148436,2013,성숙기,0.0,1
2015,1418134120,2015,성장기,25.7,0
2015,1428100792,2012,쇠퇴기,86.9,1
2015,1428103111,2015,성장기,25.7,0
2015,1428110868,2013,도입기,100.0,1
2015,1428155870,2015,도입기,100.0,1
2015,1958700255,2015,성숙기,0.0,0
2015,2018106815,2015,성장기,25.7,1
2015,2018121515,2015,성장기,25.7,0
2015,2018131518,2015,성숙기,0.0,0
2015,2018145496,2015,성숙기,0.0,0
2015,2018148299,2015,조정기,76.2,0
2015,2018170108,2012,도입기,100.0,1
2015,2018181172,2015,조정기,76.2,0
2015,2018189723,2015,성장기,25.7,0
2015,2018193023,2015,성숙기,0.0,0
2015,2018638821,2015,성장기,25.7,0
2015,2018640254,2015,성숙기,0.0,0
2015,2018641554,2015,도입기,100.0,0
2015,2028102068,2015,성장기,25.7,0
2015,2028141931,2015,조정기,76.2,0
2015,2028145562,2015,성숙기,0.0,0
2015,2038101612,2015,조정기,76.2,0
2015,2038143306,2015,쇠퇴기,86.9,0
2015,2038143548,2015,성숙기,0.0,0
2015,2048189120,2014,쇠퇴기,86.9,1
2015,2048645563,2014,성숙기,0.0,0
2015,2058131714,2015,조정기,76.2,1
2015,2068167345,2015,성장기,25.7,0
2015,2068660541,2015,쇠퇴기,86.9,0
2015,2068682808,2015,성장기,25.7,1
2015,2078122526,2015,성장기,25.7,1
2015,2088122723,2012,도입기,100.0,1
2015,2098100606,2015,성숙기,0.0,0
2015,2098101245,2013,도입기,100.0,1
2015,2108122880,2015,성장기,25.7,0
2015,2108128899,2015,쇠퇴기,86.9,0
2015,2108134372,2012,성장기,25.7,1
2015,2108149502,2015,성장기,25.7,0
2015,2108156279,2014,성숙기,0.0,1
2015,2118116246,2015,성숙기,0.0,0
2015,2118132057,2015,쇠퇴기,86.9,0
2015,2118140237,2015,성숙기,0.0,0
2015,2118146982,2015,도입기,100.0,0
2015,2118607005,2015,성숙기,0.0,0
2015,2118620992,2015,성숙기,0.0,0
2015,2118636456,2015,성장기,25.7,0
2015,2118638925,2015,성장기,25.7,0
2015,2118644086,2015,성숙기,0.0,0
2015,2118665612,2013,조정기,76.2,1
2015,2118681359,2015,성장기,25.7,0
2015,2118702443,2015,성장기,25.7,0
2015,2118707846,2015,조정기,76.2,1
2015,2118710147,2015,쇠퇴기,86.9,0
2015,2118719852,2012,도입기,100.0,1
2015,2118767960,2013,쇠퇴기,86.9,1
2015,2118790549,2012,조정기,76.2,1
2015,2118790909,2015,쇠퇴기,86.9,0
2015,2118808288,2012,성숙기,0.0,1
2015,2118808541,2015,도입기,100.0,0
2015,2118823784,2015,성숙기,0.0,0
2015,2118829492,2012,도입기,100.0,1
2015,2118832153,2015,성숙기,0.0,0
2015,2118881668,2014,도입기,100.0,1
2015,2118882634,2015,도입기,100.0,1
2015,2118883161,2014,도입기,100.0,1
2015,2118884175,2015,성숙기,0.0,0
2015,2118895935,2015,성장기,25.7,0
2015,2128199497,2015,도입기,100.0,0
2015,2138123480,2015,성숙기,0.0,0
2015,2148113030,2014,조정기,76.2,0
2015,2148115789,2015,성숙기,0.0,0
2015,2148172723,2015,도입기,100.0,0
2015,2148197331,2015,성장기,25.7,0
2015,2148608930,2015,성숙기,0.0,0
2015,2148610509,2012,성장기,25.7,1
2015,2148612093,2014,도입기,100.0,1
2015,2148636076,2012,성숙기,0.0,1
2015,2148710087,2015,성장기,25.7,0
2015,2148716548,2012,성숙기,0.0,1
2015,2148720528,2015,성장기,25.7,0
2015,2148753859,2012,성숙기,0.0,0
2015,2148788381,2014,성장기,25.7,1
2015,2148822601,2015,성장기,25.7,0
2015,2148884534,2015,성숙기,0.0,0
2015,2148884548,2015,성장기,25.7,0
2015,2158102706,2015,성숙기,0.0,0
2015,2158137957,2014,도입기,100.0,0
2015,2158147377,2015,성숙기,0.0,0
2015,2158185463,2014,도입기,100.0,1
2015,2158197483,2015,성숙기,0.0,0
