기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,102,61,41,59.8,100.0
2015,도입기,145,62,83,42.76,52.5
2015,조정기,169,52,117,30.77,23.7
2015,성숙기,424,89,335,20.99,2.5
2015,성장기,243,48,195,19.75,0.0
2016,쇠퇴기,115,66,49,57.39,100.0
2016,도입기,167,75,92,44.91,61.4
2016,조정기,173,53,120,30.64,22.8
2016,성장기,267,58,209,21.72,1.3
2016,성숙기,449,95,354,21.16,0.0
2017,쇠퇴기,134,74,60,55.22,100.0
2017,도입기,179,83,96,46.37,70.6
2017,조정기,188,54,134,28.72,19.2
2017,성장기,273,66,207,24.18,7.4
2017,성숙기,476,101,375,21.22,0.0
2018,쇠퇴기,133,75,58,56.39,100.0
2018,도입기,194,97,97,50.0,79.0
2018,조정기,212,61,151,28.77,18.1
2018,성장기,297,75,222,25.25,9.2
2018,성숙기,484,104,380,21.49,0.0
2019,도입기,203,112,91,55.17,100.0
2019,쇠퇴기,156,84,72,53.85,95.6
2019,조정기,262,72,190,27.48,19.4
2019,성장기,334,88,246,26.35,16.6
2019,성숙기,585,114,471,19.49,0.0
2020,도입기,241,123,118,51.04,100.0
2020,쇠퇴기,185,94,91,50.81,99.1
2020,성장기,352,99,253,28.12,20.2
2020,조정기,287,76,211,26.48,15.2
2020,성숙기,571,122,449,21.37,0.0
2021,쇠퇴기,187,101,86,54.01,100.0
2021,도입기,307,138,169,44.95,68.8
2021,성장기,362,119,243,32.87,31.3
2021,조정기,291,84,207,28.87,19.8
2021,성숙기,650,140,510,21.54,0.0
2022,쇠퇴기,196,111,85,56.63,100.0
2022,도입기,289,157,132,54.33,92.4
2022,성장기,399,133,266,33.33,30.6
2022,조정기,305,95,210,31.15,24.9
2022,성숙기,733,154,579,21.01,0.0
2023,도입기,283,185,98,65.37,100.0
2023,쇠퇴기,206,116,90,56.31,75.4
2023,성장기,350,142,208,40.57,37.7
2023,조정기,308,99,209,32.14,19.8
2023,성숙기,776,170,606,21.91,0.0
2024,도입기,289,210,79,72.66,100.0
2024,쇠퇴기,208,125,83,60.1,69.3
2024,성장기,357,155,202,43.42,34.2
2024,조정기,312,102,210,32.69,14.4
2024,성숙기,757,182,575,24.04,0.0
