기준연도,사업자등록번호,회계년도,생애주기_최종,생애주기_점수,부실라벨_ICR3년
2015,1018104123,2015,성장기,0.0,0
2015,1018124226,2012,쇠퇴기,100.0,1
2015,1018124624,2012,쇠퇴기,100.0,1
2015,1018134423,2015,성장기,0.0,0
2015,1018139388,2015,쇠퇴기,100.0,0
2015,1018156086,2015,성숙기,2.5,0
2015,1018163044,2015,쇠퇴기,100.0,0
2015,1018165644,2015,조정기,23.7,0
2015,1018165872,2015,조정기,23.7,0
2015,1018167171,2012,조정기,23.7,1
2015,1018168490,2012,성장기,0.0,1
2015,1018184791,2012,성숙기,2.5,1
2015,1018187973,2015,조정기,23.7,0
2015,1018188064,2015,성장기,0.0,0
2015,1018190935,2015,성장기,0.0,0
2015,1018191633,2015,조정기,23.7,0
2015,1018194800,2012,성장기,0.0,1
2015,1018194815,2015,성숙기,2.5,0
2015,1018198015,2015,성숙기,2.5,0
2015,1018198669,2013,조정기,23.7,0
2015,1018602120,2015,도입기,52.5,0
2015,1018606994,2015,성장기,0.0,0
2015,1018611008,2012,성장기,0.0,1
2015,1018616677,2015,성장기,0.0,0
2015,1018624575,2015,도입기,52.5,0
2015,1018633017,2014,성숙기,2.5,1
2015,1018634414,2012,쇠퇴기,100.0,0
2015,1018637895,2014,조정기,23.7,1
2015,1018638195,2013,조정기,23.7,0
2015,1018644095,2015,성숙기,2.5,0
2015,1018653158,2013,성숙기,2.5,1
2015,1018653594,2013,성숙기,2.5,1
2015,1018656567,2015,도입기,52.5,0
2015,1018676622,2015,성장기,0.0,0
2015,1018689753,2015,성숙기,2.5,0
2015,1028119430,2013,조정기,23.7,1
2015,1028120878,2015,성장기,0.0,0
2015,1028121052,2015,성숙기,2.5,0
2015,1028122920,2015,조정기,23.7,0
2015,1028123012,2015,성숙기,2.5,0
2015,1028124874,2014,조정기,23.7,0
2015,1028126284,2015,조정기,23.7,0
2015,1028126630,2015,성숙기,2.5,0
2015,1028129689,2012,성숙기,2.5,1
2015,1028131773,2014,조정기,23.7,0
2015,1028132530,2012,쇠퇴기,100.0,1
2015,1028133387,2015,도입기,52.5,0
2015,1028133766,2014,성숙기,2.5,0
2015,1028141359,2015,조정기,23.7,0
2015,1028141887,2015,성숙기,2.5,0
2015,1048115648,2012,조정기,23.7,1
2015,1048117480,2015,성장기,0.0,1
2015,1048117971,2015,성장기,0.0,0
2015,1048119101,2013,조정기,23.7,1
2015,1048121403,2015,성숙기,2.5,0
2015,1048124017,2012,조정기,23.7,1
2015,1048125831,2013,성숙기,2.5,1
2015,1048126276,2015,조정기,23.7,0
2015,1048127085,2015,조정기,23.7,0
2015,1048127692,2015,성숙기,2.5,1
2015,1048128411,2015,성장기,0.0,0
2015,1048136279,2014,조정기,23.7,0
2015,1048136395,2015,성숙기,2.5,0
2015,1048137055,2015,조정기,23.7,0
2015,1048137638,2015,조정기,23.7,0
2015,1048140846,2013,도입기,52.5,0
2015,1048141108,2015,도입기,52.5,0
2015,1048142733,2015,성숙기,2.5,0
2015,1048142878,2015,도입기,52.5,0
2015,1048144880,2015,성장기,0.0,0
2015,1048144895,2015,도입기,52.5,0
2015,1048145083,2015,성장기,0.0,0
2015,1048145803,2015,성장기,0.0,0
2015,1048146011,2012,조정기,23.7,1
2015,1048146762,2015,성장기,0.0,0
2015,1048146893,2015,조정기,23.7,0
2015,1048147155,2012,쇠퇴기,100.0,1
2015,1048147868,2015,성숙기,2.5,0
2015,1048148377,2015,성숙기,2.5,0
2015,1048148741,2012,쇠퇴기,100.0,1
2015,1048155903,2015,성숙기,2.5,0
2015,1048158972,2015,쇠퇴기,100.0,0
2015,1048159419,2015,성숙기,2.5,0
2015,1048163214,2013,조정기,23.7,1
2015,1048163515,2015,성장기,0.0,0
2015,1048176757,2015,성장기,0.0,0
2015,1048178814,2014,조정기,23.7,0
2015,1048185130,2012,성숙기,2.5,1
2015,1048185810,2015,성숙기,2.5,0
2015,1048187079,2012,도입기,52.5,0
2015,1048189077,2012,쇠퇴기,100.0,0
2015,1048192043,2013,도입기,52.5,1
2015,1048194376,2015,성숙기,2.5,0
2015,1048195720,2012,성숙기,2.5,1
2015,1048198329,2015,성숙기,2.5,0
2015,1048199269,2014,성숙기,2.5,0
2015,1048602003,2015,도입기,52.5,0
2015,1048606464,2015,성숙기,2.5,0
2015,1048606576,2015,성장기,0.0,0
2015,1048608986,2012,성숙기,2.5,1
2015,1048611929,2013,성숙기,2.5,1
2015,1048612665,2014,쇠퇴기,100.0,0
2015,1048612821,2015,도입기,52.5,1
2015,1048614042,2012,성숙기,2.5,1
2015,1048616021,2014,조정기,23.7,0
2015,1048617336,2015,성숙기,2.5,0
2015,1048617700,2015,성장기,0.0,0
2015,1048620812,2014,성숙기,2.5,0
2015,1048623177,2012,성숙기,2.5,1
2015,1048629337,2013,성숙기,2.5,1
2015,1048629579,2013,조정기,23.7,1
2015,1048632695,2013,쇠퇴기,100.0,1
2015,1048632905,2013,성숙기,2.5,0
2015,1048633748,2015,성장기,0.0,0
