기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,157,57,100,36.31,100.0
2015,도입기,164,41,123,25.0,58.3
2015,조정기,160,28,132,17.5,33.1
2015,성장기,203,23,180,11.33,13.8
2015,성숙기,449,30,419,6.68,0.0
2016,쇠퇴기,168,64,104,38.1,100.0
2016,도입기,189,49,140,25.93,56.9
2016,조정기,200,31,169,15.5,23.9
2016,성장기,209,26,183,12.44,14.8
2016,성숙기,471,34,437,7.22,0.0
2017,쇠퇴기,199,71,128,35.68,100.0
2017,도입기,191,58,133,30.37,79.1
2017,조정기,209,35,174,16.75,30.3
2017,성장기,239,30,209,12.55,16.5
2017,성숙기,495,36,459,7.27,0.0
2018,쇠퇴기,212,81,131,38.21,100.0
2018,도입기,231,71,160,30.74,72.8
2018,조정기,220,41,179,18.64,32.7
2018,성장기,253,31,222,12.25,13.5
2018,성숙기,532,40,492,7.52,0.0
2019,쇠퇴기,239,92,147,38.49,100.0
2019,도입기,259,94,165,36.29,91.9
2019,조정기,262,42,220,16.03,25.2
2019,성장기,269,34,235,12.64,15.3
2019,성숙기,613,44,569,7.18,0.0
2020,쇠퇴기,262,103,159,39.31,100.0
2020,도입기,303,116,187,38.28,96.1
2020,조정기,308,48,260,15.58,20.3
2020,성장기,321,46,275,14.33,16.6
2020,성숙기,600,51,549,8.5,0.0
2021,쇠퇴기,282,116,166,41.13,100.0
2021,도입기,362,142,220,39.23,93.2
2021,조정기,304,55,249,18.09,26.1
2021,성장기,380,50,330,13.16,12.4
2021,성숙기,671,57,614,8.49,0.0
2022,쇠퇴기,309,132,177,42.72,100.0
2022,도입기,447,189,258,42.28,98.5
2022,조정기,338,62,276,18.34,24.9
2022,성장기,392,61,331,15.56,17.4
2022,성숙기,719,63,656,8.76,0.0
2023,도입기,449,231,218,51.45,100.0
2023,쇠퇴기,357,157,200,43.98,78.9
2023,성장기,319,68,251,21.32,23.6
2023,조정기,335,69,266,20.6,22.1
2023,성숙기,745,73,672,9.8,0.0
2024,도입기,435,280,155,64.37,100.0
2024,쇠퇴기,357,188,169,52.66,73.0
2024,성장기,316,76,240,24.05,18.9
2024,조정기,368,85,283,23.1,17.3
2024,성숙기,730,86,644,11.78,0.0
