변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,부채비율,도입기 vs 성장기,4434.5182,1004.7095,3429.8087,86.3517,0.0,***
기본 재무비율,부채비율,도입기 vs 성숙기,4434.5182,542.1065,3892.4118,159.4917,0.0,***
기본 재무비율,부채비율,도입기 vs 쇠퇴기,4434.5182,3687.0719,747.4463,4.1455,0.2465,n.s.
기본 재무비율,부채비율,성장기 vs 성숙기,1004.7095,542.1065,462.6031,1.9998,0.5725,n.s.
기본 재무비율,부채비율,성장기 vs 쇠퇴기,1004.7095,3687.0719,-2682.3624,49.0181,0.0,***
기본 재무비율,부채비율,성숙기 vs 쇠퇴기,542.1065,3687.0719,-3144.9654,93.7075,0.0,***
기본 재무비율,총부채비율,도입기 vs 성장기,103.9628,65.0504,38.9123,59.1001,0.0,***
기본 재무비율,총부채비율,도입기 vs 성숙기,103.9628,45.2675,58.6953,192.8368,0.0,***
기본 재무비율,총부채비율,도입기 vs 쇠퇴기,103.9628,92.0026,11.9602,5.6438,0.1306,n.s.
기본 재무비율,총부채비율,성장기 vs 성숙기,65.0504,45.2675,19.783,19.4464,0.0002,***
기본 재무비율,총부채비율,성장기 vs 쇠퇴기,65.0504,92.0026,-26.9522,26.3143,0.0,***
기본 재무비율,총부채비율,성숙기 vs 쇠퇴기,45.2675,92.0026,-46.7352,110.0304,0.0,***
기본 재무비율,장기부채비율,도입기 vs 성장기,818.1671,221.0264,597.1407,100.0237,0.0,***
기본 재무비율,장기부채비율,도입기 vs 성숙기,818.1671,126.028,692.139,192.7106,0.0,***
기본 재무비율,장기부채비율,도입기 vs 쇠퇴기,818.1671,654.1106,164.0565,7.6316,0.0546,n.s.
기본 재무비율,장기부채비율,성장기 vs 성숙기,221.0264,126.028,94.9983,3.2227,0.3588,n.s.
기본 재무비율,장기부채비율,성장기 vs 쇠퇴기,221.0264,654.1106,-433.0842,48.8298,0.0,***
기본 재무비율,장기부채비율,성숙기 vs 쇠퇴기,126.028,654.1106,-528.0826,100.9636,0.0,***
기본 재무비율,장기부채의존도,도입기 vs 성장기,25.2035,17.7911,7.4124,20.7183,0.0001,***
기본 재무비율,장기부채의존도,도입기 vs 성숙기,25.2035,9.8617,15.3418,127.2796,0.0,***
기본 재무비율,장기부채의존도,도입기 vs 쇠퇴기,25.2035,18.2986,6.9049,18.1734,0.0004,***
기본 재무비율,장기부채의존도,성장기 vs 성숙기,17.7911,9.8617,7.9294,30.1829,0.0,***
기본 재무비율,장기부채의존도,성장기 vs 쇠퇴기,17.7911,18.2986,-0.5075,0.0901,0.993,n.s.
기본 재무비율,장기부채의존도,성숙기 vs 쇠퇴기,9.8617,18.2986,-8.4369,34.6427,0.0,***
기본 재무비율,차입금의존도,도입기 vs 성장기,49.806,34.1741,15.6319,37.1209,0.0,***
기본 재무비율,차입금의존도,도입기 vs 성숙기,49.806,12.4792,37.3268,303.5322,0.0,***
기본 재무비율,차입금의존도,도입기 vs 쇠퇴기,49.806,36.9206,12.8854,25.4958,0.0,***
기본 재무비율,차입금의존도,성장기 vs 성숙기,34.1741,12.4792,21.6949,91.023,0.0,***
기본 재무비율,차입금의존도,성장기 vs 쇠퇴기,34.1741,36.9206,-2.7466,1.0636,0.7859,n.s.
기본 재무비율,차입금의존도,성숙기 vs 쇠퇴기,12.4792,36.9206,-24.4414,117.1274,0.0,***
