기준연도,사업자등록번호,회계년도,생애주기_최종,생애주기_점수,부실라벨_ICR3년
2015,1018100729,2012,성숙기,0.0,1
2015,1018114655,2015,성장기,13.8,0
2015,1018122626,2015,도입기,58.3,1
2015,1018126317,2015,조정기,33.1,0
2015,1018126734,2015,성숙기,0.0,0
2015,1018139767,2015,성숙기,0.0,0
2015,1018142433,2015,성숙기,0.0,0
2015,1018145139,2015,조정기,33.1,0
2015,1018147345,2015,성장기,13.8,0
2015,1018147985,2015,성숙기,0.0,0
2015,1018148927,2012,도입기,58.3,1
2015,1018157784,2015,조정기,33.1,0
2015,1018158309,2015,조정기,33.1,0
2015,1018158798,2015,성숙기,0.0,0
2015,1018159273,2015,성숙기,0.0,0
2015,1018161463,2015,성숙기,0.0,0
2015,1018163762,2015,성숙기,0.0,0
2015,1018164285,2012,조정기,33.1,1
2015,1018171660,2015,성숙기,0.0,0
2015,1018174672,2015,성숙기,0.0,0
2015,1018190181,2015,쇠퇴기,100.0,0
2015,1018190575,2015,성장기,13.8,0
2015,1018192326,2015,쇠퇴기,100.0,0
2015,1018193460,2015,조정기,33.1,0
2015,1018605210,2015,성숙기,0.0,0
2015,1018615912,2015,성장기,13.8,0
2015,1018623426,2015,성숙기,0.0,0
2015,1018628265,2013,성숙기,0.0,0
2015,1018631606,2015,조정기,33.1,0
2015,1018635198,2015,성숙기,0.0,0
2015,1018642059,2015,성숙기,0.0,0
2015,1018644116,2015,도입기,58.3,0
2015,1018646526,2015,성숙기,0.0,0
2015,1018654690,2015,성숙기,0.0,0
2015,1018662619,2015,성장기,13.8,0
2015,1018662787,2015,쇠퇴기,100.0,0
2015,1018666653,2014,쇠퇴기,100.0,0
2015,1018668160,2014,도입기,58.3,1
2015,1018668364,2014,쇠퇴기,100.0,1
2015,1018671059,2015,조정기,33.1,0
2015,1028100358,2012,조정기,33.1,1
2015,1028103525,2012,성숙기,0.0,1
2015,1028113061,2015,성장기,13.8,0
2015,1028119177,2012,조정기,33.1,1
2015,1028121498,2014,조정기,33.1,0
2015,1028123273,2015,성숙기,0.0,0
2015,1028132883,2015,조정기,33.1,0
2015,1028135065,2013,쇠퇴기,100.0,0
2015,1028135124,2015,성숙기,0.0,0
2015,1028136588,2015,성숙기,0.0,0
2015,1028137345,2014,성장기,13.8,0
2015,1028141325,2015,성숙기,0.0,0
2015,1028142611,2015,성숙기,0.0,0
2015,1028142945,2015,성숙기,0.0,0
2015,1048106004,2015,성장기,13.8,0
2015,1048118820,2015,성장기,13.8,0
2015,1048122547,2015,성숙기,0.0,0
2015,1048122789,2015,조정기,33.1,0
2015,1048124680,2013,성장기,13.8,1
2015,1048124695,2015,성숙기,0.0,0
2015,1048124701,2012,조정기,33.1,1
2015,1048136565,2015,성숙기,0.0,0
2015,1048137225,2015,성숙기,0.0,0
2015,1048137808,2015,성숙기,0.0,0
2015,1048143391,2015,성숙기,0.0,0
2015,1048145671,2015,성숙기,0.0,0
2015,1048145690,2015,성장기,13.8,0
2015,1048147290,2015,성숙기,0.0,0
2015,1048147984,2015,성숙기,0.0,0
2015,1048149376,2015,성숙기,0.0,0
2015,1048153190,2015,성숙기,0.0,0
2015,1048153429,2015,성장기,13.8,0
2015,1048153832,2015,성숙기,0.0,0
2015,1048154506,2014,성숙기,0.0,1
2015,1048159006,2015,성장기,13.8,0
2015,1048161031,2015,성숙기,0.0,0
2015,1048162461,2014,쇠퇴기,100.0,0
2015,1048162840,2015,도입기,58.3,0
2015,1048179337,2015,성숙기,0.0,0
2015,1048180101,2014,조정기,33.1,1
2015,1048183559,2015,성장기,13.8,0
2015,1048186162,2013,성숙기,0.0,1
2015,1048187555,2015,조정기,33.1,0
2015,1048192378,2013,쇠퇴기,100.0,1
2015,1048195114,2013,조정기,33.1,0
2015,1048608991,2012,도입기,58.3,1
