변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,296.4841,0.0,***,0.0641,중
기본 재무비율,총부채비율,398.5594,0.0,***,0.0843,중
기본 재무비율,장기부채비율,367.568,0.0,***,0.0783,중
기본 재무비율,장기부채의존도,68.916,0.0,***,0.0157,소
기본 재무비율,차입금의존도,814.5529,0.0,***,0.1584,대
기본 재무비율,순차입금비율,435.2199,0.0,***,0.0914,중
기본 재무비율,금융부채비율,416.2723,0.0,***,0.0877,중
기본 재무비율,자기자본비율,241.0066,0.0,***,0.0527,소
기본 재무비율,유보율,166.8702,0.0,***,0.0371,소
기본 재무비율,자본잠식률,126.8223,0.0,***,0.0285,소
기본 재무비율,유동비율,21.3354,0.0,***,0.0049,소
기본 재무비율,당좌비율_추정,40.5873,0.0,***,0.0093,소
기본 재무비율,현금비율,39.7518,0.0,***,0.0091,소
기본 재무비율,순운전자본비율,77.6042,0.0,***,0.0176,소
기본 재무비율,순운전자본회전율,209.9397,0.0,***,0.0463,소
기본 재무비율,금융비용부담률,641.9624,0.0,***,0.1291,중
기본 재무비율,비유동비율,504.2225,0.0,***,0.1043,중
기본 재무비율,비유동장기적합률,298.5603,0.0,***,0.0645,중
기본 재무비율,유형자산비율,151.9419,0.0,***,0.0339,소
기본 재무비율,유형자산부채비율,150.9851,0.0,***,0.0337,소
기본 재무비율,ROA,281.0176,0.0,***,0.061,중
기본 재무비율,ROE,198.2318,0.0,***,0.0438,소
기본 재무비율,ROIC,101.0909,0.0,***,0.0228,소
기본 재무비율,총자본영업이익률,323.9954,0.0,***,0.0696,중
기본 재무비율,매출총이익률,389.9759,0.0,***,0.0826,중
기본 재무비율,영업이익률,710.7337,0.0,***,0.141,대
기본 재무비율,순이익률,578.0257,0.0,***,0.1178,중
기본 재무비율,EBITDA마진,692.7083,0.0,***,0.1379,중
기본 재무비율,현금ROA,588.9287,0.0,***,0.1198,중
기본 재무비율,현금ROE,117.3364,0.0,***,0.0264,소
기본 재무비율,매출원가율,389.6107,0.0,***,0.0826,중
기본 재무비율,판관비율,754.6468,0.0,***,0.1484,대
기본 재무비율,감가상각비율,691.0872,0.0,***,0.1377,중
기본 재무비율,총자산회전율,492.4224,0.0,***,0.1021,중
기본 재무비율,유동자산회전율,459.6335,0.0,***,0.096,중
기본 재무비율,비유동자산회전율,40.6625,0.0,***,0.0093,소
기본 재무비율,유형자산회전율,32.6416,0.0,***,0.0075,소
기본 재무비율,자기자본회전율,158.505,0.0,***,0.0353,소
기본 재무비율,투하자본회전율,300.7019,0.0,***,0.065,중
기본 재무비율,매출채권회전율,194.3634,0.0,***,0.043,소
기본 재무비율,매출채권회수기간,291.6986,0.0,***,0.0631,중
기본 재무비율,재고자산회전율,387.876,0.0,***,0.0822,중
기본 재무비율,재고자산보유기간,312.3502,0.0,***,0.0673,중
기본 재무비율,매입채무회전율,213.5585,0.0,***,0.047,소
기본 재무비율,매입채무지급기간,302.4142,0.0,***,0.0653,중
기본 재무비율,현금전환주기_CCC,105.7313,0.0,***,0.0238,소
기본 재무비율,영업CF_유동부채,463.4559,0.0,***,0.0967,중
기본 재무비율,영업CF_총부채,615.027,0.0,***,0.1244,중
기본 재무비율,FCF,311.5767,0.0,***,0.0671,중
기본 재무비율,FCF_총자산,146.7025,0.0,***,0.0328,소
기본 재무비율,매출액증가율,10.3869,1e-06,***,0.0024,소
기본 재무비율,영업이익증가율,67.7429,0.0,***,0.0154,소
기본 재무비율,순이익증가율,85.3684,0.0,***,0.0193,소
기본 재무비율,EBITDA증가율,65.3767,0.0,***,0.0149,소
기본 재무비율,총자산증가율,284.2944,0.0,***,0.0616,중
기본 재무비율,유형자산증가율,6.3733,0.00026,***,0.0015,소
기본 재무비율,자기자본증가율,124.0204,0.0,***,0.0279,소
기본 재무비율,부채증가율,312.4374,0.0,***,0.0673,중
기본 재무비율,영업현금흐름증가율,170.8142,0.0,***,0.038,소
기본 재무비율,FCF증가율,108.8024,0.0,***,0.0245,소
기본 재무비율,ROA변화,6.2659,0.000303,***,0.0014,소
기본 재무비율,영업이익률변화,19.3461,0.0,***,0.0044,소
기본 재무비율,부채비율변화,2.501,0.057527,n.s.,0.0006,소
기본 재무비율,유동비율변화,16.311,0.0,***,0.0038,소
