변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,부채비율,도입기 vs 성장기,26442.1898,10017.3467,16424.8431,315.6112,0.0,***
기본 재무비율,부채비율,도입기 vs 성숙기,26442.1898,8983.1729,17459.017,792.9526,0.0,***
기본 재무비율,부채비율,도입기 vs 쇠퇴기,26442.1898,18851.9234,7590.2664,111.8535,0.0,***
기본 재무비율,부채비율,성장기 vs 성숙기,10017.3467,8983.1729,1034.1739,1.2067,0.7514,n.s.
기본 재무비율,부채비율,성장기 vs 쇠퇴기,10017.3467,18851.9234,-8834.5767,76.7449,0.0,***
기본 재무비율,부채비율,성숙기 vs 쇠퇴기,8983.1729,18851.9234,-9868.7505,178.1656,0.0,***
기본 재무비율,총부채비율,도입기 vs 성장기,100.1464,72.7219,27.4245,349.2823,0.0,***
기본 재무비율,총부채비율,도입기 vs 성숙기,100.1464,67.6112,32.5352,1093.1072,0.0,***
기본 재무비율,총부채비율,도입기 vs 쇠퇴기,100.1464,88.567,11.5794,103.3377,0.0,***
기본 재무비율,총부채비율,성장기 vs 성숙기,72.7219,67.6112,5.1107,11.6977,0.0085,**
기본 재무비율,총부채비율,성장기 vs 쇠퇴기,72.7219,88.567,-15.8451,97.9977,0.0,***
기본 재무비율,총부채비율,성숙기 vs 쇠퇴기,67.6112,88.567,-20.9558,318.8999,0.0,***
기본 재무비율,장기부채비율,도입기 vs 성장기,10066.0615,3543.7538,6522.3077,411.3951,0.0,***
기본 재무비율,장기부채비율,도입기 vs 성숙기,10066.0615,3347.7018,6718.3597,970.601,0.0,***
기본 재무비율,장기부채비율,도입기 vs 쇠퇴기,10066.0615,7101.1452,2964.9163,141.0805,0.0,***
기본 재무비율,장기부채비율,성장기 vs 성숙기,3543.7538,3347.7018,196.052,0.3585,0.9487,n.s.
기본 재무비율,장기부채비율,성장기 vs 쇠퇴기,3543.7538,7101.1452,-3557.3914,102.8603,0.0,***
기본 재무비율,장기부채비율,성숙기 vs 쇠퇴기,3347.7018,7101.1452,-3753.4434,213.0423,0.0,***
기본 재무비율,장기부채의존도,도입기 vs 성장기,30.7566,26.2367,4.5199,18.8751,0.0003,***
