변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,29.8365,0.0,***,0.0812,중
기본 재무비율,총부채비율,37.0926,0.0,***,0.099,중
기본 재무비율,장기부채비율,26.0269,0.0,***,0.0716,중
기본 재무비율,장기부채의존도,2.4844,0.059394,n.s.,0.0073,소
기본 재무비율,차입금의존도,66.8704,0.0,***,0.1653,대
기본 재무비율,순차입금비율,29.7495,0.0,***,0.081,중
기본 재무비율,금융부채비율,29.7295,0.0,***,0.0809,중
기본 재무비율,자기자본비율,31.1174,0.0,***,0.0844,중
기본 재무비율,유보율,20.5854,0.0,***,0.0575,소
기본 재무비율,자본잠식률,11.6582,0.0,***,0.0334,소
기본 재무비율,유동비율,15.1298,0.0,***,0.0429,소
기본 재무비율,당좌비율_추정,15.2597,0.0,***,0.0432,소
기본 재무비율,현금비율,14.2627,0.0,***,0.0405,소
기본 재무비율,순운전자본비율,35.3652,0.0,***,0.0948,중
기본 재무비율,순운전자본회전율,17.914,0.0,***,0.0504,소
기본 재무비율,금융비용부담률,24.5505,0.0,***,0.0678,중
기본 재무비율,비유동비율,29.1286,0.0,***,0.0794,중
기본 재무비율,비유동장기적합률,24.7406,0.0,***,0.0683,중
기본 재무비율,유형자산비율,29.6084,0.0,***,0.0806,중
기본 재무비율,유형자산부채비율,24.0277,0.0,***,0.0664,중
기본 재무비율,ROA,41.4362,0.0,***,0.1093,중
기본 재무비율,ROE,10.9146,0.0,***,0.0313,소
기본 재무비율,ROIC,4.1056,0.006578,**,0.012,소
기본 재무비율,총자본영업이익률,50.3429,0.0,***,0.1297,중
기본 재무비율,매출총이익률,33.4977,0.0,***,0.0903,중
기본 재무비율,영업이익률,29.9157,0.0,***,0.0814,중
기본 재무비율,순이익률,23.1463,0.0,***,0.0642,중
기본 재무비율,EBITDA마진,29.2764,0.0,***,0.0798,중
기본 재무비율,현금ROA,101.5261,0.0,***,0.2312,대
기본 재무비율,현금ROE,6.5242,0.000226,***,0.019,소
기본 재무비율,매출원가율,33.4225,0.0,***,0.0901,중
기본 재무비율,판관비율,28.7913,0.0,***,0.0786,중
기본 재무비율,감가상각비율,39.1022,0.0,***,0.1038,중
기본 재무비율,총자산회전율,13.4289,0.0,***,0.0382,소
기본 재무비율,유동자산회전율,5.2806,0.00129,**,0.0154,소
기본 재무비율,비유동자산회전율,4.778,0.002595,**,0.014,소
기본 재무비율,유형자산회전율,3.1115,0.025598,*,0.0091,소
기본 재무비율,자기자본회전율,3.115,0.025479,*,0.0091,소
기본 재무비율,투하자본회전율,8.8615,8e-06,***,0.0256,소
기본 재무비율,매출채권회전율,1.5278,0.205671,n.s.,0.0045,소
기본 재무비율,매출채권회수기간,9.9445,2e-06,***,0.0286,소
기본 재무비율,재고자산회전율,0.2895,0.833005,n.s.,0.0009,소
기본 재무비율,재고자산보유기간,5.8515,0.000581,***,0.017,소
기본 재무비율,매입채무회전율,1.1684,0.320666,n.s.,0.0034,소
기본 재무비율,매입채무지급기간,0.1997,0.896618,n.s.,0.0006,소
기본 재무비율,현금전환주기_CCC,12.6097,0.0,***,0.036,소
기본 재무비율,영업CF_유동부채,69.0023,0.0,***,0.1697,대
기본 재무비율,영업CF_총부채,72.0434,0.0,***,0.1758,대
기본 재무비율,FCF,27.8718,0.0,***,0.0762,중
기본 재무비율,FCF_총자산,39.7813,0.0,***,0.1054,중
기본 재무비율,매출액증가율,12.0403,0.0,***,0.0344,소
기본 재무비율,영업이익증가율,2.2202,0.084229,n.s.,0.0065,소
기본 재무비율,순이익증가율,4.3431,0.00474,**,0.0127,소
기본 재무비율,EBITDA증가율,1.4196,0.2355,n.s.,0.0042,소
기본 재무비율,총자산증가율,29.854,0.0,***,0.0812,중
기본 재무비율,유형자산증가율,7.0738,0.000105,***,0.0205,소
기본 재무비율,자기자본증가율,13.4448,0.0,***,0.0383,소
기본 재무비율,부채증가율,32.4844,0.0,***,0.0878,중
기본 재무비율,영업현금흐름증가율,21.7915,0.0,***,0.0606,중
기본 재무비율,FCF증가율,10.2894,1e-06,***,0.0296,소
기본 재무비율,ROA변화,0.4286,0.73252,n.s.,0.0013,소
기본 재무비율,영업이익률변화,3.5089,0.014913,*,0.0103,소
기본 재무비율,부채비율변화,2.7516,0.041574,*,0.0081,소
기본 재무비율,유동비율변화,0.1229,0.946587,n.s.,0.0004,소
