기준연도,사업자등록번호,회계년도,생애주기_최종,생애주기_점수,부실라벨_ICR3년
2015,1018100772,2012,도입기,100.0,1
2015,1018184336,2015,성숙기,0.0,0
2015,1018192928,2014,쇠퇴기,75.0,0
2015,1018633676,2015,조정기,43.2,0
2015,1018647092,2012,도입기,100.0,1
2015,1018649300,2015,성숙기,0.0,0
2015,1018653110,2015,성장기,18.0,0
2015,1028125209,2015,성장기,18.0,0
2015,1028140097,2014,성장기,18.0,1
2015,1048136037,2012,조정기,43.2,1
2015,1048138961,2012,조정기,43.2,1
2015,1048140579,2015,성숙기,0.0,0
2015,1048142785,2015,성장기,18.0,0
2015,1048148192,2015,도입기,100.0,0
2015,1048187671,2012,성장기,18.0,1
2015,1048196184,2015,성숙기,0.0,0
2015,1048601101,2015,쇠퇴기,75.0,0
2015,1048608104,2015,성숙기,0.0,0
2015,1048609248,2012,도입기,100.0,1
2015,1048613801,2013,성숙기,0.0,0
2015,1048622085,2014,성장기,18.0,1
2015,1048626290,2015,성숙기,0.0,0
2015,1048628696,2015,도입기,100.0,0
2015,1048630469,2015,성숙기,0.0,0
2015,1058123516,2015,성숙기,0.0,0
2015,1058137005,2015,성숙기,0.0,0
2015,1058148050,2013,쇠퇴기,75.0,1
2015,1058605167,2015,쇠퇴기,75.0,0
2015,1058606429,2015,성장기,18.0,0
2015,1058666994,2012,도입기,100.0,1
2015,1058677905,2012,도입기,100.0,1
2015,1058691101,2015,도입기,100.0,0
2015,1058734728,2013,쇠퇴기,75.0,1
2015,1058765842,2015,조정기,43.2,0
2015,1068135806,2015,쇠퇴기,75.0,1
2015,1068620327,2012,도입기,100.0,1
2015,1068640003,2013,성숙기,0.0,0
2015,1068640473,2015,성장기,18.0,0
2015,1068659521,2014,성숙기,0.0,1
2015,1068702888,2015,조정기,43.2,0
2015,1078113241,2015,성숙기,0.0,0
2015,1078136453,2015,성숙기,0.0,0
2015,1078193565,2015,성숙기,0.0,0
2015,1078643584,2012,성장기,18.0,1
2015,1078661020,2012,성숙기,0.0,1
2015,1078662219,2013,도입기,100.0,1
2015,1078681502,2012,성숙기,0.0,1
2015,1078713471,2015,성숙기,0.0,0
2015,1078755879,2014,도입기,100.0,1
2015,1088114995,2015,성장기,18.0,0
2015,1088172942,2015,조정기,43.2,0
2015,1088605642,2015,도입기,100.0,1
2015,1098120807,2015,성숙기,0.0,0
2015,1098600941,2012,도입기,100.0,1
2015,1098607226,2015,성숙기,0.0,1
2015,1108131565,2015,성장기,18.0,0
2015,1108134204,2015,성숙기,0.0,0
2015,1108160003,2015,성숙기,0.0,0
2015,1108160395,2015,성숙기,0.0,0
2015,1108171849,2015,쇠퇴기,75.0,0
2015,1108190211,2012,도입기,100.0,1
2015,1118112843,2015,조정기,43.2,0
2015,1128100961,2015,성숙기,0.0,0
2015,1138669949,2015,쇠퇴기,75.0,0
2015,1148632746,2015,도입기,100.0,0
2015,1148666402,2013,성숙기,0.0,1
2015,1148682149,2015,성숙기,0.0,0
2015,1148694252,2015,성장기,18.0,0
2015,1148711452,2015,도입기,100.0,1
2015,1148715915,2015,성장기,18.0,0
2015,1168112076,2015,성숙기,0.0,0
2015,1168141095,2015,성숙기,0.0,0
2015,1168151384,2015,쇠퇴기,75.0,0
2015,1178148806,2012,성숙기,0.0,1
2015,1178158508,2012,쇠퇴기,75.0,1
2015,1178168419,2015,성장기,18.0,0
2015,1198105481,2015,성숙기,0.0,0
2015,1198164267,2015,도입기,100.0,1
2015,1208100400,2012,조정기,43.2,1
