사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
1078681841,(주)얌샘,,,,,,,0.0006,0.0078,0.1506,0.1952,0.7885,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.1428,0.0446,0.5933,97.76
1328102037,산수음료(주),,,0.0007,0.0004,0.0003,0.0003,0.0891,0.0227,0.0488,0.2895,0.7728,0.0,0.0,-0.0003,-0.0001,0.0,0.0888,-0.0664,0.0261,0.2407,0.4833,97.3
4978600080,농업회사법인주식회사참연푸드웰,,,,,,,0.0002,0.0056,0.2565,0.4012,0.6338,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.2509,0.1447,0.2326,96.89
1128154400,주식회사제이슨생활건강,,,,,,0.0001,0.0002,0.0006,0.0311,0.1979,0.6346,0.0,0.0,0.0,0.0,0.0,0.0001,0.0004,0.0305,0.1668,0.4367,96.54
1268643514,주식회사아람,,,,,,,,0.0006,0.01,0.1123,0.6843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,0.1023,0.572,96.21
2068127265,(주)메디오젠,,,0.0007,0.0002,0.0163,0.0022,0.0062,0.0045,0.1175,0.258,0.4938,0.0,0.0,-0.0005,0.0161,-0.0141,0.004,-0.0017,0.113,0.1405,0.2358,96.0
1288642281,주식회사더베러푸드,,,,,,,,0.0003,0.0084,0.2612,0.5401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.2528,0.2789,95.44
6218600077,주식회사삼화진식품,,,,,,,0.0002,0.0017,0.2955,0.4799,0.5206,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.2938,0.1844,0.0407,95.19
6038159750,백암수산(주),,,,,,,,0.0005,0.0478,0.124,0.4432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0473,0.0762,0.3192,95.12
1428120783,(주)세움,0.0004,0.0005,0.0015,0.0011,0.0015,0.0161,0.0693,0.0008,0.1652,0.1872,0.4404,0.0001,0.001,-0.0004,0.0004,0.0146,0.0532,-0.0685,0.1644,0.022,0.2532,95.1
6088187251,(주)의령소바,,,,,,,0.0005,0.0356,0.0797,0.2975,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0351,0.0441,0.2178,0.1155,94.27
6178169164,주식회사락토메이슨,,,,,,0.0007,0.0002,0.0017,0.0022,0.2589,0.4993,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0015,0.0005,0.2567,0.2404,94.17
1208794588,주식회사가담사,,,,,,,,,0.0008,0.1255,0.8356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247,0.7101,93.86
8788102472,주식회사더오른,,,,,,,,,0.0012,0.1052,0.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.7128,93.73
1688701214,주식회사스퀴즈맥주,,,,,,,,,0.001,0.0458,0.8046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448,0.7588,93.34
5268600239,(주)어메이징브루잉컴퍼니,,,,,,,,,0.0008,0.1989,0.7011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1981,0.5022,93.26
1208607392,튤립인터내셔널(주),,,,0.0003,0.0003,0.1448,0.0017,0.0012,0.0024,0.0093,0.4466,0.0,0.0,0.0,0.0,0.1445,-0.1431,-0.0005,0.0012,0.0069,0.4373,93.01
3118147035,주식회사소문난삼부자,,,,,,,,,0.0008,0.0595,0.7393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0587,0.6798,92.97
3058154583,(주)비티진,,,,,,,0.0005,0.0002,0.0003,0.1389,0.4177,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0001,0.1386,0.2788,92.84
3878700155,한국진타오주식회사,,,,,,,,,0.0005,0.0846,0.6731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841,0.5885,92.71
6028147697,주식회사씨에스실업,0.001,0.005,0.0019,0.0006,0.0014,0.0004,0.0952,0.0139,0.0492,0.1955,0.291,0.004,-0.0031,-0.0013,0.0008,-0.001,0.0948,-0.0813,0.0353,0.1463,0.0955,92.66
6178609666,주식회사미스터쿡,,,,,,,,,0.0004,0.0975,0.6355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0971,0.538,92.62
3078108479,주식회사세림,,,,,,,,,0.0017,0.0211,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194,0.7009,92.43
1218617743,주식회사산너머남촌,,,,,,,,,0.0003,0.0205,0.6854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202,0.6649,92.27
5958600180,주식회사하이랜드이노베이션,,,,,,,0.0001,0.0002,0.0011,0.0304,0.3511,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0009,0.0293,0.3207,92.22
1438117942,농업회사법인꿀맛나는세상주식회사,,,,,,,,,0.0003,0.0323,0.6016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.5693,91.95
4228101718,주식회사아이피씨,,,,,,,,0.0004,0.0696,0.3225,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692,0.2529,0.0045,91.72
2078134847,(주)바이오로제트,,,,,0.0003,0.0105,0.0009,0.0008,0.0595,0.1057,0.2066,0.0,0.0,0.0,0.0,0.0102,-0.0096,-0.0001,0.0587,0.0462,0.1009,91.67
8168600850,(주)엠피프레쉬,,,,,,,,,0.0002,0.0913,0.4387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0911,0.3474,91.15
2018639228,주식회사제이케이푸드시스템,,,,,,0.0002,0.0,0.0002,0.0008,0.1587,0.2441,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0002,0.0006,0.1579,0.0854,90.87
3728600480,농업회사법인(주)수지스링크,,,,,,,,,0.0004,0.0138,0.4604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134,0.4466,90.79
3298601689,주식회사원일에프앤에프,,,,,,,,,0.0016,0.077,0.4142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754,0.3372,90.71
5118123555,주식회사동천수,,0.0009,0.0001,0.0007,0.0002,0.0367,0.0012,0.0013,0.0009,0.087,0.7676,0.0,-0.0008,0.0006,-0.0005,0.0365,-0.0355,0.0001,-0.0004,0.0861,0.6806,90.45
1148160631,(주)쌍인,0.0002,0.0003,0.0002,0.0002,0.0016,0.0002,0.0049,0.0016,0.0042,0.0396,0.1924,0.0001,-0.0001,0.0,0.0014,-0.0014,0.0047,-0.0033,0.0026,0.0354,0.1528,90.43
6138132568,산청음료(주),,,,,0.0003,0.0001,0.0002,0.0012,0.0011,0.0947,0.5925,0.0,0.0,0.0,0.0,-0.0002,0.0001,0.001,-0.0001,0.0936,0.4978,90.28
8368700467,농업회사법인주식회사고기나라,,,,,,,,,0.0002,0.0018,0.5429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.5411,90.23
1198693336,주식회사올가니카,,,0.0009,0.0043,0.0055,0.0027,0.0159,0.0107,0.081,0.1967,0.2021,0.0,0.0,0.0034,0.0012,-0.0028,0.0132,-0.0052,0.0703,0.1157,0.0054,90.03
2248155788,(주)팜앤들,,,,,,,,,0.0005,0.0012,0.6135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.6123,90.0
5458100180,브라운백주식회사,,,,,,,,,0.0006,0.0287,0.3782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0281,0.3495,89.87
