사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
4228101718,주식회사아이피씨,,,,,,,,0.0007,0.1023,0.4061,0.8176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016,0.3038,0.4115,98.11,위험 (가속+임계초과)
2068127265,(주)메디오젠,,,0.0003,0.0001,0.0182,0.0008,0.0048,0.0021,0.0462,0.3272,0.7027,0.0,0.0,-0.0002,0.0181,-0.0174,0.004,-0.0027,0.0441,0.281,0.3755,96.82,위험 (가속+임계초과)
5118123555,주식회사동천수,,0.0011,0.0001,0.001,0.0003,0.0262,0.001,0.0014,0.0031,0.0806,0.8158,0.0,-0.001,0.0009,-0.0007,0.0259,-0.0252,0.0004,0.0017,0.0775,0.7352,96.21,위험 (가속+임계초과)
1428120783,(주)세움,0.0003,0.0001,0.0016,0.0016,0.0009,0.0357,0.0906,0.0003,0.2293,0.276,0.6093,-0.0002,0.0015,0.0,-0.0007,0.0348,0.0549,-0.0903,0.229,0.0467,0.3333,96.1,위험 (3년연속상승+임계초과)
1268643514,주식회사아람,,,,,,,,0.0003,0.0055,0.1431,0.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.1376,0.5579,96.04,위험 (가속+임계초과)
4978600080,농업회사법인주식회사참연푸드웰,,,,,,,0.0003,0.0036,0.291,0.4918,0.5968,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.2874,0.2008,0.105,95.75,위험 (3년연속상승+임계초과)
1128154400,주식회사제이슨생활건강,,,,,,0.0001,0.0003,0.0003,0.0217,0.1139,0.59,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0214,0.0922,0.4761,95.4,위험 (가속+임계초과)
1288642281,주식회사더베러푸드,,,,,,,,0.0003,0.0091,0.1887,0.5447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.1796,0.356,94.89,위험 (가속+임계초과)
6038159750,백암수산(주),,,,,,,,0.0006,0.129,0.1668,0.4923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1284,0.0378,0.3255,94.74,위험 (3년연속상승+임계초과)
1328102037,산수음료(주),,,0.0008,0.0001,0.0003,0.0006,0.1031,0.014,0.0245,0.2724,0.5216,0.0,0.0,-0.0007,0.0002,0.0003,0.1025,-0.0891,0.0105,0.2479,0.2492,94.53,위험 (가속+임계초과)
