사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
1348138905,남양부직포(주),0.0028,0.0433,0.0026,0.0014,0.0014,0.0009,0.0013,0.0013,0.4741,0.7584,0.8669,0.0405,-0.0407,-0.0012,0.0,-0.0005,0.0004,0.0,0.4728,0.2843,0.1085,96.32
1308141067,(주)이앤더블유(E&W),0.0022,0.0015,0.0026,0.0022,0.0006,0.0008,0.0008,0.0015,0.0048,0.3018,0.8368,-0.0007,0.0011,-0.0004,-0.0016,0.0002,0.0,0.0007,0.0033,0.297,0.535,96.3
5148116510,(주)평안,0.6796,0.0066,0.4214,0.0194,0.027,0.1805,0.0213,0.0032,0.0467,0.0754,0.8592,-0.673,0.4148,-0.402,0.0076,0.1535,-0.1592,-0.0181,0.0435,0.0287,0.7838,95.99
2198104079,(주)아림인터텍스,0.0005,0.0009,0.0384,0.0088,0.0007,0.0009,0.1319,0.0012,0.0034,0.3483,0.8096,0.0004,0.0375,-0.0296,-0.0081,0.0002,0.131,-0.1307,0.0022,0.3449,0.4613,95.87
1288159884,디와이물산(주),,,,,,,,0.0057,0.0386,0.0836,0.8058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329,0.045,0.7222,95.54
1398139141,성진섬유산업(주),0.0071,0.0041,0.0004,0.0015,0.0004,0.0008,0.0012,0.0006,0.0023,0.2696,0.7459,-0.003,-0.0037,0.0011,-0.0011,0.0004,0.0004,-0.0006,0.0017,0.2673,0.4763,94.72
1098608680,(주)헬스리아,,,,,,,0.001,0.0004,0.0085,0.2753,0.6866,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0081,0.2668,0.4113,94.37
2148104230,주식회사에프.지.에프,0.0098,0.001,0.0003,0.0013,0.0004,0.0003,0.0007,0.0005,0.0231,0.5926,0.7214,-0.0088,-0.0007,0.001,-0.0009,-0.0001,0.0004,-0.0002,0.0226,0.5695,0.1288,94.32
2118680383,(주)돈디코리아,0.0014,0.0008,0.0003,0.0029,0.0003,0.0782,,,0.0813,0.657,0.9107,-0.0006,-0.0005,0.0026,-0.0026,0.0779,0.0,0.0,0.0,0.5757,0.2537,93.46
1208149913,주식회사리오인더스트리,0.0007,0.0002,0.2965,0.035,0.0106,0.2461,0.0373,0.0078,0.0508,0.4448,0.6068,-0.0005,0.2963,-0.2615,-0.0244,0.2355,-0.2088,-0.0295,0.043,0.394,0.162,93.4
2058132805,(주)제이씨물산,0.0067,0.0028,0.0013,0.004,0.0025,0.0026,0.4453,0.0011,0.0058,0.0416,0.6531,-0.0039,-0.0015,0.0027,-0.0015,0.0001,0.4427,-0.4442,0.0047,0.0358,0.6115,93.15
1018189665,(주)인다인,,0.0019,0.0012,0.0029,0.0023,0.0052,0.0104,0.0032,0.0145,0.558,0.6437,0.0,-0.0007,0.0017,-0.0006,0.0029,0.0052,-0.0072,0.0113,0.5435,0.0857,92.87
5148186559,(주)이화에스피에스,0.005,0.0134,0.0021,0.0045,0.0017,0.0021,0.0035,0.0009,0.1045,0.2662,0.5459,0.0084,-0.0113,0.0024,-0.0028,0.0004,0.0014,-0.0026,0.1036,0.1617,0.2797,92.59
2118687111,(주)우리인터텍스,,,,,,,,0.005,0.1731,0.6406,0.6597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681,0.4675,0.0191,92.53
2048602244,패숀팩토리주식회사,,,,,,,,,0.0004,0.1669,0.7649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1665,0.598,92.08
2148766790,(주)다음앤큐큐,,,,,,,0.0019,0.0053,0.0167,0.0503,0.5422,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0114,0.0336,0.4919,91.78
5028632415,주)서원테크,,,,,0.0005,0.01,0.0032,0.0196,0.0372,0.2441,0.5323,0.0,0.0,0.0,0.0,0.0095,-0.0068,0.0164,0.0176,0.2069,0.2882,91.77
2068197140,대원에프앤드씨(주),,,,0.0007,0.068,0.0002,0.0011,0.0004,0.0143,0.0892,0.5332,0.0,0.0,0.0,0.0673,-0.0678,0.0009,-0.0007,0.0139,0.0749,0.444,91.65
2178103486,주식회사원우닛트,0.0023,0.0076,0.2614,0.0732,0.0067,0.1509,0.0319,0.0216,0.427,0.5278,0.5751,0.0053,0.2538,-0.1882,-0.0665,0.1442,-0.119,-0.0103,0.4054,0.1008,0.0473,91.4
2618122724,스튜어트주식회사,,,0.0002,0.0007,0.0006,0.005,0.0313,0.0011,0.0015,0.2419,0.5349,0.0,0.0,0.0005,-0.0001,0.0044,0.0263,-0.0302,0.0004,0.2404,0.293,91.33
1198632213,(주)스페이스프라자,,,,,,,,,0.0082,0.0574,0.7461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492,0.6887,91.17
5038145387,(주)동화인더스트리,0.0005,0.0008,0.0002,0.0012,0.0002,0.0004,0.0005,0.0008,0.001,0.0057,0.5741,0.0003,-0.0006,0.001,-0.001,0.0002,0.0001,0.0003,0.0002,0.0047,0.5684,90.47
2208159201,씨싸이트(주),0.0005,0.0007,0.0002,0.0002,0.0001,0.0001,0.0001,0.0002,0.0006,0.1123,0.5036,0.0002,-0.0005,0.0,-0.0001,0.0,0.0,0.0001,0.0004,0.1117,0.3913,90.31
1178122280,(주)신한코리아,0.0098,0.0011,0.0023,0.1192,0.1841,0.0005,0.0086,0.0008,0.0005,0.0397,0.8812,-0.0087,0.0012,0.1169,0.0649,-0.1836,0.0081,-0.0078,-0.0003,0.0392,0.8415,90.16
5138150024,주식회사에스엔테크,,,,,,,,,0.0015,0.009,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.6785,89.8
3038163505,(주)윈플러스,0.0023,0.0038,0.0007,0.0017,0.001,0.0013,0.0016,0.012,0.0169,0.0942,0.4304,0.0015,-0.0031,0.001,-0.0007,0.0003,0.0003,0.0104,0.0049,0.0773,0.3362,89.55
1068674162,(주)씨씨컴퍼니,,,,,,,0.0006,0.0067,0.3491,0.406,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.3424,0.0569,0.073,89.5
5158105772,호신섬유주식회사,,,,,,,,,0.005,0.3362,0.5864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3312,0.2502,89.49
1048100766,삼덕상공(주),,,0.001,0.0053,0.0496,0.111,,0.0103,0.0138,0.106,0.4062,0.0,0.0,0.0043,0.0443,0.0614,0.0,0.0,0.0035,0.0922,0.3002,89.1
2048143390,(주)한성에프아이,0.0003,0.0006,0.0002,0.0027,0.0002,0.0006,0.0005,0.0014,0.0024,0.016,0.4665,0.0003,-0.0004,0.0025,-0.0025,0.0004,-0.0001,0.0009,0.001,0.0136,0.4505,89.09
1078675714,(주)재키에프앤씨,,,,,,,0.0022,0.0031,0.0036,0.261,0.4241,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0005,0.2574,0.1631,88.95
1918100440,(주)파인드폼,,,,,,0.0008,0.0003,0.0004,0.223,0.3067,0.3848,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0001,0.2226,0.0837,0.0781,88.55
5038140820,(주)유성산자,0.0004,0.0011,0.0005,0.0011,0.0002,0.0004,0.0016,0.0008,0.0003,0.1538,0.7444,0.0007,-0.0006,0.0006,-0.0009,0.0002,0.0012,-0.0008,-0.0005,0.1535,0.5906,88.47
2338102591,(주)에프지엘인터내셔날,,,,,,0.0009,0.002,0.0016,0.0018,0.0024,0.4988,0.0,0.0,0.0,0.0,0.0,0.0011,-0.0004,0.0002,0.0006,0.4964,88.38
2148874040,대흥엘앤케이(주),,,,,,,,0.0167,0.0154,0.7403,0.8199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013,0.7249,0.0796,88.36
1348142980,(주)해성아이다,0.0011,0.0018,0.0004,0.0007,0.0006,0.0014,0.2823,0.0298,0.0108,0.4255,0.7896,0.0007,-0.0014,0.0003,-0.0001,0.0008,0.2809,-0.2525,-0.019,0.4147,0.3641,88.16
1198166722,(주)에프앤아이코리아,,,,,,,,,0.0019,0.1424,0.5155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1405,0.3731,87.89
5038175033,(주)청운다이텍,,,,,0.0051,0.0087,0.3477,0.0025,0.0158,0.2366,0.3415,0.0,0.0,0.0,0.0,0.0036,0.339,-0.3452,0.0133,0.2208,0.1049,87.76
2648112905,주식회사더퍼스트모드,,,,,,,,,0.0096,0.1045,0.5076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0949,0.4031,87.71
1378605669,(주)인터비젼,,,,,,,,0.0004,0.0008,0.0232,0.3687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0224,0.3455,87.54
2208124809,서양무역주식회사,,,,,,,0.0039,0.0027,0.0027,0.0139,0.5248,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.0,0.0112,0.5109,87.21
1078662238,(주)대한글로벌코리아,0.0007,,,,,,,0.0126,0.0003,0.1134,0.6703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0123,0.1131,0.5569,86.34
