사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
5148116510,(주)평안,0.6271,0.0163,0.3771,0.0299,0.0338,0.28,0.0499,0.0016,0.0448,0.1142,0.8688,-0.6108,0.3608,-0.3472,0.0039,0.2462,-0.2301,-0.0483,0.0432,0.0694,0.7546,95.96,위험 (가속+임계초과)
3128137035,칠성섬유(주),0.0208,0.0934,0.0935,0.1615,0.0385,0.0298,0.0359,0.0053,0.0929,0.1704,0.8469,0.0726,0.0001,0.068,-0.123,-0.0087,0.0061,-0.0306,0.0876,0.0775,0.6765,95.58,위험 (3년연속상승+임계초과)
5028632415,주)서원테크,,,,,0.0002,0.0105,0.0081,0.0271,0.0404,0.1355,0.8647,0.0,0.0,0.0,0.0,0.0103,-0.0024,0.019,0.0133,0.0951,0.7292,95.54,위험 (가속+임계초과)
1398139141,성진섬유산업(주),0.0118,0.004,0.0006,0.0012,0.0005,0.0007,0.0023,0.0021,0.0036,0.4835,0.8676,-0.0078,-0.0034,0.0006,-0.0007,0.0002,0.0016,-0.0002,0.0015,0.4799,0.3841,95.52,위험 (3년연속상승+임계초과)
2148874040,대흥엘앤케이(주),,,,,,,,0.0035,0.0425,0.7896,0.8814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.7471,0.0918,95.4,위험 (3년연속상승+임계초과)
1328176543,(주)비에프엘,0.0004,0.0009,0.0181,0.0212,0.0057,0.0153,0.305,0.0468,0.5513,0.8768,0.9199,0.0005,0.0172,0.0031,-0.0155,0.0096,0.2897,-0.2582,0.5045,0.3255,0.0431,95.31,위험 (3년연속상승+임계초과)
2148104230,주식회사에프.지.에프,0.0106,0.0021,0.0006,0.0038,0.0003,0.0005,0.0006,0.0002,0.0926,0.6613,0.7967,-0.0085,-0.0015,0.0032,-0.0035,0.0002,0.0001,-0.0004,0.0924,0.5687,0.1354,94.51,위험 (3년연속상승+임계초과)
2068608375,에스알디자인컴퍼니(주),,,,,,,,0.0005,0.6769,0.8351,0.8681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6764,0.1582,0.033,94.33,위험 (3년연속상승+임계초과)
1308141067,(주)이앤더블유(E&W),0.0004,0.0009,0.0013,0.0017,0.0005,0.0013,0.0003,0.001,0.0118,0.3136,0.7504,0.0005,0.0004,0.0004,-0.0012,0.0008,-0.001,0.0007,0.0108,0.3018,0.4368,93.86,위험 (가속+임계초과)
2118894159,주식회사키스인터내셔날,,,,,,,0.0008,0.0007,0.028,0.4752,0.7546,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0273,0.4472,0.2794,93.86,위험 (3년연속상승+임계초과)
