사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
5058140281,파이토지노믹스주식회사,,,,,,,,0.0021,0.1754,0.442,0.6873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733,0.2666,0.2453,98.39
4398102355,주식회사파인,,,,,,,,0.0023,0.0392,0.5318,0.8897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369,0.4926,0.3579,98.35
7718701344,주식회사경은일오삼,,,,,,,0.0008,0.0111,0.0961,0.5571,0.7312,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.085,0.461,0.1741,98.15
1308147339,(주)신광엠앤피,0.0023,0.0042,0.0013,0.0011,0.0035,0.0041,0.0004,0.0162,0.0641,0.3592,0.7027,0.0019,-0.0029,-0.0002,0.0024,0.0006,-0.0037,0.0158,0.0479,0.2951,0.3435,98.1
1228152786,(주)샤바스,0.0161,0.0274,0.0063,0.0035,0.0159,0.0014,0.0008,0.0215,0.3192,0.3438,0.892,0.0113,-0.0211,-0.0028,0.0124,-0.0145,-0.0006,0.0207,0.2977,0.0246,0.5482,97.97
3128620771,제일폴리캠주식회사,0.0008,0.0007,0.0004,0.0008,0.0004,0.0005,0.001,0.0082,0.0495,0.1236,0.6885,-0.0001,-0.0003,0.0004,-0.0004,0.0001,0.0005,0.0072,0.0413,0.0741,0.5649,97.77
1288647888,주식회사투두피엘씨,,,,,0.0005,0.0101,0.0053,0.1839,0.2302,0.3475,0.6582,0.0,0.0,0.0,0.0,0.0096,-0.0048,0.1786,0.0463,0.1173,0.3107,97.42
1358105014,(주)하나윈,0.0003,0.0005,0.0003,0.0006,0.0005,0.0195,0.0034,0.0076,0.1225,0.164,0.6545,0.0002,-0.0002,0.0003,-0.0001,0.019,-0.0161,0.0042,0.1149,0.0415,0.4905,97.36
3058108153,(주)이지,0.0003,0.0145,0.0987,0.0142,0.1114,0.0319,0.0378,0.0034,0.0689,0.1219,0.6333,0.0142,0.0842,-0.0845,0.0972,-0.0795,0.0059,-0.0344,0.0655,0.053,0.5114,97.28
1758801164,효성화학(주),,,,,0.0004,0.0024,0.0043,0.0039,0.0562,0.5526,0.6541,0.0,0.0,0.0,0.0,0.002,0.0019,-0.0004,0.0523,0.4964,0.1015,97.22
1238170813,(주)하나,0.0004,0.0007,0.0004,0.0008,0.0006,0.0002,0.0134,0.0136,0.0964,0.3074,0.5186,0.0003,-0.0003,0.0004,-0.0002,-0.0004,0.0132,0.0002,0.0828,0.211,0.2112,97.0
2158198804,(주)휴비스,0.0005,0.0011,0.0052,0.0024,0.0068,0.06,0.0005,0.0143,0.0335,0.3752,0.5876,0.0006,0.0041,-0.0028,0.0044,0.0532,-0.0595,0.0138,0.0192,0.3417,0.2124,96.91
1318668972,(주)레인보우,,,,0.0014,0.0211,0.3218,0.0048,0.0067,0.0714,0.4171,0.5324,0.0,0.0,0.0,0.0197,0.3007,-0.317,0.0019,0.0647,0.3457,0.1153,96.82
6318800743,주식회사제이브이코리아,,,,,,,0.0013,0.0138,0.0537,0.1358,0.5247,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0399,0.0821,0.3889,96.67
2228133769,디케이엘(주),,,,,,0.0009,0.0007,0.0017,0.0415,0.1638,0.4756,0.0,0.0,0.0,0.0,0.0,-0.0002,0.001,0.0398,0.1223,0.3118,96.4
6068104711,(주)금양,0.0136,0.0014,0.0285,0.0033,0.0097,0.0109,0.0329,0.0091,0.0209,0.2189,0.5044,-0.0122,0.0271,-0.0252,0.0064,0.0012,0.022,-0.0238,0.0118,0.198,0.2855,96.31
