사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
5058140281,파이토지노믹스주식회사,,,,,,,,0.0039,0.2492,0.4514,0.9918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2453,0.2022,0.5404,98.41,위험 (3년연속상승+임계초과)
1758801164,효성화학(주),,,,,0.0004,0.0004,0.0016,0.0032,0.0711,0.4074,0.9848,0.0,0.0,0.0,0.0,0.0,0.0012,0.0016,0.0679,0.3363,0.5774,98.01,위험 (가속+임계초과)
7718701344,주식회사경은일오삼,,,,,,,0.0011,0.0126,0.2522,0.4145,0.9686,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,0.2396,0.1623,0.5541,97.99,위험 (3년연속상승+임계초과)
1358105014,(주)하나윈,0.0003,0.0006,0.0006,0.0011,0.0008,0.0414,0.0059,0.0044,0.211,0.3488,0.9645,0.0003,0.0,0.0005,-0.0003,0.0406,-0.0355,-0.0015,0.2066,0.1378,0.6157,97.98,위험 (3년연속상승+임계초과)
1238170813,(주)하나,0.0002,0.0007,0.0006,0.0009,0.0002,0.0001,0.0248,0.0135,0.1208,0.2916,0.9644,0.0005,-0.0001,0.0003,-0.0007,-0.0001,0.0247,-0.0113,0.1073,0.1708,0.6728,97.92,위험 (가속+임계초과)
1288141384,(주)켐스필드코리아,,0.0019,0.0057,0.0031,0.0101,0.0027,0.0039,0.0062,0.1596,0.74,0.9767,0.0,0.0038,-0.0026,0.007,-0.0074,0.0012,0.0023,0.1534,0.5804,0.2367,97.86,위험 (3년연속상승+임계초과)
1228152786,(주)샤바스,0.0034,0.0064,0.004,0.0035,0.016,0.0011,0.0008,0.0394,0.0752,0.2878,0.9885,0.003,-0.0024,-0.0005,0.0125,-0.0149,-0.0003,0.0386,0.0358,0.2126,0.7007,97.82,위험 (가속+임계초과)
1358616587,(주)셀레스트라,,,,,,0.0112,0.2844,0.0022,0.126,0.2444,0.9305,0.0,0.0,0.0,0.0,0.0,0.2732,-0.2822,0.1238,0.1184,0.6861,97.47,위험 (3년연속상승+임계초과)
1318668972,(주)레인보우,,,,0.0031,0.0389,0.3864,0.0053,0.0079,0.0923,0.5474,0.9419,0.0,0.0,0.0,0.0358,0.3475,-0.3811,0.0026,0.0844,0.4551,0.3945,97.45,위험 (3년연속상승+임계초과)
1288612939,주식회사이수씨엔피,0.1807,,,,,,,0.0077,0.1078,0.5031,0.9152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1001,0.3953,0.4121,97.3,위험 (가속+임계초과)
2138175178,(주)화진바이오코스메틱,0.0029,0.1864,0.0074,0.0019,0.0042,0.0017,0.006,0.004,0.0688,0.3889,0.9182,0.1835,-0.179,-0.0055,0.0023,-0.0025,0.0043,-0.002,0.0648,0.3201,0.5293,97.18,위험 (가속+임계초과)
1058103956,주식회사풍농,0.0025,0.0009,0.028,0.0291,0.0847,0.4584,0.0011,0.0041,0.1022,0.2271,0.8923,-0.0016,0.0271,0.0011,0.0556,0.3737,-0.4573,0.003,0.0981,0.1249,0.6652,97.18,위험 (가속+임계초과)
3128620771,제일폴리캠주식회사,0.0005,0.001,0.0005,0.0012,0.0003,0.0009,0.0012,0.0093,0.0444,0.1254,0.9641,0.0005,-0.0005,0.0007,-0.0009,0.0006,0.0003,0.0081,0.0351,0.081,0.8387,97.17,위험 (가속+임계초과)
6068104711,(주)금양,0.0033,0.004,0.0337,0.0035,0.027,0.004,0.012,0.0083,0.0277,0.3204,0.9602,0.0007,0.0297,-0.0302,0.0235,-0.023,0.008,-0.0037,0.0194,0.2927,0.6398,97.12,위험 (가속+임계초과)
1308147339,(주)신광엠앤피,0.0016,0.002,0.001,0.001,0.0071,0.0027,0.0006,0.0204,0.0493,0.2752,0.9348,0.0004,-0.001,0.0,0.0061,-0.0044,-0.0021,0.0198,0.0289,0.2259,0.6596,97.02,위험 (가속+임계초과)
1308145383,(주)아폴로산업,0.0897,0.0089,0.0067,0.004,0.0017,0.0023,0.0007,0.0045,0.1274,0.2282,0.8767,-0.0808,-0.0022,-0.0027,-0.0023,0.0006,-0.0016,0.0038,0.1229,0.1008,0.6485,97.0,위험 (3년연속상승+임계초과)
5038108816,(주)에스아이리소스,0.0106,0.0029,0.0556,0.0032,0.2615,0.0175,0.0012,0.0003,0.028,0.1908,0.9264,-0.0077,0.0527,-0.0524,0.2583,-0.244,-0.0163,-0.0009,0.0277,0.1628,0.7356,96.93,위험 (가속+임계초과)
6318800743,주식회사제이브이코리아,,,,,,,0.0014,0.0106,0.0692,0.0933,0.9851,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0586,0.0241,0.8918,96.9,위험 (3년연속상승+임계초과)
3058108153,(주)이지,0.0002,0.023,0.0667,0.0085,0.1454,0.0087,0.1021,0.0016,0.1101,0.1354,0.9622,0.0228,0.0437,-0.0582,0.1369,-0.1367,0.0934,-0.1005,0.1085,0.0253,0.8268,96.9,위험 (3년연속상승+임계초과)
1348100563,풍림유화공업(주),0.0004,0.0008,0.0004,0.0014,0.002,0.0214,0.0898,0.0447,0.0963,0.2828,0.886,0.0004,-0.0004,0.001,0.0006,0.0194,0.0684,-0.0451,0.0516,0.1865,0.6032,96.86,위험 (가속+임계초과)
1348163156,(주)우성패키징,0.002,0.0015,0.0009,0.0011,0.0006,0.0008,0.0004,0.0004,0.0858,0.2714,0.8561,-0.0005,-0.0006,0.0002,-0.0005,0.0002,-0.0004,0.0,0.0854,0.1856,0.5847,96.79,위험 (가속+임계초과)
1308601717,(주)리치코스,0.0026,0.0004,0.0002,0.0001,0.0008,0.0001,0.0189,0.0022,0.152,0.4355,0.8397,-0.0022,-0.0002,-0.0001,0.0007,-0.0007,0.0188,-0.0167,0.1498,0.2835,0.4042,96.78,위험 (가속+임계초과)
2228133769,디케이엘(주),,,,,,0.002,0.0007,0.0018,0.0622,0.1824,0.8604,0.0,0.0,0.0,0.0,0.0,-0.0013,0.0011,0.0604,0.1202,0.678,96.65,위험 (가속+임계초과)
1378601421,(주)신일베스텍,,0.0022,0.0327,0.0288,0.0042,0.0005,0.0005,0.0011,0.0553,0.1573,0.8609,0.0,0.0305,-0.0039,-0.0246,-0.0037,0.0,0.0006,0.0542,0.102,0.7036,96.62,위험 (가속+임계초과)
6108630246,에스케이어드밴스드주식회사,0.0092,0.0272,0.0006,0.0008,0.0008,0.0006,0.0005,0.0016,0.1085,0.603,0.8468,0.018,-0.0266,0.0002,0.0,-0.0002,-0.0001,0.0011,0.1069,0.4945,0.2438,96.6,위험 (3년연속상승+임계초과)
