사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
6948800967,주식회사상은스틸,,,,,,,0.0112,0.0125,0.0165,0.2339,0.8944,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.004,0.2174,0.6605,98.35
1408162109,(주)에이치브이엠,0.0009,0.0007,0.0048,0.0011,0.0009,0.001,0.1334,0.0027,0.0267,0.0563,0.4964,-0.0002,0.0041,-0.0037,-0.0002,0.0001,0.1324,-0.1307,0.024,0.0296,0.4401,96.9
1198107494,롯데알미늄주식회사,0.0037,0.0042,0.006,0.0227,0.0144,0.0075,0.0105,0.0051,0.036,0.283,0.4164,0.0005,0.0018,0.0167,-0.0083,-0.0069,0.003,-0.0054,0.0309,0.247,0.1334,96.85
1268133215,대일선재(주),,,,0.0008,0.0009,0.0122,0.0234,0.0023,0.0345,0.1054,0.4104,0.0,0.0,0.0,0.0001,0.0113,0.0112,-0.0211,0.0322,0.0709,0.305,96.81
6068650831,(주)티에스에스,,,,,,,,0.0018,0.0168,0.0853,0.3742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0685,0.2889,96.31
1238141303,성산강업(주),,,,,,,,0.0008,0.0168,0.0239,0.4728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0071,0.4489,96.03
6088168647,(주)화인베스틸,0.0009,0.0027,0.0108,0.0021,0.0013,0.1198,0.0836,0.0035,0.1882,0.2577,0.335,0.0018,0.0081,-0.0087,-0.0008,0.1185,-0.0362,-0.0801,0.1847,0.0695,0.0773,95.32
6108106722,한주라이트메탈(주),0.1338,0.1304,0.0076,0.0003,0.0015,0.0005,0.0012,0.0025,0.029,0.0607,0.2435,-0.0034,-0.1228,-0.0073,0.0012,-0.001,0.0007,0.0013,0.0265,0.0317,0.1828,94.27
6038108305,광진실업(주),0.0008,0.0057,0.0031,0.0002,0.0028,0.0115,0.077,0.0015,0.0084,0.0358,0.2481,0.0049,-0.0026,-0.0029,0.0026,0.0087,0.0655,-0.0755,0.0069,0.0274,0.2123,94.05
3228101913,포스코에이치와이클린메탈주식회사,,,,,,,,,0.0074,0.3997,0.5175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3923,0.1178,93.86
1348130669,백상종합철강(주),0.0003,0.0009,0.0042,0.0101,0.016,0.0856,0.0117,0.0012,0.025,0.0689,0.1983,0.0006,0.0033,0.0059,0.0059,0.0696,-0.0739,-0.0105,0.0238,0.0439,0.1294,93.74
2978602552,에스에프메탈(주),,,,,,,,,0.0515,0.6163,0.6611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5648,0.0448,93.31
2768600881,글로벌디씨,,,,,,,,,0.005,0.0307,0.4283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0257,0.3976,92.89
8448801009,주식회사경진철강,,,,,,,,,0.0034,0.0095,0.5903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.5808,92.85
8728700916,주식회사삼우전자,,,,,,,,,0.0015,0.0166,0.4203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151,0.4037,92.66
6158197102,(주)디에스에이,,,,,,,,,0.0036,0.2545,0.3618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509,0.1073,92.48
5068115728,주식회사융진,0.0007,0.0018,0.0082,0.0979,0.043,0.0098,0.0973,0.0061,0.014,0.0984,0.1483,0.0011,0.0064,0.0897,-0.0549,-0.0332,0.0875,-0.0912,0.0079,0.0844,0.0499,92.05
1348728073,(주)대한슬리팅,,,,,,,,,0.0032,0.0654,0.2717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0622,0.2063,91.57
2868102237,유한산업주식회사,,,,,,,,,0.0037,0.0207,0.1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.1758,89.94
4708701873,에너지머티리얼즈주식회사,,,,,,,,,0.0102,0.1972,0.2294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.0322,89.88
1078680804,주식회사굿스틸,0.0002,0.0005,0.0007,0.0004,0.1153,0.0469,0.0008,0.0005,0.0003,0.0949,0.3478,0.0003,0.0002,-0.0003,0.1149,-0.0684,-0.0461,-0.0003,-0.0002,0.0946,0.2529,89.88
4168170578,(주)동후,,,,,,0.0007,0.0157,0.0089,0.0425,0.0575,0.0869,0.0,0.0,0.0,0.0,0.0,0.015,-0.0068,0.0336,0.015,0.0294,88.95
6108159229,(주)금강에스엠,,,,,,,,,0.0008,0.0481,0.1438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0473,0.0957,88.67
1398104977,범양금속공업(주),0.0142,0.0044,0.0046,0.0003,0.0014,0.108,0.0048,0.0335,0.0102,0.281,0.4202,-0.0098,0.0002,-0.0043,0.0011,0.1066,-0.1032,0.0287,-0.0233,0.2708,0.1392,88.33
6068102902,고려특수선재(주),0.0005,0.0001,0.0008,0.0001,0.0006,0.0004,0.0277,0.0085,0.0005,0.2425,0.3609,-0.0004,0.0007,-0.0007,0.0005,-0.0002,0.0273,-0.0192,-0.008,0.242,0.1184,87.81
1138117844,주식회사한립,0.0007,0.0017,0.0071,0.0056,0.0051,0.0033,0.0826,0.0149,0.0085,0.1041,0.3144,0.001,0.0054,-0.0015,-0.0005,-0.0018,0.0793,-0.0677,-0.0064,0.0956,0.2103,87.69
8188702322,현대아이엠씨주식회사,,,,,,,,,0.0028,0.0568,0.1198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.063,87.49
5058151696,(주)티에스스틸,0.0005,0.0009,0.0009,0.0004,0.0026,0.0038,0.0006,0.0106,0.004,0.0323,0.3515,0.0004,0.0,-0.0005,0.0022,0.0012,-0.0032,0.01,-0.0066,0.0283,0.3192,87.44
1388137965,(주)티엠테크,,,,,,0.0013,0.0014,0.0047,0.0236,0.0283,0.0645,0.0,0.0,0.0,0.0,0.0,0.0001,0.0033,0.0189,0.0047,0.0362,87.4
5138169275,(주)비전,,,,,0.001,0.0316,0.056,0.0231,0.0161,0.1082,0.2693,0.0,0.0,0.0,0.0,0.0306,0.0244,-0.0329,-0.007,0.0921,0.1611,86.92
1898702199,현대아이에스씨주식회사,,,,,,,,,0.0018,0.0105,0.0951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0846,86.24
5148106365,대동금속(주),0.0021,0.0003,0.0455,0.0019,0.0016,0.002,0.002,0.0046,0.0021,0.01,0.2294,-0.0018,0.0452,-0.0436,-0.0003,0.0004,0.0,0.0026,-0.0025,0.0079,0.2194,85.83
5148132693,(주)우전,0.0005,0.0003,0.0011,0.0001,0.0002,0.0002,0.0004,0.0003,0.0001,0.0009,0.1899,-0.0002,0.0008,-0.001,0.0001,0.0,0.0002,-0.0001,-0.0002,0.0008,0.189,85.75
4398800545,주식회사티오엠스틸,,,,,,,,0.0051,0.2733,0.2542,0.7831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2682,-0.0191,0.5289,85.64
1318163706,삼호제강주식회사,0.0002,0.0003,0.0007,0.0002,0.0022,0.0003,0.0007,0.0003,0.0002,0.0031,0.134,0.0001,0.0004,-0.0005,0.002,-0.0019,0.0004,-0.0004,-0.0001,0.0029,0.1309,85.09
3128609873,(주)삼영메탈,0.0005,0.0006,0.0027,0.0013,0.0713,0.0018,0.0021,0.019,0.0176,0.0251,0.1725,0.0001,0.0021,-0.0014,0.07,-0.0695,0.0003,0.0169,-0.0014,0.0075,0.1474,84.98
5068110984,주식회사서강금속,0.0051,0.0003,0.0005,0.0001,0.0002,0.0003,0.0022,0.0085,0.0006,0.0549,0.1676,-0.0048,0.0002,-0.0004,0.0001,0.0001,0.0019,0.0063,-0.0079,0.0543,0.1127,84.92
1318648049,(주)가온신소재,,,,,,,,0.0019,0.0004,0.0025,0.1783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.0021,0.1758,84.64
2728101786,케이잼주식회사,,,,,,,,0.0071,0.4874,0.311,0.6353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4803,-0.1764,0.3243,84.4
1148192943,주식회사이스트밸리티앤에스,0.0032,0.1403,0.0047,0.0016,0.1226,0.1403,0.1566,0.0061,0.0669,0.0074,0.496,0.1371,-0.1356,-0.0031,0.121,0.0177,0.0163,-0.1505,0.0608,-0.0595,0.4886,84.15
5058105571,(주)지에스피,0.0139,0.0118,0.008,0.0175,0.0375,0.0263,0.014,0.0144,0.2276,0.1789,0.4334,-0.0021,-0.0038,0.0095,0.02,-0.0112,-0.0123,0.0004,0.2132,-0.0487,0.2545,84.13
5068179611,홍덕산업(주),0.0001,0.0002,0.0004,0.0001,0.0002,0.0002,0.0049,0.0005,0.0044,0.008,0.0302,0.0001,0.0002,-0.0003,0.0001,0.0,0.0047,-0.0044,0.0039,0.0036,0.0222,83.9
1348100961,대주코레스(주),0.0008,0.0014,0.0124,0.0063,0.0014,0.0029,0.0015,0.0038,0.0027,0.0033,0.1661,0.0006,0.011,-0.0061,-0.0049,0.0015,-0.0014,0.0023,-0.0011,0.0006,0.1628,83.85
4108105725,부국철강(주),0.0015,0.0033,0.0016,0.0135,0.0046,0.0055,0.0054,0.0005,0.0014,0.0063,0.0333,0.0018,-0.0017,0.0119,-0.0089,0.0009,-0.0001,-0.0049,0.0009,0.0049,0.027,83.82
3048120514,주식회사지알엠,0.0208,0.0651,0.0085,0.0006,0.0005,0.0005,0.0005,0.001,0.0005,0.0012,0.1401,0.0443,-0.0566,-0.0079,-0.0001,0.0,0.0,0.0005,-0.0005,0.0007,0.1389,83.62
6098127106,태형금속공업(주),0.0001,0.0001,0.0013,0.0001,0.0002,0.0002,0.0005,0.0011,0.0002,0.001,0.1398,0.0,0.0012,-0.0012,0.0001,0.0,0.0003,0.0006,-0.0009,0.0008,0.1388,83.19
6218100301,고려강선주식회사,0.0032,0.0019,0.0018,0.0005,0.024,0.0016,0.0116,0.0278,0.0081,0.0792,0.1334,-0.0013,-0.0001,-0.0013,0.0235,-0.0224,0.01,0.0162,-0.0197,0.0711,0.0542,83.14
3018177357,주식회사에코비트프리텍,0.0005,0.0006,0.001,0.0002,0.0005,0.0769,0.0008,0.0295,0.0005,0.0501,0.1263,0.0001,0.0004,-0.0008,0.0003,0.0764,-0.0761,0.0287,-0.029,0.0496,0.0762,82.77
1168100532,문배철강(주),0.0002,0.0029,0.0005,0.0002,0.0004,0.0078,0.0118,0.0005,0.0055,0.0392,0.0397,0.0027,-0.0024,-0.0003,0.0002,0.0074,0.004,-0.0113,0.005,0.0337,0.0005,82.61
