사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
4398800545,주식회사티오엠스틸,,,,,,,,0.0931,0.4196,0.5195,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3265,0.0999,0.0352,95.71,위험 (3년연속상승+임계초과)
5148132693,(주)우전,0.0213,0.0211,0.0211,0.0211,0.0211,0.0211,0.0211,0.0211,0.0213,0.1682,0.3711,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.1469,0.2029,95.31,주의 (가속+임계근접)
6038101199,동양야금공업(주),0.0211,0.0236,0.0245,0.0214,0.0212,0.0212,0.0693,0.0323,0.2113,0.2494,0.3429,0.0025,0.0009,-0.0031,-0.0002,0.0,0.0481,-0.037,0.179,0.0381,0.0935,94.15,주의 (3년연속상승+임계근접)
1348184864,(주)알테크노메탈,0.0211,0.0211,0.1854,0.0212,0.0903,0.0237,0.0224,0.0222,0.1239,0.2912,0.3337,0.0,0.1643,-0.1642,0.0691,-0.0666,-0.0013,-0.0002,0.1017,0.1673,0.0425,94.01,주의 (3년연속상승+임계근접)
6088168647,(주)화인베스틸,0.0217,0.0211,0.0211,0.0217,0.0218,0.1951,0.2571,0.0217,0.0476,0.2791,0.3266,-0.0006,0.0,0.0006,0.0001,0.1733,0.062,-0.2354,0.0259,0.2315,0.0475,93.63,주의 (3년연속상승+임계근접)
5068110984,주식회사서강금속,0.024,0.0211,0.0212,0.0211,0.0211,0.0211,0.0253,0.0264,0.1675,0.2322,0.2932,-0.0029,0.0001,-0.0001,0.0,0.0,0.0042,0.0011,0.1411,0.0647,0.061,92.68,관찰 (3년연속상승)
8728700916,주식회사삼우전자,,,,,,,,,0.0915,0.2582,0.3763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.1181,91.92,주의 (최근2년상승+임계근접)
5138116496,아주스틸(주),0.0212,0.0211,0.0211,0.0211,0.0211,0.0213,0.0211,0.0213,0.0349,0.2232,0.2665,-0.0001,0.0,0.0,0.0,0.0002,-0.0002,0.0002,0.0136,0.1883,0.0433,91.83,관찰 (3년연속상승)
4168152508,주식회사에스엔엔씨,0.0212,0.215,0.0211,0.0211,0.0211,0.0211,0.0211,0.0211,0.0251,0.253,0.2727,0.1938,-0.1939,0.0,0.0,0.0,0.0,0.0,0.004,0.2279,0.0197,91.8,관찰 (3년연속상승)
2978602552,에스에프메탈(주),,,,,,,,,0.2278,0.4968,0.5195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269,0.0227,91.65,위험 (최근2년상승+임계초과)
4168102162,주식회사포에이스,,,,,,0.0734,0.0211,0.1397,0.1831,0.2576,0.2798,0.0,0.0,0.0,0.0,0.0,-0.0523,0.1186,0.0434,0.0745,0.0222,91.57,관찰 (3년연속상승)
1348728073,(주)대한슬리팅,,,,,,,,,0.1955,0.2799,0.3935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844,0.1136,91.31,주의 (최근가속+임계근접)
6098105081,삼현철강(주),0.0211,0.028,0.0212,0.0213,0.0211,0.0211,0.0211,0.0213,0.1675,0.1684,0.2574,0.0069,-0.0068,0.0001,-0.0002,0.0,0.0,0.0002,0.1462,0.0009,0.089,91.14,관찰 (3년연속상승)
5138169275,(주)비전,,,,,0.0742,0.1613,0.2401,0.0383,0.0294,0.2393,0.4142,0.0,0.0,0.0,0.0,0.0871,0.0788,-0.2018,-0.0089,0.2099,0.1749,89.76,주의 (최근2년상승+임계근접)
1178144042,주식회사우현피엔티,0.0215,0.0386,0.0211,0.0211,0.0234,,,0.0211,0.0225,0.0274,0.1953,0.0171,-0.0175,0.0,0.0023,0.0,0.0,0.0,0.0014,0.0049,0.1679,88.84,관찰 (가속)
1268133215,대일선재(주),,,,0.0744,0.0212,0.0298,0.0366,0.0215,0.0221,0.1455,0.2005,0.0,0.0,0.0,-0.0532,0.0086,0.0068,-0.0151,0.0006,0.1234,0.055,88.29,관찰 (3년연속상승)
3118111575,주식회사에스엠아이,0.0216,0.0211,0.1508,0.0212,0.0211,0.0904,0.1433,0.0211,0.0211,0.0363,0.2217,-0.0005,0.1297,-0.1296,-0.0001,0.0693,0.0529,-0.1222,0.0,0.0152,0.1854,87.68,관찰 (최근가속)
3048120514,주식회사지알엠,0.1506,0.276,0.0211,0.0211,0.0211,0.0261,0.0211,0.0261,0.1675,0.1708,0.1911,0.1254,-0.2549,0.0,0.0,0.005,-0.005,0.005,0.1414,0.0033,0.0203,87.26,관찰 (3년연속상승)
1148192943,주식회사이스트밸리티앤에스,0.0234,0.3208,0.0214,0.0211,0.1939,0.2643,0.2436,0.0217,0.0284,0.0432,0.1755,0.2974,-0.2994,-0.0003,0.1728,0.0704,-0.0207,-0.2219,0.0067,0.0148,0.1323,87.26,관찰 (가속)
6068650831,(주)티에스에스,,,,,,,,0.1519,0.0709,0.2504,0.3618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.081,0.1795,0.1114,86.91,주의 (최근2년상승+임계근접)
2208742852,비엠스틸(주),0.0217,0.0376,0.0211,0.0211,0.3144,0.1581,0.0403,0.0212,0.0211,0.1676,0.2731,0.0159,-0.0165,0.0,0.2933,-0.1563,-0.1178,-0.0191,-0.0001,0.1465,0.1055,86.71,관찰 (최근2년상승)
4108105725,부국철강(주),0.0211,0.0216,0.0212,0.0227,0.0247,0.0263,0.0211,0.0212,0.1675,0.168,0.1838,0.0005,-0.0004,0.0015,0.002,0.0016,-0.0052,0.0001,0.1463,0.0005,0.0158,86.09,관찰 (3년연속상승)
1378170675,주식회사용암고력금속,0.0211,0.0212,0.0211,0.0211,0.0211,0.0211,0.0211,0.0213,0.1773,0.1703,0.3844,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0002,0.156,-0.007,0.2141,86.01,주의 (최근급등)
8188702322,현대아이엠씨주식회사,,,,,,,,,0.2461,0.2495,0.2689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0194,85.94,관찰 (최근가속)
1138117844,주식회사한립,0.0211,0.0262,0.0217,0.0213,0.0211,0.0864,0.1506,0.0223,0.0223,0.0497,0.1881,0.0051,-0.0045,-0.0004,-0.0002,0.0653,0.0642,-0.1283,0.0,0.0274,0.1384,85.12,관찰 (최근가속)
1378140282,주식회사창성금속,0.0754,0.2312,0.0356,0.0211,0.0914,0.0366,,0.0211,0.2377,0.1641,0.4117,0.1558,-0.1956,-0.0145,0.0703,-0.0548,0.0,0.0,0.2166,-0.0736,0.2476,84.86,주의 (최근급등)
5158112496,한융금속주식회사,0.0211,0.0211,0.0211,0.0213,0.2044,0.0211,0.0211,0.0227,0.0882,0.0212,0.4019,0.0,0.0,0.0002,0.1831,-0.1833,0.0,0.0016,0.0655,-0.067,0.3807,84.67,주의 (최근급등)
6218100301,고려강선주식회사,0.1469,0.0253,0.0212,0.0212,0.1373,0.0307,0.1929,0.0263,0.0222,0.1799,0.2528,-0.1216,-0.0041,0.0,0.1161,-0.1066,0.1622,-0.1666,-0.0041,0.1577,0.0729,84.61,관찰 (최근2년상승)
1238155578,(주)신세기알테크,0.0211,0.0211,0.0213,0.0211,0.0211,0.0462,0.0277,0.0221,0.0665,0.1029,0.1675,0.0,0.0002,-0.0002,0.0,0.0251,-0.0185,-0.0056,0.0444,0.0364,0.0646,84.6,관찰 (3년연속상승)
4168113577,(주)광희,,,,,,0.0734,0.1184,0.0506,0.0211,0.0854,0.2495,0.0,0.0,0.0,0.0,0.0,0.045,-0.0678,-0.0295,0.0643,0.1641,84.47,관찰 (최근가속)
5038119744,세신금속공업주식회사,0.0211,0.0211,0.0211,0.0211,0.0253,0.0292,0.0211,0.0215,0.0249,0.025,0.1676,0.0,0.0,0.0,0.0042,0.0039,-0.0081,0.0004,0.0034,0.0001,0.1426,84.01,관찰 (3년연속상승)
3758600553,주식회사효성철강,,,,,,,0.0734,0.0211,0.0227,0.0211,0.3349,0.0,0.0,0.0,0.0,0.0,0.0,-0.0523,0.0016,-0.0016,0.3138,83.96,주의 (최근급등)
5058105571,(주)지에스피,0.1173,0.1115,0.1036,0.1336,0.1347,0.1219,0.1115,0.1052,0.3978,0.3032,0.4255,-0.0058,-0.0079,0.03,0.0011,-0.0128,-0.0104,-0.0063,0.2926,-0.0946,0.1223,83.8,주의 (최근급등)
1318615946,(주)엠씨에이,,,,,,,,0.0734,0.2957,0.0623,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2223,-0.2334,0.3097,83.78,주의 (최근급등)
1378171465,주식회사포나인,0.0213,0.0212,0.0212,0.0211,0.0211,0.0211,0.0211,0.0212,0.0396,0.1706,0.171,-0.0001,0.0,-0.0001,0.0,0.0,0.0,0.0001,0.0184,0.131,0.0004,83.78,관찰 (3년연속상승)
1348134990,(주)서울경금속,0.0211,0.0211,0.0211,0.0211,0.0211,0.0211,0.0211,0.022,0.0513,0.1675,0.1682,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0293,0.1162,0.0007,83.64,관찰 (3년연속상승)
1848100122,주식회사삼덕피앤씨,,0.197,0.3235,0.0807,0.0919,0.0447,0.039,0.0245,0.0238,0.0387,0.2035,0.0,0.1265,-0.2428,0.0112,-0.0472,-0.0057,-0.0145,-0.0007,0.0149,0.1648,83.58,관찰 (최근가속)
1398104977,범양금속공업(주),0.0349,0.0339,0.0211,0.0211,0.0213,0.0494,0.0216,0.0472,0.0221,0.2231,0.2477,-0.001,-0.0128,0.0,0.0002,0.0281,-0.0278,0.0256,-0.0251,0.201,0.0246,83.49,관찰 (최근2년상승)
4168150892,(주)포렌,,,,,,0.0752,0.1014,0.1439,0.4075,0.2553,0.3813,0.0,0.0,0.0,0.0,0.0,0.0262,0.0425,0.2636,-0.1522,0.126,82.94,주의 (최근급등)
6098195021,세운MPC주식회사,0.023,,,,,,,0.0574,0.1725,0.17,0.2815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1151,-0.0025,0.1115,82.71,주의 (최근급등)
6068102902,고려특수선재(주),0.0211,0.0211,0.0211,0.0211,0.0211,0.0211,0.1118,0.0438,0.0212,0.1261,0.2102,0.0,0.0,0.0,0.0,0.0,0.0907,-0.068,-0.0226,0.1049,0.0841,82.53,관찰 (최근2년상승)
2728101786,케이잼주식회사,,,,,,,,0.1754,0.4,0.3961,0.3991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2246,-0.0039,0.003,82.5,보통
2648102601,한국회가내스주식회사,0.0231,0.0211,0.0211,0.0211,0.0874,0.0211,0.0952,0.0323,0.0211,0.0867,0.1999,-0.002,0.0,0.0,0.0663,-0.0663,0.0741,-0.0629,-0.0112,0.0656,0.1132,82.05,관찰 (최근가속)
1248191806,주식회사태흥케이블,,,,,,0.0734,0.0218,0.0551,0.0541,0.2044,0.2091,0.0,0.0,0.0,0.0,0.0,-0.0516,0.0333,-0.001,0.1503,0.0047,81.88,관찰 (최근2년상승)
3128609873,(주)삼영메탈,0.0217,0.0215,0.0211,0.0211,0.2504,0.0353,0.0211,0.0213,0.038,0.0369,0.2265,-0.0002,-0.0004,0.0,0.2293,-0.2151,-0.0142,0.0002,0.0167,-0.0011,0.1896,81.49,주의 (최근급등)
6108104267,(주)세진메탈,0.0218,0.0211,0.0211,0.0211,0.0211,0.0211,0.0211,0.0212,0.0211,0.0257,0.1744,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0001,0.0046,0.1487,81.26,관찰 (최근가속)
8648701501,디에이치스틸(주),,,,,,,0.0734,0.0278,0.1749,0.17,0.251,0.0,0.0,0.0,0.0,0.0,0.0,-0.0456,0.1471,-0.0049,0.081,81.18,주의 (최근급등)
1278166285,(주)대유스틸,0.0211,0.0338,0.0216,0.0226,0.0211,0.0211,0.0236,0.0211,0.0211,0.1675,0.1699,0.0127,-0.0122,0.001,-0.0015,0.0,0.0025,-0.0025,0.0,0.1464,0.0024,81.16,관찰 (최근2년상승)
