사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
6138105815,주식회사천보철강,0.1994,0.0635,0.1363,0.1177,0.0217,0.0058,0.0937,0.0304,0.4815,0.7889,0.955,-0.1359,0.0728,-0.0186,-0.096,-0.0159,0.0879,-0.0633,0.4511,0.3074,0.1661,98.28
1098800120,(주)창보,,,0.0023,0.0028,0.0106,0.0191,0.0053,0.0131,0.035,0.1604,0.9454,0.0,0.0,0.0005,0.0078,0.0085,-0.0138,0.0078,0.0219,0.1254,0.785,97.52
1318103066,범한공업주식회사,0.0116,0.006,0.0005,0.0003,0.0004,0.0004,0.0057,0.0063,0.0883,0.5788,0.8273,-0.0056,-0.0055,-0.0002,0.0001,0.0,0.0053,0.0006,0.082,0.4905,0.2485,97.35
5148182723,(주)영풍열처리,0.0001,0.0002,0.0001,0.0002,0.0002,0.0002,0.0174,0.0015,0.0822,0.3254,0.7896,0.0001,-0.0001,0.0001,0.0,0.0,0.0172,-0.0159,0.0807,0.2432,0.4642,97.34
6078145068,(주)에이치씨컴퍼니,0.0002,0.0005,0.0005,0.0002,0.0006,0.001,0.032,0.0091,0.0393,0.1134,0.8974,0.0003,0.0,-0.0003,0.0004,0.0004,0.031,-0.0229,0.0302,0.0741,0.784,97.06
1268621048,(주)차본,0.0007,0.0001,0.0002,0.0007,0.0294,0.4022,0.0432,0.1144,0.1899,0.362,0.759,-0.0006,0.0001,0.0005,0.0287,0.3728,-0.359,0.0712,0.0755,0.1721,0.397,96.89
5068172165,(주)대명,,,,,,0.0003,0.0014,0.0024,0.0253,0.3664,0.7728,0.0,0.0,0.0,0.0,0.0,0.0011,0.001,0.0229,0.3411,0.4064,96.82
6088609342,(주)신라이노텍,,,0.0023,0.0014,0.0032,0.0005,0.0033,0.006,0.0466,0.1374,0.6131,0.0,0.0,-0.0009,0.0018,-0.0027,0.0028,0.0027,0.0406,0.0908,0.4757,96.01
5148128767,주식회사금성스틸,0.0139,0.1072,0.0101,0.0013,0.0022,0.0011,0.0088,0.001,0.0261,0.0783,0.4426,0.0933,-0.0971,-0.0088,0.0009,-0.0011,0.0077,-0.0078,0.0251,0.0522,0.3643,94.95
6098136323,고모텍(주),0.0007,0.0008,0.0005,0.0048,0.0013,0.0005,0.0004,0.0007,0.0256,0.0914,0.4185,0.0001,-0.0003,0.0043,-0.0035,-0.0008,-0.0001,0.0003,0.0249,0.0658,0.3271,94.9
3088108021,(주)청암,0.0011,0.0001,0.0053,0.0005,0.0087,0.0699,0.0153,0.0006,0.0032,0.2823,0.4804,-0.001,0.0052,-0.0048,0.0082,0.0612,-0.0546,-0.0147,0.0026,0.2791,0.1981,94.84
6068158240,주식회사부국정밀,0.0009,0.0008,0.0025,0.0017,0.0012,0.0003,0.0018,0.0008,0.034,0.2003,0.3606,-0.0001,0.0017,-0.0008,-0.0005,-0.0009,0.0015,-0.001,0.0332,0.1663,0.1603,94.67
4178126624,화양산업(주),0.0002,0.0001,0.0036,0.0002,0.0002,0.0015,0.0011,0.0016,0.0606,0.1164,0.3378,-0.0001,0.0035,-0.0034,0.0,0.0013,-0.0004,0.0005,0.059,0.0558,0.2214,94.26
1348688133,(주)대광,0.0103,0.0013,0.0006,0.0004,0.0002,0.0017,0.0404,0.0009,0.0017,0.0065,0.9241,-0.009,-0.0007,-0.0002,-0.0002,0.0015,0.0387,-0.0395,0.0008,0.0048,0.9176,94.18
3128637234,주식회사영광와이케이엠씨,0.0794,0.0544,0.0011,0.0009,0.0009,0.0057,0.0229,0.0026,0.054,0.2224,0.3222,-0.025,-0.0533,-0.0002,0.0,0.0048,0.0172,-0.0203,0.0514,0.1684,0.0998,94.13
5048159448,주식회사백광테크,0.0011,0.0001,0.0324,0.0023,0.0011,0.0004,0.0054,0.0002,0.0006,0.1635,0.6043,-0.001,0.0323,-0.0301,-0.0012,-0.0007,0.005,-0.0052,0.0004,0.1629,0.4408,94.11
6618601415,주식회사드림스틸,,,,,,,,0.0007,0.0022,0.1178,0.4105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.1156,0.2927,93.98
1408117297,(주)대아금속,,,,,,0.0007,0.0014,0.0045,0.0056,0.0758,0.4255,0.0,0.0,0.0,0.0,0.0,0.0007,0.0031,0.0011,0.0702,0.3497,93.73
1068161298,유진크레베스주식회사,0.0087,0.0033,0.0008,0.0397,0.0032,0.0012,0.0166,0.0051,0.011,0.035,0.3403,-0.0054,-0.0025,0.0389,-0.0365,-0.002,0.0154,-0.0115,0.0059,0.024,0.3053,93.38
4108107591,(주)현성오토텍,0.0033,0.0012,0.0006,0.003,0.0009,0.0013,0.0076,0.0021,0.0088,0.0554,0.3037,-0.0021,-0.0006,0.0024,-0.0021,0.0004,0.0063,-0.0055,0.0067,0.0466,0.2483,93.12
1338136826,제이씨아이,,,,,,,,,0.0018,0.2005,0.9552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1987,0.7547,93.05
2458602342,주식회사동광산업,,,,,,,,,0.0081,0.3597,0.9516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3516,0.5919,92.99
6158182860,동창단조(주),,,,,,,,0.0002,0.0006,0.2867,0.4057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.2861,0.119,92.89
6138180075,주식회사금강에스티피,,,,,,,,0.0002,0.0014,0.1188,0.3174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.1174,0.1986,92.77
6158140313,진광모비코(주),0.0016,0.001,,,,,,,0.0119,0.1752,0.9172,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1633,0.742,92.55
3028121521,보성알앤디,,0.0003,0.0004,0.0013,0.0169,0.0067,0.0052,,0.5106,0.6717,0.95,0.0,0.0001,0.0009,0.0156,-0.0102,-0.0015,0.0,0.0,0.1611,0.2783,92.2
2908802424,주식회사사강,,,,,,,,,0.0041,0.0314,0.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273,0.9256,92.15
1338126916,경북코일센타주식회사,0.0023,0.032,0.0055,0.079,0.053,0.0072,0.0041,0.0038,0.0534,0.0892,0.2062,0.0297,-0.0265,0.0735,-0.026,-0.0458,-0.0031,-0.0003,0.0496,0.0358,0.117,92.12
6158134766,(주)대양정밀,,,,,,,,,0.0019,0.2017,0.8317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1998,0.63,92.07
1278110684,동양판넬공업(주),0.0608,0.1796,0.0242,0.0173,0.0445,0.0377,0.0143,,0.1044,0.2038,0.8716,0.1188,-0.1554,-0.0069,0.0272,-0.0068,-0.0234,0.0,0.0,0.0994,0.6678,92.01
1438103282,태광이노테크주식회사,,,,,,,,,0.0077,0.1063,0.8629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0986,0.7566,91.91
2428102969,(주)양지모터스,,,,,,,,,0.1889,0.8836,0.9529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6947,0.0693,91.8
1288151242,제이앤제이마그네틱(주),,,,,,,,,0.0035,0.0665,0.8634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.7969,91.8
2638100288,(주)드림엠앤에스,,,,,,,,0.0018,0.0022,0.1741,0.2874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.1719,0.1133,91.64
1308160711,덕성산업주식회사,,,0.0004,0.0005,0.0015,0.0005,0.0014,0.0005,0.0054,0.1391,0.2034,0.0,0.0,0.0001,0.001,-0.001,0.0009,-0.0009,0.0049,0.1337,0.0643,91.55
3088110416,길산파이프(주),0.0002,0.0002,0.0002,0.0001,0.0015,0.0038,0.0041,0.0015,0.0019,0.0419,0.2975,0.0,0.0,-0.0001,0.0014,0.0023,0.0003,-0.0026,0.0004,0.04,0.2556,91.38
1398110407,주식회사중앙플랜트,0.001,0.009,0.0038,0.0008,0.002,0.0493,0.0083,0.0006,0.0032,0.0567,0.1897,0.008,-0.0052,-0.003,0.0012,0.0473,-0.041,-0.0077,0.0026,0.0535,0.133,91.09
1058806971,하이리움산업(주),,,,,,,,,0.0041,0.1154,0.6038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1113,0.4884,90.91
1318628801,주식회사엔솔,,,,,,,,,0.0027,0.0686,0.7284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659,0.6598,90.88
6068600762,성원타공(주),,,0.0038,0.0032,0.0131,0.1772,0.1342,0.0073,0.0172,0.0247,0.1969,0.0,0.0,-0.0006,0.0099,0.1641,-0.043,-0.1269,0.0099,0.0075,0.1722,90.86
1318607975,(주)평산기공,,,,,,,,,0.001,0.0437,0.7486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0427,0.7049,90.74
1408143494,(주)한성스틸레이져,,,,,,,,,0.0014,0.2047,0.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2033,0.2323,90.47
1248702396,에스디메카텍,,,0.0003,0.0002,0.0002,0.0002,0.001,0.0013,0.0022,0.0046,0.255,0.0,0.0,-0.0001,0.0,0.0,0.0008,0.0003,0.0009,0.0024,0.2504,90.35
1408184291,(주)위드지스,,,,,0.0003,0.0001,0.0022,0.0013,0.0014,0.1011,0.2084,0.0,0.0,0.0,0.0,-0.0002,0.0021,-0.0009,0.0001,0.0997,0.1073,89.85
6038120274,(주)대아선재,0.0002,0.0001,0.0001,0.0003,0.0016,0.0051,0.0018,0.0001,0.0367,0.0801,0.128,-0.0001,0.0,0.0002,0.0013,0.0035,-0.0033,-0.0017,0.0366,0.0434,0.0479,89.54
6098106566,엘티정밀,0.0011,0.0004,0.0007,0.0003,0.0001,0.0002,0.0004,0.0002,0.0008,0.0118,0.166,-0.0007,0.0003,-0.0004,-0.0002,0.0001,0.0002,-0.0002,0.0006,0.011,0.1542,88.94
1378611818,(주)제이케이텍,,0.0029,0.0053,0.0224,0.0018,0.0053,0.0066,0.0018,0.0033,0.065,0.1211,0.0,0.0024,0.0171,-0.0206,0.0035,0.0013,-0.0048,0.0015,0.0617,0.0561,88.53
1378115333,성화금속(주),0.0539,0.0077,0.0007,0.0001,0.0005,0.001,0.0056,0.0146,0.003,0.1351,0.7668,-0.0462,-0.007,-0.0006,0.0004,0.0005,0.0046,0.009,-0.0116,0.1321,0.6317,88.16
1308615036,플로우테크(주),,0.0012,0.0001,0.0012,0.0236,,,,0.0024,0.0054,0.3503,0.0,-0.0011,0.0011,0.0224,0.0,0.0,0.0,0.0,0.003,0.3449,87.97
