사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
3148155567,주식회사와코,,,,,,,,0.0583,0.1431,0.7869,0.8724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848,0.6438,0.0855,95.07,위험 (3년연속상승+임계초과)
1168111102,주식회사신기그룹,,,,,,,,0.0507,0.1076,0.5614,0.8405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0569,0.4538,0.2791,95.0,위험 (3년연속상승+임계초과)
1298139445,에이펫(주),0.7391,0.1427,0.1412,0.0683,0.1319,0.0851,0.0272,0.0268,0.0546,0.149,0.8144,-0.5964,-0.0015,-0.0729,0.0636,-0.0468,-0.0579,-0.0004,0.0278,0.0944,0.6654,93.64,위험 (가속+임계초과)
2068604364,(주)에이린텍,,,,,,,0.0505,0.0555,0.088,0.1804,0.8132,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0325,0.0924,0.6328,93.53,위험 (가속+임계초과)
3148175146,주식회사알피에스,,0.0686,0.0326,0.0796,0.0271,0.7945,0.7804,0.0207,0.0433,0.3244,0.804,0.0,-0.036,0.047,-0.0525,0.7674,-0.0141,-0.7597,0.0226,0.2811,0.4796,93.23,위험 (가속+임계초과)
6138118945,동신금속(주),0.169,0.2099,0.7426,0.1048,0.1256,0.1751,0.7988,0.3063,0.3901,0.7824,0.8361,0.0409,0.5327,-0.6378,0.0208,0.0495,0.6237,-0.4925,0.0838,0.3923,0.0537,93.0,위험 (3년연속상승+임계초과)
3128198347,(주)지아이베큠,,,,,,,0.1199,0.1924,0.2675,0.2717,0.8345,0.0,0.0,0.0,0.0,0.0,0.0,0.0725,0.0751,0.0042,0.5628,92.92,위험 (3년연속상승+임계초과)
1258119388,(주)원에스티,0.5375,0.3707,0.05,0.0305,0.0854,0.0453,0.1351,0.1094,0.1455,0.6303,0.8076,-0.1668,-0.3207,-0.0195,0.0549,-0.0401,0.0898,-0.0257,0.0361,0.4848,0.1773,92.87,위험 (3년연속상승+임계초과)
5068136193,(주)알파플러스,,,0.0486,0.0186,0.0243,0.0291,0.0783,0.0672,0.6244,0.7647,0.8202,0.0,0.0,-0.03,0.0057,0.0048,0.0492,-0.0111,0.5572,0.1403,0.0555,92.68,위험 (3년연속상승+임계초과)
1238643820,주식회사크레셈,,,,,,,0.0457,0.0344,0.1025,0.111,0.8106,0.0,0.0,0.0,0.0,0.0,0.0,-0.0113,0.0681,0.0085,0.6996,92.6,위험 (3년연속상승+임계초과)
6098163679,(주)현대티엠씨,0.3754,0.4706,0.1882,0.5355,0.3841,0.1113,0.7192,0.264,0.4373,0.8259,0.8523,0.0952,-0.2824,0.3473,-0.1514,-0.2728,0.6079,-0.4552,0.1733,0.3886,0.0264,92.5,위험 (3년연속상승+임계초과)
1238628116,주)에스이테크,,,,,,,,,0.0614,0.145,0.8778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836,0.7328,92.39,위험 (최근가속+임계초과)
1358118218,(주)나래나노텍,0.0469,0.1631,0.4135,0.3998,0.131,0.8346,0.0849,0.0328,0.4837,0.7964,0.8258,0.1162,0.2504,-0.0137,-0.2688,0.7036,-0.7497,-0.0521,0.4509,0.3127,0.0294,92.34,위험 (3년연속상승+임계초과)
7208102116,(주)스틸센트럴,,,,,,,,,0.2076,0.4055,0.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1979,0.4685,92.01,위험 (최근가속+임계초과)
4108680976,주식회사금명하이텍,,,,,0.1695,0.0829,0.8155,0.1208,0.1712,0.3951,0.775,0.0,0.0,0.0,0.0,-0.0866,0.7326,-0.6947,0.0504,0.2239,0.3799,91.98,위험 (가속+임계초과)
1248167704,(주)원익피앤이,0.0223,0.0636,0.0656,0.0646,0.0281,0.0599,0.1206,0.1276,0.5155,0.5714,0.7834,0.0413,0.002,-0.001,-0.0365,0.0318,0.0607,0.007,0.3879,0.0559,0.212,91.73,위험 (3년연속상승+임계초과)
2208703091,주식회사비에스엠신소재,,,,,,,,0.1334,0.7819,0.8824,0.8859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6485,0.1005,0.0035,91.5,위험 (3년연속상승+임계초과)
1238179338,신춘주식회사,,,,,0.1365,0.1972,,,0.1441,0.2536,0.838,0.0,0.0,0.0,0.0,0.0607,0.0,0.0,0.0,0.1095,0.5844,91.39,위험 (최근가속+임계초과)
3128170674,(주)케이엔씨,,,0.1167,0.0893,0.8088,0.614,0.3468,0.2535,0.8216,0.8472,0.8751,0.0,0.0,-0.0274,0.7195,-0.1948,-0.2672,-0.0933,0.5681,0.0256,0.0279,91.36,위험 (3년연속상승+임계초과)
