사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
3018177060,주식회사클라비스,0.0294,0.0472,0.0278,0.0371,0.1273,0.0866,0.097,0.2023,0.3446,0.4915,0.8758,0.0178,-0.0194,0.0093,0.0902,-0.0407,0.0104,0.1053,0.1423,0.1469,0.3843,98.12
2208675021,주식회사모토텍,0.4343,0.3824,0.4975,0.4136,0.4364,0.2183,0.2782,0.2285,0.3973,0.5155,0.8488,-0.0519,0.1151,-0.0839,0.0228,-0.2181,0.0599,-0.0497,0.1688,0.1182,0.3333,97.75
3018160536,주식회사폴,,0.6458,0.6403,,0.2826,0.3808,0.45,0.1861,0.4684,0.5727,0.8235,0.0,-0.0055,0.0,0.0,0.0982,0.0692,-0.2639,0.2823,0.1043,0.2508,97.34
1348688905,주식회사와우텍,,,,,,,,0.2334,0.3539,0.5121,0.8265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1205,0.1582,0.3144,97.26
1348174255,주식회사테릭,0.4984,0.5361,0.5091,0.4369,0.4106,0.3641,0.5302,0.2872,0.5255,0.6902,0.8381,0.0377,-0.027,-0.0722,-0.0263,-0.0465,0.1661,-0.243,0.2383,0.1647,0.1479,96.72
1308166262,(주)소룩스,0.2032,0.2339,0.0896,0.2943,0.3017,0.2336,0.2349,0.1156,0.4619,0.5461,0.7776,0.0307,-0.1443,0.2047,0.0074,-0.0681,0.0013,-0.1193,0.3463,0.0842,0.2315,96.57
1018702452,에스케이넥실리스주식회사,,,,,,0.1437,0.0883,0.0232,0.1355,0.4001,0.6993,0.0,0.0,0.0,0.0,0.0,-0.0554,-0.0651,0.1123,0.2646,0.2992,96.22
1088181567,(주)휴테크산업,,,0.057,0.0757,0.1442,0.1283,0.1931,0.0459,0.1095,0.7644,0.8967,0.0,0.0,0.0187,0.0685,-0.0159,0.0648,-0.1472,0.0636,0.6549,0.1323,96.21
6068158575,(주)세기정밀,0.576,0.5555,0.6445,0.6755,0.576,0.4363,0.3263,0.1331,0.4118,0.6848,0.8022,-0.0205,0.089,0.031,-0.0995,-0.1397,-0.11,-0.1932,0.2787,0.273,0.1174,96.07
2068111308,(주)엔젤,,,0.5251,0.5427,0.616,0.51,0.5035,0.3689,0.5908,0.7622,0.8615,0.0,0.0,0.0176,0.0733,-0.106,-0.0065,-0.1346,0.2219,0.1714,0.0993,95.92
