사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
3018177060,주식회사클라비스,0.147,0.1488,0.1467,0.1494,0.1498,0.1475,0.159,0.2177,0.3523,0.524,0.8343,0.0018,-0.0021,0.0027,0.0004,-0.0023,0.0115,0.0587,0.1346,0.1717,0.3103,98.49,위험 (가속+임계초과)
1248612465,(주)엔지온,0.553,0.5084,0.4905,0.4996,0.5575,0.525,0.386,0.3858,0.5073,0.6507,0.8453,-0.0446,-0.0179,0.0091,0.0579,-0.0325,-0.139,-0.0002,0.1215,0.1434,0.1946,97.98,위험 (가속+임계초과)
1088181567,(주)휴테크산업,,,0.1933,0.1746,0.2329,0.2299,0.2274,0.1936,0.2592,0.7101,0.8592,0.0,0.0,-0.0187,0.0583,-0.003,-0.0025,-0.0338,0.0656,0.4509,0.1491,97.71,위험 (3년연속상승+임계초과)
6098602643,주식회사태양에스씨알,,,,0.5636,0.5902,0.4891,0.4373,0.2605,0.4829,0.5568,0.7649,0.0,0.0,0.0,0.0266,-0.1011,-0.0518,-0.1768,0.2224,0.0739,0.2081,97.24,위험 (3년연속상승+임계초과)
2148186794,주식회사리트코,0.3317,0.3914,0.3562,0.3874,0.5173,0.5547,0.5648,0.5423,0.6097,0.6877,0.8646,0.0597,-0.0352,0.0312,0.1299,0.0374,0.0101,-0.0225,0.0674,0.078,0.1769,97.18,위험 (가속+임계초과)
1348688905,주식회사와우텍,,,,,,,,0.4305,0.5768,0.7138,0.8196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463,0.137,0.1058,96.94,위험 (3년연속상승+임계초과)
2208675021,주식회사모토텍,0.5635,0.5224,0.5522,0.5378,0.5047,0.3176,0.4893,0.385,0.4947,0.6144,0.7633,-0.0411,0.0298,-0.0144,-0.0331,-0.1871,0.1717,-0.1043,0.1097,0.1197,0.1489,96.72,위험 (가속+임계초과)
1248744019,주식회사넥스트스퀘어,,,,,,,,0.2468,0.4348,0.5074,0.7296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.0726,0.2222,96.54,위험 (3년연속상승+임계초과)
1088188556,주식회사에스에스라이트,0.1645,0.1614,0.1612,0.223,0.2323,0.2357,0.2351,0.2443,0.2972,0.3376,0.7538,-0.0031,-0.0002,0.0618,0.0093,0.0034,-0.0006,0.0092,0.0529,0.0404,0.4162,96.38,위험 (3년연속상승+임계초과)
6068158575,(주)세기정밀,0.6545,0.7782,0.7557,0.7602,0.6566,0.5637,0.4999,0.2982,0.5547,0.739,0.7995,0.1237,-0.0225,0.0045,-0.1036,-0.0929,-0.0638,-0.2017,0.2565,0.1843,0.0605,96.13,위험 (3년연속상승+임계초과)
