사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
5058176756,(주)영남테크놀로지,,,,0.0005,0.0004,0.0167,0.0064,0.0072,0.0592,0.3051,0.8015,0.0,0.0,0.0,-0.0001,0.0163,-0.0103,0.0008,0.052,0.2459,0.4964,97.44
6068178208,(주)세진이앤드티,0.0007,0.0012,0.0007,0.0014,0.0006,0.0368,0.017,0.039,0.2425,0.6853,0.8441,0.0005,-0.0005,0.0007,-0.0008,0.0362,-0.0198,0.022,0.2035,0.4428,0.1588,97.44
2358100677,(주)다온티앤티,,,,,0.0001,0.0055,0.0834,0.0482,0.2462,0.3729,0.7993,0.0,0.0,0.0,0.0,0.0054,0.0779,-0.0352,0.198,0.1267,0.4264,97.38
7628600382,(주)에이씨케이,,,,,,,0.0003,0.0005,0.0043,0.1673,0.8161,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0038,0.163,0.6488,96.88
1198101490,(주)디에이치오토넥스,0.2441,0.5567,0.1416,0.164,0.006,0.0063,0.0104,0.019,0.0507,0.0884,0.8621,0.3126,-0.4151,0.0224,-0.158,0.0003,0.0041,0.0086,0.0317,0.0377,0.7737,96.7
1408184025,(주)티엔디,,,,0.001,0.0003,0.0048,0.0029,0.019,0.0305,0.2167,0.7804,0.0,0.0,0.0,-0.0007,0.0045,-0.0019,0.0161,0.0115,0.1862,0.5637,96.68
6178165867,스코트라(주),,,,,,0.0553,0.0003,0.0011,0.0038,0.3996,0.7871,0.0,0.0,0.0,0.0,0.0,-0.055,0.0008,0.0027,0.3958,0.3875,96.58
3038142849,(주)엠테크,,,,,,,,0.0013,0.0221,0.446,0.7487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,0.4239,0.3027,96.56
3908801007,해양조선주식회사,,,,,,,0.0012,0.025,0.0483,0.285,0.7292,0.0,0.0,0.0,0.0,0.0,0.0,0.0238,0.0233,0.2367,0.4442,96.31
6138153452,주식회사장원,,,,0.0094,0.0164,0.7199,0.1065,0.0111,0.1373,0.1502,0.7811,0.0,0.0,0.0,0.007,0.7035,-0.6134,-0.0954,0.1262,0.0129,0.6309,96.05
5038108820,태창공업(주),0.029,0.0493,0.0092,0.0215,0.1525,0.8011,0.0027,0.0022,0.009,0.1021,0.7367,0.0203,-0.0401,0.0123,0.131,0.6486,-0.7984,-0.0005,0.0068,0.0931,0.6346,95.82
4108117783,주식회사호원,0.0029,0.0008,0.0018,0.0062,0.0022,0.0196,0.323,0.2432,0.3945,0.5373,0.6929,-0.0021,0.001,0.0044,-0.004,0.0174,0.3034,-0.0798,0.1513,0.1428,0.1556,95.45
5058149278,(주)세운아이엔티,0.0044,0.0036,0.0007,0.0016,0.0005,0.0104,0.0033,0.0468,0.4418,0.5421,0.6536,-0.0008,-0.0029,0.0009,-0.0011,0.0099,-0.0071,0.0435,0.395,0.1003,0.1115,95.23
7238601673,(주)포스코모빌리티솔루션,,,,,,,0.001,0.0002,0.0015,0.1423,0.6616,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008,0.0013,0.1408,0.5193,95.06
8278700240,(주)유림테크,,,,,,,0.002,0.0008,0.001,0.09,0.7358,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.0002,0.089,0.6458,95.04
7878601003,디앤에이모터스주식회사,,,,,0.0008,0.0001,0.0005,0.0048,0.0344,0.0969,0.6249,0.0,0.0,0.0,0.0,-0.0007,0.0004,0.0043,0.0296,0.0625,0.528,94.95
6098162030,(주)젬텍,,0.0212,0.0061,0.037,0.0622,0.0556,0.0024,0.005,0.1847,0.3265,0.534,0.0,-0.0151,0.0309,0.0252,-0.0066,-0.0532,0.0026,0.1797,0.1418,0.2075,94.82
5158138782,대영전기주식회사,0.0014,0.0001,0.001,0.021,0.0158,0.0071,0.0003,0.001,0.002,0.2117,0.6005,-0.0013,0.0009,0.02,-0.0052,-0.0087,-0.0068,0.0007,0.001,0.2097,0.3888,94.5
1338134003,주식회사현대산업,,,,0.0037,0.0378,0.0031,0.0002,0.001,0.0011,0.062,0.7044,0.0,0.0,0.0,0.0341,-0.0347,-0.0029,0.0008,0.0001,0.0609,0.6424,94.47
7988600983,(주)미래중공업,,,,,,0.0468,0.0009,0.0041,0.007,0.1427,0.5448,0.0,0.0,0.0,0.0,0.0,-0.0459,0.0032,0.0029,0.1357,0.4021,94.19
4108622355,(주)세정튜브,0.0027,0.0153,0.0248,0.0186,0.0083,0.1333,0.0061,0.0106,0.1319,0.3403,0.4923,0.0126,0.0095,-0.0062,-0.0103,0.125,-0.1272,0.0045,0.1213,0.2084,0.152,94.07
4108128164,주식회사동양정공,0.0004,0.0118,0.047,0.1117,0.0379,0.0187,0.0614,0.1719,0.268,0.4691,0.5412,0.0114,0.0352,0.0647,-0.0738,-0.0192,0.0427,0.1105,0.0961,0.2011,0.0721,93.64
5148165141,비젼디지텍주식회사,,,,,,,,,0.0009,0.0623,0.8988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0614,0.8365,93.54
1338131632,(주)광성기공,,,,,,,,,0.0015,0.1191,0.8131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176,0.694,93.51
2428701579,주식회사동대전현대서비스,,,,,,,,,0.0081,0.1732,0.7862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1651,0.613,93.48
1308655116,주식회사모아,,,,,,,,0.0056,0.0193,0.2942,0.4668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.2749,0.1726,93.45
5158114887,유림산업주식회사,0.0141,0.0116,0.008,0.0471,0.0112,0.0404,0.1602,0.3068,0.4384,0.5751,0.6076,-0.0025,-0.0036,0.0391,-0.0359,0.0292,0.1198,0.1466,0.1316,0.1367,0.0325,93.32
1268628546,(주)에이티티,,,0.0001,0.0002,0.001,0.0012,0.008,0.0017,0.1897,0.3165,0.4359,0.0,0.0,0.0001,0.0008,0.0002,0.0068,-0.0063,0.188,0.1268,0.1194,93.28
1918700947,주식회사에스디하이텍,,,,,,,,0.0013,0.0333,0.1746,0.4247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.1413,0.2501,93.24
6018107896,동명기술(주),,,,,,,,,0.0059,0.1931,0.7514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1872,0.5583,93.22
1198603469,명진정공(주),,,0.0009,0.024,0.1374,0.008,0.0103,0.0041,0.0051,0.3044,0.4862,0.0,0.0,0.0231,0.1134,-0.1294,0.0023,-0.0062,0.001,0.2993,0.1818,93.2
2058602816,송월테크놀로지(주),,,,,,,,,0.0081,0.2109,0.7358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028,0.5249,93.02
6908800854,LS이브이코리아,,,,,0.0003,0.0003,0.0002,0.0014,0.0026,0.0584,0.4361,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0012,0.0012,0.0558,0.3777,92.36
6208113555,명성공업(주),0.006,0.0351,0.0135,0.004,0.0004,0.0094,0.003,0.0047,0.1038,0.5618,0.5679,0.0291,-0.0216,-0.0095,-0.0036,0.009,-0.0064,0.0017,0.0991,0.458,0.0061,92.0
6098148362,(주)제트에프삭스코리아,0.0049,0.0143,0.0009,0.0013,0.0005,0.0002,0.0003,0.001,0.0015,0.0918,0.3764,0.0094,-0.0134,0.0004,-0.0008,-0.0003,0.0001,0.0007,0.0005,0.0903,0.2846,91.5
1378132098,(주)세진크랭크,0.0005,,,0.0003,0.0015,0.1976,0.0903,0.0903,0.1877,0.2693,0.3625,0.0,0.0,0.0,0.0012,0.1961,-0.1073,0.0,0.0974,0.0816,0.0932,91.46
6088166765,(주)동천,,,,,,,,0.0035,0.0721,0.2118,0.3329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686,0.1397,0.1211,91.31
6098604559,(주)두영,,,,,,,,0.0009,0.0009,0.0532,0.6076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0523,0.5544,91.23
1348118592,풍기산업주식회사,0.0068,0.0012,0.0016,0.0062,0.0016,0.1063,0.0191,0.083,0.289,0.3535,0.3858,-0.0056,0.0004,0.0046,-0.0046,0.1047,-0.0872,0.0639,0.206,0.0645,0.0323,91.08
5418601426,주식회사넥스트에어로스페이스,,,,,,,,,0.0051,0.0377,0.6025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326,0.5648,90.98
1268655188,주식회사한부금속,,,0.0002,0.001,0.0023,0.0061,0.0182,0.0593,0.088,0.2849,0.3442,0.0,0.0,0.0008,0.0013,0.0038,0.0121,0.0411,0.0287,0.1969,0.0593,90.91
1588602602,주식회사디에이치오토모티브,,,,,,,,,0.0072,0.1022,0.5251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.4229,90.76
5108116842,주식회사테스크,0.0081,0.0085,0.0022,0.0022,0.0053,0.0042,0.001,0.0032,0.0016,0.2306,0.8146,0.0004,-0.0063,0.0,0.0031,-0.0011,-0.0032,0.0022,-0.0016,0.229,0.584,90.69
3148134048,리텍(주),0.0003,0.0001,0.0004,0.0006,0.0004,0.0001,0.0001,0.0006,0.0002,0.1375,0.7785,-0.0002,0.0003,0.0002,-0.0002,-0.0003,0.0,0.0005,-0.0004,0.1373,0.641,90.54
2188600319,(주)알에이치포커스,,,,0.0007,0.0,0.0025,0.001,0.0003,0.0007,0.032,0.3215,0.0,0.0,0.0,-0.0007,0.0025,-0.0015,-0.0007,0.0004,0.0313,0.2895,89.77
2378701539,주식회사천지테크,,,,,,,0.0001,0.0029,0.0451,0.0957,0.2675,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0422,0.0506,0.1718,89.7
5038193915,주식회사옵티모,,,,,,,,,0.0046,0.2454,0.4177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2408,0.1723,89.6
6068114505,현성기업주식회사,0.0114,0.0039,0.0073,0.2456,0.1958,0.0047,0.0008,0.0079,0.0106,0.1531,0.2696,-0.0075,0.0034,0.2383,-0.0498,-0.1911,-0.0039,0.0071,0.0027,0.1425,0.1165,89.49
5148153650,주식회사디에이치테크,0.0041,0.0009,0.0022,0.0325,0.0202,0.433,0.0014,0.0041,0.0141,0.1317,0.2543,-0.0032,0.0013,0.0303,-0.0123,0.4128,-0.4316,0.0027,0.01,0.1176,0.1226,89.46
6138115574,(주)정광기계,,,,,,0.001,0.0021,0.0035,0.0883,0.1711,0.2556,0.0,0.0,0.0,0.0,0.0,0.0011,0.0014,0.0848,0.0828,0.0845,89.42
3038601692,주식회사한국글로벌솔루션,,,,,,,,,0.0046,0.0163,0.4833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117,0.467,89.32
