사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
3038149949,(주)에스제이코퍼레이션,,,,,0.0003,0.0005,0.0007,0.0206,0.1796,0.4605,0.6919,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0199,0.159,0.2809,0.2314,97.72
1378189418,측천산업(주),,,0.0004,0.0016,0.0006,0.0123,0.0214,0.0029,0.012,0.0536,0.8302,0.0,0.0,0.0012,-0.001,0.0117,0.0091,-0.0185,0.0091,0.0416,0.7766,97.51
2158144633,(주)에스피리사이클링,0.0011,0.002,0.0003,0.0028,0.001,0.0153,0.0015,0.0015,0.0465,0.055,0.6877,0.0009,-0.0017,0.0025,-0.0018,0.0143,-0.0138,0.0,0.045,0.0085,0.6327,96.75
6068187819,(주)용진,,0.0007,0.069,0.0022,0.0039,0.0023,0.0025,0.0014,0.0045,0.0975,0.6506,0.0,0.0683,-0.0668,0.0017,-0.0016,0.0002,-0.0011,0.0031,0.093,0.5531,96.45
4468101257,인천연료전지(주),,,,,,0.0008,0.0166,0.0106,0.0579,0.0603,0.6416,0.0,0.0,0.0,0.0,0.0,0.0158,-0.006,0.0473,0.0024,0.5813,95.73
1238152227,(주)에스엠테크,0.0011,0.0025,0.0016,0.0024,0.002,0.002,0.0022,0.0026,0.0086,0.088,0.5128,0.0014,-0.0009,0.0008,-0.0004,0.0,0.0002,0.0004,0.006,0.0794,0.4248,95.03
2258124217,정암풍력발전주식회사,,,0.0007,0.0092,0.0039,0.0054,0.0144,0.0078,0.0193,0.02,0.5988,0.0,0.0,0.0085,-0.0053,0.0015,0.009,-0.0066,0.0115,0.0007,0.5788,94.45
6098618728,주식회사창원에너텍,0.0034,0.1463,0.0189,0.0222,0.0015,0.0225,0.0052,0.0038,0.0081,0.0369,0.4332,0.1429,-0.1274,0.0033,-0.0207,0.021,-0.0173,-0.0014,0.0043,0.0288,0.3963,93.36
5998600294,(주)노원뉴파워,,,,,,,,0.0007,0.0066,0.0332,0.3938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0266,0.3606,92.83
4168101601,삼진기업주식회사,0.0014,0.0014,0.0058,0.0032,0.0009,0.0011,0.0012,0.0043,0.0058,0.0152,0.4764,0.0,0.0044,-0.0026,-0.0023,0.0002,0.0001,0.0031,0.0015,0.0094,0.4612,92.74
8448702321,주식회사에너지명성,,,,,,,,,0.0028,0.0855,0.7201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0827,0.6346,92.59
3918702486,화성그린에너지밸류(주),,,,,,,,,0.0032,0.0615,0.7134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0583,0.6519,92.34
5118111364,(주)한국자원환경,,,,,,,,,0.0044,0.5075,0.7266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5031,0.2191,91.99
