사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
3348600076,주식회사수진종합건설,,,,,0.0643,0.1042,0.4491,0.0551,0.4784,0.7682,0.8797,0.0,0.0,0.0,0.0,0.0399,0.3449,-0.394,0.4233,0.2898,0.1115,95.53,위험 (3년연속상승+임계초과)
7408601794,주식회사대경이엔씨,,,,,,,,0.0946,0.5682,0.7744,0.8527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4736,0.2062,0.0783,94.53,위험 (3년연속상승+임계초과)
1058788374,(주)일신종합건축,,,,,0.0711,0.2775,0.26,0.1836,0.4233,0.7465,0.8389,0.0,0.0,0.0,0.0,0.2064,-0.0175,-0.0764,0.2397,0.3232,0.0924,94.5,위험 (3년연속상승+임계초과)
2548100789,(주)세아,,,,0.1283,0.7367,0.7572,0.1833,0.035,0.7107,0.7667,0.872,0.0,0.0,0.0,0.6084,0.0205,-0.5739,-0.1483,0.6757,0.056,0.1053,94.31,위험 (3년연속상승+임계초과)
8758101101,주식회사동아건설,,,,,,,,0.095,0.654,0.7811,0.8451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559,0.1271,0.064,93.8,위험 (3년연속상승+임계초과)
5378801469,삼일루체아(주),,,,,,,0.1387,0.0712,0.0846,0.5915,0.8006,0.0,0.0,0.0,0.0,0.0,0.0,-0.0675,0.0134,0.5069,0.2091,93.71,위험 (3년연속상승+임계초과)
3058145411,(주)모건에이치엔씨,,,,,,0.15,0.1708,0.1178,0.7005,0.7531,0.8479,0.0,0.0,0.0,0.0,0.0,0.0208,-0.053,0.5827,0.0526,0.0948,93.67,위험 (3년연속상승+임계초과)
3128659897,주식회사대호홀딩스,,,,,,,,0.0695,0.7229,0.7514,0.8562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6534,0.0285,0.1048,93.6,위험 (3년연속상승+임계초과)
1838100298,주식회사태진종합건설,,,0.1545,0.0538,0.0347,0.4534,0.6485,0.1434,0.7139,0.7399,0.8519,0.0,0.0,-0.1007,-0.0191,0.4187,0.1951,-0.5051,0.5705,0.026,0.112,93.39,위험 (3년연속상승+임계초과)
1858101236,(주)담종합건설,,,,,,,,0.0748,0.3385,0.7595,0.8029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2637,0.421,0.0434,93.16,위험 (3년연속상승+임계초과)
5888100455,(주)바우하우스,,,0.1167,0.1494,0.0437,0.6877,0.076,0.044,0.1592,0.6894,0.7694,0.0,0.0,0.0327,-0.1057,0.644,-0.6117,-0.032,0.1152,0.5302,0.08,92.74,위험 (3년연속상승+임계초과)
3258801911,(주)더힐스건설,,,,,,,,0.1104,0.2854,0.7199,0.7767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.4345,0.0568,92.65,위험 (3년연속상승+임계초과)
5118601935,주식회사골든힐컴퍼니,,,,,,,,0.1129,0.2609,0.7143,0.7759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.4534,0.0616,92.58,위험 (3년연속상승+임계초과)
7998800490,주식회사서문건설,,,,,0.0978,0.5234,0.8267,0.4022,0.7133,0.725,0.8458,0.0,0.0,0.0,0.0,0.4256,0.3033,-0.4245,0.3111,0.0117,0.1208,92.53,위험 (3년연속상승+임계초과)
6178624309,주식회사아이제이동수,0.1234,0.781,0.5182,0.5916,0.2658,0.2051,0.05,0.0361,0.5087,0.7335,0.7825,0.6576,-0.2628,0.0734,-0.3258,-0.0607,-0.1551,-0.0139,0.4726,0.2248,0.049,92.5,위험 (3년연속상승+임계초과)
7818800164,(주)삼우에스지,,,,,,,,0.1373,0.3345,0.7404,0.7832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1972,0.4059,0.0428,92.44,위험 (3년연속상승+임계초과)
1068133808,신동아건설(주),0.7154,0.3406,0.4123,0.3073,0.2612,0.083,0.0968,0.058,0.4163,0.5152,0.7491,-0.3748,0.0717,-0.105,-0.0461,-0.1782,0.0138,-0.0388,0.3583,0.0989,0.2339,92.33,위험 (3년연속상승+임계초과)
7538801019,주식회사홍진하우징,,,,,,,0.0659,0.0643,0.1922,0.7377,0.7769,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.1279,0.5455,0.0392,92.26,위험 (3년연속상승+임계초과)
6028150076,주식회사블루캐슬,,,,,,,0.1212,0.0559,0.3508,0.6647,0.7526,0.0,0.0,0.0,0.0,0.0,0.0,-0.0653,0.2949,0.3139,0.0879,92.25,위험 (3년연속상승+임계초과)
4448101533,해금강주식회사,,,,,,,,0.114,0.2352,0.7223,0.7739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1212,0.4871,0.0516,92.23,위험 (3년연속상승+임계초과)
6108163683,(주)시티건설,,,,,0.1348,0.7797,0.2794,0.0674,0.4053,0.726,0.7731,0.0,0.0,0.0,0.0,0.6449,-0.5003,-0.212,0.3379,0.3207,0.0471,92.21,위험 (3년연속상승+임계초과)
2548602180,태근개발주식회사,,,,,,,,0.1187,0.7371,0.8056,0.8365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6184,0.0685,0.0309,92.19,위험 (3년연속상승+임계초과)
5028127464,(주)마스윈,0.036,0.0325,0.0346,0.0911,0.0427,0.0521,0.0488,0.0796,0.3158,0.6428,0.7476,-0.0035,0.0021,0.0565,-0.0484,0.0094,-0.0033,0.0308,0.2362,0.327,0.1048,92.1,위험 (3년연속상승+임계초과)
5908701920,(주)채움주택,,,,,,,,0.0708,0.7402,0.7676,0.8188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6694,0.0274,0.0512,91.88,위험 (3년연속상승+임계초과)
1248182971,주식회사덕천건설,,,,,,,,,0.1283,0.7491,0.8859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6208,0.1368,91.77,위험 (최근2년상승+임계초과)
1718802050,주식회사제이엠네트웍스,,,,,,,,,0.166,0.6643,0.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4983,0.2027,91.74,위험 (최근2년상승+임계초과)
4028701171,주식회사신영개발,,,,,,,,0.1125,0.6926,0.8063,0.8244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5801,0.1137,0.0181,91.7,위험 (3년연속상승+임계초과)
7648701593,(주)에이치엘에스인베스트,,,,,,,,0.0936,0.5227,0.7342,0.7714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4291,0.2115,0.0372,91.58,위험 (3년연속상승+임계초과)
7208700895,(주)에이치디한울종합건설,,,,,,,0.0943,0.0718,0.5768,0.6469,0.7564,0.0,0.0,0.0,0.0,0.0,0.0,-0.0225,0.505,0.0701,0.1095,91.53,위험 (3년연속상승+임계초과)
6078602370,삼정건설(주),0.3611,0.0476,0.0341,0.0323,0.0348,0.2867,0.1179,0.0379,0.0565,0.6775,0.7558,-0.3135,-0.0135,-0.0018,0.0025,0.2519,-0.1688,-0.08,0.0186,0.621,0.0783,91.52,위험 (3년연속상승+임계초과)
1198694465,호유건설주식회사,,,,,,,,,0.1597,0.7411,0.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5814,0.1239,91.45,위험 (최근2년상승+임계초과)
6038152965,주식회사스마트더블유종합건설,,,,0.1353,0.2772,0.198,0.3117,0.2485,0.4419,0.5765,0.7457,0.0,0.0,0.0,0.1419,-0.0792,0.1137,-0.0632,0.1934,0.1346,0.1692,91.35,위험 (3년연속상승+임계초과)
8698602250,주식회사에이치엠도안,,,,,,,,0.1173,0.7099,0.7247,0.7932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5926,0.0148,0.0685,91.28,위험 (3년연속상승+임계초과)
1648100394,주식회사에스제이종합건설,,,,,,,0.1009,0.1865,0.62,0.7125,0.7683,0.0,0.0,0.0,0.0,0.0,0.0,0.0856,0.4335,0.0925,0.0558,91.13,위험 (3년연속상승+임계초과)
3238100732,주식회사금목건설,,,,,,,0.0729,0.0349,0.1013,0.6768,0.7414,0.0,0.0,0.0,0.0,0.0,0.0,-0.038,0.0664,0.5755,0.0646,91.12,위험 (3년연속상승+임계초과)
8978701914,주식회사위드랜드건설,,,,,,,,0.0941,0.7292,0.7839,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6351,0.0547,0.0227,91.08,위험 (3년연속상승+임계초과)
6098702145,지앤티디벨롭먼트,,,,,,,,,0.162,0.7787,0.8656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6167,0.0869,91.04,위험 (최근2년상승+임계초과)
7168701070,태안도시에너지주식회사,,,,,,,,0.1603,0.6994,0.7105,0.7833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5391,0.0111,0.0728,90.97,위험 (3년연속상승+임계초과)
1388604208,주식회사비전물류개발,,,,,,,,,0.1858,0.7206,0.8404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5348,0.1198,90.92,위험 (최근2년상승+임계초과)
5048192205,주식회사문창개발건설,,,,,,,,0.1292,0.2368,0.6928,0.7443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1076,0.456,0.0515,90.91,위험 (3년연속상승+임계초과)
2158800347,태영주택건설,,,,,,,0.1315,0.2987,0.427,0.489,0.7432,0.0,0.0,0.0,0.0,0.0,0.0,0.1672,0.1283,0.062,0.2542,90.85,위험 (3년연속상승+임계초과)
6098146379,남명건설주식회사,0.0352,0.0279,0.0293,0.0412,0.0293,0.0285,0.0422,0.0306,0.0311,0.5062,0.7385,-0.0073,0.0014,0.0119,-0.0119,-0.0008,0.0137,-0.0116,0.0005,0.4751,0.2323,90.84,위험 (3년연속상승+임계초과)
6988101519,주식회사황금프로퍼티,,,,,,,,,0.1858,0.7331,0.8411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5473,0.108,90.82,위험 (최근2년상승+임계초과)
2738700161,라움팰리스,,,,0.1092,0.0471,,0.6207,0.1115,0.6944,0.7139,0.7766,0.0,0.0,0.0,-0.0621,0.0,0.0,-0.5092,0.5829,0.0195,0.0627,90.76,위험 (3년연속상승+임계초과)
2118827776,창성건설(주),0.03,0.0288,0.0286,0.0284,0.0391,0.0579,0.4052,0.4991,0.5531,0.5681,0.7828,-0.0012,-0.0002,-0.0002,0.0107,0.0188,0.3473,0.0939,0.054,0.015,0.2147,90.71,위험 (3년연속상승+임계초과)
2148684807,(주)트라움하우스,0.7177,0.0364,0.7014,0.6533,0.453,0.4646,0.4962,0.0641,0.7068,0.7334,0.7778,-0.6813,0.665,-0.0481,-0.2003,0.0116,0.0316,-0.4321,0.6427,0.0266,0.0444,90.69,위험 (3년연속상승+임계초과)
2208137959,(주)리치스타,,,0.1891,0.679,0.302,0.2846,0.5904,0.4642,0.6616,0.6834,0.7787,0.0,0.0,0.4899,-0.377,-0.0174,0.3058,-0.1262,0.1974,0.0218,0.0953,90.63,위험 (3년연속상승+임계초과)
4468100433,주식회사신정숲예찬,,,,,,,,,0.153,0.7441,0.8323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5911,0.0882,90.54,위험 (최근2년상승+임계초과)
6478802294,(주)가연,,,,,,,,,0.1656,0.7192,0.8258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5536,0.1066,90.47,위험 (최근2년상승+임계초과)
4098701978,주식회사와이즈디벨롭먼트,,,,,,,,,0.1876,0.7395,0.8337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519,0.0942,90.47,위험 (최근2년상승+임계초과)
6078197208,(주)구덕종합개발,,,,,,,,0.0881,0.0999,0.4309,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,0.331,0.2971,90.46,위험 (3년연속상승+임계초과)
4018701799,오성종합건축(주),,,,,,,,,0.1556,0.7247,0.8252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5691,0.1005,90.45,위험 (최근2년상승+임계초과)
3288700200,주식회사미르채리버파크,,,,,,,0.0684,0.2092,0.7207,0.7418,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.1408,0.5115,0.0211,0.0427,90.43,위험 (3년연속상승+임계초과)
3658802427,천사해상풍력,,,,,,,,,0.17,0.7347,0.8281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5647,0.0934,90.42,위험 (최근2년상승+임계초과)
6078166011,(주)협성,0.1187,0.5552,0.1222,0.1237,0.1245,0.2077,0.2038,0.189,0.2334,0.6378,0.7353,0.4365,-0.433,0.0015,0.0008,0.0832,-0.0039,-0.0148,0.0444,0.4044,0.0975,90.35,위험 (3년연속상승+임계초과)
8658800763,주식회사서우도시개발,,,,,,,0.1243,0.0501,0.1215,0.3984,0.7173,0.0,0.0,0.0,0.0,0.0,0.0,-0.0742,0.0714,0.2769,0.3189,90.34,위험 (가속+임계초과)
4728700036,(주)우미리얼티,,0.1021,0.0473,0.0331,0.03,0.7076,0.7174,0.3994,0.6846,0.715,0.776,0.0,-0.0548,-0.0142,-0.0031,0.6776,0.0098,-0.318,0.2852,0.0304,0.061,90.3,위험 (3년연속상승+임계초과)
3998602178,(주)지케이건설,,,,,,,,,0.1644,0.7834,0.8423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.619,0.0589,90.28,위험 (최근2년상승+임계초과)
7818101621,하나씨앤씨개발주식회사,,,,,,,,0.1174,0.2625,0.733,0.7515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1451,0.4705,0.0185,90.26,위험 (3년연속상승+임계초과)
5118603011,주식회사평택브레인시티3피에프브이,,,,,,,,,0.1687,0.6245,0.8009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4558,0.1764,90.26,위험 (최근2년상승+임계초과)
5838102220,(주)유노산업,,,,,,,,0.1172,0.7288,0.7748,0.7909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6116,0.046,0.0161,90.25,위험 (3년연속상승+임계초과)
1208119234,주식회사한기실업,,,,,,,,,0.2152,0.7174,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5022,0.1076,90.21,위험 (최근2년상승+임계초과)
5408800786,(주)광채종합건설,,,,,,0.1154,0.0573,0.1324,0.1902,0.6386,0.7296,0.0,0.0,0.0,0.0,0.0,-0.0581,0.0751,0.0578,0.4484,0.091,90.15,위험 (3년연속상승+임계초과)
1598602148,주식회사성지디앤디,,,,,,,0.133,0.6314,0.7767,0.7884,0.8314,0.0,0.0,0.0,0.0,0.0,0.0,0.4984,0.1453,0.0117,0.043,90.13,위험 (3년연속상승+임계초과)
6218702067,주식회사스타디앤씨,,,,,,,,,0.1613,0.7667,0.8308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6054,0.0641,90.09,위험 (최근2년상승+임계초과)
5598802769,주식회사도담이엔씨티,,,,,,,,,0.1678,0.7287,0.8173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5609,0.0886,90.03,위험 (최근2년상승+임계초과)
5468802273,주식회사지엔디,,,,,,,,,0.1599,0.7329,0.8182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573,0.0853,90.01,위험 (최근2년상승+임계초과)
