사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
2598101653,주식회사엘라포니시,,,,,,,,0.0109,0.2407,0.6034,0.9044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2298,0.3627,0.301,96.11
5208800220,주식회사공간7,,,,,,,,0.2309,0.5461,0.8305,0.9594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3152,0.2844,0.1289,95.4
7808801966,주식회사대통상사,,,,,,,,,0.0628,0.6967,0.9465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6339,0.2498,93.32
1528600358,주식회사핸디즈,,,,,,,,,0.0646,0.35,0.9169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2854,0.5669,93.21
1618602501,(주)비손,,,,,,,,,0.0187,0.6494,0.8954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6307,0.246,92.22
2958701869,(주)애성,,,,,,,,,0.0059,0.6727,0.8697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6668,0.197,91.47
1638600625,주식회사아유,,,,,,,,,0.1221,0.5754,0.8628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4533,0.2874,91.06
6858700248,주식회사플랜허브플러스,,,,,,,,,0.0264,0.8575,0.9117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8311,0.0542,90.94
3058138735,(주)오페라,0.191,0.0413,0.0573,0.0192,0.0495,0.0586,0.0928,0.0238,0.0425,0.2725,0.7465,-0.1497,0.016,-0.0381,0.0303,0.0091,0.0342,-0.069,0.0187,0.23,0.474,90.71
2888701823,주식회사크리스월드더레지던스,,,,,,,,,0.0096,0.6988,0.8323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6892,0.1335,89.78
4858102533,케이에이치강원개발주식회사,,,,,,,,,0.0538,0.6496,0.7971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5958,0.1475,89.11
8688700732,주식회사알파개발,,,,,,,,0.0313,0.1296,0.1749,0.6816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0983,0.0453,0.5067,88.67
3978800275,농업회사법인주식회사소풍캠핑장,,,,,,,,,0.1038,0.3701,0.7681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2663,0.398,88.5
3178140501,주식회사초석,,,,,,,,,0.0449,0.6943,0.7909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6494,0.0966,88.39
5028613835,(주)연정개발,,,,,,,,,0.0117,0.5865,0.7761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5748,0.1896,88.31
3218700285,타니베이관광호텔주식회사,,,0.032,0.2518,0.0958,0.1253,0.6059,0.3709,0.1426,0.5716,0.8852,0.0,0.0,0.2198,-0.156,0.0295,0.4806,-0.235,-0.2283,0.429,0.3136,86.99
3018166976,주식회사홍인,,,,,,,,,0.0197,0.0542,0.7587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.7045,86.84
4628602613,주식회사블루망고블랙,,,,,,,,,0.0274,0.5271,0.7482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4997,0.2211,86.84
7388702351,더센트럴홀딩스주식회사,,,,,,,,,0.0033,0.6137,0.7581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6104,0.1444,86.47
3168108342,주식회사정우푸드,,,,,,,,,0.0332,0.5087,0.7222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4755,0.2135,85.58
