사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
1198669739,주식회사월드비즈,,,,,,,,0.1015,0.579,0.6306,0.7587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4775,0.0516,0.1281,94.79,위험 (3년연속상승+임계초과)
1058762850,주식회사맥스로지스틱스코리아,,,,,,,,0.1076,0.5584,0.6179,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0595,0.1091,94.11,위험 (3년연속상승+임계초과)
6188100756,부산여객자동차(주),,,,,,0.6125,0.6182,0.2957,0.3558,0.4494,0.7132,0.0,0.0,0.0,0.0,0.0,0.0057,-0.3225,0.0601,0.0936,0.2638,93.97,위험 (가속+임계초과)
6168195048,(주)제이비엘로지스틱스,,,,,,,,0.1108,0.4411,0.5313,0.6834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3303,0.0902,0.1521,93.6,위험 (3년연속상승+임계초과)
8778800392,글로넷엘엠에스(주),,,,0.2627,0.478,0.1669,0.233,0.1916,0.4519,0.7094,0.7481,0.0,0.0,0.0,0.2153,-0.3111,0.0661,-0.0414,0.2603,0.2575,0.0387,93.2,위험 (3년연속상승+임계초과)
8548801480,주식회사용덕로직스,,,,,,,,0.118,0.4045,0.5398,0.6505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2865,0.1353,0.1107,92.85,위험 (3년연속상승+임계초과)
5878701716,주식회사리치로지스,,,,,,,,0.1345,0.5221,0.5232,0.6989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3876,0.0011,0.1757,92.61,위험 (3년연속상승+임계초과)
7608101963,주식회사원더스지엘에스,,,,,,,,,0.0917,0.4907,0.7187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399,0.228,91.99,위험 (최근2년상승+임계초과)
2148707530,(주)진양물류,,,,,,,,,0.0881,0.6667,0.7839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5786,0.1172,91.82,위험 (최근2년상승+임계초과)
6038152984,(주)삼성냉장,0.134,0.1042,0.0971,0.1126,0.1087,0.1003,0.4438,0.1722,0.2605,0.6089,0.6657,-0.0298,-0.0071,0.0155,-0.0039,-0.0084,0.3435,-0.2716,0.0883,0.3484,0.0568,91.81,위험 (3년연속상승+임계초과)
1308163606,(주)청우운수,,,,,,0.1257,0.6247,0.1802,0.6088,0.6107,0.7026,0.0,0.0,0.0,0.0,0.0,0.499,-0.4445,0.4286,0.0019,0.0919,91.78,위험 (3년연속상승+임계초과)
5028103201,(주)관음교통,,,,,,,,0.1454,0.5727,0.7168,0.7278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4273,0.1441,0.011,91.68,위험 (3년연속상승+임계초과)
4568102141,모건로지스틱스주식회사,,,,,,,,,0.1018,0.5882,0.7194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4864,0.1312,91.43,위험 (최근2년상승+임계초과)
6078133747,금진여객자동차주식회사,,,,,,0.1219,0.7448,0.3059,0.704,0.7313,0.7647,0.0,0.0,0.0,0.0,0.0,0.6229,-0.4389,0.3981,0.0273,0.0334,91.41,위험 (3년연속상승+임계초과)
4168116119,서강기업주식회사,0.0612,0.0561,0.0525,0.0539,0.0878,0.2354,0.5266,0.2103,0.4077,0.5222,0.6237,-0.0051,-0.0036,0.0014,0.0339,0.1476,0.2912,-0.3163,0.1974,0.1145,0.1015,91.4,위험 (3년연속상승+임계초과)
2448801873,주식회사한국초저온,,,,,,,,,0.1098,0.5918,0.7173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.1255,91.24,위험 (최근2년상승+임계초과)
1058758088,씨앤아이로지스틱스주식회사,,,,,,,,,0.0874,0.5414,0.7037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.454,0.1623,91.21,위험 (최근2년상승+임계초과)
1258190950,이안기업(주),,,,,,,,0.1151,0.2804,0.3238,0.5963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1653,0.0434,0.2725,91.07,위험 (3년연속상승+임계초과)
6028145665,대한네트웍스,0.1423,0.1644,0.0863,0.1878,0.3811,0.2601,0.455,0.1167,0.1763,0.398,0.5956,0.0221,-0.0781,0.1015,0.1933,-0.121,0.1949,-0.3383,0.0596,0.2217,0.1976,90.94,위험 (3년연속상승+임계초과)
2508602140,주식회사엠지로지스틱스,,,,,,,,0.122,0.5015,0.549,0.6315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3795,0.0475,0.0825,90.74,위험 (3년연속상승+임계초과)
5548602192,주식회사리치로지스평택,,,,,,,,0.1375,0.535,0.6252,0.6624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3975,0.0902,0.0372,90.62,위험 (3년연속상승+임계초과)
6908101908,주식회사강서로지스,,,,,,,,0.1389,0.4649,0.5888,0.6354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0.1239,0.0466,90.59,위험 (3년연속상승+임계초과)
1278157622,(주)로고농업회사법인,0.321,0.4711,0.4284,0.4627,0.5011,0.1924,0.4073,0.3818,0.4023,0.5541,0.6502,0.1501,-0.0427,0.0343,0.0384,-0.3087,0.2149,-0.0255,0.0205,0.1518,0.0961,90.58,위험 (3년연속상승+임계초과)
3188602349,주식회사삼일로지스,,,,,,,,,0.1313,0.6091,0.7073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4778,0.0982,90.54,위험 (최근2년상승+임계초과)
1388163901,남서울경전철주식회사,,,0.16,0.4757,0.4197,0.5178,0.509,0.4979,0.5777,0.6187,0.6895,0.0,0.0,0.3157,-0.056,0.0981,-0.0088,-0.0111,0.0798,0.041,0.0708,90.41,위험 (3년연속상승+임계초과)
1458702485,주식회사에스엘물류,,,,,,,,,0.114,0.603,0.6943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489,0.0913,89.95,위험 (최근2년상승+임계초과)
3338702520,주식회사삼주냉장,,,,,,,,,0.1018,0.571,0.6765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4692,0.1055,89.76,위험 (최근2년상승+임계초과)
2668700315,주식회사다,,,,,,,,,0.0993,0.4677,0.6437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684,0.176,89.73,위험 (최근2년상승+임계초과)
