사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
1138681996,넷마블에프앤씨주식회사,,,,,,,0.0175,0.1133,0.1489,0.7283,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0958,0.0356,0.5794,0.2716,93.88,위험 (3년연속상승+임계초과)
6108604578,에이치엔이노밸리(주),,,,,,,0.0449,0.2905,0.442,0.5005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2456,0.1515,0.0585,0.4995,93.71,위험 (3년연속상승+임계초과)
4608101554,플렉스주식회사,,,,,,,,,0.0,0.399,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399,0.601,93.34,위험 (최근가속+임계초과)
3498100767,주식회사스튜디오비사이드,,,,,,,,,0.0,0.6269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6269,0.3731,92.89,위험 (최근2년상승+임계초과)
6088800869,주식회사쿼드마이너,,,,,,,,,0.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.78,92.86,위험 (최근가속+임계초과)
1078632618,(주)알앤비소프트,0.1017,,0.2408,0.1548,0.2112,0.2765,0.1596,0.1818,0.2409,0.4044,0.9969,0.0,0.0,-0.086,0.0564,0.0653,-0.1169,0.0222,0.0591,0.1635,0.5925,92.79,위험 (가속+임계초과)
8088101590,락크우드(주),,,,,,,,0.3501,0.5922,0.7182,0.9987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2421,0.126,0.2805,92.14,위험 (3년연속상승+임계초과)
5418601839,주식회사모레,,,,,,,,,0.0,0.8278,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8278,0.1722,91.83,위험 (최근2년상승+임계초과)
4178700247,옴니어스(주),,,,,,,,,0.0,0.8436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8436,0.1564,91.65,위험 (최근2년상승+임계초과)
2208827412,주식회사퍼펙트월드코리아,,,,,,,,,0.0,0.856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,0.144,91.54,위험 (최근2년상승+임계초과)
2618123776,주식회사공부선배,,,,,,,,,0.0,0.0562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0562,0.9438,91.47,위험 (최근가속+임계초과)
6558700121,오컴퍼니주식회사,,,,,,,,,0.0,0.5111,0.9977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5111,0.4866,91.4,위험 (최근2년상승+임계초과)
1138662155,주식회사씨티,,,,,,,,,0.0,0.4786,0.9931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4786,0.5145,91.04,위험 (최근가속+임계초과)
1468700874,스튜디오아예중앙주식회사,,,,,,,,,0.0,0.2173,0.9974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2173,0.7801,90.95,위험 (최근가속+임계초과)
1228637650,주식회사스윗코리아,,,,,,,,,0.0,0.911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911,0.089,90.79,위험 (최근2년상승+임계초과)
1018701564,주식회사클라리파이,,,,,,,,,0.0,0.7568,0.9991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7568,0.2423,90.68,위험 (최근2년상승+임계초과)
1198688361,주식회사바다코리아,,,,,,,,,0.0,0.7009,0.9964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7009,0.2955,90.61,위험 (최근2년상승+임계초과)
5918601469,주식회사워렌301,,,,,,,,,0.0,0.9312,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9312,0.0688,90.44,위험 (최근2년상승+임계초과)
2208830805,주식회사유젠,,,,,,0.0975,0.311,0.3875,0.6094,0.9985,1.0,0.0,0.0,0.0,0.0,0.0,0.2135,0.0765,0.2219,0.3891,0.0015,90.32,위험 (3년연속상승+임계초과)
5028615755,(주)겟앤쇼,,,,,,,,,0.0,0.3888,0.9735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888,0.5847,90.3,위험 (최근가속+임계초과)
2648109749,넷마블넥서스주식회사,,0.0185,0.0177,0.0435,0.0527,0.713,0.3991,0.0785,0.094,0.1408,0.9674,0.0,-0.0008,0.0258,0.0092,0.6603,-0.3139,-0.3206,0.0155,0.0468,0.8266,90.24,위험 (가속+임계초과)
2098144579,(주)그랩디,,,,,,,,,0.0,0.2516,0.9742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2516,0.7226,90.11,위험 (최근가속+임계초과)
