사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
3448800719,(주)가람D&C,,,,0.0033,0.2801,0.1563,0.0799,0.0025,0.4706,0.7108,0.9425,0.0,0.0,0.0,0.2768,-0.1238,-0.0764,-0.0774,0.4681,0.2402,0.2317,94.97,위험 (3년연속상승+임계초과)
2018196073,(주)씨에스,,,,0.0088,0.0163,0.0351,0.0306,0.0309,0.05,0.8524,0.9559,0.0,0.0,0.0,0.0075,0.0188,-0.0045,0.0003,0.0191,0.8024,0.1035,94.54,위험 (3년연속상승+임계초과)
2118802533,한솔공영주식회사,,,,,,,0.0027,0.0107,0.5693,0.8206,0.9438,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.5586,0.2513,0.1232,94.35,위험 (3년연속상승+임계초과)
8398702144,케이와이도시개발,,,,,,,,0.0036,0.374,0.6671,0.9063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3704,0.2931,0.2392,93.65,위험 (3년연속상승+임계초과)
4218802241,엠디에이3호주식회사,,,,,,,,0.0044,0.5565,0.8668,0.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5521,0.3103,0.0682,93.57,위험 (3년연속상승+임계초과)
7348102134,주식회사제이디,,,,,,,,0.0037,0.3791,0.8336,0.9205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3754,0.4545,0.0869,93.49,위험 (3년연속상승+임계초과)
1758701056,주식회사어반로프트,,,,,0.0041,0.764,0.1472,0.0062,0.3223,0.7773,0.91,0.0,0.0,0.0,0.0,0.7599,-0.6168,-0.141,0.3161,0.455,0.1327,93.38,위험 (3년연속상승+임계초과)
2648100239,엘에스디씨주식회사,,,,,,,0.0043,0.0673,0.2549,0.8294,0.9161,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.1876,0.5745,0.0867,93.29,위험 (3년연속상승+임계초과)
3198102177,주식회사비상,,,,,,,,0.0042,0.0101,0.7776,0.9088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.7675,0.1312,93.2,위험 (3년연속상승+임계초과)
3368600655,주식회사태왕개발,,,,,,,,0.0032,0.3549,0.8501,0.9196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3517,0.4952,0.0695,93.2,위험 (3년연속상승+임계초과)
5838802078,주식회사현디앤씨,,,,,,,,0.0006,0.7831,0.8869,0.9445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7825,0.1038,0.0576,93.08,위험 (3년연속상승+임계초과)
4728801916,주식회사유퍼스트디벨로퍼,,,,,,,,0.0015,0.573,0.8827,0.9297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715,0.3097,0.047,93.06,위험 (3년연속상승+임계초과)
6958700814,이룰디앤씨,,,,,0.0018,0.2251,0.0097,0.0081,0.4698,0.8547,0.9197,0.0,0.0,0.0,0.0,0.2233,-0.2154,-0.0016,0.4617,0.3849,0.065,93.0,위험 (3년연속상승+임계초과)
8488702134,주식회사디알홀딩스컴퍼니,,,,,,,,0.0005,0.2846,0.9081,0.9316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2841,0.6235,0.0235,92.91,위험 (3년연속상승+임계초과)
4868600590,주식회사이룸김앤장,,,,,,0.0031,0.6053,0.0043,0.7121,0.8856,0.9295,0.0,0.0,0.0,0.0,0.0,0.6022,-0.601,0.7078,0.1735,0.0439,92.81,위험 (3년연속상승+임계초과)
1358640791,(주)에이치케이건설자산관리,,,,,,,,0.0057,0.1144,0.8085,0.9036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1087,0.6941,0.0951,92.77,위험 (3년연속상승+임계초과)
6028602002,주식회사글로벌시티크리에이션,,,,,,,,0.0041,0.4646,0.8017,0.9058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4605,0.3371,0.1041,92.75,위험 (3년연속상승+임계초과)
8468101646,오케이레저주식회사,,,,,,,,0.0034,0.5462,0.9216,0.9379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428,0.3754,0.0163,92.51,위험 (3년연속상승+임계초과)
2348101843,(주)삼오그랑블,,,0.0013,0.0077,0.0307,0.5456,,0.2411,0.7761,0.8765,0.9399,0.0,0.0,0.0064,0.023,0.5149,0.0,0.0,0.535,0.1004,0.0634,92.46,위험 (3년연속상승+임계초과)
1788101621,윤성물류주식회사,,,,,,,,0.0019,0.5264,0.7219,0.8955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5245,0.1955,0.1736,92.35,위험 (3년연속상승+임계초과)
2168800786,주식회사비엔에이에셋,,,,0.0049,0.0438,0.0694,0.0636,0.0249,0.1608,0.8148,0.901,0.0,0.0,0.0,0.0389,0.0256,-0.0058,-0.0387,0.1359,0.654,0.0862,92.33,위험 (3년연속상승+임계초과)
5268600641,온동네디엔아이주식회사,,,,,,0.0012,0.0124,0.003,0.1263,0.7649,0.8927,0.0,0.0,0.0,0.0,0.0,0.0112,-0.0094,0.1233,0.6386,0.1278,92.31,위험 (3년연속상승+임계초과)
6688802059,(주)월미산업개발,,,,,,,,0.0026,0.0297,0.7758,0.8933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0271,0.7461,0.1175,92.22,위험 (3년연속상승+임계초과)
2638701770,삼인피에프브이(주),,,,,,,0.0006,0.0136,0.3573,0.8469,0.9057,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.3437,0.4896,0.0588,92.11,위험 (3년연속상승+임계초과)
8758702359,로지스웍스평택주식회사,,,,,,,,,0.0037,0.6541,0.9367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6504,0.2826,92.09,위험 (최근2년상승+임계초과)
1508100944,(주)케이디글로벌,,,,,0.0007,0.0458,0.0368,0.027,0.8429,0.8767,0.9302,0.0,0.0,0.0,0.0,0.0451,-0.009,-0.0098,0.8159,0.0338,0.0535,92.08,위험 (3년연속상승+임계초과)
2278700080,주식회사재승,,,0.0039,0.0785,0.2743,0.1227,0.2157,0.3268,0.7015,0.7712,0.9126,0.0,0.0,0.0746,0.1958,-0.1516,0.093,0.1111,0.3747,0.0697,0.1414,92.06,위험 (3년연속상승+임계초과)
3438102001,알앰물류(주),,,,,,,,,0.0057,0.7153,0.9345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7096,0.2192,91.98,위험 (최근2년상승+임계초과)
6858701776,주식회사티아이엘,,,,,,,,,0.0036,0.5849,0.9252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5813,0.3403,91.78,위험 (최근2년상승+임계초과)
2818802279,주식회사케이엘앤디,,,,,,,,0.0028,0.5777,0.8142,0.8984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5749,0.2365,0.0842,91.78,위험 (3년연속상승+임계초과)
4598701987,마스턴제123호여주삼교피에프브이주식회사,,,,,,,,0.0041,0.6291,0.6351,0.9032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.006,0.2681,91.73,위험 (3년연속상승+임계초과)
8978601431,주식회사제이케이스타,,,,,,,,0.0039,0.6177,0.7855,0.8949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6138,0.1678,0.1094,91.72,위험 (3년연속상승+임계초과)
6028600154,태림산업개발주식회사,,,,,0.0059,0.12,0.7815,0.0775,0.856,0.8766,0.9292,0.0,0.0,0.0,0.0,0.1141,0.6615,-0.704,0.7785,0.0206,0.0526,91.69,위험 (3년연속상승+임계초과)
8598602423,주식회사아토나린,,,,,,,,,0.004,0.7382,0.9266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7342,0.1884,91.65,위험 (최근2년상승+임계초과)
5098702340,용인기흥주거개발주식회사,,,,,,,,,0.0029,0.6464,0.9225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435,0.2761,91.65,위험 (최근2년상승+임계초과)
1158800988,(주)제니스디앤씨,,,,,,0.0019,0.0455,0.1781,0.8195,0.8728,0.9244,0.0,0.0,0.0,0.0,0.0,0.0436,0.1326,0.6414,0.0533,0.0516,91.64,위험 (3년연속상승+임계초과)
2498800340,법원산업도시개발주식회사,,,,,0.0012,0.1484,0.4952,0.0032,0.4738,0.7868,0.8907,0.0,0.0,0.0,0.0,0.1472,0.3468,-0.492,0.4706,0.313,0.1039,91.63,위험 (3년연속상승+임계초과)
4268701968,주식회사송도산업,,,,,,,,0.0025,0.7921,0.8783,0.9149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7896,0.0862,0.0366,91.63,위험 (3년연속상승+임계초과)
7018601993,(주)루브루수원,,,,,,,,,0.0034,0.7407,0.9257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7373,0.185,91.62,위험 (최근2년상승+임계초과)
7328102424,주식회사동서남북개발,,,,,,,,,0.0052,0.5123,0.9223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5071,0.41,91.62,위험 (최근2년상승+임계초과)
5158111691,지엘건설개발주식회사,0.002,0.0016,0.0019,0.0017,0.5547,0.008,0.0042,0.0067,0.634,0.7809,0.8941,-0.0004,0.0003,-0.0002,0.553,-0.5467,-0.0038,0.0025,0.6273,0.1469,0.1132,91.62,위험 (3년연속상승+임계초과)
2858102175,주식회사비에이광주제일차개발,,,,,,,,,0.0033,0.7316,0.9237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283,0.1921,91.59,위험 (최근2년상승+임계초과)
3708100475,씨제이오티스주식회사,,,,,,0.0021,0.8007,0.0037,0.3926,0.3995,0.8952,0.0,0.0,0.0,0.0,0.0,0.7986,-0.797,0.3889,0.0069,0.4957,91.57,위험 (3년연속상승+임계초과)
4118183568,주식회사하늘,,,0.0028,0.0076,0.0866,0.4219,0.7972,0.1097,0.7273,0.8907,0.9163,0.0,0.0,0.0048,0.079,0.3353,0.3753,-0.6875,0.6176,0.1634,0.0256,91.54,위험 (3년연속상승+임계초과)
6888702527,주식회사정현디앤디,,,,,,,,0.0042,0.517,0.6209,0.8826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5128,0.1039,0.2617,91.5,위험 (3년연속상승+임계초과)
3198702510,아산배방복합개발피에프브이주식회사,,,,,,,,,0.0041,0.7701,0.9246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766,0.1545,91.5,위험 (최근2년상승+임계초과)
1128601285,주식회사해국판교,,,,,,,,0.0007,0.7117,0.8296,0.9012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711,0.1179,0.0716,91.46,위험 (3년연속상승+임계초과)
1818601146,주식회사태성티엔티,,,,,,,,,0.0048,0.8391,0.9376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343,0.0985,91.42,위험 (최근2년상승+임계초과)
5688102779,주식회사천명,,,,,,,,,0.0045,0.7601,0.9223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7556,0.1622,91.39,위험 (최근2년상승+임계초과)
8158801277,주식회사한려종합개발,,,,,,0.0051,0.7441,0.0949,0.8155,0.8474,0.9142,0.0,0.0,0.0,0.0,0.0,0.739,-0.6492,0.7206,0.0319,0.0668,91.37,위험 (3년연속상승+임계초과)
2388701513,주식회사루나플라체,,,,,,,0.0033,0.0142,0.7266,0.7939,0.8979,0.0,0.0,0.0,0.0,0.0,0.0,0.0109,0.7124,0.0673,0.104,91.36,위험 (3년연속상승+임계초과)
7738602420,주식회사심,,,,,,,,,0.0029,0.7551,0.9203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7522,0.1652,91.28,위험 (최근2년상승+임계초과)
1058692527,우아개발주식회사,,,,,0.0059,0.6288,0.0682,0.0151,0.352,0.7041,0.8763,0.0,0.0,0.0,0.0,0.6229,-0.5606,-0.0531,0.3369,0.3521,0.1722,91.27,위험 (3년연속상승+임계초과)
3238602069,주식회사탑홀딩스,,,,,,,,0.0032,0.7996,0.8922,0.9139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7964,0.0926,0.0217,91.25,위험 (3년연속상승+임계초과)
8688702424,주식회사프리모,,,,,,,,,0.0028,0.8259,0.9285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8231,0.1026,91.25,위험 (최근2년상승+임계초과)
3708802360,주식회사로지온레스터스에스피씨,,,,,,,,0.0066,0.7316,0.835,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.1034,0.0654,91.18,위험 (3년연속상승+임계초과)
6688100993,주식회사빌텍,,,,,0.0027,0.5744,0.0722,0.0274,0.7336,0.8938,0.9119,0.0,0.0,0.0,0.0,0.5717,-0.5022,-0.0448,0.7062,0.1602,0.0181,91.15,위험 (3년연속상승+임계초과)
