사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
4098618813,이한모터서비스주식회사,,,,0.0018,0.0041,0.004,0.0058,0.0006,0.0043,0.2001,0.568,0.0,0.0,0.0,0.0023,-0.0001,0.0018,-0.0052,0.0037,0.1958,0.3679,97.65
6648602126,아덴힐리조트앤골프주식회사,,,,,,,,0.0009,0.0155,0.0327,0.6445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0172,0.6118,97.58
4108707666,(주)큐에이드,,,0.0008,0.0164,0.0097,0.0027,0.002,0.0005,0.0019,0.0263,0.6684,0.0,0.0,0.0156,-0.0067,-0.007,-0.0007,-0.0015,0.0014,0.0244,0.6421,97.38
5038150750,케이지모빌리티대구서비스센터주식회사,0.0035,0.0016,0.0081,0.0251,0.0099,0.111,0.0762,0.0266,0.0814,0.2615,0.4943,-0.0019,0.0065,0.017,-0.0152,0.1011,-0.0348,-0.0496,0.0548,0.1801,0.2328,97.35
8488600255,(주)천일산업개발,,,,,,,,0.0036,0.1332,0.238,0.3517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1296,0.1048,0.1137,96.31
2318700643,주식회사혁진,,,,,0.0042,0.027,0.004,0.0009,0.0044,0.0181,0.3803,0.0,0.0,0.0,0.0,0.0228,-0.023,-0.0031,0.0035,0.0137,0.3622,96.06
2208837259,(주)쥬비스다이어트,,,,,0.0003,0.0008,0.0016,0.0003,0.0015,0.0165,0.3511,0.0,0.0,0.0,0.0,0.0005,0.0008,-0.0013,0.0012,0.015,0.3346,95.26
4088143629,영암관광개발(주),0.0022,0.0196,0.0098,0.01,0.0025,0.0109,0.0545,0.0013,0.01,0.0178,0.3321,0.0174,-0.0098,0.0002,-0.0075,0.0084,0.0436,-0.0532,0.0087,0.0078,0.3143,95.26
1398130664,승일자동차공업(주),,,0.0011,0.0041,0.0029,0.0029,0.004,0.0016,0.0143,0.1473,0.2419,0.0,0.0,0.003,-0.0012,0.0,0.0011,-0.0024,0.0127,0.133,0.0946,94.42
6178136528,주식회사우창,0.0005,0.0015,0.0033,0.0027,0.0012,0.0025,,0.0009,0.0084,0.0258,0.2162,0.001,0.0018,-0.0006,-0.0015,0.0013,0.0,0.0,0.0075,0.0174,0.1904,93.63
3638601355,주식회사아떼오드,,,,,,,,,0.0001,0.3481,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,0.1768,93.38
8138102650,(주)더존비앤씨티,,,,,,,,,0.0003,0.7404,0.7595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7401,0.0191,93.33
8828702250,새방,,,,,,,,,0.0001,0.1646,0.4437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645,0.2791,93.26
1278802034,주식회사더플레이어스,,,,,,,0.0004,0.001,0.0036,0.0299,0.1838,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0026,0.0263,0.1539,92.63
3218601900,주식회사영선개발,,,,,,,,,0.0002,0.1015,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1013,0.2418,92.25
1358144360,(주)수지자동차,,,,,,,,0.0015,0.0076,0.059,0.1431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0514,0.0841,92.23
