사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
8488600255,(주)천일산업개발,,,,,,,,0.2023,0.5611,0.6597,0.7775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3588,0.0986,0.1178,95.73,위험 (3년연속상승+임계초과)
7228701696,(주)쥬쥬랜드,,,,,,,,0.1628,0.5348,0.6436,0.7654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,0.1088,0.1218,95.66,위험 (3년연속상승+임계초과)
4108707666,(주)큐에이드,,,0.1523,0.1417,0.0904,0.0514,0.0384,0.0393,0.2111,0.508,0.6752,0.0,0.0,-0.0106,-0.0513,-0.039,-0.013,0.0009,0.1718,0.2969,0.1672,95.31,위험 (3년연속상승+임계초과)
4328601312,(주)펀인스퀘어,,,,,,,,0.1837,0.2202,0.2369,0.6947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365,0.0167,0.4578,93.99,위험 (3년연속상승+임계초과)
6168140053,(주)더원,0.0376,0.0351,0.0439,0.035,0.033,0.0357,0.4413,0.2841,0.4115,0.4619,0.6634,-0.0025,0.0088,-0.0089,-0.002,0.0027,0.4056,-0.1572,0.1274,0.0504,0.2015,93.68,위험 (3년연속상승+임계초과)
4078114403,신한레저주식회사,0.0842,0.0687,0.0536,0.0381,0.0351,0.0348,0.038,0.0339,0.344,0.5993,0.6605,-0.0155,-0.0151,-0.0155,-0.003,-0.0003,0.0032,-0.0041,0.3101,0.2553,0.0612,93.24,위험 (3년연속상승+임계초과)
4088143629,영암관광개발(주),0.0897,0.1323,0.0533,0.3034,0.0558,0.0682,0.4166,0.0401,0.1784,0.3048,0.6203,0.0426,-0.079,0.2501,-0.2476,0.0124,0.3484,-0.3765,0.1383,0.1264,0.3155,93.17,위험 (3년연속상승+임계초과)
2208837259,(주)쥬비스다이어트,,,,,0.0945,0.0406,0.0382,0.0354,0.2324,0.4056,0.6104,0.0,0.0,0.0,0.0,-0.0539,-0.0024,-0.0028,0.197,0.1732,0.2048,92.57,위험 (3년연속상승+임계초과)
2718701790,파크카운티주식회사,,,,,,,0.1476,0.389,0.6139,0.6793,0.7188,0.0,0.0,0.0,0.0,0.0,0.0,0.2414,0.2249,0.0654,0.0395,92.41,위험 (3년연속상승+임계초과)
8828702250,새방,,,,,,,,,0.1426,0.5948,0.7199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4522,0.1251,91.11,위험 (최근2년상승+임계초과)
1278802034,주식회사더플레이어스,,,,,,,0.1145,0.0464,0.2952,0.573,0.6219,0.0,0.0,0.0,0.0,0.0,0.0,-0.0681,0.2488,0.2778,0.0489,91.11,위험 (3년연속상승+임계초과)
3638601355,주식회사아떼오드,,,,,,,,,0.1753,0.7114,0.7942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361,0.0828,90.98,위험 (최근2년상승+임계초과)
8718701469,주식회사파인비치,,,,,,0.1131,0.0491,0.0421,0.0817,0.1366,0.5964,0.0,0.0,0.0,0.0,0.0,-0.064,-0.007,0.0396,0.0549,0.4598,90.93,위험 (가속+임계초과)
1148161794,(주)세영디앤씨,,,,,,,,,0.1849,0.5225,0.6929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3376,0.1704,90.87,위험 (최근2년상승+임계초과)
3498601010,(주)히어로플레이파크,,,,,,,,,0.1403,0.19,0.6947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0497,0.5047,90.84,위험 (최근가속+임계초과)
1788800577,주식회사위더스,,,,,,,,,0.1374,0.1546,0.6893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.5347,89.99,위험 (최근가속+임계초과)
8138102650,(주)더존비앤씨티,,,,,,,,,0.1607,0.7326,0.7723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.0397,89.54,위험 (최근2년상승+임계초과)
3688702341,(주)휴앤락그룹,,,,,,,,0.1545,0.5741,0.5834,0.6275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4196,0.0093,0.0441,89.12,위험 (3년연속상승+임계초과)
3948702490,주식회사셀럽골프앤리조트,,,,,,,,,0.156,0.6883,0.7195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5323,0.0312,88.72,위험 (최근2년상승+임계초과)
6648602126,아덴힐리조트앤골프주식회사,,,,,,,,0.1209,0.0907,0.3493,0.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0302,0.2586,0.3317,88.54,위험 (최근가속+임계초과)
2318700643,주식회사혁진,,,,,0.1355,0.3289,0.0813,0.0677,0.1327,0.2463,0.513,0.0,0.0,0.0,0.0,0.1934,-0.2476,-0.0136,0.065,0.1136,0.2667,87.8,위험 (가속+임계초과)
5508602467,주식회사덕임,,,,,,,,0.1629,0.6072,0.6307,0.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4443,0.0235,0.0073,87.78,위험 (3년연속상승+임계초과)
1398130664,승일자동차공업(주),,,0.1136,0.0462,0.0382,0.0478,0.0403,0.1344,0.3092,0.5128,0.5517,0.0,0.0,-0.0674,-0.008,0.0096,-0.0075,0.0941,0.1748,0.2036,0.0389,86.96,위험 (3년연속상승+임계초과)
3198701511,주식회사에이치앤에이치디벨롭먼트,,,,,,0.1604,0.5918,0.2501,0.3917,0.3991,0.5501,0.0,0.0,0.0,0.0,0.0,0.4314,-0.3417,0.1416,0.0074,0.151,86.62,위험 (3년연속상승+임계초과)
1248603520,주식회사리더스,0.1612,0.1619,0.1294,0.0375,0.0484,0.042,0.0366,0.0371,0.0899,0.3176,0.4837,0.0007,-0.0325,-0.0919,0.0109,-0.0064,-0.0054,0.0005,0.0528,0.2277,0.1661,85.45,위험 (3년연속상승+임계초과)
6078195670,주식회사우창금정,,,,,,,,,0.1645,0.4073,0.5692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2428,0.1619,85.37,위험 (최근2년상승+임계초과)
1208725612,크리스찬상조,,0.1922,0.4467,0.4694,0.4815,0.4896,0.5206,0.3312,0.3746,0.4002,0.5243,0.0,0.2545,0.0227,0.0121,0.0081,0.031,-0.1894,0.0434,0.0256,0.1241,85.04,위험 (3년연속상승+임계초과)
1288106238,주식회사올림픽컨트리클럽,0.0796,0.1115,,,,,,0.0374,0.0749,0.0973,0.4809,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0224,0.3836,84.57,위험 (3년연속상승+임계초과)
3498701375,주식회사어비스컴퍼니,,,,,,,,0.1171,0.348,0.4537,0.4978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2309,0.1057,0.0441,84.31,위험 (3년연속상승+임계초과)
6108177872,(주)고암개발,0.1811,0.4069,0.3417,0.4099,0.6026,0.2135,0.0608,0.0495,0.0777,0.0963,0.4771,0.2258,-0.0652,0.0682,0.1927,-0.3891,-0.1527,-0.0113,0.0282,0.0186,0.3808,84.07,위험 (3년연속상승+임계초과)
2588601806,주식회사희경이엔씨,,,,,,,,0.1711,0.1358,0.244,0.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0353,0.1082,0.338,83.69,위험 (최근가속+임계초과)
1108146807,(주)유니디아,,,,,0.1285,0.069,0.2409,0.2121,0.3858,0.3769,0.642,0.0,0.0,0.0,0.0,-0.0595,0.1719,-0.0288,0.1737,-0.0089,0.2651,83.53,위험 (최근급등+임계초과)
4618100989,주식회사칼라디움,,,,,0.1413,0.0884,0.5975,0.5586,0.1658,0.5492,0.6296,0.0,0.0,0.0,0.0,-0.0529,0.5091,-0.0389,-0.3928,0.3834,0.0804,83.46,위험 (최근2년상승+임계초과)
5638801454,골프존지디알아카데미주식회사,,,,,,,0.1462,0.549,0.3256,0.5732,0.6315,0.0,0.0,0.0,0.0,0.0,0.0,0.4028,-0.2234,0.2476,0.0583,82.97,위험 (최근2년상승+임계초과)
3918802182,석정골프앤리조트주식회사,,,,,,,,,0.1392,0.6155,0.6211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4763,0.0056,82.94,위험 (최근2년상승+임계초과)
1248158485,삼성전자서비스주식회사,0.1689,0.4301,0.4255,0.1525,0.4752,0.3849,0.3583,0.1231,0.1779,0.2167,0.4384,0.2612,-0.0046,-0.273,0.3227,-0.0903,-0.0266,-0.2352,0.0548,0.0388,0.2217,82.81,주의 (3년연속상승+임계근접)
6178136528,주식회사우창,0.0648,0.0561,0.0713,0.0548,0.0452,0.048,,0.0394,0.3362,0.3672,0.4602,-0.0087,0.0152,-0.0165,-0.0096,0.0028,0.0,0.0,0.2968,0.031,0.093,82.7,위험 (3년연속상승+임계초과)
7978701900,레인보우(주),,,,,,,,0.1548,0.3678,0.2123,0.6443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.1555,0.432,81.98,위험 (최근급등+임계초과)
6308101041,주식회사유심천레저산업,,,,,0.1577,0.6587,0.3605,0.3358,0.5233,0.3152,0.6509,0.0,0.0,0.0,0.0,0.501,-0.2982,-0.0247,0.1875,-0.2081,0.3357,81.82,위험 (최근급등+임계초과)
3238100222,주식회사아이지엘,,,,,,,,0.0949,0.0891,0.3201,0.5281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058,0.231,0.208,81.5,위험 (최근2년상승+임계초과)
6068176272,주식회사금곡골프프라자,0.0835,0.1854,0.236,0.067,0.1084,0.1436,,,0.3547,0.4134,0.5271,0.1019,0.0506,-0.169,0.0414,0.0352,0.0,0.0,0.0,0.0587,0.1137,81.49,위험 (최근가속+임계초과)
3718102030,주식회사금천레저,,,,,,,,0.1241,0.3892,0.4528,0.4726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2651,0.0636,0.0198,81.1,위험 (3년연속상승+임계초과)
6108603749,우신레저주식회사,0.2294,0.7087,0.2768,0.0538,0.2041,0.1253,0.0495,0.0411,0.0891,0.19,0.3897,0.4793,-0.4319,-0.223,0.1503,-0.0788,-0.0758,-0.0084,0.048,0.1009,0.1997,81.08,주의 (가속+임계근접)
5038150750,케이지모빌리티대구서비스센터주식회사,0.0762,0.1193,0.0599,0.3147,0.0644,0.3778,0.4397,0.2904,0.3072,0.4961,0.5051,0.0431,-0.0594,0.2548,-0.2503,0.3134,0.0619,-0.1493,0.0168,0.1889,0.009,81.02,위험 (3년연속상승+임계초과)
1388126833,주식회사컴피아,,,,,,0.102,0.0349,0.0368,0.1551,0.1789,0.3682,0.0,0.0,0.0,0.0,0.0,-0.0671,0.0019,0.1183,0.0238,0.1893,79.11,주의 (3년연속상승+임계근접)
8508101081,주식회사한강골프랜드,,,,,0.1079,0.0644,0.0399,0.0369,0.0665,0.1478,0.367,0.0,0.0,0.0,0.0,-0.0435,-0.0245,-0.003,0.0296,0.0813,0.2192,79.09,주의 (가속+임계근접)
1358144360,(주)수지자동차,,,,,,,,0.1117,0.1644,0.3469,0.3923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527,0.1825,0.0454,78.98,주의 (3년연속상승+임계근접)
4648802350,주식회사아산골프클럽,,,,,,,,,0.1349,0.289,0.4307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1541,0.1417,78.42,주의 (최근2년상승+임계근접)
