사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,최종합산스코어,등급_5단계,신용등급
1018122999,주식회사튤립코리아,2015,성숙기,0,47.86,0.0,4.31,47.86,0.21,44.08,2016,8.2,매우 안정,
1018122999,주식회사튤립코리아,2016,도입기,0,19.69,73.2,9.52,44.0,0.02,44.23,2017,15.1,매우 안정,
1018122999,주식회사튤립코리아,2017,도입기,0,21.96,78.4,0.0,46.32,0.19,42.94,2018,13.5,매우 안정,
1018122999,주식회사튤립코리아,2018,도입기,0,13.01,78.6,6.93,41.03,0.43,45.96,2019,14.8,매우 안정,
1018122999,주식회사튤립코리아,2019,도입기,0,11.4,85.7,37.0,57.64,1.54,45.7,2020,24.3,매우 안정,
1018122999,주식회사튤립코리아,2020,쇠퇴기,0,100.0,96.4,34.58,36.97,25.87,60.83,2021,41.1,위험,
1018122999,주식회사튤립코리아,2021,조정기,0,36.2,65.5,89.3,67.73,3.81,31.16,2022,37.5,중립,
1018122999,주식회사튤립코리아,2022,성숙기,0,7.06,0.0,86.91,43.34,5.45,45.71,2023,29.3,안정,
1018122999,주식회사튤립코리아,2023,조정기,0,2.44,52.9,89.94,49.35,18.05,52.65,2024,42.0,위험,
1018122999,주식회사튤립코리아,2024,쇠퇴기,0,0.0,88.3,100.0,72.88,11.68,46.86,2025,45.7,위험,
1018130543,최신물산주식회사,2015,성숙기,0,47.86,0.0,4.31,48.87,0.07,44.57,2016,8.2,매우 안정,
1018130543,최신물산주식회사,2016,성숙기,0,19.69,0.0,9.52,38.66,0.02,44.31,2017,7.5,매우 안정,
1018130543,최신물산주식회사,2017,도입기,0,21.96,78.4,0.0,40.48,1.19,43.55,2018,13.7,매우 안정,
1018130543,최신물산주식회사,2018,도입기,0,13.01,78.6,6.93,36.54,17.8,55.69,2019,23.8,매우 안정,
1018130543,최신물산주식회사,2019,쇠퇴기,0,11.4,100.0,37.0,53.69,38.9,57.96,2020,44.9,위험,
1018130543,최신물산주식회사,2020,쇠퇴기,1,100.0,96.4,34.58,38.94,98.87,82.44,2021,78.8,매우 위험,
1018158522,(주)가인물산,2015,성숙기,0,47.86,0.0,4.31,50.19,0.02,44.55,2016,8.2,매우 안정,
1018158522,(주)가인물산,2016,성숙기,0,19.69,0.0,9.52,54.16,0.01,44.34,2017,8.3,매우 안정,
1018158522,(주)가인물산,2017,성숙기,0,21.96,0.0,0.0,50.92,16.0,52.65,2018,14.3,매우 안정,
1018158522,(주)가인물산,2018,쇠퇴기,0,13.01,100.0,6.93,46.47,16.64,46.15,2019,25.3,매우 안정,
1018189665,(주)인다인,2015,성장기,0,47.86,0.5,4.31,50.19,0.07,44.55,2016,8.3,매우 안정,
1018189665,(주)인다인,2016,성장기,0,19.69,2.5,9.52,42.68,0.07,44.34,2017,8.0,매우 안정,
1018189665,(주)인다인,2017,성장기,0,21.96,8.3,0.0,44.29,0.19,42.91,2018,6.4,매우 안정,
1018189665,(주)인다인,2018,성장기,0,13.01,5.2,6.93,38.68,0.14,45.79,2019,7.2,매우 안정,
1018189665,(주)인다인,2019,성장기,0,11.4,2.6,37.0,57.8,0.88,45.47,2020,15.7,매우 안정,
1018189665,(주)인다인,2020,성장기,0,100.0,0.0,34.58,44.24,1.59,46.36,2021,19.0,매우 안정,
1018189665,(주)인다인,2021,성숙기,0,36.2,0.0,89.3,60.66,0.48,44.38,2022,29.6,안정,
1018189665,(주)인다인,2022,쇠퇴기,0,7.06,100.0,86.91,43.76,2.59,46.14,2023,37.9,중립,
1018189665,(주)인다인,2023,조정기,0,2.44,52.9,89.94,48.72,55.34,75.91,2024,61.8,위험,
1018189665,(주)인다인,2024,성장기,0,0.0,29.8,100.0,72.01,44.03,44.15,2025,55.8,위험,
1018625818,(주)대한패브릭,2015,도입기,0,47.86,71.8,4.31,47.68,1.19,44.92,2016,15.9,매우 안정,
1018625818,(주)대한패브릭,2016,도입기,0,19.69,73.2,9.52,42.38,0.19,43.77,2017,15.1,매우 안정,
1018625818,(주)대한패브릭,2017,조정기,0,21.96,62.6,0.0,44.08,6.39,46.63,2018,15.1,매우 안정,
1018625818,(주)대한패브릭,2018,도입기,0,13.01,78.6,6.93,39.13,0.16,42.1,2019,14.4,매우 안정,
1018625818,(주)대한패브릭,2019,조정기,0,11.4,65.6,37.0,56.16,0.73,45.37,2020,21.8,매우 안정,
1018625818,(주)대한패브릭,2020,도입기,0,100.0,100.0,34.58,43.46,17.66,56.3,2021,37.5,중립,
1018625818,(주)대한패브릭,2021,성장기,0,36.2,1.6,89.3,61.8,3.82,36.36,2022,31.1,안정,
1018625818,(주)대한패브릭,2022,성숙기,0,7.06,0.0,86.91,44.12,2.53,44.1,2023,27.8,안정,
1018625818,(주)대한패브릭,2023,도입기,0,2.44,93.3,89.94,49.25,0.33,43.96,2024,36.8,중립,
1018625818,(주)대한패브릭,2024,도입기,0,0.0,100.0,100.0,72.63,0.34,50.52,2025,41.3,위험,
1018627946,주식회사이새에프앤씨,2016,성장기,0,19.69,2.5,9.52,42.68,0.01,44.34,2017,8.0,매우 안정,
1018627946,주식회사이새에프앤씨,2017,성숙기,0,21.96,0.0,0.0,44.29,0.19,42.94,2018,5.6,매우 안정,
1018627946,주식회사이새에프앤씨,2018,조정기,0,13.01,76.0,6.93,38.99,0.34,45.91,2019,14.4,매우 안정,
1018627946,주식회사이새에프앤씨,2019,성숙기,0,11.4,0.0,37.0,59.42,0.02,44.83,2020,15.0,매우 안정,
1018627946,주식회사이새에프앤씨,2020,쇠퇴기,0,100.0,96.4,34.58,39.53,0.03,45.94,2021,27.6,안정,
1018627946,주식회사이새에프앤씨,2021,성장기,0,36.2,1.6,89.3,61.12,0.03,45.07,2022,29.6,안정,
1018627946,주식회사이새에프앤씨,2022,성숙기,0,7.06,0.0,86.91,43.73,0.08,45.03,2023,26.6,안정,
1018627946,주식회사이새에프앤씨,2023,성장기,0,2.44,19.4,89.94,48.85,0.02,45.12,2024,29.3,안정,
1018627946,주식회사이새에프앤씨,2024,쇠퇴기,0,0.0,88.3,100.0,71.74,0.1,50.56,2025,40.0,중립,
1018629380,몬로스타주식회사,2020,성장기,0,100.0,0.0,34.58,42.71,0.09,45.94,2021,18.1,매우 안정,
1018629380,몬로스타주식회사,2021,성장기,0,36.2,1.6,89.3,59.61,1.0,45.66,2022,30.1,안정,
1018629380,몬로스타주식회사,2022,성장기,0,7.06,10.6,86.91,41.7,5.23,47.28,2023,30.2,안정,
1018629380,몬로스타주식회사,2023,도입기,0,2.44,93.3,89.94,44.5,40.71,65.94,2024,57.8,위험,
1018629380,몬로스타주식회사,2024,도입기,0,0.0,100.0,100.0,66.26,43.88,52.55,2025,62.9,위험,
1018640987,(주)충남섬유,2016,성장기,0,19.69,2.5,9.52,42.68,0.03,44.34,2017,8.0,매우 안정,
1018640987,(주)충남섬유,2017,쇠퇴기,0,21.96,100.0,0.0,44.29,0.54,43.15,2018,15.7,매우 안정,
1018640987,(주)충남섬유,2018,성숙기,0,13.01,0.0,6.93,38.99,0.28,45.66,2019,6.8,매우 안정,
1018640987,(주)충남섬유,2019,성숙기,0,11.4,0.0,37.0,59.28,0.47,45.14,2020,15.3,매우 안정,
1018640987,(주)충남섬유,2020,성숙기,0,100.0,4.6,34.58,47.17,0.13,45.73,2021,18.8,매우 안정,
1018640987,(주)충남섬유,2021,성숙기,0,36.2,0.0,89.3,58.8,0.47,45.29,2022,29.6,안정,
1018640987,(주)충남섬유,2022,성숙기,0,7.06,0.0,86.91,42.52,0.3,44.88,2023,26.6,안정,
1018640987,(주)충남섬유,2023,성숙기,0,2.44,0.0,89.94,47.64,0.14,45.07,2024,27.3,안정,
1018640987,(주)충남섬유,2024,성숙기,0,0.0,0.0,100.0,70.07,0.4,50.67,2025,31.2,안정,
1018669795,(주)고텍스타일,2015,도입기,0,47.86,71.8,4.31,50.19,1.92,45.67,2016,16.4,매우 안정,
1018669795,(주)고텍스타일,2016,조정기,0,19.69,57.1,9.52,42.68,3.84,45.53,2017,15.4,매우 안정,
1018669795,(주)고텍스타일,2017,조정기,0,21.96,62.6,0.0,44.03,6.99,44.73,2018,15.3,매우 안정,
1018669795,(주)고텍스타일,2018,조정기,0,13.01,76.0,6.93,38.06,4.82,44.51,2019,16.5,매우 안정,
1018669795,(주)고텍스타일,2019,조정기,0,11.4,65.6,37.0,56.81,24.73,57.12,2020,34.4,중립,
1018677257,주식회사풍신,2015,도입기,0,47.86,71.8,4.31,50.19,2.66,46.18,2016,16.8,매우 안정,
1018677257,주식회사풍신,2016,조정기,0,19.69,57.1,9.52,42.68,0.44,43.08,2017,13.6,매우 안정,
1018677257,주식회사풍신,2017,쇠퇴기,0,21.96,100.0,0.0,29.53,0.1,42.62,2018,14.8,매우 안정,
1018677257,주식회사풍신,2018,쇠퇴기,0,13.01,100.0,6.93,22.91,0.05,45.79,2019,15.8,매우 안정,
1018677257,주식회사풍신,2019,쇠퇴기,0,11.4,100.0,37.0,44.24,0.13,45.07,2020,24.4,매우 안정,
1018677257,주식회사풍신,2020,도입기,0,100.0,100.0,34.58,48.5,14.1,54.49,2021,35.8,중립,
1018677257,주식회사풍신,2021,도입기,0,36.2,90.8,89.3,64.65,1.41,37.06,2022,39.0,중립,
1018677257,주식회사풍신,2022,도입기,0,7.06,89.4,86.91,39.75,0.4,44.37,2023,35.4,중립,
1018683690,(주)헬리녹스,2015,성장기,0,47.86,0.5,4.31,50.19,0.12,44.55,2016,8.3,매우 안정,
1018683690,(주)헬리녹스,2016,성장기,0,19.69,2.5,9.52,42.68,0.05,44.31,2017,8.0,매우 안정,
1018683690,(주)헬리녹스,2017,성장기,0,21.96,8.3,0.0,44.29,0.08,42.85,2018,6.3,매우 안정,
1018683690,(주)헬리녹스,2018,성장기,0,13.01,5.2,6.93,20.84,0.06,45.81,2019,6.3,매우 안정,
1018683690,(주)헬리녹스,2019,성장기,0,11.4,2.6,37.0,57.32,0.11,45.05,2020,15.3,매우 안정,
1018683690,(주)헬리녹스,2020,성장기,0,100.0,0.0,34.58,47.14,0.04,45.89,2021,18.3,매우 안정,
1018683690,(주)헬리녹스,2021,성장기,0,36.2,1.6,89.3,56.28,0.1,45.11,2022,29.4,안정,
1018683690,(주)헬리녹스,2022,성장기,0,7.06,10.6,86.91,40.54,0.14,45.02,2023,27.5,안정,
1018683690,(주)헬리녹스,2023,성장기,0,2.44,19.4,89.94,45.88,2.0,46.24,2024,30.2,안정,
1018683690,(주)헬리녹스,2024,성장기,0,0.0,29.8,100.0,68.21,17.9,59.83,2025,43.3,위험,
1018689393,주식회사풍신상사,2015,도입기,0,47.86,71.8,4.31,50.19,0.11,44.55,2016,15.4,매우 안정,
1018689393,주식회사풍신상사,2016,도입기,0,19.69,73.2,9.52,42.68,22.74,57.85,2017,27.1,안정,
1018689393,주식회사풍신상사,2017,도입기,1,21.96,78.4,0.0,44.29,99.2,89.6,2018,65.2,위험,
1028113611,주식회사돌담,2015,성숙기,0,47.86,0.0,4.31,53.56,0.27,44.63,2016,8.5,매우 안정,
1028113611,주식회사돌담,2016,성숙기,0,19.69,0.0,9.52,44.34,0.16,44.28,2017,7.9,매우 안정,
1028113611,주식회사돌담,2017,조정기,0,21.96,62.6,0.0,45.34,4.26,45.35,2018,14.0,매우 안정,
1028113611,주식회사돌담,2018,성숙기,0,13.01,0.0,6.93,38.93,81.8,91.9,2019,49.8,위험,
1028113611,주식회사돌담,2019,도입기,0,11.4,85.7,37.0,54.64,74.79,41.53,2020,60.6,위험,
1028113611,주식회사돌담,2020,성숙기,0,100.0,4.6,34.58,38.59,4.34,2.31,2021,18.3,매우 안정,
1028113611,주식회사돌담,2021,성숙기,0,36.2,0.0,89.3,55.51,0.55,42.68,2022,29.3,안정,
1028113611,주식회사돌담,2022,성숙기,0,7.06,0.0,86.91,40.82,89.01,93.71,2023,73.3,매우 위험,
1028113611,주식회사돌담,2023,성장기,0,2.44,19.4,89.94,46.02,69.2,36.41,2024,63.3,위험,
1028113611,주식회사돌담,2024,쇠퇴기,1,0.0,88.3,100.0,67.47,67.33,49.73,2025,73.4,매우 위험,
1028119333,일정실업(주),2015,성숙기,0,47.86,0.0,4.31,43.31,0.08,44.55,2016,7.9,매우 안정,
1028119333,일정실업(주),2016,조정기,0,19.69,57.1,9.52,39.82,0.09,44.35,2017,13.3,매우 안정,
1028119333,일정실업(주),2017,조정기,0,21.96,62.6,0.0,43.09,43.51,69.51,2018,34.7,중립,
1028119333,일정실업(주),2018,도입기,0,13.01,78.6,6.93,34.57,60.14,55.56,2019,44.8,위험,
1028119333,일정실업(주),2019,도입기,1,11.4,85.7,37.0,52.86,92.67,65.27,2020,70.6,매우 위험,
