사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화
0008120015,(주)엑세스바이오인코퍼레이션,2015,조정기,0,59.67,22.7,21.47,51.8,1.39,44.23
0008120015,(주)엑세스바이오인코퍼레이션,2016,성장기,0,38.42,3.1,0.0,64.21,2.53,36.59
0008120015,(주)엑세스바이오인코퍼레이션,2017,도입기,1,24.27,67.0,5.59,47.26,41.59,68.23
0008120019,잉글우드랩(주),2015,도입기,0,59.67,48.2,21.47,50.04,0.15,43.37
0008120019,잉글우드랩(주),2016,도입기,0,38.42,65.6,0.0,60.39,0.06,35.58
0008120019,잉글우드랩(주),2017,도입기,0,24.27,67.0,5.59,43.53,5.21,43.76
0008120019,잉글우드랩(주),2018,도입기,0,10.04,75.9,33.85,43.55,21.55,49.58
0008120019,잉글우드랩(주),2019,도입기,0,46.52,92.0,18.08,48.3,0.05,25.2
0008120019,잉글우드랩(주),2020,조정기,0,100.0,22.2,55.74,64.08,0.15,36.9
0008120019,잉글우드랩(주),2021,도입기,0,0.0,99.0,40.44,55.38,0.02,44.39
0008120019,잉글우드랩(주),2022,성숙기,0,22.52,0.0,88.05,44.24,0.02,34.0
0008120019,잉글우드랩(주),2023,성숙기,0,38.19,0.0,89.05,53.66,0.01,48.49
0008120019,잉글우드랩(주),2024,성숙기,0,36.0,0.0,100.0,44.18,0.01,42.25
1018110436,디아이지에어가스주식회사,2015,성장기,0,59.67,3.2,21.47,51.39,1.18,42.74
1018110436,디아이지에어가스주식회사,2016,성장기,0,38.42,3.1,0.0,64.62,1.55,35.95
1018110436,디아이지에어가스주식회사,2017,성장기,0,24.27,3.8,5.59,46.8,3.1,41.15
1018110436,디아이지에어가스주식회사,2018,성숙기,0,10.04,0.0,33.85,53.15,1.61,37.26
1018110436,디아이지에어가스주식회사,2019,성숙기,0,46.52,0.0,18.08,53.45,0.24,38.56
1018110436,디아이지에어가스주식회사,2020,성숙기,0,100.0,0.0,55.74,64.8,0.28,36.86
1018110436,디아이지에어가스주식회사,2021,성숙기,0,0.0,0.0,40.44,54.37,0.34,44.51
1018110436,디아이지에어가스주식회사,2022,성숙기,0,22.52,0.0,88.05,44.28,0.06,33.82
1018110436,디아이지에어가스주식회사,2023,성숙기,0,38.19,0.0,89.05,53.81,0.04,48.48
1018110436,디아이지에어가스주식회사,2024,성숙기,0,36.0,0.0,100.0,45.07,0.06,42.26
1018118476,대정화금(주),2015,조정기,0,59.67,22.7,21.47,52.06,0.07,43.39
1018118476,대정화금(주),2016,성숙기,0,38.42,0.0,0.0,59.74,0.02,35.62
1018118476,대정화금(주),2017,성숙기,0,24.27,0.0,5.59,42.9,0.03,40.05
1018118476,대정화금(주),2018,성숙기,0,10.04,0.0,33.85,50.99,0.06,38.1
1018118476,대정화금(주),2019,성장기,0,46.52,5.5,18.08,51.0,0.01,39.43
1018118476,대정화금(주),2020,성장기,0,100.0,5.3,55.74,63.65,0.01,36.84
1018118476,대정화금(주),2021,조정기,0,0.0,27.1,40.44,53.51,0.02,44.47
1018118476,대정화금(주),2022,조정기,0,22.52,24.8,88.05,43.76,0.02,34.0
1018118476,대정화금(주),2023,성숙기,0,38.19,0.0,89.05,53.52,0.02,48.49
1018118476,대정화금(주),2024,성숙기,0,36.0,0.0,100.0,44.78,0.04,42.26
1018121307,다무라케미컬코리아(주),2015,성숙기,0,59.67,0.0,21.47,50.04,0.01,43.37
1018121307,다무라케미컬코리아(주),2016,성숙기,0,38.42,0.0,0.0,60.92,0.01,35.66
1018121307,다무라케미컬코리아(주),2017,성숙기,0,24.27,0.0,5.59,44.78,0.01,40.04
1018121307,다무라케미컬코리아(주),2018,성숙기,0,10.04,0.0,33.85,52.25,0.02,38.08
1018121307,다무라케미컬코리아(주),2019,성숙기,0,46.52,0.0,18.08,51.76,0.01,39.46
1018121307,다무라케미컬코리아(주),2020,성숙기,0,100.0,0.0,55.74,63.46,0.01,36.84
1018121307,다무라케미컬코리아(주),2021,성숙기,0,0.0,0.0,40.44,53.17,0.01,44.46
1018121307,다무라케미컬코리아(주),2022,성숙기,0,22.52,0.0,88.05,44.39,0.01,34.0
1018121307,다무라케미컬코리아(주),2023,조정기,0,38.19,27.9,89.05,53.94,0.01,48.49
1018121307,다무라케미컬코리아(주),2024,조정기,0,36.0,28.3,100.0,45.31,0.02,42.25
1018192272,(주)협화화학,2015,조정기,0,59.67,22.7,21.47,28.22,6.87,43.07
1018192272,(주)협화화학,2016,조정기,0,38.42,28.7,0.0,66.15,6.09,34.86
1018192272,(주)협화화학,2017,조정기,0,24.27,26.4,5.59,51.47,6.06,39.98
1018194737,바이오플러스(주),2015,도입기,0,59.67,48.2,21.47,,0.39,42.99
1018194737,바이오플러스(주),2016,도입기,0,38.42,65.6,0.0,60.39,0.02,35.35
1018194737,바이오플러스(주),2017,도입기,0,24.27,67.0,5.59,43.53,0.06,40.06
1018194737,바이오플러스(주),2018,성장기,0,10.04,2.7,33.85,63.28,0.07,38.09
1018194737,바이오플러스(주),2019,성숙기,0,46.52,0.0,18.08,28.71,0.01,39.43
1018194737,바이오플러스(주),2020,성장기,0,100.0,5.3,55.74,64.52,0.01,36.84
1018194737,바이오플러스(주),2021,성장기,0,0.0,7.7,40.44,61.13,0.05,44.49
1018194737,바이오플러스(주),2022,성장기,0,22.52,10.0,88.05,42.41,0.01,33.97
1018194737,바이오플러스(주),2023,성장기,0,38.19,12.8,89.05,52.68,0.01,48.49
1018194737,바이오플러스(주),2024,성장기,0,36.0,13.1,100.0,44.66,0.01,42.25
1018195610,금호타이어(주),2015,성숙기,0,59.67,0.0,21.47,45.79,0.86,43.77
1018195610,금호타이어(주),2016,성장기,0,38.42,3.1,0.0,59.39,1.67,36.33
1018195610,금호타이어(주),2017,성장기,0,24.27,3.8,5.59,42.45,10.31,46.27
1018195610,금호타이어(주),2018,성장기,0,10.04,2.7,33.85,50.44,39.59,58.75
1018195610,금호타이어(주),2019,성장기,1,46.52,5.5,18.08,52.67,41.07,39.84
1018642705,(주)샤페론,2018,도입기,0,10.04,75.9,33.85,50.9,0.22,38.07
1018642705,(주)샤페론,2019,조정기,0,46.52,21.7,18.08,52.23,16.55,50.06
1018642705,(주)샤페론,2020,쇠퇴기,0,100.0,100.0,55.74,64.76,6.16,29.9
1018642705,(주)샤페론,2021,도입기,0,0.0,99.0,40.44,53.6,6.31,44.69
1018642705,(주)샤페론,2022,도입기,1,22.52,100.0,88.05,43.21,58.4,70.01
1018643209,(주)자연인,2018,조정기,0,10.04,24.9,33.85,50.9,0.16,38.07
1018643209,(주)자연인,2019,조정기,0,46.52,21.7,18.08,52.23,0.02,39.37
1018643209,(주)자연인,2020,조정기,0,100.0,22.2,55.74,64.76,0.01,36.83
1018643209,(주)자연인,2021,조정기,0,0.0,27.1,40.44,52.64,0.03,44.48
1018643209,(주)자연인,2022,성장기,0,22.52,10.0,88.05,40.66,0.32,34.2
1018643209,(주)자연인,2023,성장기,0,38.19,12.8,89.05,51.23,1.9,49.35
1018643209,(주)자연인,2024,도입기,0,36.0,100.0,100.0,41.69,0.11,41.18
1018660116,에스케이지오센트릭주식회사,2015,성장기,0,59.67,3.2,21.47,55.32,0.06,43.39
1018660116,에스케이지오센트릭주식회사,2016,성숙기,0,38.42,0.0,0.0,56.29,0.03,35.64
1018660116,에스케이지오센트릭주식회사,2017,성숙기,0,24.27,0.0,5.59,38.29,0.02,40.03
1018660116,에스케이지오센트릭주식회사,2018,성숙기,0,10.04,0.0,33.85,49.75,0.05,38.1
1018660116,에스케이지오센트릭주식회사,2019,성숙기,0,46.52,0.0,18.08,48.48,0.02,39.45
1018660116,에스케이지오센트릭주식회사,2020,성숙기,0,100.0,0.0,55.74,64.46,1.6,37.89
1018660116,에스케이지오센트릭주식회사,2021,성숙기,0,0.0,0.0,40.44,57.32,0.05,43.51
1018660116,에스케이지오센트릭주식회사,2022,성숙기,0,22.52,0.0,88.05,51.86,0.48,34.3
1018660116,에스케이지오센트릭주식회사,2023,성숙기,0,38.19,0.0,89.05,57.71,0.18,48.33
1018660116,에스케이지오센트릭주식회사,2024,성장기,0,36.0,13.1,100.0,49.19,2.38,43.57
1018660644,울산아로마틱스주식회사,2015,성숙기,0,59.67,0.0,21.47,50.04,0.88,43.35
1018660644,울산아로마틱스주식회사,2016,성숙기,0,38.42,0.0,0.0,68.96,0.85,35.61
1018660644,울산아로마틱스주식회사,2017,성숙기,0,24.27,0.0,5.59,49.68,1.28,40.34
1018660644,울산아로마틱스주식회사,2018,성숙기,0,10.04,0.0,33.85,57.54,0.36,37.53
1018660644,울산아로마틱스주식회사,2019,성숙기,0,46.52,0.0,18.08,56.25,0.23,39.38
1018660644,울산아로마틱스주식회사,2020,성숙기,0,100.0,0.0,55.74,65.51,0.2,36.82
