사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화
1018669422,스틸싸이클에스씨주식회사,2015,도입기,0,88.83,81.4,0.0,50.49,41.21,43.13
1018669422,스틸싸이클에스씨주식회사,2016,도입기,0,63.09,79.8,45.61,56.38,39.88,44.05
1018669422,스틸싸이클에스씨주식회사,2017,도입기,1,30.69,100.0,50.99,47.3,42.74,47.83
1038601995,와이케이스틸주식회사,2020,성숙기,0,100.0,8.5,65.49,43.77,28.72,36.79
1038601995,와이케이스틸주식회사,2021,성장기,0,0.0,0.0,71.12,61.15,0.03,35.66
1038601995,와이케이스틸주식회사,2022,조정기,0,47.45,30.6,98.02,32.82,0.99,38.33
1038601995,와이케이스틸주식회사,2023,성숙기,0,57.98,0.0,98.24,86.29,0.04,44.53
1038601995,와이케이스틸주식회사,2024,성숙기,0,57.2,0.0,100.0,88.03,13.34,58.31
1048163174,(주)세아홀딩스,2015,성숙기,0,88.83,4.9,0.0,51.92,0.0,43.13
1048163174,(주)세아홀딩스,2016,성숙기,0,63.09,6.9,45.61,58.36,0.0,49.93
1048163174,(주)세아홀딩스,2017,성숙기,0,30.69,7.3,50.99,49.67,0.0,43.69
1048163174,(주)세아홀딩스,2018,성숙기,0,44.2,2.2,77.87,60.92,0.0,52.62
1048163174,(주)세아홀딩스,2019,성숙기,0,60.03,6.8,60.78,51.18,0.0,53.13
1048163174,(주)세아홀딩스,2020,성숙기,0,100.0,8.5,65.49,47.37,33.68,58.1
1048163174,(주)세아홀딩스,2021,성숙기,0,0.0,17.8,71.12,64.24,0.05,32.21
1048163174,(주)세아홀딩스,2022,성장기,0,47.45,0.0,98.02,38.59,0.02,37.53
1048163174,(주)세아홀딩스,2023,성숙기,0,57.98,0.0,98.24,43.2,0.04,45.45
1048163174,(주)세아홀딩스,2024,성장기,0,57.2,7.4,100.0,38.83,0.02,48.74
1048174929,(주)제이슨앤컴퍼니,2015,성숙기,0,88.83,4.9,0.0,55.01,0.0,43.13
1048174929,(주)제이슨앤컴퍼니,2016,성숙기,0,63.09,6.9,45.61,59.58,0.0,49.93
1048174929,(주)제이슨앤컴퍼니,2017,성숙기,0,30.69,7.3,50.99,51.93,1.35,44.61
1048174929,(주)제이슨앤컴퍼니,2018,성숙기,0,44.2,2.2,77.87,62.74,0.06,51.9
1048174929,(주)제이슨앤컴퍼니,2019,도입기,0,60.03,100.0,60.78,57.26,4.56,55.83
1048174929,(주)제이슨앤컴퍼니,2020,도입기,0,100.0,100.0,65.49,47.1,2.22,35.53
1048174929,(주)제이슨앤컴퍼니,2021,쇠퇴기,0,0.0,100.0,71.12,54.99,0.08,54.18
1048174929,(주)제이슨앤컴퍼니,2022,쇠퇴기,0,47.45,100.0,98.02,34.05,2.53,39.56
1048179924,(주)세대에셋,2015,조정기,0,88.83,39.5,0.0,75.98,36.81,50.62
1048179924,(주)세대에셋,2016,조정기,0,63.09,32.0,45.61,47.27,42.27,48.67
1048613169,디케이동신주식회사,2015,성장기,0,88.83,0.0,0.0,47.09,0.0,42.07
1048613169,디케이동신주식회사,2016,성장기,0,63.09,0.0,45.61,56.99,0.0,49.93
1048613169,디케이동신주식회사,2017,성장기,0,30.69,0.0,50.99,48.74,7.49,48.78
1048613169,디케이동신주식회사,2018,도입기,0,44.2,58.8,77.87,59.37,54.43,79.79
1048613169,디케이동신주식회사,2019,조정기,1,60.03,34.1,60.78,51.16,12.87,25.61
1058128957,신스틸(주),2015,조정기,0,88.83,39.5,0.0,55.73,0.0,43.13
1058128957,신스틸(주),2016,조정기,0,63.09,32.0,45.61,56.6,0.0,49.93
1058128957,신스틸(주),2017,성숙기,0,30.69,7.3,50.99,46.82,0.0,43.69
1058128957,신스틸(주),2018,성숙기,0,44.2,2.2,77.87,56.26,0.0,52.62
1058128957,신스틸(주),2019,성숙기,0,60.03,6.8,60.78,48.99,0.0,53.13
1058128957,신스틸(주),2020,성숙기,0,100.0,8.5,65.49,36.63,0.0,36.79
1058128957,신스틸(주),2021,성숙기,0,0.0,17.8,71.12,56.53,0.03,55.7
1058128957,신스틸(주),2022,도입기,0,47.45,78.1,98.02,36.0,0.03,37.55
1058128957,신스틸(주),2023,조정기,0,57.98,40.6,98.24,40.56,13.24,55.92
1058128957,신스틸(주),2024,조정기,0,57.2,20.2,100.0,36.95,0.02,39.88
1058659509,비엔에프머티리얼즈(주),2016,쇠퇴기,0,63.09,100.0,45.61,56.38,12.62,49.93
1058659509,비엔에프머티리얼즈(주),2017,성숙기,0,30.69,7.3,50.99,47.3,0.0,35.82
1058659509,비엔에프머티리얼즈(주),2019,도입기,0,60.03,100.0,60.78,50.18,0.02,53.13
1058659509,비엔에프머티리얼즈(주),2020,조정기,0,100.0,27.6,65.49,44.93,17.88,48.09
1058659509,비엔에프머티리얼즈(주),2021,도입기,0,0.0,83.0,71.12,62.19,0.08,43.26
1058659509,비엔에프머티리얼즈(주),2022,성장기,0,47.45,0.0,98.02,42.31,17.74,51.91
1058659509,비엔에프머티리얼즈(주),2023,성숙기,0,57.98,0.0,98.24,46.58,0.04,28.64
1058659509,비엔에프머티리얼즈(주),2024,성숙기,0,57.2,0.0,100.0,43.33,0.02,48.74
1058702022,(주)지덕이엔지,2021,도입기,0,0.0,83.0,71.12,61.15,13.84,55.7
1058702022,(주)지덕이엔지,2022,도입기,0,47.45,78.1,98.02,32.82,0.29,30.56
1058702022,(주)지덕이엔지,2023,도입기,0,57.98,93.1,98.24,37.87,0.6,45.64
1058702022,(주)지덕이엔지,2024,성장기,0,57.2,7.4,100.0,23.98,0.02,48.36
1058742626,동산산업기계(주),2022,성장기,0,47.45,0.0,98.02,32.82,14.05,37.54
1058742626,동산산업기계(주),2023,성숙기,0,57.98,0.0,98.24,37.87,19.74,47.78
1058742626,동산산업기계(주),2024,성숙기,0,57.2,0.0,100.0,33.18,19.28,49.36
1068164183,(주)파이프라인,2015,쇠퇴기,0,88.83,100.0,0.0,44.67,60.37,85.57
1068164183,(주)파이프라인,2016,쇠퇴기,0,63.09,100.0,45.61,46.8,54.02,38.67
1068164183,(주)파이프라인,2017,쇠퇴기,0,30.69,77.0,50.99,35.87,44.03,39.89
1068164183,(주)파이프라인,2018,성숙기,0,44.2,2.2,77.87,57.88,15.68,37.09
1068164183,(주)파이프라인,2019,조정기,0,60.03,34.1,60.78,59.58,1.09,43.63
1068164183,(주)파이프라인,2020,조정기,0,100.0,27.6,65.49,33.31,0.0,36.15
1068164183,(주)파이프라인,2021,조정기,0,0.0,39.4,71.12,55.99,0.08,55.73
1068164183,(주)파이프라인,2022,도입기,0,47.45,78.1,98.02,31.33,4.36,41.04
1068164183,(주)파이프라인,2023,조정기,0,57.98,40.6,98.24,36.33,0.06,41.34
1068164183,(주)파이프라인,2024,조정기,0,57.2,20.2,100.0,32.87,0.02,48.73
1078111563,(주)휴스틸,2015,성숙기,0,88.83,4.9,0.0,48.33,0.12,43.21
1078111563,(주)휴스틸,2016,도입기,0,63.09,79.8,45.61,53.46,1.74,50.88
1078111563,(주)휴스틸,2017,쇠퇴기,0,30.69,77.0,50.99,42.78,0.11,42.69
1078111563,(주)휴스틸,2018,조정기,0,44.2,26.8,77.87,61.88,0.0,52.56
1078111563,(주)휴스틸,2019,성숙기,0,60.03,6.8,60.78,58.91,20.14,65.23
1078111563,(주)휴스틸,2020,성장기,0,100.0,0.0,65.49,55.16,0.0,25.02
1078111563,(주)휴스틸,2021,조정기,0,0.0,39.4,71.12,70.66,0.03,55.7
1078111563,(주)휴스틸,2022,성장기,0,47.45,0.0,98.02,47.98,0.02,37.54
1078111563,(주)휴스틸,2023,성장기,0,57.98,5.6,98.24,52.55,0.04,45.45
1078111563,(주)휴스틸,2024,성장기,0,57.2,7.4,100.0,50.11,0.17,48.85
1078117607,주식회사아이에스스틸,2015,성숙기,0,88.83,4.9,0.0,60.19,41.39,72.22
1078117607,주식회사아이에스스틸,2016,쇠퇴기,0,63.09,100.0,45.61,56.36,44.39,46.63
1078117607,주식회사아이에스스틸,2017,쇠퇴기,0,30.69,77.0,50.99,45.72,0.6,16.41
1078117607,주식회사아이에스스틸,2018,쇠퇴기,0,44.2,100.0,77.87,60.09,0.15,52.37
1078117607,주식회사아이에스스틸,2019,쇠퇴기,0,60.03,97.4,60.78,51.54,1.16,53.73
1078117607,주식회사아이에스스틸,2020,성장기,0,100.0,0.0,65.49,49.78,0.0,36.11
1078117607,주식회사아이에스스틸,2021,성숙기,0,0.0,17.8,71.12,64.73,0.03,55.7
1078117607,주식회사아이에스스틸,2022,성숙기,0,47.45,10.3,98.02,38.62,0.02,37.54
1078117607,주식회사아이에스스틸,2023,성숙기,0,57.98,0.0,98.24,42.89,0.04,45.45
1078117607,주식회사아이에스스틸,2024,성숙기,0,57.2,0.0,100.0,37.78,0.02,48.74
1078118697,(주)황금에스티,2015,성숙기,0,88.83,4.9,0.0,54.39,0.0,43.13
1078118697,(주)황금에스티,2016,성숙기,0,63.09,6.9,45.61,56.82,0.0,49.93
1078118697,(주)황금에스티,2017,성숙기,0,30.69,7.3,50.99,49.77,0.0,43.69
1078118697,(주)황금에스티,2018,성숙기,0,44.2,2.2,77.87,58.86,0.0,52.62
1078118697,(주)황금에스티,2019,조정기,0,60.03,34.1,60.78,49.42,0.0,53.13
1078118697,(주)황금에스티,2020,도입기,0,100.0,100.0,65.49,44.38,0.04,36.82
1078118697,(주)황금에스티,2021,조정기,0,0.0,39.4,71.12,61.08,0.05,55.68
1078118697,(주)황금에스티,2022,성장기,0,47.45,0.0,98.02,30.96,0.02,37.53
1078118697,(주)황금에스티,2023,조정기,0,57.98,40.6,98.24,36.23,0.04,45.45
1078118697,(주)황금에스티,2024,성숙기,0,57.2,0.0,100.0,31.1,0.02,48.74
1078122094,한유철강(주),2017,성장기,0,30.69,0.0,50.99,47.3,25.91,43.69
1078122094,한유철강(주),2018,성숙기,0,44.2,2.2,77.87,58.01,0.0,38.16
1078122094,한유철강(주),2019,성숙기,0,60.03,6.8,60.78,50.18,0.0,53.13
1078122094,한유철강(주),2020,성숙기,0,100.0,8.5,65.49,43.37,0.0,36.79
1078122094,한유철강(주),2021,성장기,0,0.0,0.0,71.12,61.15,0.08,55.73
1078122094,한유철강(주),2022,성장기,0,47.45,0.0,98.02,39.38,0.02,37.51
1078122094,한유철강(주),2023,도입기,0,57.98,93.1,98.24,43.6,0.2,45.58
1078122094,한유철강(주),2024,조정기,0,57.2,20.2,100.0,39.42,0.02,48.63
1078131725,예림금속주식회사,2015,조정기,0,88.83,39.5,0.0,50.41,0.12,24.05
1078131725,예림금속주식회사,2016,성숙기,0,63.09,6.9,45.61,57.9,0.0,49.84
1078131725,예림금속주식회사,2017,성장기,0,30.69,0.0,50.99,49.78,0.0,43.69
1078131725,예림금속주식회사,2018,성숙기,0,44.2,2.2,77.87,60.96,0.0,52.62
1078131725,예림금속주식회사,2019,성숙기,0,60.03,6.8,60.78,54.47,0.0,53.13
1078131725,예림금속주식회사,2020,성숙기,0,100.0,8.5,65.49,42.93,0.0,36.79
1078131725,예림금속주식회사,2021,성장기,0,0.0,0.0,71.12,58.66,0.03,55.7
1078131725,예림금속주식회사,2022,성장기,0,47.45,0.0,98.02,35.18,0.02,37.54
1078131725,예림금속주식회사,2023,성장기,0,57.98,5.6,98.24,40.06,0.04,45.45
1078131725,예림금속주식회사,2024,도입기,0,57.2,93.8,100.0,35.9,19.97,63.08
1078134004,(주)티플랙스,2015,조정기,0,88.83,39.5,0.0,50.85,0.0,43.13
1078134004,(주)티플랙스,2016,조정기,0,63.09,32.0,45.61,57.23,0.02,49.94
1078134004,(주)티플랙스,2017,도입기,0,30.69,100.0,50.99,49.24,0.02,43.69
1078134004,(주)티플랙스,2018,도입기,0,44.2,58.8,77.87,60.77,0.0,52.61
1078134004,(주)티플랙스,2019,성숙기,0,60.03,6.8,60.78,51.3,0.0,53.13
1078134004,(주)티플랙스,2020,성숙기,0,100.0,8.5,65.49,41.06,0.0,36.79
1078134004,(주)티플랙스,2021,성숙기,0,0.0,17.8,71.12,59.26,0.03,55.7
1078134004,(주)티플랙스,2022,성숙기,0,47.45,10.3,98.02,35.5,0.03,37.55
1078134004,(주)티플랙스,2023,도입기,0,57.98,93.1,98.24,40.54,13.22,55.9
1078134004,(주)티플랙스,2024,도입기,0,57.2,93.8,100.0,36.34,0.02,39.89
1078148060,주)제4기한국,2015,성숙기,0,88.83,4.9,0.0,36.15,0.02,43.14
1078148060,주)제4기한국,2016,성숙기,0,63.09,6.9,45.61,74.63,0.75,50.36
1078148060,주)제4기한국,2017,성숙기,0,30.69,7.3,50.99,68.86,0.0,43.23
1078148060,주)제4기한국,2018,성숙기,0,44.2,2.2,77.87,75.76,0.54,52.93
1078148060,주)제4기한국,2019,성숙기,0,60.03,6.8,60.78,76.05,5.83,56.29
