사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,최종합산스코어,등급_5단계,신용등급
1018139656,메가플랙슨공업(주),2015,성장기,0,49.15,0.0,0.0,21.19,0.05,31.69,2016,7.6,매우 안정,
1018139656,메가플랙슨공업(주),2016,성장기,0,27.39,0.0,12.18,73.25,0.3,24.33,2017,9.6,매우 안정,
1018139656,메가플랙슨공업(주),2017,성장기,0,25.66,0.0,7.48,60.99,0.05,20.45,2018,7.8,매우 안정,
1018139656,메가플랙슨공업(주),2018,성장기,0,18.76,0.0,23.57,69.64,1.51,21.37,2019,10.9,매우 안정,
1018139656,메가플랙슨공업(주),2019,성숙기,0,0.0,1.7,51.56,85.26,1.67,32.01,2020,14.7,매우 안정,
1018139656,메가플랙슨공업(주),2020,조정기,0,100.0,34.6,41.3,55.48,5.41,18.44,2021,24.9,중립,
1018139656,메가플랙슨공업(주),2021,쇠퇴기,0,52.6,100.0,61.29,75.82,0.01,26.88,2022,24.6,중립,
1018139656,메가플랙슨공업(주),2022,성숙기,0,24.16,0.0,95.83,59.25,1.21,28.77,2023,21.9,안정,
1018139656,메가플랙슨공업(주),2023,성숙기,0,14.88,0.0,98.09,57.37,0.07,41.46,2024,21.2,안정,
1018139656,메가플랙슨공업(주),2024,성숙기,0,30.99,0.0,100.0,49.57,0.13,55.06,2025,23.4,중립,
1018701185,(주)맬콤인터네셔널,2021,도입기,0,52.6,74.5,61.29,65.04,0.07,30.72,2022,23.0,중립,
1018701185,(주)맬콤인터네셔널,2022,도입기,0,24.16,84.2,95.83,51.96,0.09,27.88,2023,25.0,중립,
1018701185,(주)맬콤인터네셔널,2023,도입기,0,14.88,82.2,98.09,50.64,0.16,42.23,2024,25.1,위험,
1018701185,(주)맬콤인터네셔널,2024,성장기,0,30.99,28.7,100.0,49.4,0.83,55.4,2025,25.3,위험,
1048163193,(주)동국에스엔씨,2015,조정기,0,49.15,36.0,0.0,54.4,0.01,31.63,2016,11.0,매우 안정,
1048163193,(주)동국에스엔씨,2016,조정기,0,27.39,48.0,12.18,56.98,0.0,24.13,2017,11.0,매우 안정,
1048163193,(주)동국에스엔씨,2017,조정기,0,25.66,41.2,7.48,54.37,0.05,20.7,2018,9.5,매우 안정,
1048163193,(주)동국에스엔씨,2018,쇠퇴기,0,18.76,100.0,23.57,49.53,0.72,20.69,2019,14.4,매우 안정,
