부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.35,0.05,0.3,0.05,0.2,0.05,-0.22634633406297996,2.1200362702776588e-06
0.25,0.1,0.2,0.05,0.35,0.05,-0.22444281748085168,2.5926810520020473e-06
0.35,0.05,0.25,0.05,0.25,0.05,-0.22324100074351624,2.941323741957917e-06
0.3,0.1,0.15,0.05,0.35,0.05,-0.22177666530968568,3.4268653484902252e-06
0.3,0.05,0.35,0.05,0.2,0.05,-0.22011791583469265,4.069304926240128e-06
0.2,0.1,0.2,0.05,0.4,0.05,-0.2197149206185516,4.241929942252524e-06
0.3,0.1,0.2,0.05,0.3,0.05,-0.2189492126390477,4.58937328053525e-06
0.25,0.1,0.25,0.05,0.3,0.05,-0.21879593449245954,4.662113263322783e-06
0.2,0.1,0.25,0.05,0.35,0.05,-0.21861227381792853,4.750721263113782e-06
0.5,0.05,0.05,0.05,0.3,0.05,-0.21842622350636828,4.842119761428012e-06
0.35,0.05,0.15,0.05,0.35,0.05,-0.21755246979547205,5.294270999299426e-06
0.4,0.05,0.15,0.05,0.3,0.05,-0.2174741238385857,5.336725187419071e-06
0.25,0.1,0.15,0.05,0.4,0.05,-0.21656640314420278,5.8528898090984634e-06
0.4,0.05,0.2,0.05,0.25,0.05,-0.21583056562756409,6.305918222654888e-06
0.45,0.05,0.1,0.05,0.3,0.05,-0.2156586824498199,6.416457597189311e-06
0.25,0.1,0.3,0.05,0.25,0.05,-0.21482794220544954,6.9772644682429845e-06
0.45,0.05,0.15,0.05,0.25,0.05,-0.21451763076837016,7.1984925722644584e-06
0.45,0.05,0.25,0.05,0.15,0.05,-0.21400078641662298,7.581873252949942e-06
0.25,0.05,0.4,0.05,0.2,0.05,-0.212968804596721,8.406347715763027e-06
0.4,0.05,0.25,0.05,0.2,0.05,-0.21205323223781353,9.208687215417322e-06
0.5,0.05,0.1,0.05,0.25,0.05,-0.21154970157808628,9.680494206655832e-06
0.3,0.1,0.1,0.05,0.4,0.05,-0.21152443970092027,9.704760592408707e-06
0.25,0.05,0.25,0.05,0.35,0.05,-0.21108764818965178,1.0133607192379515e-05
0.35,0.1,0.15,0.05,0.3,0.05,-0.21108047927856416,1.0140793906899085e-05
0.3,0.05,0.15,0.05,0.4,0.05,-0.21100657121901775,1.0215168842747644e-05
0.4,0.1,0.15,0.05,0.25,0.05,-0.2108311035857297,1.0393829691623767e-05
