사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화
1018194173,에코에너지,2015,성숙기,0,89.44,8.0,0.0,54.58,0.08,15.8
1018194173,에코에너지,2016,조정기,0,67.33,25.4,54.88,46.01,0.06,21.48
1018194173,에코에너지,2017,조정기,0,69.01,32.0,53.96,60.66,0.63,24.48
1018194173,에코에너지,2018,조정기,0,45.71,28.3,59.52,59.2,0.29,25.03
1018194173,에코에너지,2019,조정기,1,70.0,34.0,64.49,64.73,97.74,98.13
1018608726,디에이치리사이클링주식회사,2015,도입기,0,89.44,30.9,0.0,49.85,8.18,23.29
1018608726,디에이치리사이클링주식회사,2016,도입기,1,67.33,27.2,54.88,45.74,97.33,93.88
1018646259,씨지앤대산전력주식회사,2015,성숙기,0,89.44,8.0,0.0,28.51,0.09,15.96
1018646259,씨지앤대산전력주식회사,2016,조정기,0,67.33,25.4,54.88,42.34,0.12,21.52
1018646259,씨지앤대산전력주식회사,2017,조정기,0,69.01,32.0,53.96,58.37,0.15,24.05
1018646259,씨지앤대산전력주식회사,2018,조정기,0,45.71,28.3,59.52,59.35,0.04,25.21
1018646259,씨지앤대산전력주식회사,2019,성장기,0,70.0,16.9,64.49,65.23,0.52,4.15
1018646259,씨지앤대산전력주식회사,2020,성장기,0,100.0,11.2,87.2,82.33,1.53,16.7
1018646259,씨지앤대산전력주식회사,2021,성장기,0,60.1,22.2,93.3,37.32,2.56,13.3
1018646259,씨지앤대산전력주식회사,2022,성숙기,0,0.0,0.0,97.61,93.33,0.17,18.69
1018646259,씨지앤대산전력주식회사,2023,성숙기,0,55.11,0.0,98.86,69.94,0.03,58.56
1018646259,씨지앤대산전력주식회사,2024,성숙기,0,68.67,0.0,100.0,86.33,0.67,33.95
1018659676,푸른안성환경주식회사,2015,도입기,0,89.44,30.9,0.0,49.85,3.66,0.0
1018659676,푸른안성환경주식회사,2016,성숙기,0,67.33,3.7,54.88,47.44,8.97,25.83
1018659676,푸른안성환경주식회사,2017,성숙기,0,69.01,9.9,53.96,61.55,1.73,18.37
1018659676,푸른안성환경주식회사,2018,성숙기,1,45.71,3.3,59.52,61.31,97.58,97.72
1018664320,파주에너지서비스주식회사,2015,도입기,0,89.44,30.9,0.0,49.85,1.78,17.57
1018664320,파주에너지서비스주식회사,2016,도입기,0,67.33,27.2,54.88,45.74,4.55,23.75
1018664320,파주에너지서비스주식회사,2017,도입기,0,69.01,43.7,53.96,61.71,0.08,20.53
1018664320,파주에너지서비스주식회사,2018,조정기,0,45.71,28.3,59.52,61.23,0.07,25.28
