사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,최종합산스코어,등급_5단계,신용등급
1018100452,삼환기업(주),2015,조정기,0,21.97,57.8,100.0,50.38,16.5,51.97,2016,28.2,안정,
1018100452,삼환기업(주),2016,조정기,0,0.0,42.8,0.0,49.75,95.38,96.67,2017,78.7,매우 위험,
1018100452,삼환기업(주),2017,조정기,1,5.32,50.1,11.43,40.27,94.94,51.68,2018,76.4,매우 위험,
1018116293,현대건설(주),2015,성장기,0,21.97,0.0,100.0,49.91,0.48,51.91,2016,14.0,매우 안정,AA-
1018116293,현대건설(주),2016,성숙기,0,0.0,10.9,0.0,49.75,0.69,50.0,2017,8.5,매우 안정,AA-
1018116293,현대건설(주),2017,성숙기,0,5.32,14.3,11.43,39.64,1.38,52.64,2018,9.1,매우 안정,AA-
1018116293,현대건설(주),2018,성숙기,0,15.77,16.0,36.52,45.02,4.85,51.17,2019,13.9,매우 안정,AA-
1018116293,현대건설(주),2019,성숙기,0,27.54,4.4,88.17,59.44,2.17,49.75,2020,16.0,매우 안정,AA-
1018116293,현대건설(주),2020,성장기,0,100.0,0.0,55.89,54.32,5.68,51.46,2021,19.8,매우 안정,AA-
1018116293,현대건설(주),2021,성장기,0,91.84,0.0,48.92,44.86,1.19,46.28,2022,14.7,매우 안정,AA-
1018116293,현대건설(주),2022,쇠퇴기,0,24.14,100.0,35.21,32.85,4.29,55.17,2023,17.0,매우 안정,AA-
1018116293,현대건설(주),2023,쇠퇴기,0,25.47,73.7,37.45,44.66,2.44,47.82,2024,15.4,매우 안정,AA-(안정적)
1018116293,현대건설(주),2024,쇠퇴기,0,83.61,70.9,39.08,35.17,43.16,76.42,2025,47.2,중립,
1018122169,구산토건(주),2015,성숙기,0,21.97,17.5,100.0,47.89,1.94,50.74,2016,15.7,매우 안정,
1018122169,구산토건(주),2016,쇠퇴기,0,0.0,100.0,0.0,52.5,3.88,51.03,2017,15.5,매우 안정,
