사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
1018130747,한화호텔앤드리조트(주),2015,성숙기,1,0.0,23.98,0.0,47.1,73.33,76.28,47.7,중립
1018151607,(주)씨디엘호텔코리아,2015,성숙기,0,0.0,23.98,0.0,43.72,90.33,98.03,58.0,위험
1018151607,(주)씨디엘호텔코리아,2016,성숙기,0,0.0,14.93,23.03,48.19,74.74,36.58,48.4,중립
1018151607,(주)씨디엘호텔코리아,2017,성숙기,1,0.0,33.0,21.26,51.52,89.73,54.15,58.4,위험
1018173033,(주)종로크라운,2015,조정기,1,76.2,23.98,0.0,48.13,92.68,45.75,72.1,매우 위험
1018189006,(주)한일관,2019,성숙기,0,0.0,25.63,35.62,56.91,2.38,50.86,11.5,매우 안정
1018189006,(주)한일관,2020,조정기,0,32.0,100.0,47.19,68.42,10.57,43.18,27.5,매우 안정
1018189006,(주)한일관,2021,조정기,0,20.3,30.53,100.0,79.77,3.67,41.78,23.7,매우 안정
1018189006,(주)한일관,2022,조정기,0,33.8,6.24,90.96,50.5,1.7,47.03,22.0,매우 안정
1018189006,(주)한일관,2023,성숙기,0,0.0,0.0,93.02,67.36,65.65,79.33,52.7,위험
1018189006,(주)한일관,2024,성숙기,0,0.0,11.1,88.96,59.74,41.32,19.82,36.2,안정
1018607858,(주)동승에이치엠씨,2015,도입기,1,100.0,23.98,0.0,48.25,65.35,75.77,63.3,매우 위험
1018662400,(주)푸르웰,2020,조정기,0,32.0,100.0,47.19,68.42,0.49,37.23,21.7,매우 안정
1018662400,(주)푸르웰,2021,성숙기,0,0.0,30.53,100.0,79.77,0.64,46.5,18.2,매우 안정
1018662400,(주)푸르웰,2022,성숙기,0,0.0,6.24,90.96,47.52,2.32,49.07,15.5,매우 안정
1018662400,(주)푸르웰,2023,성숙기,0,0.0,0.0,93.02,66.77,1.05,40.86,15.3,매우 안정
1018662400,(주)푸르웰,2024,성숙기,0,0.0,11.1,88.96,57.96,1.7,36.64,15.1,매우 안정
1018668909,주식회사센터마크호텔,2015,성숙기,0,0.0,23.98,0.0,48.25,51.26,66.55,35.1,안정
1018668909,주식회사센터마크호텔,2016,성숙기,0,0.0,14.93,23.03,46.62,79.03,61.97,51.9,위험
1018668909,주식회사센터마크호텔,2017,성숙기,1,0.0,33.0,21.26,50.63,91.08,52.49,59.0,위험
1018676277,주식회사비케이알,2015,성숙기,0,0.0,23.98,0.0,48.25,0.05,32.85,5.3,매우 안정
1018676277,주식회사비케이알,2016,성숙기,0,0.0,14.93,23.03,49.92,0.15,45.73,7.9,매우 안정
1018676277,주식회사비케이알,2017,성장기,0,8.9,33.0,21.26,52.14,18.19,55.33,20.9,매우 안정
1018676277,주식회사비케이알,2018,성장기,0,13.5,26.79,10.71,62.97,2.25,38.17,11.4,매우 안정
1018676277,주식회사비케이알,2019,성숙기,0,0.0,25.63,35.62,57.37,0.8,49.94,10.6,매우 안정
1018676277,주식회사비케이알,2020,성숙기,0,0.0,100.0,47.19,66.52,2.01,38.2,16.1,매우 안정
1018676277,주식회사비케이알,2021,성숙기,0,0.0,30.53,100.0,77.16,0.76,45.58,18.1,매우 안정
1018676277,주식회사비케이알,2022,성숙기,0,0.0,6.24,90.96,45.5,0.53,47.99,14.4,매우 안정
1018676277,주식회사비케이알,2023,성숙기,0,0.0,0.0,93.02,62.6,2.31,42.63,15.8,매우 안정
1018676277,주식회사비케이알,2024,성숙기,0,0.0,11.1,88.96,54.6,0.74,34.97,14.3,매우 안정
1018683079,주식회사마크호텔,2016,도입기,0,100.0,14.93,23.03,48.68,86.26,45.72,75.2,매우 위험
1018683079,주식회사마크호텔,2017,도입기,0,100.0,33.0,21.26,51.88,35.62,16.58,46.8,중립
1018683079,주식회사마크호텔,2018,도입기,1,100.0,26.79,10.71,60.36,68.61,70.26,66.7,매우 위험
1028144550,주식회사에스지빌라앤호텔,2018,도입기,0,100.0,26.79,10.71,60.36,21.49,48.17,39.7,안정
1028144550,주식회사에스지빌라앤호텔,2019,성숙기,0,0.0,25.63,35.62,,45.17,65.64,,매우 안정
1028144550,주식회사에스지빌라앤호텔,2020,성숙기,0,0.0,100.0,47.19,68.42,16.57,16.77,23.1,매우 안정
1028144550,주식회사에스지빌라앤호텔,2021,성숙기,0,0.0,30.53,100.0,79.77,6.32,39.5,21.0,매우 안정
1028144550,주식회사에스지빌라앤호텔,2022,성숙기,0,0.0,6.24,90.96,42.82,67.96,82.81,53.1,위험
1028144550,주식회사에스지빌라앤호텔,2023,성숙기,0,0.0,0.0,93.02,60.46,70.29,44.27,53.2,위험
1028144550,주식회사에스지빌라앤호텔,2024,도입기,1,100.0,11.1,88.96,52.13,67.81,36.98,71.2,매우 위험
1048102478,신신관광개발(주),2015,성숙기,0,0.0,23.98,0.0,48.25,14.81,42.46,13.9,매우 안정
1048102478,신신관광개발(주),2016,성숙기,0,0.0,14.93,23.03,48.2,56.75,70.26,40.2,중립
1048102478,신신관광개발(주),2017,도입기,1,100.0,33.0,21.26,51.55,86.95,62.74,77.3,매우 위험
