사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화
1018130747,한화호텔앤드리조트(주),2015,성숙기,1,23.98,0.0,0.0,47.1,15.07,47.71
1018151607,(주)씨디엘호텔코리아,2015,성숙기,0,23.98,0.0,0.0,43.72,93.14,94.77
1018151607,(주)씨디엘호텔코리아,2016,성숙기,0,14.93,0.0,23.03,48.19,90.61,46.92
1018151607,(주)씨디엘호텔코리아,2017,성숙기,1,33.0,0.0,21.26,51.52,87.74,49.41
1018173033,(주)종로크라운,2015,조정기,1,23.98,76.2,0.0,48.13,99.71,75.68
1018189006,(주)한일관,2019,성숙기,0,25.63,0.0,35.62,56.91,23.81,49.43
1018189006,(주)한일관,2020,조정기,0,100.0,32.0,47.19,68.42,15.2,40.68
1018189006,(주)한일관,2021,조정기,0,30.53,20.3,100.0,79.77,10.63,48.15
1018189006,(주)한일관,2022,조정기,0,6.24,33.8,90.96,50.5,3.71,50.94
1018189006,(주)한일관,2023,성숙기,0,0.0,0.0,93.02,67.36,84.44,100.0
1018189006,(주)한일관,2024,성숙기,0,11.1,0.0,88.96,59.74,74.62,42.14
1018607858,(주)동승에이치엠씨,2015,도입기,1,23.98,100.0,0.0,48.25,43.44,51.48
1018662400,(주)푸르웰,2020,조정기,0,100.0,32.0,47.19,68.42,17.3,45.2
1018662400,(주)푸르웰,2021,성숙기,0,30.53,0.0,100.0,79.77,2.36,40.85
1018662400,(주)푸르웰,2022,성숙기,0,6.24,0.0,90.96,47.52,2.37,55.27
1018662400,(주)푸르웰,2023,성숙기,0,0.0,0.0,93.02,66.77,3.09,43.25
1018662400,(주)푸르웰,2024,성숙기,0,11.1,0.0,88.96,57.96,5.01,49.7
1018668909,주식회사센터마크호텔,2015,성숙기,0,23.98,0.0,0.0,48.25,48.81,56.37
1018668909,주식회사센터마크호텔,2016,성숙기,0,14.93,0.0,23.03,46.62,96.7,81.89
1018668909,주식회사센터마크호텔,2017,성숙기,1,33.0,0.0,21.26,50.63,93.91,49.58
1018676277,주식회사비케이알,2015,성숙기,0,23.98,0.0,0.0,48.25,3.25,44.73
1018676277,주식회사비케이알,2016,성숙기,0,14.93,0.0,23.03,49.92,2.85,47.57
1018676277,주식회사비케이알,2017,성장기,0,33.0,8.9,21.26,52.14,38.27,73.52
1018676277,주식회사비케이알,2018,성장기,0,26.79,13.5,10.71,62.97,6.51,21.85
1018676277,주식회사비케이알,2019,성숙기,0,25.63,0.0,35.62,57.37,7.13,50.1
1018676277,주식회사비케이알,2020,성숙기,0,100.0,0.0,47.19,66.52,8.13,47.95
1018676277,주식회사비케이알,2021,성숙기,0,30.53,0.0,100.0,77.16,4.76,48.87
1018676277,주식회사비케이알,2022,성숙기,0,6.24,0.0,90.96,45.5,6.1,56.08
1018676277,주식회사비케이알,2023,성숙기,0,0.0,0.0,93.02,62.6,6.43,43.01
1018676277,주식회사비케이알,2024,성숙기,0,11.1,0.0,88.96,54.6,11.73,52.44
1018683079,주식회사마크호텔,2016,도입기,0,14.93,100.0,23.03,48.68,48.14,48.24
1018683079,주식회사마크호텔,2017,도입기,0,33.0,100.0,21.26,51.88,44.24,47.89
1018683079,주식회사마크호텔,2018,도입기,1,26.79,100.0,10.71,60.36,71.64,64.34
1028144550,주식회사에스지빌라앤호텔,2018,도입기,0,26.79,100.0,10.71,60.36,63.93,45.67
1028144550,주식회사에스지빌라앤호텔,2019,성숙기,0,25.63,0.0,35.62,,86.49,65.73
1028144550,주식회사에스지빌라앤호텔,2020,성숙기,0,100.0,0.0,47.19,68.42,33.65,7.7
1028144550,주식회사에스지빌라앤호텔,2021,성숙기,0,30.53,0.0,100.0,79.77,28.03,47.7
1028144550,주식회사에스지빌라앤호텔,2022,성숙기,0,6.24,0.0,90.96,42.82,76.53,85.15
1028144550,주식회사에스지빌라앤호텔,2023,성숙기,0,0.0,0.0,93.02,60.46,93.93,55.85
1028144550,주식회사에스지빌라앤호텔,2024,도입기,1,11.1,100.0,88.96,52.13,93.29,49.59
1048102478,신신관광개발(주),2015,성숙기,0,23.98,0.0,0.0,48.25,28.42,48.76
1048102478,신신관광개발(주),2016,성숙기,0,14.93,0.0,23.03,48.2,56.25,67.62
1048102478,신신관광개발(주),2017,도입기,1,33.0,100.0,21.26,51.55,95.25,76.98
1048104006,우양산업개발주식회사,2015,조정기,1,23.98,76.2,0.0,51.4,67.98,48.68
1048105908,(주)뉴오리엔탈호텔,2016,성장기,0,14.93,24.9,23.03,48.68,23.84,48.24
1048105908,(주)뉴오리엔탈호텔,2017,성장기,0,33.0,8.9,21.26,51.88,80.69,88.39
1048105908,(주)뉴오리엔탈호텔,2018,성장기,1,26.79,13.5,10.71,60.36,54.89,25.89
1048122402,(주)파란하늘앤드지,2015,조정기,0,23.98,76.2,0.0,45.61,28.38,46.41
1048122402,(주)파란하늘앤드지,2016,조정기,0,14.93,77.0,23.03,48.22,29.14,48.62
1048122402,(주)파란하늘앤드지,2017,성숙기,0,33.0,0.0,21.26,52.1,29.98,50.71
1048122402,(주)파란하늘앤드지,2018,성숙기,0,26.79,0.0,10.71,61.79,31.79,46.03
1048122402,(주)파란하늘앤드지,2019,조정기,0,25.63,30.2,35.62,56.12,24.89,45.3
1048122402,(주)파란하늘앤드지,2020,조정기,0,100.0,32.0,47.19,67.08,31.37,51.12
1048122402,(주)파란하늘앤드지,2021,성숙기,0,30.53,0.0,100.0,77.65,30.18,50.79
1048122402,(주)파란하늘앤드지,2022,성숙기,0,6.24,0.0,90.96,43.6,27.36,53.38
1048122402,(주)파란하늘앤드지,2023,도입기,0,0.0,100.0,93.02,61.07,90.98,88.11
1048122402,(주)파란하늘앤드지,2024,도입기,1,11.1,100.0,88.96,53.19,65.54,29.96
1048125812,주식회사코리아나호텔,2015,조정기,1,23.98,76.2,0.0,43.34,85.53,46.93
1048125980,주식회사호텔롯데,2015,성장기,0,23.98,25.7,0.0,49.18,6.87,47.45
1048125980,주식회사호텔롯데,2016,성장기,0,14.93,24.9,23.03,48.56,6.41,47.56
1048125980,주식회사호텔롯데,2017,성장기,0,33.0,8.9,21.26,51.84,80.98,100.0
1048125980,주식회사호텔롯데,2018,성장기,0,26.79,13.5,10.71,59.91,33.62,10.38
1048125980,주식회사호텔롯데,2019,조정기,0,25.63,30.2,35.62,57.88,33.54,49.96
1048125980,주식회사호텔롯데,2020,도입기,0,100.0,100.0,47.19,67.79,82.69,80.44
1048125980,주식회사호텔롯데,2021,조정기,0,30.53,20.3,100.0,83.78,84.4,53.69
1048125980,주식회사호텔롯데,2022,성숙기,1,6.24,0.0,90.96,52.83,86.24,56.0
1048127386,(주)조선호텔앤리조트,2015,성장기,0,23.98,25.7,0.0,74.04,38.2,27.13
1048127386,(주)조선호텔앤리조트,2016,조정기,1,14.93,77.0,23.03,46.14,88.26,83.31
1048601678,씨앤아이레저산업(주),2015,쇠퇴기,1,23.98,86.9,0.0,51.39,98.83,83.41
1048651732,삼성웰스토리(주),2015,성숙기,0,23.98,0.0,0.0,48.25,1.48,45.03
1048651732,삼성웰스토리(주),2016,성숙기,0,14.93,0.0,23.03,48.68,0.1,46.86
1048651732,삼성웰스토리(주),2017,성숙기,0,33.0,0.0,21.26,52.89,0.07,49.56
1048651732,삼성웰스토리(주),2018,성숙기,0,26.79,0.0,10.71,61.78,0.14,44.95
1048651732,삼성웰스토리(주),2019,성숙기,0,25.63,0.0,35.62,56.77,0.0,49.5
1048651732,삼성웰스토리(주),2020,성숙기,0,100.0,0.0,47.19,67.1,0.0,47.52
1048651732,삼성웰스토리(주),2021,성숙기,0,30.53,0.0,100.0,77.56,0.0,51.12
1048651732,삼성웰스토리(주),2022,조정기,0,6.24,33.8,90.96,45.63,0.81,55.78
1048651732,삼성웰스토리(주),2023,성숙기,0,0.0,0.0,93.02,62.91,1.54,43.24
1048651732,삼성웰스토리(주),2024,성숙기,0,11.1,0.0,88.96,54.45,1.99,48.5
1058103830,(주)서울가든,2015,도입기,1,23.98,100.0,0.0,38.65,93.96,89.35
1058162727,씨에스개발(주),2015,성장기,0,23.98,25.7,0.0,50.43,59.76,61.2
1058162727,씨에스개발(주),2016,성장기,0,14.93,24.9,23.03,48.9,97.41,74.81
1058162727,씨에스개발(주),2017,성숙기,0,33.0,0.0,21.26,51.84,95.23,50.0
1058162727,씨에스개발(주),2018,도입기,1,26.79,100.0,10.71,59.81,97.33,45.85
1058632252,(주)삼양에프앤비,2015,쇠퇴기,1,23.98,86.9,0.0,45.76,53.46,54.59
1058736935,(주)원앤온니에이엠씨,2015,도입기,0,23.98,100.0,0.0,48.25,90.32,84.7
1058736935,(주)원앤온니에이엠씨,2016,도입기,1,14.93,100.0,23.03,48.68,91.21,49.3
1058770194,(주)엘브이아이파트너스,2015,도입기,0,23.98,100.0,0.0,48.25,40.67,45.61
1058770194,(주)엘브이아이파트너스,2016,도입기,0,14.93,100.0,23.03,48.68,43.99,50.53
1058770194,(주)엘브이아이파트너스,2017,도입기,1,33.0,100.0,21.26,51.88,89.18,80.92
1058779161,(주)아주호텔서교,2015,도입기,0,23.98,100.0,0.0,100.0,66.84,54.69
