사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
1018104123,동양고속훼리(주),2015,성장기,0,0.0,39.34,0.0,75.09,0.86,33.86,7.9,매우 안정
1018104123,동양고속훼리(주),2016,조정기,0,22.8,31.46,67.6,51.07,10.39,51.11,23.7,매우 안정
1018104123,동양고속훼리(주),2017,성숙기,0,0.0,40.45,66.03,46.08,1.53,31.38,13.3,매우 안정
1018104123,동양고속훼리(주),2018,쇠퇴기,0,100.0,19.66,69.34,60.54,3.0,42.17,34.7,안정
1018104123,동양고속훼리(주),2019,쇠퇴기,0,95.6,15.23,66.61,71.0,14.51,48.76,40.5,중립
1018104123,동양고속훼리(주),2024,쇠퇴기,0,69.3,9.31,100.0,41.15,0.06,47.71,28.8,매우 안정
1018134423,(주)케이에스에스해운,2015,성장기,0,0.0,39.34,0.0,48.73,0.18,45.74,6.8,매우 안정
1018134423,(주)케이에스에스해운,2016,성숙기,0,0.0,31.46,67.6,43.75,0.3,45.77,13.0,매우 안정
1018134423,(주)케이에스에스해운,2017,성숙기,0,0.0,40.45,66.03,36.98,0.99,38.2,12.9,매우 안정
1018134423,(주)케이에스에스해운,2018,성숙기,0,0.0,19.66,69.34,53.47,0.43,40.89,12.9,매우 안정
1018134423,(주)케이에스에스해운,2019,성숙기,0,0.0,15.23,66.61,52.27,0.31,41.92,12.3,매우 안정
1018134423,(주)케이에스에스해운,2020,성장기,0,20.2,100.0,74.91,36.32,0.37,33.45,20.2,매우 안정
1018134423,(주)케이에스에스해운,2021,성장기,0,31.3,1.54,83.19,55.48,0.21,46.55,19.9,매우 안정
1018134423,(주)케이에스에스해운,2022,성장기,0,30.6,0.0,96.82,43.13,0.3,50.07,20.6,매우 안정
1018134423,(주)케이에스에스해운,2023,성장기,0,37.7,51.87,97.48,39.16,2.02,44.45,25.2,매우 안정
1018134423,(주)케이에스에스해운,2024,성숙기,0,0.0,9.31,100.0,42.08,0.52,46.65,15.2,매우 안정
1018139388,(주)에스아이씨,2015,쇠퇴기,0,100.0,39.34,0.0,47.49,0.63,42.38,26.8,매우 안정
1018139388,(주)에스아이씨,2016,도입기,0,61.4,31.46,67.6,44.58,6.74,49.17,29.0,매우 안정
1018139388,(주)에스아이씨,2017,성숙기,0,0.0,40.45,66.03,36.66,22.87,49.04,25.5,매우 안정
1018139388,(주)에스아이씨,2018,조정기,1,18.1,19.66,69.34,51.42,69.31,70.74,55.8,위험
1018156086,씨넷쉬핑(주),2015,성숙기,0,2.5,39.34,0.0,53.34,0.46,35.07,7.1,매우 안정
1018156086,씨넷쉬핑(주),2016,성숙기,0,0.0,31.46,67.6,50.12,11.43,51.93,19.7,매우 안정
1018156086,씨넷쉬핑(주),2017,조정기,0,19.2,40.45,66.03,42.32,35.12,54.34,36.6,안정
1018156086,씨넷쉬핑(주),2018,조정기,0,18.1,19.66,69.34,58.63,1.37,20.33,16.2,매우 안정
1018156086,씨넷쉬핑(주),2019,성숙기,0,0.0,15.23,66.61,54.85,0.08,41.23,12.3,매우 안정
1018156086,씨넷쉬핑(주),2020,성숙기,0,0.0,100.0,74.91,22.73,0.33,33.58,15.5,매우 안정
1018156086,씨넷쉬핑(주),2021,성숙기,0,0.0,1.54,83.19,52.12,0.21,46.57,13.4,매우 안정
1018156086,씨넷쉬핑(주),2022,성숙기,0,0.0,0.0,96.82,43.1,0.01,49.9,14.3,매우 안정
1018156086,씨넷쉬핑(주),2023,성숙기,0,0.0,51.87,97.48,39.13,0.08,43.51,16.5,매우 안정
1018156086,씨넷쉬핑(주),2024,조정기,0,14.4,9.31,100.0,42.46,0.01,47.66,17.9,매우 안정
1018163044,한원마리타임(주),2015,쇠퇴기,0,100.0,39.34,0.0,54.69,0.02,45.67,27.0,매우 안정
1018163044,한원마리타임(주),2016,성숙기,0,0.0,31.46,67.6,48.04,0.25,45.84,13.2,매우 안정
1018163044,한원마리타임(주),2017,성장기,0,7.4,40.45,66.03,42.05,0.19,37.67,14.2,매우 안정
1018163044,한원마리타임(주),2018,성장기,0,9.2,19.66,69.34,55.96,0.12,41.19,14.7,매우 안정
1018163044,한원마리타임(주),2019,성장기,0,16.6,15.23,66.61,52.34,6.36,45.66,19.1,매우 안정
1018163044,한원마리타임(주),2020,조정기,0,15.2,100.0,74.91,37.01,1.13,29.85,19.5,매우 안정
1018163044,한원마리타임(주),2021,성숙기,0,0.0,1.54,83.19,47.71,1.81,47.01,14.1,매우 안정
1018163044,한원마리타임(주),2022,성장기,0,30.6,0.0,96.82,30.5,0.11,48.85,19.8,매우 안정
1018163044,한원마리타임(주),2023,조정기,0,19.8,51.87,97.48,30.81,0.22,43.53,20.1,매우 안정
1018163044,한원마리타임(주),2024,성숙기,0,0.0,9.31,100.0,36.48,0.03,47.58,14.7,매우 안정
1018165644,인천국제물류센터주식회사,2015,조정기,0,23.7,39.34,0.0,55.08,1.28,45.68,12.4,매우 안정
1018165644,인천국제물류센터주식회사,2016,성숙기,0,0.0,31.46,67.6,45.97,5.54,48.12,16.1,매우 안정
1018165644,인천국제물류센터주식회사,2017,성장기,0,7.4,40.45,66.03,39.83,6.85,38.6,17.8,매우 안정
1018165644,인천국제물류센터주식회사,2018,성숙기,0,0.0,19.66,69.34,54.33,0.67,37.42,12.9,매우 안정
1018165644,인천국제물류센터주식회사,2019,성숙기,0,0.0,15.23,66.61,53.27,1.32,42.37,12.9,매우 안정
1018165644,인천국제물류센터주식회사,2020,성숙기,0,0.0,100.0,74.91,33.82,0.28,32.71,16.0,매우 안정
1018165644,인천국제물류센터주식회사,2021,조정기,0,19.8,1.54,83.19,53.35,0.62,46.82,17.7,매우 안정
1018165644,인천국제물류센터주식회사,2022,조정기,0,24.9,0.0,96.82,39.04,0.16,49.7,19.2,매우 안정
1018165644,인천국제물류센터주식회사,2023,조정기,0,19.8,51.87,97.48,36.29,0.04,43.41,20.3,매우 안정
1018165644,인천국제물류센터주식회사,2024,성숙기,0,0.0,9.31,100.0,39.92,0.38,47.93,15.1,매우 안정
1018165872,(주)에버그린코리아,2015,조정기,0,23.7,39.34,0.0,36.11,0.05,45.74,10.8,매우 안정
1018165872,(주)에버그린코리아,2016,쇠퇴기,0,100.0,31.46,67.6,40.3,0.61,46.02,33.0,안정
1018165872,(주)에버그린코리아,2017,성숙기,0,0.0,40.45,66.03,32.31,0.12,37.37,12.2,매우 안정
1018165872,(주)에버그린코리아,2018,쇠퇴기,0,100.0,19.66,69.34,50.24,0.01,41.17,32.5,안정
1018165872,(주)에버그린코리아,2019,성숙기,0,0.0,15.23,66.61,51.76,0.02,42.0,12.1,매우 안정
1018165872,(주)에버그린코리아,2020,조정기,0,15.2,100.0,74.91,35.96,0.01,33.41,19.0,매우 안정
1018165872,(주)에버그린코리아,2021,성숙기,0,0.0,1.54,83.19,51.64,0.05,46.65,13.3,매우 안정
1018165872,(주)에버그린코리아,2022,성숙기,0,0.0,0.0,96.82,57.45,0.01,50.01,15.1,매우 안정
1018165872,(주)에버그린코리아,2023,성숙기,0,0.0,51.87,97.48,48.62,0.01,43.47,17.0,매우 안정
1018165872,(주)에버그린코리아,2024,성숙기,0,0.0,9.31,100.0,49.69,0.01,47.71,15.3,매우 안정
1018174236,(주)일호로지스틱스,2021,도입기,0,68.8,1.54,83.19,54.21,0.1,46.62,27.3,매우 안정
1018174236,(주)일호로지스틱스,2022,성장기,0,30.6,0.0,96.82,39.04,0.03,49.99,20.3,매우 안정
1018174236,(주)일호로지스틱스,2023,성숙기,0,0.0,51.87,97.48,36.44,0.03,43.47,16.4,매우 안정
1018174236,(주)일호로지스틱스,2024,성장기,0,34.2,9.31,100.0,41.28,0.08,47.74,21.8,매우 안정
1018187973,(주)휴맥스해운항공,2015,조정기,0,23.7,39.34,0.0,55.47,0.26,45.7,11.9,매우 안정
1018187973,(주)휴맥스해운항공,2016,조정기,0,22.8,31.46,67.6,44.24,1.02,46.13,18.0,매우 안정
1018187973,(주)휴맥스해운항공,2017,조정기,0,19.2,40.45,66.03,35.29,4.67,40.28,18.8,매우 안정
1018187973,(주)휴맥스해운항공,2018,쇠퇴기,0,100.0,19.66,69.34,52.02,2.13,39.68,33.7,안정
1018187973,(주)휴맥스해운항공,2019,쇠퇴기,1,95.6,15.23,66.61,54.89,96.04,97.26,87.0,매우 위험
1018188064,유코카캐리어스주식회사,2015,성장기,0,0.0,39.34,0.0,44.59,0.18,45.66,6.6,매우 안정
1018188064,유코카캐리어스주식회사,2016,조정기,0,22.8,31.46,67.6,43.57,15.25,54.25,26.2,매우 안정
1018188064,유코카캐리어스주식회사,2017,성숙기,0,0.0,40.45,66.03,36.32,4.48,29.99,14.4,매우 안정
1018188064,유코카캐리어스주식회사,2018,조정기,0,18.1,19.66,69.34,52.84,5.01,41.62,19.0,매우 안정
1018188064,유코카캐리어스주식회사,2019,성숙기,0,0.0,15.23,66.61,51.93,0.29,39.21,12.1,매우 안정
1018188064,유코카캐리어스주식회사,2020,성숙기,0,0.0,100.0,74.91,34.66,19.65,46.61,27.4,매우 안정
1018188064,유코카캐리어스주식회사,2021,성숙기,0,0.0,1.54,83.19,56.03,0.61,36.36,13.4,매우 안정
1018188064,유코카캐리어스주식회사,2022,성숙기,0,0.0,0.0,96.82,45.98,0.17,49.72,14.6,매우 안정
1018188064,유코카캐리어스주식회사,2023,성숙기,0,0.0,51.87,97.48,41.21,0.11,43.44,16.6,매우 안정
1018188064,유코카캐리어스주식회사,2024,성숙기,0,0.0,9.31,100.0,43.33,0.02,47.65,15.0,매우 안정
1018189855,범영훼리주식회사,2019,성숙기,0,0.0,15.23,66.61,52.67,0.08,42.0,12.2,매우 안정
1018189855,범영훼리주식회사,2020,조정기,0,15.2,100.0,74.91,37.59,25.59,50.81,34.0,안정
1018189855,범영훼리주식회사,2021,성숙기,0,0.0,1.54,83.19,54.21,12.8,39.76,20.1,매우 안정
1018189855,범영훼리주식회사,2022,쇠퇴기,0,100.0,0.0,96.82,43.05,2.06,42.38,35.1,안정
1018189855,범영훼리주식회사,2023,쇠퇴기,0,75.4,51.87,97.48,39.2,3.19,44.16,33.3,안정
1018189855,범영훼리주식회사,2024,쇠퇴기,0,69.3,9.31,100.0,43.32,9.96,51.98,34.6,안정
1018190935,보배해운(주),2015,성장기,0,0.0,39.34,0.0,45.55,11.85,48.19,13.2,매우 안정
1018190935,보배해운(주),2016,성장기,1,1.3,31.46,67.6,38.09,91.12,90.68,65.1,매우 위험
1018191633,(주)제너럴종합물류,2015,조정기,0,23.7,39.34,0.0,56.72,83.38,69.49,58.9,위험
1018191633,(주)제너럴종합물류,2016,조정기,0,22.8,31.46,67.6,36.69,2.61,0.0,16.2,매우 안정
1018194815,(주)케이에스아이엠,2015,성숙기,0,2.5,39.34,0.0,50.0,8.73,50.6,12.3,매우 안정
1018194815,(주)케이에스아이엠,2016,성장기,0,1.3,31.46,67.6,44.33,1.35,41.53,13.6,매우 안정
1018194815,(주)케이에스아이엠,2017,성숙기,0,0.0,40.45,66.03,39.6,15.6,47.76,21.6,매우 안정
1018194815,(주)케이에스아이엠,2018,도입기,0,79.0,19.66,69.34,54.39,2.43,33.1,29.4,매우 안정
1018194815,(주)케이에스아이엠,2019,조정기,0,19.4,15.23,66.61,54.23,33.44,60.24,35.4,안정
1018198015,(주)한바다코퍼레이션,2015,성숙기,0,2.5,39.34,0.0,57.63,0.15,45.76,7.7,매우 안정
1018198015,(주)한바다코퍼레이션,2016,쇠퇴기,0,100.0,31.46,67.6,40.41,0.86,46.1,33.1,안정
1018198015,(주)한바다코퍼레이션,2017,성숙기,0,0.0,40.45,66.03,32.21,1.37,38.07,12.9,매우 안정
1018198015,(주)한바다코퍼레이션,2018,성장기,0,9.2,19.66,69.34,47.45,1.35,41.24,14.9,매우 안정
1018198015,(주)한바다코퍼레이션,2019,조정기,0,19.4,15.23,66.61,49.55,0.1,41.25,15.9,매우 안정
1018198015,(주)한바다코퍼레이션,2021,조정기,0,19.8,1.54,83.19,44.34,0.64,46.62,17.3,매우 안정
