사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화
1018104123,동양고속훼리(주),2015,성장기,0,39.34,0.0,0.0,75.09,25.02,25.47
1018104123,동양고속훼리(주),2016,조정기,0,31.46,22.8,67.6,51.07,37.23,51.4
1018104123,동양고속훼리(주),2017,성숙기,0,40.45,0.0,66.03,46.08,39.85,47.35
1018104123,동양고속훼리(주),2018,쇠퇴기,0,19.66,100.0,69.34,60.54,39.5,48.98
1018104123,동양고속훼리(주),2019,쇠퇴기,0,15.23,95.6,66.61,71.0,53.22,58.94
1018104123,동양고속훼리(주),2024,쇠퇴기,0,9.31,69.3,100.0,41.15,18.98,47.81
1018134423,(주)케이에스에스해운,2015,성장기,0,39.34,0.0,0.0,48.73,3.4,44.27
1018134423,(주)케이에스에스해운,2016,성숙기,0,31.46,0.0,67.6,43.75,3.77,43.56
1018134423,(주)케이에스에스해운,2017,성숙기,0,40.45,0.0,66.03,36.98,7.81,48.33
1018134423,(주)케이에스에스해운,2018,성숙기,0,19.66,0.0,69.34,53.47,5.77,48.19
1018134423,(주)케이에스에스해운,2019,성숙기,0,15.23,0.0,66.61,52.27,6.29,49.4
1018134423,(주)케이에스에스해운,2020,성장기,0,100.0,20.2,74.91,36.32,10.13,44.04
1018134423,(주)케이에스에스해운,2021,성장기,0,1.54,31.3,83.19,55.48,11.22,50.38
1018134423,(주)케이에스에스해운,2022,성장기,0,0.0,30.6,96.82,43.13,12.3,41.82
1018134423,(주)케이에스에스해운,2023,성장기,0,51.87,37.7,97.48,39.16,13.11,43.29
1018134423,(주)케이에스에스해운,2024,성숙기,0,9.31,0.0,100.0,42.08,10.26,45.2
1018139388,(주)에스아이씨,2015,쇠퇴기,0,39.34,100.0,0.0,47.49,12.24,21.78
1018139388,(주)에스아이씨,2016,도입기,0,31.46,61.4,67.6,44.58,45.16,64.68
1018139388,(주)에스아이씨,2017,성숙기,0,40.45,0.0,66.03,36.66,68.11,59.58
