사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
0008120029,고스트스튜디오(주),2018,성숙기,0,0.0,29.74,86.22,50.33,0.05,40.21,14.7,매우 안정
0008120029,고스트스튜디오(주),2019,성숙기,0,0.0,0.0,91.73,52.93,0.14,43.02,14.0,매우 안정
0008120029,고스트스튜디오(주),2020,성숙기,0,0.0,100.0,72.0,57.93,0.03,28.13,16.5,매우 안정
0008120029,고스트스튜디오(주),2021,성숙기,0,0.0,21.92,67.69,43.91,0.02,46.15,12.4,매우 안정
0008120029,고스트스튜디오(주),2022,조정기,0,24.9,49.86,99.69,43.68,0.08,46.68,22.0,매우 안정
0008120029,고스트스튜디오(주),2023,성숙기,0,0.0,20.16,99.34,53.15,0.08,49.51,16.1,매우 안정
0008120029,고스트스튜디오(주),2024,성숙기,0,0.0,44.02,100.0,46.42,0.13,52.61,17.2,매우 안정
1018114655,주식회사와이비엠,2015,성장기,0,13.8,33.36,0.0,49.75,0.03,36.5,8.8,매우 안정
1018114655,주식회사와이비엠,2016,성장기,0,14.8,23.62,64.46,43.72,0.13,36.59,14.7,매우 안정
1018114655,주식회사와이비엠,2017,성숙기,0,0.0,29.0,73.35,43.34,0.14,35.95,12.8,매우 안정
1018114655,주식회사와이비엠,2018,성숙기,0,0.0,29.74,86.22,48.96,0.06,40.16,14.6,매우 안정
1018114655,주식회사와이비엠,2019,성숙기,0,0.0,0.0,91.73,51.73,0.07,42.97,13.9,매우 안정
1018114655,주식회사와이비엠,2020,도입기,0,96.1,100.0,72.0,56.74,7.26,33.76,39.9,안정
1018114655,주식회사와이비엠,2021,성숙기,0,0.0,21.92,67.69,48.65,2.11,43.28,13.6,매우 안정
1018114655,주식회사와이비엠,2022,성숙기,0,0.0,49.86,99.69,48.18,1.03,46.04,17.7,매우 안정
1018114655,주식회사와이비엠,2023,성숙기,0,0.0,20.16,99.34,57.4,7.18,52.77,20.4,매우 안정
1018114655,주식회사와이비엠,2024,도입기,0,100.0,44.02,100.0,50.93,12.15,55.29,44.2,중립
1018122626,(주)연흥개발,2015,도입기,1,58.3,33.36,0.0,47.49,98.45,96.71,74.7,매우 위험
1018126317,주식회사아이비케이시스템,2015,조정기,0,33.1,33.36,0.0,35.83,0.02,36.5,11.9,매우 안정
1018126317,주식회사아이비케이시스템,2016,조정기,0,23.9,23.62,64.46,38.44,0.01,36.52,16.2,매우 안정
1018126317,주식회사아이비케이시스템,2017,성숙기,0,0.0,29.0,73.35,35.7,0.01,35.94,12.4,매우 안정
1018126317,주식회사아이비케이시스템,2018,성숙기,0,0.0,29.74,86.22,43.76,0.04,40.22,14.3,매우 안정
1018126317,주식회사아이비케이시스템,2019,성숙기,0,0.0,0.0,91.73,43.4,0.09,43.0,13.5,매우 안정
1018126317,주식회사아이비케이시스템,2020,성숙기,0,0.0,100.0,72.0,53.36,0.06,28.19,16.3,매우 안정
1018126317,주식회사아이비케이시스템,2021,성숙기,0,0.0,21.92,67.69,46.64,0.06,46.15,12.5,매우 안정
1018126317,주식회사아이비케이시스템,2022,성숙기,0,0.0,49.86,99.69,45.58,0.14,46.69,17.2,매우 안정
