사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화
0008120029,고스트스튜디오(주),2018,성숙기,0,29.74,0.0,86.22,50.33,2.07,45.36
0008120029,고스트스튜디오(주),2019,성숙기,0,0.0,0.0,91.73,52.93,11.98,45.62
0008120029,고스트스튜디오(주),2020,성숙기,0,100.0,0.0,72.0,57.93,1.88,47.71
0008120029,고스트스튜디오(주),2021,성숙기,0,21.92,0.0,67.69,43.91,4.39,43.63
0008120029,고스트스튜디오(주),2022,조정기,0,49.86,24.9,99.69,43.68,0.0,47.62
0008120029,고스트스튜디오(주),2023,성숙기,0,20.16,0.0,99.34,53.15,0.12,50.06
0008120029,고스트스튜디오(주),2024,성숙기,0,44.02,0.0,100.0,46.42,1.71,50.8
1018114655,주식회사와이비엠,2015,성장기,0,33.36,13.8,0.0,49.75,21.02,49.03
1018114655,주식회사와이비엠,2016,성장기,0,23.62,14.8,64.46,43.72,20.37,40.89
1018114655,주식회사와이비엠,2017,성숙기,0,29.0,0.0,73.35,43.34,23.33,43.71
1018114655,주식회사와이비엠,2018,성숙기,0,29.74,0.0,86.22,48.96,12.94,39.6
1018114655,주식회사와이비엠,2019,성숙기,0,0.0,0.0,91.73,51.73,28.02,48.83
1018114655,주식회사와이비엠,2020,도입기,0,100.0,96.1,72.0,56.74,44.68,62.87
1018114655,주식회사와이비엠,2021,성숙기,0,21.92,0.0,67.69,48.65,29.28,32.94
1018114655,주식회사와이비엠,2022,성숙기,0,49.86,0.0,99.69,48.18,44.5,57.51
1018114655,주식회사와이비엠,2023,성숙기,0,20.16,0.0,99.34,57.4,50.47,52.99
1018114655,주식회사와이비엠,2024,도입기,0,44.02,100.0,100.0,50.93,65.62,57.58
1018122626,(주)연흥개발,2015,도입기,1,33.36,58.3,0.0,47.49,79.25,43.73
1018126317,주식회사아이비케이시스템,2015,조정기,0,33.36,33.1,0.0,35.83,8.39,46.52
1018126317,주식회사아이비케이시스템,2016,조정기,0,23.62,23.9,64.46,38.44,16.97,46.79
1018126317,주식회사아이비케이시스템,2017,성숙기,0,29.0,0.0,73.35,35.7,13.76,39.94
1018126317,주식회사아이비케이시스템,2018,성숙기,0,29.74,0.0,86.22,43.76,16.83,47.18
1018126317,주식회사아이비케이시스템,2019,성숙기,0,0.0,0.0,91.73,43.4,19.64,41.22
1018126317,주식회사아이비케이시스템,2020,성숙기,0,100.0,0.0,72.0,53.36,18.65,52.87
1018126317,주식회사아이비케이시스템,2021,성숙기,0,21.92,0.0,67.69,46.64,9.81,36.85
1018126317,주식회사아이비케이시스템,2022,성숙기,0,49.86,0.0,99.69,45.58,2.86,46.33
1018126317,주식회사아이비케이시스템,2023,성숙기,0,20.16,0.0,99.34,55.54,1.67,49.4
1018126317,주식회사아이비케이시스템,2024,성숙기,0,44.02,0.0,100.0,48.9,2.35,50.34
1018126734,주식회사김영사,2015,성숙기,0,33.36,0.0,0.0,44.34,9.97,46.8
1018126734,주식회사김영사,2016,성숙기,0,23.62,0.0,64.46,49.02,9.18,40.84
1018126734,주식회사김영사,2017,성숙기,0,29.0,0.0,73.35,50.49,16.3,46.21
1018126734,주식회사김영사,2018,성숙기,0,29.74,0.0,86.22,53.95,8.11,40.81
1018126734,주식회사김영사,2019,성숙기,0,0.0,0.0,91.73,51.65,31.73,54.12
1018126734,주식회사김영사,2020,조정기,0,100.0,20.3,72.0,56.59,15.51,44.27
1018126734,주식회사김영사,2021,조정기,0,21.92,26.1,67.69,40.17,14.8,41.7
