부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.2,0.15,0.5,0.05,0.05,0.05,0.2789464133793695,7.179258436975675e-82
0.2,0.15,0.45,0.05,0.05,0.1,0.2708696398849453,3.975991657339753e-77
0.2,0.1,0.5,0.05,0.05,0.1,0.270717399959901,4.867524107845493e-77
0.2,0.2,0.45,0.05,0.05,0.05,0.2690338234948941,4.520262698686615e-76
0.2,0.1,0.55,0.05,0.05,0.05,0.2688569098276883,5.707745501088586e-76
0.25,0.15,0.45,0.05,0.05,0.05,0.26819053465640863,1.3719681056839922e-75
0.4,0.05,0.35,0.05,0.05,0.1,0.2675303007182449,3.2631907267333688e-75
0.45,0.05,0.35,0.05,0.05,0.05,0.2671986397674864,5.038135468265035e-75
0.25,0.1,0.5,0.05,0.05,0.05,0.26714488407287074,5.40526916295931e-75
0.5,0.05,0.3,0.05,0.05,0.05,0.2669563842478542,6.916389871324624e-75
0.25,0.1,0.45,0.05,0.05,0.1,0.26675789874203143,8.964363425208948e-75
0.45,0.05,0.3,0.05,0.05,0.1,0.26673971041407823,9.179868814823371e-75
0.2,0.1,0.45,0.05,0.05,0.15,0.26630511905429455,1.618494038839832e-74
0.4,0.05,0.3,0.05,0.05,0.15,0.26562881380936215,3.903416174396176e-74
0.35,0.05,0.3,0.05,0.05,0.2,0.2655423908907385,4.367388363467799e-74
0.55,0.05,0.25,0.05,0.05,0.05,0.26546175290158475,4.8497278219475036e-74
0.5,0.05,0.25,0.05,0.05,0.1,0.2650255057831595,8.542233724049612e-74
0.35,0.05,0.35,0.05,0.05,0.15,0.26480175134047973,1.141542926398063e-73
0.2,0.15,0.45,0.05,0.1,0.05,0.26439305582398054,1.937210881825362e-73
0.2,0.15,0.4,0.05,0.05,0.15,0.263764582743204,4.3609744883778565e-73
0.2,0.1,0.5,0.05,0.1,0.05,0.26370474551806844,4.7107098202118026e-73
0.2,0.1,0.4,0.05,0.05,0.2,0.2627070851831132,1.6997922138711343e-72
0.4,0.05,0.25,0.05,0.05,0.2,0.2625855187299223,1.986734988429267e-72
0.3,0.1,0.45,0.05,0.05,0.05,0.262545506224247,2.0913632496797197e-72
0.2,0.1,0.5,0.1,0.05,0.05,0.2623824480522587,2.5776457396365207e-72
0.4,0.1,0.35,0.05,0.05,0.05,0.26204706304777325,3.96067587342063e-72
0.3,0.05,0.35,0.05,0.05,0.2,0.2620311725950676,4.0420441236005924e-72
0.2,0.1,0.45,0.05,0.1,0.1,0.2619461800147951,4.506388812263723e-72
0.25,0.1,0.4,0.05,0.05,0.15,0.26193682991219636,4.560612153561348e-72
0.3,0.05,0.4,0.05,0.05,0.15,0.2619332642168714,4.581461256848386e-72
0.45,0.05,0.25,0.05,0.05,0.15,0.2618105526039846,5.359893895458431e-72
0.4,0.05,0.4,0.05,0.05,0.05,0.26177198174221533,5.630803087184741e-72
0.3,0.05,0.5,0.05,0.05,0.05,0.26174512783252046,5.827432215591594e-72
0.2,0.05,0.5,0.05,0.05,0.15,0.2612776592700171,1.0585089843992316e-71
0.2,0.05,0.6,0.05,0.05,0.05,0.26109443725543935,1.3370553514354933e-71
0.25,0.05,0.45,0.05,0.05,0.15,0.2610756316907961,1.369487050953176e-71
0.6,0.05,0.2,0.05,0.05,0.05,0.26058293782873637,2.564193224810737e-71
0.35,0.05,0.4,0.05,0.05,0.1,0.2604941125499134,2.8707587267051693e-71
0.35,0.15,0.35,0.05,0.05,0.05,0.260205296091804,4.143225078967396e-71
0.25,0.05,0.4,0.05,0.05,0.2,0.2601035155808387,4.7145852693250414e-71
0.2,0.05,0.4,0.05,0.05,0.25,0.2600646153723008,4.9531336288567245e-71
0.2,0.15,0.45,0.1,0.05,0.05,0.26002312639377373,5.2208251965875425e-71
0.25,0.05,0.55,0.05,0.05,0.05,0.2599754001110301,5.546636182998969e-71
