사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
0008120006,글로벌에스엠테크리미티드,2015,성장기,0,0.0,0.0,0.0,50.1,3.51,49.44,6.9,매우 안정
0008120006,글로벌에스엠테크리미티드,2016,성장기,0,0.0,25.83,84.08,51.43,0.41,46.1,14.8,매우 안정
0008120006,글로벌에스엠테크리미티드,2017,성장기,0,0.6,39.31,83.37,42.6,8.74,51.38,19.9,매우 안정
0008120006,글로벌에스엠테크리미티드,2018,성숙기,0,0.0,80.26,88.75,56.63,13.34,50.53,25.6,매우 안정
0008120006,글로벌에스엠테크리미티드,2019,성숙기,0,0.0,82.08,100.0,53.04,0.18,39.87,18.8,매우 안정
0008120006,글로벌에스엠테크리미티드,2020,성숙기,0,0.0,75.74,69.2,59.17,0.19,48.17,16.2,매우 안정
0008120006,글로벌에스엠테크리미티드,2021,성숙기,0,0.0,50.36,56.61,42.39,0.28,49.19,12.9,매우 안정
0008120006,글로벌에스엠테크리미티드,2022,성숙기,0,0.0,91.71,62.13,44.3,0.16,48.95,15.5,매우 안정
0008120006,글로벌에스엠테크리미티드,2023,성숙기,0,0.0,97.78,62.21,41.44,0.92,49.46,16.2,매우 안정
0008120006,글로벌에스엠테크리미티드,2024,성숙기,0,0.0,100.0,66.4,48.1,0.97,50.44,17.1,매우 안정
0008120010,딥커머스리미티드,2015,쇠퇴기,0,100.0,0.0,0.0,48.26,0.08,47.73,24.8,매우 안정
0008120010,딥커머스리미티드,2016,쇠퇴기,0,100.0,25.83,84.08,51.57,0.41,48.05,34.9,안정
0008120010,딥커머스리미티드,2017,성장기,0,0.6,39.31,83.37,41.81,0.98,47.18,15.4,매우 안정
0008120010,딥커머스리미티드,2018,성장기,0,10.1,80.26,88.75,56.54,1.01,48.12,20.7,매우 안정
0008120010,딥커머스리미티드,2019,성장기,0,12.5,82.08,100.0,52.16,1.97,47.59,22.7,매우 안정
0008120010,딥커머스리미티드,2020,조정기,0,26.8,75.74,69.2,58.5,15.27,55.25,30.2,안정
0008120010,딥커머스리미티드,2021,조정기,0,23.6,50.36,56.61,44.56,0.87,41.64,17.7,매우 안정
0008120010,딥커머스리미티드,2022,조정기,0,27.1,91.71,62.13,47.02,1.43,49.31,21.8,매우 안정
0008120010,딥커머스리미티드,2023,조정기,0,16.9,97.78,62.21,44.24,0.3,48.47,19.3,매우 안정
0008120010,딥커머스리미티드,2024,조정기,0,15.0,100.0,66.4,50.34,0.24,50.38,19.8,매우 안정
0008120016,차이나크리스탈신소재홀딩스,2015,성장기,0,0.0,0.0,0.0,50.0,0.04,47.61,4.9,매우 안정
0008120016,차이나크리스탈신소재홀딩스,2016,성장기,0,0.0,25.83,84.08,49.91,0.04,47.87,14.6,매우 안정
0008120016,차이나크리스탈신소재홀딩스,2017,성장기,0,0.6,39.31,83.37,39.93,0.1,46.91,14.8,매우 안정
0008120016,차이나크리스탈신소재홀딩스,2018,성숙기,0,0.0,80.26,88.75,55.09,0.07,48.09,18.1,매우 안정
0008120016,차이나크리스탈신소재홀딩스,2019,성숙기,0,0.0,82.08,100.0,51.57,0.07,47.06,19.1,매우 안정
0008120016,차이나크리스탈신소재홀딩스,2020,성숙기,0,0.0,75.74,69.2,58.4,0.06,48.16,16.1,매우 안정
0008120016,차이나크리스탈신소재홀딩스,2021,성장기,0,9.5,50.36,56.61,40.92,0.08,49.15,14.6,매우 안정
0008120016,차이나크리스탈신소재홀딩스,2022,성장기,0,16.2,91.71,62.13,40.81,0.07,49.01,18.6,매우 안정
0008120016,차이나크리스탈신소재홀딩스,2023,성장기,0,26.3,97.78,62.21,37.98,0.07,49.06,20.8,매우 안정
0008120016,차이나크리스탈신소재홀딩스,2024,성장기,0,29.1,100.0,66.4,44.56,0.18,50.47,22.3,매우 안정
0008120022,오가닉티코스메틱스홀딩스컴퍼니리미티드,2015,성장기,0,0.0,0.0,0.0,50.0,0.34,47.73,5.1,매우 안정
0008120022,오가닉티코스메틱스홀딩스컴퍼니리미티드,2016,성장기,0,0.0,25.83,84.08,49.91,0.06,47.71,14.6,매우 안정
0008120022,오가닉티코스메틱스홀딩스컴퍼니리미티드,2017,성장기,0,0.6,39.31,83.37,38.61,0.05,46.87,14.7,매우 안정
0008120022,오가닉티코스메틱스홀딩스컴퍼니리미티드,2018,성숙기,0,0.0,80.26,88.75,50.26,0.05,48.1,17.8,매우 안정
0008120022,오가닉티코스메틱스홀딩스컴퍼니리미티드,2019,성숙기,0,0.0,82.08,100.0,50.06,0.15,47.11,19.0,매우 안정
0008120022,오가닉티코스메틱스홀딩스컴퍼니리미티드,2020,성숙기,0,0.0,75.74,69.2,57.65,0.25,48.22,16.1,매우 안정
