사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화
0008120006,글로벌에스엠테크리미티드,2015,성장기,0,0.0,0.0,0.0,50.1,4.63,50.25
0008120006,글로벌에스엠테크리미티드,2016,성장기,0,25.83,0.0,84.08,51.43,0.43,45.25
0008120006,글로벌에스엠테크리미티드,2017,성장기,0,39.31,0.6,83.37,42.6,7.35,51.73
0008120006,글로벌에스엠테크리미티드,2018,성숙기,0,80.26,0.0,88.75,56.63,8.76,49.03
0008120006,글로벌에스엠테크리미티드,2019,성숙기,0,82.08,0.0,100.0,53.04,0.31,43.49
0008120006,글로벌에스엠테크리미티드,2020,성숙기,0,75.74,0.0,69.2,59.17,0.23,48.73
0008120006,글로벌에스엠테크리미티드,2021,성숙기,0,50.36,0.0,56.61,42.39,0.26,49.14
0008120006,글로벌에스엠테크리미티드,2022,성숙기,0,91.71,0.0,62.13,44.3,0.19,48.87
0008120006,글로벌에스엠테크리미티드,2023,성숙기,0,97.78,0.0,62.21,41.44,0.59,48.95
0008120006,글로벌에스엠테크리미티드,2024,성숙기,0,100.0,0.0,66.4,48.1,0.59,50.32
0008120010,딥커머스리미티드,2015,쇠퇴기,0,0.0,100.0,0.0,48.26,0.07,47.85
0008120010,딥커머스리미티드,2016,쇠퇴기,0,25.83,100.0,84.08,51.57,0.16,47.68
0008120010,딥커머스리미티드,2017,성장기,0,39.31,0.6,83.37,41.81,0.54,48.3
0008120010,딥커머스리미티드,2018,성장기,0,80.26,10.1,88.75,56.54,0.69,48.36
0008120010,딥커머스리미티드,2019,성장기,0,82.08,12.5,100.0,52.16,0.97,48.16
0008120010,딥커머스리미티드,2020,조정기,0,75.74,26.8,69.2,58.5,10.15,53.61
0008120010,딥커머스리미티드,2021,조정기,0,50.36,23.6,56.61,44.56,0.72,44.2
0008120010,딥커머스리미티드,2022,조정기,0,91.71,27.1,62.13,47.02,0.71,48.91
0008120010,딥커머스리미티드,2023,조정기,0,97.78,16.9,62.21,44.24,0.23,48.49
0008120010,딥커머스리미티드,2024,조정기,0,100.0,15.0,66.4,50.34,0.17,50.29
0008120016,차이나크리스탈신소재홀딩스,2015,성장기,0,0.0,0.0,0.0,50.0,0.03,47.77
0008120016,차이나크리스탈신소재홀딩스,2016,성장기,0,25.83,0.0,84.08,49.91,0.04,47.64
0008120016,차이나크리스탈신소재홀딩스,2017,성장기,0,39.31,0.6,83.37,39.93,0.04,48.1
0008120016,차이나크리스탈신소재홀딩스,2018,성숙기,0,80.26,0.0,88.75,55.09,0.09,48.3
0008120016,차이나크리스탈신소재홀딩스,2019,성숙기,0,82.08,0.0,100.0,51.57,0.11,48.02
0008120016,차이나크리스탈신소재홀딩스,2020,성숙기,0,75.74,0.0,69.2,58.4,0.09,48.77
0008120016,차이나크리스탈신소재홀딩스,2021,성장기,0,50.36,9.5,56.61,40.92,0.08,49.12
0008120016,차이나크리스탈신소재홀딩스,2022,성장기,0,91.71,16.2,62.13,40.81,0.05,48.9
0008120016,차이나크리스탈신소재홀딩스,2023,성장기,0,97.78,26.3,62.21,37.98,0.03,48.73
0008120016,차이나크리스탈신소재홀딩스,2024,성장기,0,100.0,29.1,66.4,44.56,0.16,50.39
0008120022,오가닉티코스메틱스홀딩스컴퍼니리미티드,2015,성장기,0,0.0,0.0,0.0,50.0,0.25,47.84
0008120022,오가닉티코스메틱스홀딩스컴퍼니리미티드,2016,성장기,0,25.83,0.0,84.08,49.91,0.08,47.53
