사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
1018184336,주식회사초록뱀엔터테인먼트,2015,성숙기,0,0.0,44.21,0.0,66.68,0.04,30.95,7.1,매우 안정
1018184336,주식회사초록뱀엔터테인먼트,2016,조정기,0,36.1,36.53,29.42,29.63,0.55,27.62,15.2,매우 안정
1018184336,주식회사초록뱀엔터테인먼트,2017,성숙기,0,0.0,44.03,29.75,65.77,1.77,34.77,11.2,매우 안정
1018184336,주식회사초록뱀엔터테인먼트,2018,성장기,0,23.8,40.53,25.98,60.72,0.1,19.9,13.5,매우 안정
1018184336,주식회사초록뱀엔터테인먼트,2019,조정기,0,34.3,35.6,34.22,43.08,0.32,22.34,15.5,매우 안정
1018184336,주식회사초록뱀엔터테인먼트,2020,도입기,0,100.0,100.0,48.55,59.91,0.66,29.25,34.7,안정
1018184336,주식회사초록뱀엔터테인먼트,2021,쇠퇴기,0,57.3,32.56,100.0,38.84,9.41,31.0,31.8,안정
1018184336,주식회사초록뱀엔터테인먼트,2022,조정기,1,31.3,0.0,90.36,50.87,0.89,25.63,19.6,매우 안정
1018626646,주식회사현진시닝,2016,성숙기,0,0.0,36.53,29.42,39.08,0.0,27.19,8.1,매우 안정
1018626646,주식회사현진시닝,2017,성장기,0,26.0,44.03,29.75,71.19,0.05,33.95,15.7,매우 안정
1018626646,주식회사현진시닝,2018,성숙기,0,0.0,40.53,25.98,66.59,0.04,21.25,9.0,매우 안정
1018626646,주식회사현진시닝,2019,성숙기,0,0.0,35.6,34.22,64.54,0.02,22.15,9.5,매우 안정
1018626646,주식회사현진시닝,2020,성숙기,0,0.0,100.0,48.55,62.07,2.8,31.13,16.1,매우 안정
1018626646,주식회사현진시닝,2021,조정기,0,31.7,32.56,100.0,35.72,5.53,26.37,24.1,매우 안정
1018626646,주식회사현진시닝,2022,성장기,0,26.1,0.0,90.36,49.23,0.18,28.55,18.2,매우 안정
1018626646,주식회사현진시닝,2023,조정기,0,32.1,63.54,93.33,38.63,0.27,37.03,22.9,매우 안정
1018626646,주식회사현진시닝,2024,성숙기,0,0.0,35.71,98.58,35.99,0.32,35.59,15.4,매우 안정
1018633676,유진비디에스주식회사,2015,조정기,0,43.2,44.21,0.0,55.38,0.08,30.68,15.2,매우 안정
1018633676,유진비디에스주식회사,2016,조정기,0,36.1,36.53,29.42,39.62,0.08,27.21,15.4,매우 안정
1018633676,유진비디에스주식회사,2017,조정기,0,38.7,44.03,29.75,71.47,0.08,33.92,18.2,매우 안정
1018633676,유진비디에스주식회사,2018,쇠퇴기,0,64.8,40.53,25.98,66.9,0.02,21.2,22.0,매우 안정
1018633676,유진비디에스주식회사,2019,쇠퇴기,0,74.9,35.6,34.22,67.39,4.07,25.41,27.1,매우 안정
1018644979,(주)연타운,2016,도입기,0,100.0,36.53,29.42,39.08,0.1,27.19,28.1,매우 안정
1018644979,(주)연타운,2017,쇠퇴기,0,83.3,44.03,29.75,71.19,7.14,38.78,31.3,안정
1018644979,(주)연타운,2018,조정기,0,49.0,40.53,25.98,66.59,2.36,17.37,19.9,매우 안정
1018644979,(주)연타운,2019,성장기,0,23.2,35.6,34.22,63.12,3.79,23.31,16.2,매우 안정
1018649300,더케이예다함(주),2015,성숙기,0,0.0,44.21,0.0,54.79,5.19,22.49,8.9,매우 안정
1018649300,더케이예다함(주),2016,성숙기,0,0.0,36.53,29.42,40.89,3.77,26.04,10.2,매우 안정
1018649300,더케이예다함(주),2017,성숙기,0,0.0,44.03,29.75,72.15,4.13,34.19,12.8,매우 안정
1018649300,더케이예다함(주),2018,성숙기,0,0.0,40.53,25.98,67.18,1.19,18.87,9.6,매우 안정
1018649300,더케이예다함(주),2019,성숙기,0,0.0,35.6,34.22,67.16,1.06,22.07,10.2,매우 안정
1018649300,더케이예다함(주),2020,성숙기,0,0.0,100.0,48.55,64.06,4.26,31.46,17.0,매우 안정
1018649300,더케이예다함(주),2021,성숙기,0,0.0,32.56,100.0,36.35,4.0,24.07,16.8,매우 안정
1018649300,더케이예다함(주),2022,성숙기,0,0.0,0.0,90.36,50.09,2.0,31.43,14.2,매우 안정
1018649300,더케이예다함(주),2023,성숙기,0,0.0,63.54,93.33,39.71,7.12,40.4,20.4,매우 안정
1018649300,더케이예다함(주),2024,성숙기,0,0.0,35.71,98.58,37.14,3.82,33.1,17.3,매우 안정
