사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,최종합산스코어,등급_5단계,신용등급
1018184336,주식회사초록뱀엔터테인먼트,2015,성숙기,0,44.21,0.0,0.0,66.68,6.32,55.98,2016,26.5,매우 안정,
1018184336,주식회사초록뱀엔터테인먼트,2016,조정기,0,36.53,36.1,29.42,29.63,2.13,46.4,2017,18.6,매우 안정,
1018184336,주식회사초록뱀엔터테인먼트,2017,성숙기,0,44.03,0.0,29.75,65.77,29.7,64.31,2018,40.3,안정,
1018184336,주식회사초록뱀엔터테인먼트,2018,성장기,0,40.53,23.8,25.98,60.72,4.48,31.55,2019,24.1,매우 안정,
1018184336,주식회사초록뱀엔터테인먼트,2019,조정기,0,35.6,34.3,34.22,43.08,23.23,59.84,2020,33.2,안정,
1018184336,주식회사초록뱀엔터테인먼트,2020,도입기,0,100.0,100.0,48.55,59.91,49.51,63.24,2021,60.5,중립,
1018184336,주식회사초록뱀엔터테인먼트,2021,쇠퇴기,0,32.56,57.3,100.0,38.84,65.18,59.55,2022,57.4,중립,
1018184336,주식회사초록뱀엔터테인먼트,2022,조정기,1,0.0,31.3,90.36,50.87,54.03,44.21,2023,47.7,중립,
1018626646,주식회사현진시닝,2016,성숙기,0,36.53,0.0,29.42,39.08,8.03,48.63,2017,21.8,매우 안정,
1018626646,주식회사현진시닝,2017,성장기,0,44.03,26.0,29.75,71.19,2.22,43.81,2018,26.9,매우 안정,
1018626646,주식회사현진시닝,2018,성숙기,0,40.53,0.0,25.98,66.59,2.56,48.57,2019,24.8,매우 안정,
1018626646,주식회사현진시닝,2019,성숙기,0,35.6,0.0,34.22,64.54,0.82,47.02,2020,23.3,매우 안정,
1018626646,주식회사현진시닝,2020,성숙기,0,100.0,0.0,48.55,62.07,41.13,71.81,2021,52.6,중립,
1018626646,주식회사현진시닝,2021,조정기,0,32.56,31.7,100.0,35.72,41.94,50.55,2022,43.0,안정,
1018626646,주식회사현진시닝,2022,성장기,0,0.0,26.1,90.36,49.23,10.13,30.85,2023,23.8,매우 안정,
1018626646,주식회사현진시닝,2023,조정기,0,63.54,32.1,93.33,38.63,34.27,61.33,2024,43.6,안정,
1018626646,주식회사현진시닝,2024,성숙기,0,35.71,0.0,98.58,35.99,11.65,25.14,2025,24.0,매우 안정,
1018633676,유진비디에스주식회사,2015,조정기,0,44.21,43.2,0.0,55.38,7.17,48.23,2016,26.1,매우 안정,
1018633676,유진비디에스주식회사,2016,조정기,0,36.53,36.1,29.42,39.62,3.14,46.49,2017,21.1,매우 안정,
1018633676,유진비디에스주식회사,2017,조정기,0,44.03,38.7,29.75,71.47,3.47,47.51,2018,28.6,매우 안정,
1018633676,유진비디에스주식회사,2018,쇠퇴기,0,40.53,64.8,25.98,66.9,16.98,57.1,2019,36.2,안정,
1018633676,유진비디에스주식회사,2019,쇠퇴기,0,35.6,74.9,34.22,67.39,68.8,80.59,2020,65.0,위험,
1018644979,(주)연타운,2016,도입기,0,36.53,100.0,29.42,39.08,11.24,48.63,2017,28.4,매우 안정,
1018644979,(주)연타운,2017,쇠퇴기,0,44.03,83.3,29.75,71.19,56.26,75.23,2018,59.9,중립,
1018644979,(주)연타운,2018,조정기,0,40.53,49.0,25.98,66.59,36.57,34.72,2019,42.9,안정,
1018644979,(주)연타운,2019,성장기,0,35.6,23.2,34.22,63.12,35.09,47.4,2020,41.3,안정,
1018649300,더케이예다함(주),2015,성숙기,0,44.21,0.0,0.0,54.79,33.45,48.37,2016,36.9,안정,
1018649300,더케이예다함(주),2016,성숙기,0,36.53,0.0,29.42,40.89,33.58,48.65,2017,35.0,안정,
1018649300,더케이예다함(주),2017,성숙기,0,44.03,0.0,29.75,72.15,35.22,48.85,2018,42.8,안정,
1018649300,더케이예다함(주),2018,성숙기,0,40.53,0.0,25.98,67.18,32.15,45.84,2019,39.4,안정,
1018649300,더케이예다함(주),2019,성숙기,0,35.6,0.0,34.22,67.16,34.06,49.49,2020,40.7,안정,
1018649300,더케이예다함(주),2020,성숙기,0,100.0,0.0,48.55,64.06,35.42,48.22,2021,47.8,중립,
1018649300,더케이예다함(주),2021,성숙기,0,32.56,0.0,100.0,36.35,39.99,52.83,2022,40.8,안정,
1018649300,더케이예다함(주),2022,성숙기,0,0.0,0.0,90.36,50.09,37.18,49.29,2023,38.1,안정,
1018649300,더케이예다함(주),2023,성숙기,0,63.54,0.0,93.33,39.71,40.45,47.55,2024,43.9,안정,
1018649300,더케이예다함(주),2024,성숙기,0,35.71,0.0,98.58,37.14,38.37,41.07,2025,39.2,안정,
1018653110,유진레저주식회사,2015,성장기,0,44.21,18.0,0.0,55.53,10.66,52.69,2016,27.0,매우 안정,
1018653110,유진레저주식회사,2016,성숙기,0,36.53,0.0,29.42,39.08,3.13,44.27,2017,18.9,매우 안정,
1018653110,유진레저주식회사,2017,성숙기,0,44.03,0.0,29.75,71.19,1.76,46.46,2018,25.7,매우 안정,
1018653110,유진레저주식회사,2018,성숙기,0,40.53,0.0,25.98,65.72,2.21,48.64,2019,24.5,매우 안정,
1018653110,유진레저주식회사,2019,성숙기,0,35.6,0.0,34.22,65.54,2.33,48.18,2020,24.4,매우 안정,
1018653110,유진레저주식회사,2020,성숙기,0,100.0,0.0,48.55,60.78,1.25,46.96,2021,29.9,매우 안정,
1018653110,유진레저주식회사,2021,성숙기,0,32.56,0.0,100.0,31.28,0.64,49.7,2022,19.8,매우 안정,
1018653110,유진레저주식회사,2022,성숙기,0,0.0,0.0,90.36,47.33,1.45,51.25,2023,19.8,매우 안정,
1018653110,유진레저주식회사,2023,성숙기,0,63.54,0.0,93.33,36.11,3.23,45.56,2024,24.4,매우 안정,
1018653110,유진레저주식회사,2024,성숙기,0,35.71,0.0,98.58,33.36,2.36,43.75,2025,20.7,매우 안정,
1028125209,천룡종합개발(주),2015,성장기,0,44.21,18.0,0.0,55.19,57.16,70.23,2016,52.0,중립,
1028125209,천룡종합개발(주),2016,성장기,0,36.53,21.6,29.42,40.47,68.52,55.22,2017,54.1,중립,
1028125209,천룡종합개발(주),2017,성장기,0,44.03,26.0,29.75,72.45,61.8,44.3,2018,57.0,중립,
1028125209,천룡종합개발(주),2018,성숙기,0,40.53,0.0,25.98,67.98,73.51,55.02,2019,61.2,위험,
1028125209,천룡종합개발(주),2019,성숙기,0,35.6,0.0,34.22,66.72,24.98,18.23,2020,32.9,안정,
1028125209,천룡종합개발(주),2020,성숙기,0,100.0,0.0,48.55,59.73,23.24,46.42,2021,40.6,안정,
1028125209,천룡종합개발(주),2021,성숙기,0,32.56,0.0,100.0,28.82,20.27,48.27,2022,29.0,매우 안정,
1028125209,천룡종합개발(주),2022,성숙기,0,0.0,0.0,90.36,48.9,20.96,51.35,2023,29.9,매우 안정,
1028125209,천룡종합개발(주),2023,성숙기,0,63.54,0.0,93.33,37.99,18.3,42.99,2024,32.1,매우 안정,
1028125209,천룡종합개발(주),2024,성숙기,0,35.71,0.0,98.58,35.82,21.18,46.01,2025,30.9,매우 안정,
1028700457,농업회사법인주식회사여울,2016,도입기,0,36.53,100.0,29.42,39.08,15.54,48.63,2017,30.6,매우 안정,
1028700457,농업회사법인주식회사여울,2017,도입기,0,44.03,100.0,29.75,,83.56,89.49,2018,61.6,위험,
1028700457,농업회사법인주식회사여울,2018,도입기,1,40.53,100.0,25.98,66.59,100.0,57.74,2019,79.4,매우 위험,
1038800480,(주)피렌체,2017,도입기,0,44.03,100.0,29.75,71.19,16.66,47.92,2018,38.3,안정,
1038800480,(주)피렌체,2018,도입기,0,40.53,100.0,25.98,66.59,80.74,89.7,2019,73.0,매우 위험,
1038800480,(주)피렌체,2019,도입기,0,35.6,100.0,34.22,66.17,91.51,55.34,2020,74.8,매우 위험,
1038800480,(주)피렌체,2020,도입기,0,100.0,100.0,48.55,62.35,96.33,49.91,2021,83.1,매우 위험,
1038800480,(주)피렌체,2021,도입기,1,32.56,100.0,100.0,34.28,92.15,47.52,2022,70.9,위험,
1048140579,(주)피엠씨프러덕션,2015,성숙기,0,44.21,0.0,0.0,48.94,7.63,56.91,2016,23.7,매우 안정,
1048140579,(주)피엠씨프러덕션,2016,성장기,0,36.53,21.6,29.42,38.88,1.44,45.14,2017,19.2,매우 안정,
1048140579,(주)피엠씨프러덕션,2017,도입기,0,44.03,100.0,29.75,71.68,60.88,83.96,2018,64.1,위험,
1048140579,(주)피엠씨프러덕션,2018,성숙기,0,40.53,0.0,25.98,66.22,0.26,8.09,2019,19.5,매우 안정,
1048140579,(주)피엠씨프러덕션,2019,성숙기,0,35.6,0.0,34.22,61.46,0.27,48.1,2020,22.5,매우 안정,
1048140579,(주)피엠씨프러덕션,2020,성숙기,0,100.0,0.0,48.55,60.48,77.35,93.89,2021,72.6,위험,
1048140579,(주)피엠씨프러덕션,2021,성숙기,0,32.56,0.0,100.0,43.81,64.36,42.19,2022,53.4,중립,
1048140579,(주)피엠씨프러덕션,2022,성숙기,0,0.0,0.0,90.36,57.18,5.15,13.61,2023,19.9,매우 안정,
1048140579,(주)피엠씨프러덕션,2023,성숙기,0,63.54,0.0,93.33,49.3,0.77,41.38,2024,25.4,매우 안정,
1048140579,(주)피엠씨프러덕션,2024,성숙기,0,35.71,0.0,98.58,44.91,0.99,44.72,2025,22.4,매우 안정,
1048142785,(주)대우전자서비스,2015,성장기,0,44.21,18.0,0.0,52.89,10.8,41.86,2016,25.5,매우 안정,
1048142785,(주)대우전자서비스,2016,쇠퇴기,0,36.53,66.5,29.42,51.3,21.76,55.72,2017,35.2,안정,
1048142785,(주)대우전자서비스,2017,성숙기,0,44.03,0.0,29.75,77.98,4.43,36.94,2018,27.4,매우 안정,
1048142785,(주)대우전자서비스,2018,조정기,0,40.53,49.0,25.98,71.7,6.22,49.47,2019,30.2,매우 안정,
1048148192,(주)교원투어,2015,도입기,0,44.21,100.0,0.0,55.53,72.42,85.41,2016,65.3,위험,
1048148192,(주)교원투어,2016,성숙기,0,36.53,0.0,29.42,39.08,44.15,30.43,2017,38.1,안정,
1048148192,(주)교원투어,2017,성숙기,0,44.03,0.0,29.75,73.89,23.42,35.23,2018,35.9,안정,
1048148192,(주)교원투어,2018,성숙기,0,40.53,0.0,25.98,69.5,29.97,52.26,2019,39.5,안정,
1048148192,(주)교원투어,2019,조정기,0,35.6,34.3,34.22,70.4,3.56,31.79,2020,26.0,매우 안정,
1048148192,(주)교원투어,2020,쇠퇴기,0,100.0,68.0,48.55,62.22,75.92,91.03,2021,75.3,매우 위험,
1048148192,(주)교원투어,2021,쇠퇴기,0,32.56,57.3,100.0,48.95,74.81,49.38,2022,63.3,위험,
1048148192,(주)교원투어,2022,쇠퇴기,1,0.0,67.5,90.36,,90.12,61.14,2023,59.1,중립,
1048196184,그랜드코리아레저(주),2015,성숙기,0,44.21,0.0,0.0,57.58,0.28,52.41,2016,21.3,매우 안정,
1048196184,그랜드코리아레저(주),2016,성숙기,0,36.53,0.0,29.42,37.91,1.1,49.6,2017,18.2,매우 안정,
1048196184,그랜드코리아레저(주),2017,성숙기,0,44.03,0.0,29.75,70.71,0.56,46.95,2018,25.0,매우 안정,
1048196184,그랜드코리아레저(주),2018,성숙기,0,40.53,0.0,25.98,65.73,1.05,48.69,2019,23.9,매우 안정,
1048196184,그랜드코리아레저(주),2019,성숙기,0,35.6,0.0,34.22,65.46,1.14,48.16,2020,23.7,매우 안정,
1048196184,그랜드코리아레저(주),2020,성숙기,0,100.0,0.0,48.55,61.44,54.36,79.56,2021,59.9,중립,
1048196184,그랜드코리아레저(주),2021,쇠퇴기,0,32.56,57.3,100.0,42.86,60.2,53.6,2022,55.2,중립,
1048196184,그랜드코리아레저(주),2022,쇠퇴기,1,0.0,67.5,90.36,47.99,39.49,38.08,2023,41.0,안정,
1048601101,래복,2015,쇠퇴기,0,44.21,75.0,0.0,55.53,79.94,49.86,2016,64.2,위험,
1048601101,래복,2016,쇠퇴기,0,36.53,66.5,29.42,51.17,66.14,39.28,2017,55.7,중립,
1048601101,래복,2017,쇠퇴기,0,44.03,83.3,29.75,76.74,52.43,39.95,2018,55.6,중립,
1048608104,주식회사제주미술관,2015,성숙기,0,44.21,0.0,0.0,54.87,18.24,51.02,2016,29.6,매우 안정,
1048608104,주식회사제주미술관,2016,성숙기,0,36.53,0.0,29.42,39.5,13.34,45.77,2017,24.3,매우 안정,
1048608104,주식회사제주미술관,2017,성숙기,0,44.03,0.0,29.75,71.46,12.18,46.77,2018,30.9,매우 안정,
1048608104,주식회사제주미술관,2018,성숙기,0,40.53,0.0,25.98,66.93,24.91,56.45,2019,36.8,안정,
1048608104,주식회사제주미술관,2019,조정기,0,35.6,34.3,34.22,62.51,31.44,52.34,2020,40.4,안정,
1048618688,제이티앤미디어(주),2016,도입기,0,36.53,100.0,29.42,39.08,13.14,48.63,2017,29.4,매우 안정,
1048618688,제이티앤미디어(주),2017,성숙기,0,44.03,0.0,29.75,71.19,6.39,43.32,2018,27.7,매우 안정,
1048618688,제이티앤미디어(주),2018,성숙기,0,40.53,0.0,25.98,66.59,1.47,45.09,2019,23.9,매우 안정,
1048618688,제이티앤미디어(주),2019,성숙기,0,35.6,0.0,34.22,61.2,1.03,47.83,2020,22.8,매우 안정,
1048618688,제이티앤미디어(주),2020,조정기,0,100.0,36.1,48.55,62.41,23.49,61.1,2021,44.6,안정,
1048626290,주식회사여수씨월드,2015,성숙기,0,44.21,0.0,0.0,71.38,5.78,54.18,2016,27.0,매우 안정,
1048626290,주식회사여수씨월드,2016,성숙기,0,36.53,0.0,29.42,37.19,1.78,46.53,2017,18.1,매우 안정,
1048626290,주식회사여수씨월드,2017,성숙기,0,44.03,0.0,29.75,68.96,1.12,46.88,2018,24.9,매우 안정,
1048626290,주식회사여수씨월드,2018,성숙기,0,40.53,0.0,25.98,63.94,14.92,57.32,2019,31.3,매우 안정,
1048626290,주식회사여수씨월드,2019,조정기,0,35.6,34.3,34.22,67.18,1.2,39.61,2020,25.0,매우 안정,
1048626290,주식회사여수씨월드,2020,조정기,0,100.0,36.1,48.55,67.78,41.96,72.08,2021,56.0,중립,
1048626290,주식회사여수씨월드,2021,성숙기,0,32.56,0.0,100.0,44.04,0.67,25.07,2022,19.9,매우 안정,
1048626290,주식회사여수씨월드,2022,성숙기,0,0.0,0.0,90.36,57.71,2.31,51.78,2023,22.4,매우 안정,
1048626290,주식회사여수씨월드,2023,성숙기,0,63.54,0.0,93.33,49.29,3.49,45.17,2024,27.1,매우 안정,
1048626290,주식회사여수씨월드,2024,성숙기,0,35.71,0.0,98.58,46.81,23.36,60.1,2025,35.6,안정,
1048628696,(주)일산씨월드,2015,도입기,0,44.21,100.0,0.0,55.53,75.82,44.0,2016,62.8,위험,
