부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.5,0.05,0.3,0.05,0.05,0.05,1.0,0.459654,1.14e-07
0.55,0.05,0.25,0.05,0.05,0.05,1.0,0.448293,2.52e-07
0.5,0.05,0.25,0.05,0.05,0.1,1.0,0.44561,3.03e-07
0.6,0.05,0.2,0.05,0.05,0.05,1.0,0.436145,5.72e-07
0.5,0.05,0.25,0.1,0.05,0.05,1.0,0.43077,8.14e-07
0.5,0.05,0.25,0.05,0.1,0.05,1.0,0.426802,1.052e-06
0.55,0.05,0.2,0.05,0.05,0.1,1.0,0.42293,1.347e-06
0.5,0.05,0.2,0.05,0.05,0.15,1.0,0.42183,1.444e-06
0.5,0.1,0.25,0.05,0.05,0.05,1.0,0.421115,1.511e-06
0.65,0.05,0.15,0.05,0.05,0.05,1.0,0.407605,3.48e-06
0.55,0.05,0.2,0.05,0.1,0.05,1.0,0.402284,4.786e-06
0.55,0.05,0.15,0.05,0.05,0.15,1.0,0.398828,5.869e-06
0.55,0.05,0.2,0.1,0.05,0.05,1.0,0.398726,5.905e-06
0.5,0.05,0.2,0.05,0.1,0.1,1.0,0.397509,6.341e-06
0.55,0.1,0.2,0.05,0.05,0.05,1.0,0.395322,7.203e-06
0.6,0.05,0.15,0.05,0.05,0.1,1.0,0.39404,7.758e-06
0.5,0.05,0.2,0.1,0.05,0.1,1.0,0.391921,8.766e-06
0.5,0.1,0.2,0.05,0.05,0.1,1.0,0.388086,1.0911e-05
0.5,0.05,0.15,0.05,0.05,0.2,1.0,0.379936,1.7217e-05
0.5,0.05,0.2,0.1,0.1,0.05,1.0,0.3707,2.8453e-05
0.5,0.1,0.2,0.05,0.1,0.05,1.0,0.370177,2.9261e-05
0.5,0.15,0.2,0.05,0.05,0.05,1.0,0.368324,3.2301e-05
0.6,0.1,0.15,0.05,0.05,0.05,1.0,0.367831,3.3158e-05
0.5,0.05,0.2,0.05,0.15,0.05,1.0,0.366944,3.4753e-05
0.6,0.05,0.15,0.05,0.1,0.05,1.0,0.365885,3.6753e-05
0.5,0.1,0.2,0.1,0.05,0.05,1.0,0.361977,4.5103e-05
0.6,0.05,0.15,0.1,0.05,0.05,1.0,0.361615,4.5961e-05
0.7,0.05,0.1,0.05,0.05,0.05,1.0,0.356099,6.1067e-05
0.5,0.05,0.2,0.15,0.05,0.05,1.0,0.349654,8.4558e-05
0.5,0.05,0.15,0.1,0.05,0.15,1.0,0.348803,8.8226e-05
0.65,0.05,0.1,0.05,0.05,0.1,1.0,0.348588,8.9177e-05
0.55,0.05,0.15,0.05,0.1,0.1,1.0,0.348444,8.9816e-05
0.55,0.05,0.15,0.1,0.05,0.1,1.0,0.34748,9.4221e-05
0.55,0.1,0.15,0.05,0.05,0.1,1.0,0.34707,9.6156e-05
0.5,0.05,0.15,0.05,0.1,0.15,1.0,0.346783,9.7532e-05
0.55,0.1,0.15,0.05,0.1,0.05,1.0,0.344688,0.000108146
0.55,0.1,0.15,0.1,0.05,0.05,1.0,0.342802,0.000118611
0.5,0.1,0.15,0.05,0.05,0.15,1.0,0.34261,0.000119728
0.55,0.05,0.15,0.05,0.15,0.05,1.0,0.338734,0.000144471
0.55,0.05,0.15,0.15,0.05,0.05,1.0,0.334137,0.000179958
0.55,0.15,0.15,0.05,0.05,0.05,1.0,0.331622,0.000202647
0.6,0.05,0.1,0.05,0.05,0.15,1.0,0.331291,0.000205828
0.5,0.05,0.15,0.05,0.15,0.1,1.0,0.330033,0.000218321
0.65,0.05,0.1,0.05,0.1,0.05,1.0,0.329461,0.000224231
0.5,0.1,0.15,0.05,0.1,0.1,1.0,0.326366,0.000258874
0.5,0.05,0.15,0.15,0.05,0.1,1.0,0.325176,0.000273455
0.5,0.05,0.15,0.2,0.05,0.05,1.0,0.32424,0.000285467
0.55,0.05,0.15,0.1,0.1,0.05,1.0,0.323296,0.000298058
0.5,0.15,0.15,0.1,0.05,0.05,1.0,0.320788,0.000334085
0.5,0.15,0.15,0.05,0.05,0.1,1.0,0.320408,0.000339871
0.65,0.1,0.1,0.05,0.05,0.05,1.0,0.319688,0.000351116
0.5,0.1,0.15,0.1,0.1,0.05,1.0,0.319681,0.000351233
0.6,0.05,0.1,0.05,0.1,0.1,1.0,0.318207,0.000375305
0.5,0.1,0.15,0.1,0.05,0.1,1.0,0.317664,0.000384564
0.5,0.05,0.15,0.05,0.2,0.05,1.0,0.316676,0.000401933
0.5,0.1,0.15,0.05,0.15,0.05,1.0,0.314998,0.000433112
0.5,0.15,0.15,0.05,0.1,0.05,1.0,0.313077,0.000471526
0.5,0.2,0.15,0.05,0.05,0.05,1.0,0.309062,0.000562176
0.55,0.05,0.1,0.05,0.05,0.2,1.0,0.308942,0.000565107
0.5,0.05,0.1,0.05,0.05,0.25,1.0,0.30764,0.000597935
0.6,0.05,0.1,0.15,0.05,0.05,1.0,0.305214,0.000663796
0.65,0.05,0.1,0.1,0.05,0.05,1.0,0.304454,0.000685777
0.6,0.05,0.1,0.05,0.15,0.05,1.0,0.304147,0.000694837
0.5,0.05,0.15,0.1,0.1,0.1,1.0,0.303798,0.000705259
0.6,0.05,0.1,0.1,0.05,0.1,1.0,0.300897,0.000797743
0.5,0.05,0.15,0.15,0.1,0.05,1.0,0.298128,0.00089621
0.6,0.1,0.1,0.05,0.05,0.1,1.0,0.297633,0.000914968
0.5,0.05,0.15,0.1,0.15,0.05,1.0,0.29739,0.000924283
0.55,0.05,0.1,0.2,0.05,0.05,1.0,0.296262,0.000968729
0.5,0.1,0.15,0.15,0.05,0.05,1.0,0.295315,0.001007566
0.55,0.05,0.1,0.05,0.1,0.15,1.0,0.294277,0.001051757
0.55,0.05,0.1,0.15,0.05,0.1,1.0,0.293101,0.00110393
0.55,0.05,0.1,0.05,0.15,0.1,1.0,0.292421,0.00113518
0.55,0.05,0.1,0.1,0.05,0.15,1.0,0.290777,0.001214051
0.6,0.15,0.1,0.05,0.05,0.05,1.0,0.290234,0.001241185
0.55,0.1,0.1,0.05,0.05,0.15,1.0,0.288337,0.001340434
0.5,0.05,0.1,0.25,0.05,0.05,1.0,0.285845,0.0014817
0.5,0.05,0.1,0.15,0.05,0.15,1.0,0.284512,0.001562715
0.6,0.1,0.1,0.05,0.1,0.05,1.0,0.282465,0.001695008
0.6,0.05,0.1,0.1,0.1,0.05,1.0,0.281152,0.001785085
0.5,0.05,0.1,0.2,0.05,0.1,1.0,0.281142,0.001785805
0.5,0.05,0.1,0.05,0.1,0.2,1.0,0.280862,0.001805602
0.55,0.15,0.1,0.05,0.05,0.1,1.0,0.27537,0.002235989
0.55,0.05,0.1,0.15,0.1,0.05,1.0,0.272396,0.002505882
0.5,0.2,0.1,0.05,0.05,0.1,1.0,0.271928,0.002550966
0.55,0.2,0.1,0.05,0.05,0.05,1.0,0.270581,0.002684735
0.5,0.1,0.1,0.05,0.05,0.2,1.0,0.270151,0.002728831
0.5,0.2,0.1,0.05,0.1,0.05,1.0,0.269237,0.002824571
0.5,0.05,0.1,0.2,0.1,0.05,1.0,0.269136,0.002835366
0.5,0.15,0.1,0.05,0.05,0.15,1.0,0.268295,0.002926431
0.5,0.05,0.1,0.05,0.2,0.1,1.0,0.268264,0.002929812
0.55,0.05,0.1,0.05,0.2,0.05,1.0,0.267963,0.002963057
0.5,0.05,0.1,0.1,0.05,0.2,1.0,0.267338,0.003033282
0.5,0.05,0.1,0.05,0.15,0.15,1.0,0.26701,0.003070717
0.55,0.1,0.1,0.05,0.1,0.1,1.0,0.266381,0.003143633
0.55,0.05,0.1,0.1,0.1,0.1,1.0,0.265352,0.003266279
0.55,0.15,0.1,0.05,0.1,0.05,1.0,0.26242,0.00363985
0.5,0.1,0.1,0.05,0.1,0.15,1.0,0.262252,0.003662299
0.6,0.1,0.1,0.1,0.05,0.05,1.0,0.261356,0.00378463
0.55,0.1,0.1,0.05,0.15,0.05,1.0,0.259652,0.0040272
0.5,0.05,0.1,0.1,0.1,0.15,1.0,0.259053,0.004115669
0.5,0.25,0.1,0.05,0.05,0.05,1.0,0.258264,0.004235025
0.55,0.05,0.1,0.1,0.15,0.05,1.0,0.255906,0.004610214
0.5,0.05,0.1,0.15,0.1,0.1,1.0,0.254657,0.004820689
0.5,0.1,0.1,0.05,0.15,0.1,1.0,0.254207,0.00489859
0.5,0.15,0.1,0.05,0.1,0.1,1.0,0.25355,0.005014467
0.5,0.25,0.05,0.05,0.05,0.1,1.0,0.253315,0.005056392
0.5,0.1,0.1,0.2,0.05,0.05,1.0,0.251186,0.005451546
0.7,0.1,0.05,0.05,0.05,0.05,1.0,0.250969,0.005493247
0.55,0.1,0.1,0.15,0.05,0.05,1.0,0.250636,0.00555804
0.5,0.05,0.1,0.15,0.15,0.05,1.0,0.249467,0.005790427
0.5,0.2,0.1,0.1,0.05,0.05,1.0,0.248899,0.00590631
0.55,0.15,0.1,0.1,0.05,0.05,1.0,0.248479,0.005993501
0.65,0.15,0.05,0.05,0.05,0.05,1.0,0.247621,0.006174989
0.5,0.1,0.1,0.15,0.05,0.1,1.0,0.246603,0.006396792
0.55,0.1,0.1,0.1,0.05,0.1,1.0,0.246141,0.006499582
0.5,0.15,0.1,0.05,0.15,0.05,1.0,0.244713,0.006827215
0.55,0.2,0.05,0.05,0.05,0.1,1.0,0.243421,0.007136025
0.5,0.05,0.1,0.1,0.15,0.1,1.0,0.238496,0.008429832
0.6,0.2,0.05,0.05,0.05,0.05,1.0,0.237748,0.008643374
0.7,0.05,0.05,0.1,0.05,0.05,1.0,0.237166,0.008812833
0.5,0.1,0.1,0.1,0.05,0.15,1.0,0.236568,0.008990084
0.5,0.05,0.1,0.05,0.25,0.05,1.0,0.234634,0.00958507
0.7,0.05,0.05,0.05,0.05,0.1,1.0,0.233984,0.009792431
0.5,0.1,0.1,0.05,0.2,0.05,1.0,0.233581,0.009923191
0.65,0.05,0.05,0.05,0.05,0.15,1.0,0.233246,0.010032952
0.5,0.15,0.1,0.1,0.05,0.1,1.0,0.232645,0.010232758
0.65,0.05,0.05,0.15,0.05,0.05,1.0,0.232621,0.010240777
0.5,0.15,0.1,0.15,0.05,0.05,1.0,0.230751,0.010884703
0.6,0.15,0.05,0.05,0.05,0.1,1.0,0.229374,0.011381582
0.5,0.2,0.05,0.05,0.1,0.1,1.0,0.229025,0.011510452
0.6,0.05,0.05,0.05,0.05,0.2,1.0,0.228747,0.011614195
0.55,0.2,0.05,0.05,0.1,0.05,1.0,0.227295,0.01216935
0.55,0.1,0.1,0.1,0.1,0.05,1.0,0.227177,0.012215418
0.6,0.15,0.05,0.05,0.1,0.05,1.0,0.225778,0.012773447
0.55,0.25,0.05,0.05,0.05,0.05,1.0,0.222265,0.014274978
0.5,0.2,0.05,0.05,0.05,0.15,1.0,0.222063,0.014365637
0.5,0.1,0.1,0.15,0.1,0.05,1.0,0.222022,0.014384138
0.5,0.15,0.1,0.1,0.1,0.05,1.0,0.221907,0.014436498
0.6,0.05,0.05,0.2,0.05,0.05,1.0,0.221213,0.014753451
0.65,0.1,0.05,0.05,0.1,0.05,1.0,0.221062,0.014823328
0.5,0.05,0.1,0.1,0.2,0.05,1.0,0.220864,0.014915418
0.65,0.05,0.05,0.1,0.05,0.1,1.0,0.216752,0.016940904
0.5,0.1,0.1,0.1,0.1,0.1,1.0,0.21618,0.017240826
0.6,0.05,0.05,0.1,0.05,0.15,1.0,0.214336,0.018239171
0.7,0.05,0.05,0.05,0.1,0.05,1.0,0.214107,0.018366551
0.6,0.05,0.05,0.15,0.05,0.1,1.0,0.212959,0.019017013
0.65,0.1,0.05,0.05,0.05,0.1,1.0,0.211844,0.019667026
0.5,0.25,0.05,0.05,0.1,0.05,1.0,0.208775,0.021557509
0.5,0.1,0.1,0.1,0.15,0.05,1.0,0.206591,0.022996035
0.65,0.05,0.05,0.05,0.1,0.1,1.0,0.204202,0.024663154
0.55,0.05,0.05,0.25,0.05,0.05,1.0,0.20412,0.024722184
0.55,0.05,0.05,0.2,0.05,0.1,1.0,0.203799,0.024954547
0.65,0.1,0.05,0.1,0.05,0.05,1.0,0.2029,0.025614613
0.55,0.05,0.05,0.15,0.05,0.15,1.0,0.201171,0.026926557
0.55,0.15,0.05,0.05,0.1,0.1,1.0,0.199554,0.028204311
0.55,0.05,0.05,0.1,0.05,0.2,1.0,0.199431,0.028303638
0.6,0.15,0.05,0.1,0.05,0.05,1.0,0.198864,0.028765508
0.5,0.05,0.05,0.2,0.05,0.15,1.0,0.197784,0.029662452
0.5,0.05,0.05,0.15,0.05,0.2,1.0,0.197288,0.030081907
0.55,0.15,0.05,0.05,0.05,0.15,1.0,0.197258,0.030108107
0.6,0.1,0.05,0.15,0.05,0.05,1.0,0.195686,0.031472668
0.6,0.05,0.05,0.15,0.1,0.05,1.0,0.195262,0.031850097
0.55,0.15,0.05,0.05,0.15,0.05,1.0,0.194766,0.032295299
0.55,0.05,0.05,0.05,0.05,0.25,1.0,0.194178,0.032830877
0.5,0.2,0.05,0.05,0.15,0.05,1.0,0.193403,0.03354848
0.65,0.05,0.05,0.1,0.1,0.05,1.0,0.192483,0.034416645
0.55,0.1,0.05,0.2,0.05,0.05,1.0,0.191871,0.035004574
0.6,0.1,0.05,0.05,0.05,0.15,1.0,0.191611,0.035256746
0.6,0.1,0.05,0.05,0.1,0.1,1.0,0.190569,0.036284203
0.5,0.05,0.05,0.3,0.05,0.05,1.0,0.189711,0.037148543
0.5,0.05,0.05,0.05,0.05,0.3,1.0,0.189363,0.037504701
0.5,0.05,0.05,0.25,0.05,0.1,1.0,0.188907,0.037974849
0.6,0.05,0.05,0.05,0.1,0.15,1.0,0.188669,0.038221733
0.5,0.3,0.05,0.05,0.05,0.05,1.0,0.187493,0.039463989
0.5,0.2,0.05,0.1,0.05,0.1,1.0,0.18616,0.040912713
0.55,0.05,0.05,0.2,0.1,0.05,1.0,0.186058,0.041025276
0.55,0.15,0.05,0.15,0.05,0.05,1.0,0.184879,0.042347416
0.6,0.1,0.05,0.1,0.05,0.1,1.0,0.183621,0.043795948
0.6,0.1,0.05,0.05,0.15,0.05,1.0,0.183221,0.044265052
0.6,0.05,0.05,0.1,0.1,0.1,1.0,0.182989,0.044539612
0.55,0.1,0.05,0.15,0.05,0.1,1.0,0.182471,0.04515605
0.55,0.05,0.05,0.05,0.1,0.2,1.0,0.182011,0.045709958
0.65,0.05,0.05,0.05,0.15,0.05,1.0,0.181946,0.045788606
0.5,0.1,0.05,0.25,0.05,0.05,1.0,0.181177,0.046728552
0.5,0.25,0.05,0.1,0.05,0.05,1.0,0.181177,0.046728552
0.55,0.2,0.05,0.1,0.05,0.05,1.0,0.180757,0.047249131
0.55,0.1,0.05,0.05,0.05,0.2,1.0,0.180107,0.048062735
0.5,0.15,0.05,0.05,0.15,0.1,1.0,0.179984,0.048218194
0.5,0.2,0.05,0.15,0.05,0.05,1.0,0.179048,0.049415127
0.5,0.05,0.05,0.05,0.1,0.25,1.0,0.178494,0.050134307
0.5,0.15,0.05,0.05,0.05,0.2,1.0,0.17831,0.05037595
0.5,0.15,0.05,0.2,0.05,0.05,1.0,0.177824,0.051015984
0.5,0.15,0.05,0.05,0.1,0.15,1.0,0.174653,0.055366222
0.55,0.15,0.05,0.1,0.05,0.1,1.0,0.174099,0.056156066
0.55,0.15,0.05,0.1,0.1,0.05,1.0,0.173296,0.05731827
0.5,0.05,0.05,0.1,0.05,0.25,1.0,0.172346,0.058718559
0.6,0.05,0.05,0.05,0.15,0.1,1.0,0.17185,0.059459981
0.5,0.1,0.05,0.05,0.05,0.25,1.0,0.170268,0.061878913
0.55,0.05,0.05,0.15,0.1,0.1,1.0,0.169707,0.062754777
0.55,0.1,0.05,0.05,0.1,0.15,1.0,0.169694,0.062775814
0.5,0.1,0.05,0.2,0.05,0.1,1.0,0.16929,0.063412878
0.5,0.05,0.05,0.25,0.1,0.05,1.0,0.16899,0.06389106
0.6,0.1,0.05,0.1,0.1,0.05,1.0,0.168843,0.064125784
0.5,0.2,0.05,0.1,0.1,0.05,1.0,0.16847,0.064723934
0.5,0.15,0.05,0.05,0.2,0.05,1.0,0.16846,0.064740001
0.55,0.1,0.05,0.05,0.15,0.1,1.0,0.167534,0.066247165
0.5,0.05,0.05,0.2,0.1,0.1,1.0,0.167527,0.06625886
0.55,0.05,0.05,0.1,0.1,0.15,1.0,0.166221,0.068432001
0.5,0.15,0.05,0.15,0.05,0.1,1.0,0.166009,0.068790106
0.5,0.05,0.05,0.1,0.1,0.2,1.0,0.165928,0.068928658
0.55,0.1,0.05,0.1,0.05,0.15,1.0,0.165869,0.069027751
0.5,0.15,0.05,0.15,0.1,0.05,1.0,0.165825,0.069103241
0.6,0.05,0.05,0.1,0.15,0.05,1.0,0.165172,0.070220099
0.55,0.1,0.05,0.15,0.1,0.05,1.0,0.162944,0.074143221
0.55,0.05,0.05,0.05,0.15,0.15,1.0,0.16184,0.07615123
0.55,0.1,0.05,0.05,0.2,0.05,1.0,0.16171,0.076390319
