부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.5,0.05,0.1,0.25,0.05,0.05,1.0,0.50099,0.010740996
0.5,0.05,0.15,0.2,0.05,0.05,1.0,0.494127,0.012052117
0.5,0.05,0.15,0.15,0.05,0.1,1.0,0.479594,0.015267769
0.55,0.05,0.15,0.15,0.05,0.05,1.0,0.479594,0.015267769
0.5,0.1,0.05,0.25,0.05,0.05,1.0,0.469098,0.018003059
0.5,0.1,0.05,0.2,0.05,0.1,1.0,0.467775,0.018374552
0.5,0.05,0.15,0.15,0.1,0.05,1.0,0.466676,0.018687948
0.55,0.05,0.05,0.25,0.05,0.05,1.0,0.46062,0.02049353
0.5,0.05,0.05,0.2,0.1,0.1,1.0,0.454565,0.022438459
0.5,0.05,0.05,0.2,0.05,0.15,1.0,0.453757,0.02270872
0.5,0.05,0.05,0.2,0.15,0.05,1.0,0.453757,0.02270872
0.5,0.05,0.05,0.25,0.1,0.05,1.0,0.453757,0.02270872
0.5,0.1,0.05,0.2,0.1,0.05,1.0,0.451335,0.023535361
0.5,0.05,0.05,0.25,0.05,0.1,1.0,0.450412,0.023856563
0.55,0.1,0.05,0.2,0.05,0.05,1.0,0.44972,0.024099858
0.55,0.05,0.05,0.2,0.1,0.05,1.0,0.446087,0.025410037
0.6,0.05,0.05,0.15,0.05,0.1,1.0,0.444472,0.026010491
0.65,0.05,0.05,0.15,0.05,0.05,1.0,0.444472,0.026010491
0.5,0.05,0.1,0.2,0.05,0.1,1.0,0.44205,0.026932566
0.55,0.05,0.1,0.2,0.05,0.05,1.0,0.44205,0.026932566
0.5,0.05,0.05,0.1,0.25,0.05,1.0,0.438417,0.028364838
0.5,0.05,0.1,0.2,0.1,0.05,1.0,0.438417,0.028364838
0.6,0.05,0.05,0.2,0.05,0.05,1.0,0.437609,0.028691282
0.5,0.05,0.05,0.15,0.1,0.15,1.0,0.431554,0.031236891
0.55,0.05,0.05,0.15,0.05,0.15,1.0,0.431554,0.031236891
0.55,0.05,0.05,0.15,0.1,0.1,1.0,0.431554,0.031236891
0.55,0.05,0.05,0.15,0.15,0.05,1.0,0.431554,0.031236891
0.6,0.05,0.05,0.15,0.1,0.05,1.0,0.431554,0.031236891
0.65,0.05,0.05,0.1,0.1,0.05,1.0,0.431554,0.031236891
0.5,0.05,0.05,0.15,0.2,0.05,1.0,0.430746,0.03158954
0.5,0.05,0.05,0.3,0.05,0.05,1.0,0.430746,0.03158954
0.55,0.05,0.05,0.2,0.05,0.1,1.0,0.430746,0.03158954
0.5,0.05,0.1,0.15,0.15,0.05,1.0,0.429939,0.031945366
0.5,0.05,0.05,0.1,0.2,0.1,1.0,0.425498,0.033960076
0.55,0.05,0.05,0.1,0.15,0.1,1.0,0.425498,0.033960076
0.55,0.05,0.05,0.1,0.2,0.05,1.0,0.425498,0.033960076
0.6,0.05,0.05,0.1,0.15,0.05,1.0,0.425498,0.033960076
0.5,0.05,0.05,0.15,0.15,0.1,1.0,0.424691,0.034337034
0.5,0.05,0.1,0.1,0.15,0.1,1.0,0.424691,0.034337034
0.6,0.05,0.05,0.1,0.05,0.15,1.0,0.424691,0.034337034
0.65,0.05,0.05,0.1,0.05,0.1,1.0,0.424691,0.034337034
0.7,0.05,0.05,0.1,0.05,0.05,1.0,0.424691,0.034337034
0.5,0.05,0.2,0.15,0.05,0.05,1.0,0.423884,0.034717319
0.5,0.05,0.1,0.15,0.05,0.15,1.0,0.423076,0.03510095
0.5,0.05,0.1,0.15,0.1,0.1,1.0,0.423076,0.03510095
0.55,0.05,0.1,0.15,0.1,0.05,1.0,0.423076,0.03510095
0.55,0.05,0.05,0.1,0.1,0.15,1.0,0.418636,0.037271642
0.6,0.05,0.05,0.1,0.1,0.1,1.0,0.418636,0.037271642
0.55,0.05,0.1,0.1,0.15,0.05,1.0,0.417828,0.037677519
0.5,0.05,0.1,0.1,0.2,0.05,1.0,0.417021,0.038086893
0.55,0.05,0.1,0.15,0.05,0.1,1.0,0.417021,0.038086893
0.6,0.05,0.1,0.1,0.05,0.1,1.0,0.417021,0.038086893
0.6,0.05,0.1,0.15,0.05,0.05,1.0,0.417021,0.038086893
0.5,0.1,0.1,0.2,0.05,0.05,1.0,0.416213,0.038499787
0.5,0.05,0.05,0.1,0.15,0.15,1.0,0.41258,0.040401905
0.5,0.05,0.05,0.15,0.05,0.2,1.0,0.411773,0.040834519
0.5,0.05,0.1,0.1,0.1,0.15,1.0,0.410965,0.041270786
0.5,0.05,0.25,0.1,0.05,0.05,1.0,0.410965,0.041270786
0.55,0.05,0.1,0.1,0.1,0.1,1.0,0.410965,0.041270786
0.65,0.05,0.1,0.1,0.05,0.05,1.0,0.410158,0.041710726
0.55,0.05,0.1,0.1,0.05,0.15,1.0,0.404102,0.045129443
0.6,0.05,0.1,0.1,0.1,0.05,1.0,0.404102,0.045129443
0.5,0.05,0.15,0.1,0.15,0.05,1.0,0.402488,0.046077307
0.5,0.1,0.15,0.15,0.05,0.05,1.0,0.400873,0.047040736
0.55,0.1,0.05,0.15,0.1,0.05,1.0,0.400065,0.04752834
0.5,0.05,0.05,0.1,0.1,0.2,1.0,0.399662,0.047773623
0.5,0.1,0.05,0.15,0.15,0.05,1.0,0.399258,0.048019897
0.5,0.05,0.15,0.1,0.1,0.1,1.0,0.398854,0.048267164
0.55,0.05,0.05,0.1,0.05,0.2,1.0,0.398854,0.048267164
0.55,0.05,0.15,0.1,0.1,0.05,1.0,0.398854,0.048267164
0.5,0.05,0.1,0.1,0.05,0.2,1.0,0.398047,0.048764691
0.5,0.1,0.1,0.15,0.1,0.05,1.0,0.394817,0.050795068
0.5,0.1,0.05,0.15,0.1,0.1,1.0,0.393203,0.051834712
0.5,0.05,0.2,0.1,0.05,0.1,1.0,0.389569,0.054234596
0.55,0.05,0.2,0.1,0.05,0.05,1.0,0.389569,0.054234596
0.5,0.05,0.2,0.1,0.1,0.05,1.0,0.388762,0.054779458
0.5,0.05,0.05,0.05,0.3,0.05,1.0,0.387551,0.055604723
0.55,0.05,0.15,0.1,0.05,0.1,1.0,0.382706,0.059002766
0.55,0.05,0.25,0.05,0.05,0.05,1.0,0.37988,0.061057901
0.5,0.1,0.1,0.15,0.05,0.1,1.0,0.378669,0.061955416
0.55,0.1,0.1,0.15,0.05,0.05,1.0,0.378669,0.061955416
0.6,0.05,0.15,0.1,0.05,0.05,1.0,0.376651,0.063473858
0.5,0.05,0.3,0.05,0.05,0.05,1.0,0.373018,0.06627913
0.6,0.05,0.05,0.05,0.2,0.05,1.0,0.368173,0.0701665
0.5,0.05,0.25,0.05,0.05,0.1,1.0,0.366962,0.071165062
0.55,0.05,0.05,0.05,0.25,0.05,1.0,0.364944,0.07285343
0.5,0.05,0.15,0.1,0.05,0.15,1.0,0.363733,0.073881022
0.5,0.05,0.05,0.1,0.05,0.25,1.0,0.360907,0.07632169
0.5,0.05,0.2,0.05,0.15,0.05,1.0,0.360503,0.076675303
0.55,0.05,0.2,0.05,0.1,0.05,1.0,0.360503,0.076675303
0.5,0.05,0.05,0.05,0.25,0.1,1.0,0.358888,0.078102226
0.55,0.1,0.05,0.15,0.05,0.1,1.0,0.355659,0.081016453
0.5,0.05,0.25,0.05,0.1,0.05,1.0,0.35364,0.082879198
0.6,0.1,0.05,0.15,0.05,0.05,1.0,0.349603,0.086701568
0.6,0.05,0.2,0.05,0.05,0.05,1.0,0.348392,0.087873761
0.65,0.05,0.05,0.05,0.15,0.05,1.0,0.348392,0.087873761
0.6,0.1,0.05,0.1,0.1,0.05,1.0,0.343548,0.092682015
0.5,0.05,0.2,0.05,0.1,0.1,1.0,0.341529,0.094742573
0.5,0.1,0.05,0.1,0.2,0.05,1.0,0.336685,0.099827399
0.55,0.05,0.1,0.05,0.2,0.05,1.0,0.336685,0.099827399
0.55,0.05,0.05,0.05,0.2,0.1,1.0,0.336281,0.100260118
0.5,0.15,0.05,0.1,0.15,0.05,1.0,0.330629,0.106465535
0.55,0.1,0.05,0.1,0.15,0.05,1.0,0.330629,0.106465535
0.55,0.05,0.2,0.05,0.05,0.1,1.0,0.329418,0.107831413
0.5,0.05,0.15,0.05,0.2,0.05,1.0,0.329014,0.108289569
0.5,0.15,0.05,0.2,0.05,0.05,1.0,0.328207,0.109210189
0.5,0.05,0.1,0.05,0.25,0.05,1.0,0.326996,0.110601923
0.6,0.05,0.05,0.05,0.15,0.1,1.0,0.326189,0.111536975
0.55,0.15,0.05,0.1,0.1,0.05,1.0,0.324574,0.113424514
0.55,0.15,0.05,0.15,0.05,0.05,1.0,0.323766,0.114377036
0.5,0.15,0.05,0.15,0.1,0.05,1.0,0.322959,0.115335418
0.7,0.05,0.05,0.05,0.1,0.05,1.0,0.322959,0.115335418
0.5,0.05,0.05,0.05,0.15,0.2,1.0,0.320133,0.118736151
0.55,0.05,0.05,0.05,0.15,0.15,1.0,0.320133,0.118736151
0.5,0.05,0.1,0.05,0.2,0.1,1.0,0.317711,0.12170894
0.5,0.05,0.05,0.05,0.2,0.15,1.0,0.317307,0.122209634
0.5,0.1,0.1,0.1,0.15,0.05,1.0,0.315289,0.124735648
0.6,0.05,0.15,0.05,0.05,0.1,1.0,0.31327,0.127299426
0.65,0.05,0.15,0.05,0.05,0.05,1.0,0.31327,0.127299426
0.6,0.05,0.15,0.05,0.1,0.05,1.0,0.312463,0.12833557
0.5,0.1,0.05,0.1,0.15,0.1,1.0,0.311655,0.129377816
0.55,0.1,0.05,0.1,0.1,0.1,1.0,0.311655,0.129377816
0.5,0.05,0.2,0.05,0.05,0.15,1.0,0.310444,0.13095266
0.5,0.15,0.05,0.15,0.05,0.1,1.0,0.306668,0.135951949
0.5,0.1,0.05,0.1,0.1,0.15,1.0,0.304793,0.13848556
0.5,0.1,0.05,0.15,0.05,0.15,1.0,0.303985,0.13958658
0.6,0.05,0.05,0.05,0.1,0.15,1.0,0.303985,0.13958658
0.65,0.05,0.05,0.05,0.1,0.1,1.0,0.303985,0.13958658
0.5,0.05,0.15,0.05,0.05,0.2,1.0,0.300352,0.144618993
0.55,0.1,0.05,0.05,0.2,0.05,1.0,0.298737,0.146896745
0.55,0.1,0.05,0.1,0.05,0.15,1.0,0.29793,0.148045167
0.6,0.1,0.05,0.1,0.05,0.1,1.0,0.29793,0.148045167
0.65,0.1,0.05,0.1,0.05,0.05,1.0,0.29793,0.148045167
0.55,0.05,0.15,0.05,0.15,0.05,1.0,0.297122,0.149199973
0.55,0.1,0.1,0.1,0.1,0.05,1.0,0.296315,0.150361177
0.55,0.05,0.15,0.05,0.05,0.15,1.0,0.294296,0.153292279
0.55,0.05,0.15,0.05,0.1,0.1,1.0,0.293489,0.154475992
0.5,0.15,0.05,0.1,0.1,0.1,1.0,0.292682,0.155666169
0.6,0.15,0.05,0.1,0.05,0.05,1.0,0.291874,0.156862824
0.5,0.2,0.05,0.15,0.05,0.05,1.0,0.290259,0.159275619
0.6,0.05,0.1,0.05,0.15,0.05,1.0,0.288645,0.161714488
0.5,0.2,0.05,0.1,0.1,0.05,1.0,0.288241,0.162328291
0.7,0.05,0.05,0.05,0.05,0.1,1.0,0.284204,0.168556689
0.5,0.15,0.1,0.1,0.1,0.05,1.0,0.282589,0.171094274
0.5,0.15,0.1,0.15,0.05,0.05,1.0,0.282589,0.171094274
0.5,0.2,0.1,0.1,0.05,0.05,1.0,0.282589,0.171094274
0.55,0.2,0.05,0.1,0.05,0.05,1.0,0.282185,0.171732817
0.5,0.05,0.15,0.05,0.1,0.15,1.0,0.280571,0.174303625
0.55,0.15,0.05,0.1,0.05,0.1,1.0,0.278956,0.176901119
0.5,0.2,0.05,0.1,0.05,0.1,1.0,0.278808,0.177140892
0.5,0.05,0.15,0.05,0.15,0.1,1.0,0.278148,0.178209904
0.6,0.1,0.05,0.05,0.1,0.1,1.0,0.278148,0.178209904
0.6,0.1,0.05,0.05,0.15,0.05,1.0,0.278148,0.178209904
0.7,0.1,0.05,0.05,0.05,0.05,1.0,0.277341,0.179525395
0.55,0.05,0.1,0.05,0.15,0.1,1.0,0.275726,0.182176545
0.5,0.1,0.05,0.05,0.15,0.15,1.0,0.2729,0.186880993
0.5,0.1,0.05,0.1,0.05,0.2,1.0,0.272093,0.188240354
0.5,0.15,0.05,0.1,0.05,0.15,1.0,0.272093,0.188240354
0.55,0.05,0.05,0.05,0.1,0.2,1.0,0.272093,0.188240354
0.55,0.1,0.05,0.05,0.15,0.1,1.0,0.272093,0.188240354
0.65,0.1,0.05,0.05,0.1,0.05,1.0,0.272093,0.188240354
0.5,0.1,0.1,0.1,0.05,0.15,1.0,0.270478,0.190979454
0.5,0.1,0.1,0.1,0.1,0.1,1.0,0.270478,0.190979454
0.55,0.1,0.1,0.1,0.05,0.1,1.0,0.270478,0.190979454
0.6,0.1,0.1,0.1,0.05,0.05,1.0,0.270478,0.190979454
0.5,0.05,0.1,0.05,0.15,0.15,1.0,0.269671,0.192359215
0.5,0.1,0.05,0.05,0.2,0.1,1.0,0.266845,0.197242152
0.6,0.05,0.05,0.05,0.05,0.2,1.0,0.26523,0.200070074
0.65,0.05,0.05,0.05,0.05,0.15,1.0,0.26523,0.200070074
0.5,0.15,0.1,0.1,0.05,0.1,1.0,0.263615,0.202925489
0.55,0.15,0.1,0.1,0.05,0.05,1.0,0.263615,0.202925489
0.65,0.05,0.1,0.05,0.1,0.05,1.0,0.262,0.205808467
0.65,0.1,0.05,0.05,0.05,0.1,1.0,0.258367,0.212396305
0.5,0.05,0.05,0.05,0.1,0.25,1.0,0.253119,0.22216053
0.5,0.1,0.05,0.05,0.25,0.05,1.0,0.251101,0.225994558
0.5,0.1,0.2,0.1,0.05,0.05,1.0,0.249082,0.229872389
0.55,0.1,0.05,0.05,0.1,0.15,1.0,0.246256,0.23537512
0.55,0.05,0.1,0.05,0.1,0.15,1.0,0.243027,0.241769611
0.6,0.05,0.1,0.05,0.1,0.1,1.0,0.243027,0.241769611
0.5,0.1,0.25,0.05,0.05,0.05,1.0,0.242219,0.243385878
0.5,0.1,0.05,0.05,0.1,0.2,1.0,0.240201,0.247457474
0.6,0.1,0.05,0.05,0.05,0.15,1.0,0.239393,0.249098494
0.5,0.1,0.1,0.05,0.2,0.05,1.0,0.232934,0.262481853
