부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.5,0.05,0.05,0.3,0.05,0.05,1.0,-0.065389,0.245699338
0.5,0.05,0.05,0.2,0.15,0.05,1.0,-0.059064,0.294470139
0.5,0.1,0.2,0.05,0.1,0.05,1.0,0.057977,0.303458444
0.5,0.05,0.05,0.25,0.1,0.05,1.0,-0.057172,0.31023371
0.65,0.05,0.1,0.05,0.1,0.05,1.0,0.056214,0.318429432
0.5,0.1,0.15,0.05,0.15,0.05,1.0,0.056155,0.318937946
0.65,0.05,0.15,0.05,0.05,0.05,1.0,0.056097,0.31943264
0.6,0.05,0.15,0.05,0.1,0.05,1.0,0.055889,0.321233342
0.6,0.05,0.1,0.05,0.15,0.05,1.0,0.054763,0.331096843
0.55,0.1,0.15,0.05,0.1,0.05,1.0,0.054615,0.332404267
0.55,0.05,0.15,0.05,0.15,0.05,1.0,0.054405,0.33427581
0.5,0.1,0.15,0.05,0.1,0.1,1.0,0.054258,0.335582702
0.5,0.05,0.05,0.25,0.05,0.1,1.0,-0.054231,0.335828001
0.55,0.1,0.2,0.05,0.05,0.05,1.0,0.05382,0.339505486
0.5,0.15,0.2,0.05,0.05,0.05,1.0,0.05366,0.340939965
0.55,0.05,0.05,0.25,0.05,0.05,1.0,-0.053572,0.341741628
0.6,0.05,0.2,0.05,0.05,0.05,1.0,0.052959,0.347301494
0.7,0.05,0.1,0.05,0.05,0.05,1.0,0.052869,0.348119689
0.55,0.1,0.15,0.05,0.05,0.1,1.0,0.052795,0.348791624
0.5,0.1,0.25,0.05,0.05,0.05,1.0,0.052475,0.351725114
0.6,0.1,0.15,0.05,0.05,0.05,1.0,0.051785,0.358107174
0.5,0.2,0.15,0.05,0.05,0.05,1.0,0.051525,0.360529292
0.5,0.1,0.15,0.05,0.05,0.15,1.0,0.051334,0.36230862
0.55,0.05,0.2,0.05,0.1,0.05,1.0,0.051215,0.363430177
0.5,0.1,0.2,0.05,0.05,0.1,1.0,0.05091,0.366294079
0.5,0.05,0.05,0.2,0.1,0.1,1.0,-0.049542,0.379336536
0.55,0.05,0.15,0.05,0.1,0.1,1.0,0.049512,0.379621752
0.5,0.05,0.05,0.15,0.15,0.1,1.0,-0.049018,0.384405415
0.5,0.05,0.05,0.2,0.05,0.15,1.0,-0.048947,0.385090971
0.5,0.05,0.05,0.15,0.1,0.15,1.0,-0.048893,0.385616381
0.55,0.05,0.05,0.2,0.1,0.05,1.0,-0.047536,0.398957759
0.5,0.05,0.2,0.05,0.15,0.05,1.0,0.047404,0.400272695
0.6,0.05,0.1,0.05,0.1,0.1,1.0,0.047254,0.40175875
0.55,0.05,0.05,0.2,0.05,0.1,1.0,-0.047053,0.403773164
0.55,0.05,0.1,0.05,0.2,0.05,1.0,0.047045,0.403848257
0.55,0.05,0.25,0.05,0.05,0.05,1.0,0.046988,0.404417752
0.55,0.05,0.2,0.05,0.05,0.1,1.0,0.046837,0.405934268
0.55,0.05,0.05,0.15,0.15,0.05,1.0,-0.04649,0.409422598
0.65,0.05,0.1,0.05,0.05,0.1,1.0,0.04637,0.410639307
0.6,0.05,0.15,0.05,0.05,0.1,1.0,0.046342,0.410923094
0.5,0.05,0.15,0.05,0.15,0.1,1.0,0.045985,0.414540057
0.5,0.1,0.1,0.05,0.2,0.05,1.0,0.045711,0.417326023
0.55,0.05,0.1,0.05,0.15,0.1,1.0,0.045402,0.420482363
0.5,0.05,0.05,0.15,0.2,0.05,1.0,-0.045399,0.420519788
0.5,0.05,0.05,0.15,0.05,0.2,1.0,-0.045397,0.420538501
0.5,0.05,0.15,0.05,0.2,0.05,1.0,0.045192,0.422642346
0.55,0.1,0.1,0.05,0.15,0.05,1.0,0.045172,0.422847879
0.55,0.05,0.05,0.15,0.1,0.1,1.0,-0.045018,0.424427539
0.6,0.1,0.1,0.05,0.05,0.1,1.0,0.044948,0.425153772
0.5,0.1,0.05,0.25,0.05,0.05,1.0,-0.044889,0.425757706
0.55,0.1,0.1,0.05,0.05,0.15,1.0,0.044874,0.425914461
0.5,0.15,0.1,0.05,0.15,0.05,1.0,0.044869,0.425968
0.55,0.05,0.05,0.15,0.05,0.15,1.0,-0.044277,0.43209988
