부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.6,0.1,0.05,0.15,0.05,0.05,1.0,0.617084,0.004884131
0.55,0.1,0.05,0.15,0.1,0.05,1.0,0.604171,0.006150375
0.5,0.1,0.05,0.25,0.05,0.05,1.0,0.595869,0.007097388
0.7,0.05,0.05,0.1,0.05,0.05,1.0,0.595869,0.007097388
0.5,0.1,0.05,0.15,0.1,0.1,1.0,0.590335,0.00779225
0.55,0.1,0.05,0.2,0.05,0.05,1.0,0.574654,0.010066072
0.55,0.1,0.05,0.15,0.05,0.1,1.0,0.563585,0.011972564
0.65,0.05,0.05,0.15,0.05,0.05,1.0,0.563585,0.011972564
0.6,0.05,0.05,0.2,0.05,0.05,1.0,0.558051,0.013029109
0.5,0.1,0.05,0.2,0.05,0.1,1.0,0.556206,0.013397453
0.5,0.1,0.05,0.2,0.1,0.05,1.0,0.554361,0.013774098
0.5,0.1,0.1,0.2,0.05,0.05,1.0,0.551594,0.014354922
0.5,0.05,0.05,0.3,0.05,0.05,1.0,0.550671,0.014552826
0.5,0.05,0.1,0.25,0.05,0.05,1.0,0.549749,0.014752905
0.5,0.1,0.05,0.15,0.05,0.15,1.0,0.549749,0.014752905
0.65,0.05,0.05,0.1,0.05,0.1,1.0,0.546982,0.015366369
0.5,0.05,0.05,0.25,0.05,0.1,1.0,0.545137,0.015786539
0.5,0.05,0.05,0.25,0.1,0.05,1.0,0.544215,0.016000033
0.55,0.05,0.05,0.2,0.1,0.05,1.0,0.544215,0.016000033
0.55,0.05,0.05,0.2,0.05,0.1,1.0,0.536835,0.017792125
0.55,0.05,0.05,0.25,0.05,0.05,1.0,0.536835,0.017792125
0.6,0.05,0.05,0.15,0.05,0.1,1.0,0.536835,0.017792125
0.55,0.05,0.1,0.2,0.05,0.05,1.0,0.534068,0.018503887
0.6,0.05,0.05,0.15,0.1,0.05,1.0,0.530379,0.019487864
0.65,0.05,0.05,0.1,0.1,0.05,1.0,0.530379,0.019487864
0.5,0.05,0.05,0.2,0.15,0.05,1.0,0.524844,0.021041105
0.5,0.05,0.05,0.15,0.05,0.2,1.0,0.523922,0.02130923
0.5,0.05,0.05,0.2,0.05,0.15,1.0,0.523922,0.02130923
0.55,0.05,0.05,0.15,0.05,0.15,1.0,0.523922,0.02130923
0.5,0.05,0.05,0.2,0.1,0.1,1.0,0.523,0.021580047
0.5,0.1,0.05,0.15,0.15,0.05,1.0,0.523,0.021580047
0.55,0.1,0.1,0.15,0.05,0.05,1.0,0.522077,0.021853575
0.5,0.05,0.1,0.2,0.1,0.05,1.0,0.51931,0.022690611
0.5,0.1,0.1,0.15,0.05,0.1,1.0,0.51931,0.022690611
0.5,0.05,0.1,0.2,0.05,0.1,1.0,0.516543,0.02355272
0.6,0.1,0.05,0.1,0.05,0.1,1.0,0.505474,0.027262132
0.55,0.05,0.05,0.15,0.15,0.05,1.0,0.504552,0.027590762
0.5,0.1,0.1,0.15,0.1,0.05,1.0,0.501784,0.028595282
0.5,0.05,0.05,0.15,0.15,0.1,1.0,0.497172,0.030332755
0.5,0.05,0.05,0.15,0.2,0.05,1.0,0.49625,0.030689917
0.55,0.05,0.05,0.15,0.1,0.1,1.0,0.495328,0.031050348
0.5,0.15,0.05,0.15,0.05,0.1,1.0,0.493483,0.031781093
0.5,0.05,0.05,0.15,0.1,0.15,1.0,0.487948,0.034053828
0.6,0.05,0.05,0.1,0.1,0.1,1.0,0.487026,0.034444566
0.55,0.1,0.05,0.1,0.05,0.15,1.0,0.486104,0.034838771
0.5,0.15,0.05,0.2,0.05,0.05,1.0,0.485181,0.035236462
0.5,0.1,0.05,0.1,0.05,0.2,1.0,0.477802,0.038545931
0.5,0.05,0.1,0.15,0.05,0.15,1.0,0.468578,0.043014075
0.5,0.05,0.05,0.1,0.15,0.15,1.0,0.467656,0.043481839
0.55,0.05,0.05,0.1,0.1,0.15,1.0,0.465811,0.044429057
0.5,0.05,0.15,0.2,0.05,0.05,1.0,0.464888,0.044908552
0.65,0.1,0.05,0.1,0.05,0.05,1.0,0.462121,0.046370822
0.5,0.1,0.05,0.1,0.1,0.15,1.0,0.459354,0.047869194
0.5,0.05,0.05,0.1,0.1,0.2,1.0,0.458432,0.04837677
0.55,0.05,0.05,0.1,0.15,0.1,1.0,0.457509,0.048888437
0.6,0.05,0.1,0.15,0.05,0.05,1.0,0.456587,0.049404218
0.6,0.05,0.05,0.1,0.05,0.15,1.0,0.451053,0.052586401
0.5,0.05,0.1,0.15,0.1,0.1,1.0,0.448285,0.054234653
0.5,0.05,0.05,0.1,0.05,0.25,1.0,0.445518,0.055921737
0.55,0.05,0.05,0.1,0.05,0.2,1.0,0.445518,0.055921737
0.5,0.15,0.1,0.15,0.05,0.05,1.0,0.439984,0.059414578
