부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.55,0.05,0.2,0.1,0.05,0.05,1.0,0.383916,1.6311e-05
0.6,0.05,0.2,0.05,0.05,0.05,1.0,0.383195,1.6971e-05
0.55,0.05,0.25,0.05,0.05,0.05,1.0,0.38317,1.6995e-05
0.65,0.05,0.15,0.05,0.05,0.05,1.0,0.381623,1.8498e-05
0.5,0.05,0.2,0.1,0.05,0.1,1.0,0.381515,1.8607e-05
0.6,0.05,0.15,0.1,0.05,0.05,1.0,0.380198,1.9991e-05
0.55,0.05,0.2,0.05,0.05,0.1,1.0,0.379531,2.0729e-05
0.5,0.05,0.25,0.1,0.05,0.05,1.0,0.376801,2.4022e-05
0.55,0.05,0.2,0.05,0.1,0.05,1.0,0.376502,2.4412e-05
0.55,0.05,0.15,0.1,0.05,0.1,1.0,0.376307,2.4669e-05
0.6,0.05,0.15,0.05,0.05,0.1,1.0,0.376203,2.4807e-05
0.6,0.05,0.15,0.05,0.1,0.05,1.0,0.376123,2.4913e-05
0.5,0.05,0.3,0.05,0.05,0.05,1.0,0.37528,2.6066e-05
0.5,0.05,0.15,0.1,0.1,0.1,1.0,0.374858,2.666e-05
0.5,0.05,0.1,0.1,0.15,0.1,1.0,0.374703,2.6882e-05
0.5,0.05,0.15,0.1,0.15,0.05,1.0,0.374688,2.6903e-05
0.5,0.05,0.15,0.05,0.2,0.05,1.0,0.374439,2.7263e-05
0.6,0.05,0.1,0.1,0.05,0.1,1.0,0.374205,2.7606e-05
0.55,0.05,0.15,0.1,0.1,0.05,1.0,0.373855,2.8125e-05
0.5,0.05,0.25,0.05,0.1,0.05,1.0,0.373293,2.898e-05
0.5,0.05,0.25,0.05,0.05,0.1,1.0,0.372946,2.9518e-05
0.65,0.05,0.1,0.1,0.05,0.05,1.0,0.372546,3.0152e-05
0.5,0.05,0.2,0.1,0.1,0.05,1.0,0.37251,3.0209e-05
0.55,0.05,0.1,0.1,0.1,0.1,1.0,0.372344,3.0476e-05
0.5,0.05,0.2,0.05,0.1,0.1,1.0,0.372196,3.0716e-05
0.55,0.05,0.1,0.1,0.15,0.05,1.0,0.372146,3.0798e-05
0.5,0.05,0.15,0.1,0.05,0.15,1.0,0.371879,3.1236e-05
0.5,0.05,0.1,0.1,0.1,0.15,1.0,0.371302,3.2204e-05
0.5,0.05,0.1,0.1,0.2,0.05,1.0,0.371118,3.2518e-05
0.6,0.05,0.1,0.1,0.1,0.05,1.0,0.370444,3.3695e-05
0.5,0.05,0.2,0.05,0.05,0.15,1.0,0.369715,3.5011e-05
0.5,0.1,0.2,0.1,0.05,0.05,1.0,0.369618,3.5191e-05
0.5,0.05,0.15,0.05,0.15,0.1,1.0,0.369499,3.5411e-05
0.5,0.1,0.15,0.1,0.05,0.1,1.0,0.368785,3.6762e-05
0.55,0.05,0.15,0.05,0.15,0.05,1.0,0.368388,3.7534e-05
0.55,0.05,0.1,0.1,0.05,0.15,1.0,0.368356,3.7598e-05
0.55,0.05,0.15,0.05,0.1,0.1,1.0,0.367739,3.8829e-05
0.5,0.05,0.2,0.05,0.15,0.05,1.0,0.367649,3.9012e-05
0.55,0.1,0.15,0.1,0.05,0.05,1.0,0.367418,3.9484e-05
0.5,0.1,0.15,0.1,0.1,0.05,1.0,0.366362,4.1717e-05
0.55,0.05,0.1,0.05,0.1,0.15,1.0,0.366289,4.1874e-05
0.55,0.05,0.15,0.05,0.05,0.15,1.0,0.366257,4.1944e-05
0.5,0.05,0.1,0.05,0.2,0.1,1.0,0.3659,4.2729e-05
0.5,0.05,0.15,0.05,0.1,0.15,1.0,0.365828,4.2889e-05
0.5,0.05,0.1,0.1,0.05,0.2,1.0,0.365435,4.3772e-05
0.5,0.1,0.2,0.05,0.1,0.05,1.0,0.365381,4.3895e-05
0.55,0.05,0.15,0.15,0.05,0.05,1.0,0.364083,4.6941e-05
0.6,0.05,0.1,0.05,0.1,0.1,1.0,0.363845,4.7521e-05
0.7,0.05,0.1,0.05,0.05,0.05,1.0,0.3637,4.7875e-05
0.55,0.1,0.2,0.05,0.05,0.05,1.0,0.363686,4.7911e-05
0.65,0.05,0.1,0.05,0.05,0.1,1.0,0.363376,4.8682e-05
0.5,0.05,0.1,0.05,0.15,0.15,1.0,0.362799,5.0147e-05
0.65,0.05,0.1,0.05,0.1,0.05,1.0,0.36246,5.1026e-05
0.5,0.05,0.1,0.05,0.25,0.05,1.0,0.362381,5.1234e-05
0.55,0.05,0.1,0.05,0.2,0.05,1.0,0.362323,5.1387e-05
0.5,0.05,0.15,0.05,0.05,0.2,1.0,0.362056,5.2095e-05
0.5,0.1,0.2,0.05,0.05,0.1,1.0,0.361814,5.2743e-05
0.6,0.1,0.15,0.05,0.05,0.05,1.0,0.361692,5.3075e-05
0.55,0.05,0.1,0.05,0.15,0.1,1.0,0.361526,5.3528e-05
0.6,0.05,0.1,0.05,0.15,0.05,1.0,0.361255,5.4273e-05
0.6,0.05,0.1,0.05,0.05,0.15,1.0,0.360642,5.5998e-05
0.6,0.05,0.1,0.15,0.05,0.05,1.0,0.360558,5.6239e-05
0.55,0.1,0.15,0.05,0.1,0.05,1.0,0.359528,5.9266e-05
0.5,0.1,0.25,0.05,0.05,0.05,1.0,0.359272,6.0041e-05
0.5,0.1,0.15,0.15,0.05,0.05,1.0,0.358266,6.3182e-05
0.5,0.1,0.15,0.05,0.1,0.1,1.0,0.358125,6.3633e-05
0.5,0.15,0.2,0.05,0.05,0.05,1.0,0.357992,6.4063e-05
0.55,0.1,0.15,0.05,0.05,0.1,1.0,0.35793,6.4262e-05
0.5,0.1,0.15,0.05,0.15,0.05,1.0,0.357162,6.6802e-05
0.5,0.1,0.1,0.1,0.05,0.15,1.0,0.357097,6.7021e-05
0.6,0.1,0.1,0.1,0.05,0.05,1.0,0.35656,6.8859e-05
0.55,0.05,0.1,0.15,0.05,0.1,1.0,0.356484,6.9122e-05
0.5,0.1,0.1,0.1,0.1,0.1,1.0,0.356243,6.9966e-05
0.55,0.1,0.1,0.1,0.05,0.1,1.0,0.356218,7.0055e-05
0.55,0.1,0.1,0.1,0.1,0.05,1.0,0.356117,7.0411e-05
0.55,0.05,0.1,0.05,0.05,0.2,1.0,0.355486,7.2677e-05
0.55,0.15,0.15,0.05,0.05,0.05,1.0,0.355399,7.2993e-05
0.5,0.15,0.15,0.1,0.05,0.05,1.0,0.354613,7.5921e-05
0.5,0.05,0.2,0.15,0.05,0.05,1.0,0.353978,7.8366e-05
0.55,0.05,0.1,0.15,0.1,0.05,1.0,0.353545,8.0074e-05
0.5,0.05,0.1,0.05,0.1,0.2,1.0,0.353527,8.0146e-05
0.5,0.1,0.15,0.05,0.05,0.15,1.0,0.352513,8.4292e-05
0.5,0.1,0.1,0.1,0.15,0.05,1.0,0.351111,9.0349e-05
0.5,0.05,0.15,0.15,0.05,0.1,1.0,0.350823,9.1645e-05
0.5,0.05,0.15,0.15,0.1,0.05,1.0,0.350199,9.4508e-05
0.5,0.05,0.1,0.05,0.05,0.25,1.0,0.349662,9.704e-05
0.5,0.15,0.15,0.05,0.1,0.05,1.0,0.348987,0.000100307
0.55,0.1,0.1,0.15,0.05,0.05,1.0,0.348634,0.00010206
0.5,0.05,0.1,0.15,0.15,0.05,1.0,0.348526,0.000102602
0.5,0.15,0.15,0.05,0.05,0.1,1.0,0.346542,0.000113031
