부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.6,0.05,0.05,0.15,0.1,0.05,1.0,0.34834,0.00143872
0.5,0.15,0.05,0.15,0.1,0.05,1.0,0.346931,0.001508639
0.5,0.05,0.05,0.15,0.1,0.15,1.0,0.343693,0.001681131
0.55,0.15,0.05,0.15,0.05,0.05,1.0,0.340616,0.001861364
0.55,0.05,0.05,0.15,0.15,0.05,1.0,0.338433,0.001999601
0.5,0.05,0.05,0.2,0.05,0.15,1.0,0.337142,0.002085637
0.6,0.1,0.05,0.1,0.1,0.05,1.0,0.33679,0.002109672
0.5,0.2,0.05,0.15,0.05,0.05,1.0,0.335452,0.002203295
0.55,0.05,0.05,0.15,0.05,0.15,1.0,0.33483,0.00224808
0.6,0.05,0.05,0.2,0.05,0.05,1.0,0.334595,0.002265191
0.55,0.05,0.05,0.15,0.1,0.1,1.0,0.333292,0.002362304
0.5,0.05,0.05,0.15,0.05,0.2,1.0,0.332728,0.002405445
0.55,0.05,0.05,0.2,0.05,0.1,1.0,0.332012,0.002461289
0.5,0.05,0.05,0.2,0.1,0.1,1.0,0.330017,0.002623112
0.65,0.05,0.05,0.15,0.05,0.05,1.0,0.329778,0.0026431
0.6,0.05,0.05,0.15,0.05,0.1,1.0,0.329172,0.002694477
0.5,0.05,0.05,0.15,0.2,0.05,1.0,0.327306,0.002858276
0.5,0.05,0.05,0.15,0.15,0.1,1.0,0.326766,0.002907299
0.6,0.05,0.05,0.1,0.15,0.05,1.0,0.326108,0.002967993
0.5,0.15,0.05,0.15,0.05,0.1,1.0,0.325874,0.002989943
0.5,0.05,0.05,0.2,0.15,0.05,1.0,0.325641,0.003011865
0.5,0.1,0.05,0.15,0.15,0.05,1.0,0.325639,0.003012038
0.5,0.1,0.05,0.2,0.05,0.1,1.0,0.325122,0.003061163
0.65,0.05,0.05,0.1,0.1,0.05,1.0,0.324629,0.003108721
0.5,0.1,0.05,0.15,0.1,0.1,1.0,0.324371,0.003133895
0.55,0.05,0.05,0.2,0.1,0.05,1.0,0.32382,0.003188288
0.5,0.1,0.05,0.2,0.1,0.05,1.0,0.323362,0.003234062
0.5,0.1,0.05,0.25,0.05,0.05,1.0,0.322916,0.003279226
0.55,0.1,0.05,0.2,0.05,0.05,1.0,0.322481,0.003323742
0.5,0.1,0.05,0.15,0.05,0.15,1.0,0.321296,0.003448019
0.55,0.1,0.05,0.15,0.1,0.05,1.0,0.320345,0.003550667
0.5,0.05,0.05,0.25,0.05,0.1,1.0,0.320028,0.003585484
0.5,0.05,0.05,0.25,0.1,0.05,1.0,0.320005,0.003588075
0.6,0.15,0.05,0.1,0.05,0.05,1.0,0.319336,0.003662627
0.65,0.1,0.05,0.1,0.05,0.05,1.0,0.318362,0.003773656
0.5,0.2,0.05,0.1,0.1,0.05,1.0,0.317751,0.003844736
0.6,0.05,0.05,0.1,0.1,0.1,1.0,0.317246,0.003904411
0.55,0.1,0.05,0.1,0.15,0.05,1.0,0.317059,0.003926826
0.55,0.05,0.05,0.1,0.15,0.1,1.0,0.316789,0.003959248
0.55,0.1,0.05,0.15,0.05,0.1,1.0,0.316296,0.004019069
0.5,0.25,0.05,0.1,0.05,0.05,1.0,0.316108,0.004042069
0.55,0.05,0.05,0.25,0.05,0.05,1.0,0.315157,0.004160313
0.5,0.15,0.05,0.1,0.15,0.05,1.0,0.315075,0.004170675
0.55,0.15,0.05,0.1,0.1,0.05,1.0,0.31369,0.004348834
0.55,0.2,0.05,0.1,0.05,0.05,1.0,0.313091,0.004427906
0.6,0.1,0.05,0.15,0.05,0.05,1.0,0.312622,0.004490816
0.5,0.15,0.1,0.15,0.05,0.05,1.0,0.312422,0.004517792
0.5,0.05,0.05,0.3,0.05,0.05,1.0,0.311706,0.004615777
0.5,0.2,0.05,0.1,0.05,0.1,1.0,0.310579,0.00477381
0.55,0.05,0.05,0.1,0.05,0.2,1.0,0.308666,0.005053158
0.5,0.15,0.05,0.2,0.05,0.05,1.0,0.308338,0.005102576
0.5,0.1,0.05,0.1,0.15,0.1,1.0,0.30788,0.005172123
0.5,0.15,0.05,0.1,0.1,0.1,1.0,0.307124,0.005288716
0.7,0.05,0.05,0.1,0.05,0.05,1.0,0.306354,0.005410051
0.5,0.05,0.1,0.25,0.05,0.05,1.0,0.306143,0.005443747
0.55,0.15,0.05,0.1,0.05,0.1,1.0,0.305732,0.0055098
0.55,0.05,0.05,0.1,0.1,0.15,1.0,0.305204,0.005595767
0.5,0.15,0.05,0.1,0.05,0.15,1.0,0.304347,0.005737751
0.55,0.1,0.05,0.1,0.1,0.1,1.0,0.30376,0.00583683
0.5,0.1,0.05,0.1,0.2,0.05,1.0,0.301389,0.006252681
0.5,0.05,0.05,0.1,0.25,0.05,1.0,0.300004,0.006507522
0.55,0.1,0.1,0.15,0.05,0.05,1.0,0.298877,0.006721565
0.5,0.1,0.1,0.15,0.1,0.05,1.0,0.297832,0.006925521
0.6,0.05,0.05,0.1,0.05,0.15,1.0,0.297011,0.007089747
0.6,0.1,0.05,0.1,0.05,0.1,1.0,0.2966,0.007173138
0.65,0.05,0.05,0.1,0.05,0.1,1.0,0.296588,0.007175533
0.5,0.05,0.1,0.15,0.15,0.05,1.0,0.296224,0.007250136
0.5,0.1,0.1,0.15,0.05,0.1,1.0,0.296013,0.007293766
0.55,0.05,0.05,0.1,0.2,0.05,1.0,0.295356,0.007430986
0.5,0.1,0.05,0.1,0.1,0.15,1.0,0.293748,0.007776301
