부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.55,0.05,0.05,0.25,0.05,0.05,1.0,0.43205,0.083291901
0.5,0.05,0.05,0.25,0.05,0.1,1.0,0.430729,0.084344984
0.5,0.05,0.05,0.25,0.1,0.05,1.0,0.430729,0.084344984
0.5,0.05,0.05,0.3,0.05,0.05,1.0,0.430729,0.084344984
0.5,0.05,0.1,0.25,0.05,0.05,1.0,0.430729,0.084344984
0.5,0.1,0.05,0.2,0.05,0.1,1.0,0.413553,0.098925396
0.5,0.1,0.05,0.25,0.05,0.05,1.0,0.413553,0.098925396
0.55,0.05,0.05,0.2,0.05,0.1,1.0,0.380521,0.131866819
0.5,0.05,0.05,0.2,0.15,0.05,1.0,0.365987,0.148525939
0.5,0.05,0.1,0.2,0.1,0.05,1.0,0.365987,0.148525939
0.55,0.05,0.05,0.2,0.1,0.05,1.0,0.365987,0.148525939
0.55,0.1,0.05,0.15,0.05,0.1,1.0,0.365987,0.148525939
0.55,0.1,0.1,0.15,0.05,0.05,1.0,0.365987,0.148525939
0.5,0.05,0.05,0.2,0.1,0.1,1.0,0.364666,0.150108475
0.5,0.05,0.1,0.2,0.05,0.1,1.0,0.364666,0.150108475
0.5,0.05,0.15,0.2,0.05,0.05,1.0,0.364666,0.150108475
0.5,0.1,0.1,0.2,0.05,0.05,1.0,0.364666,0.150108475
0.5,0.1,0.05,0.15,0.1,0.1,1.0,0.350132,0.168279693
0.6,0.05,0.05,0.15,0.1,0.05,1.0,0.350132,0.168279693
0.6,0.05,0.05,0.2,0.05,0.05,1.0,0.350132,0.168279693
0.5,0.1,0.1,0.15,0.05,0.1,1.0,0.348811,0.170001697
0.55,0.05,0.1,0.2,0.05,0.05,1.0,0.348811,0.170001697
0.5,0.1,0.05,0.2,0.1,0.05,1.0,0.334277,0.189726505
0.6,0.1,0.05,0.15,0.05,0.05,1.0,0.334277,0.189726505
0.5,0.05,0.05,0.15,0.15,0.1,1.0,0.332956,0.191591371
0.55,0.1,0.05,0.2,0.05,0.05,1.0,0.332956,0.191591371
0.65,0.05,0.05,0.15,0.05,0.05,1.0,0.318422,0.212902715
0.6,0.05,0.1,0.15,0.05,0.05,1.0,0.317101,0.214913028
0.5,0.15,0.05,0.2,0.05,0.05,1.0,0.31578,0.216935552
0.55,0.05,0.05,0.15,0.1,0.1,1.0,0.31578,0.216935552
0.5,0.05,0.05,0.15,0.05,0.2,1.0,0.314458,0.218970297
0.5,0.05,0.05,0.2,0.05,0.15,1.0,0.314458,0.218970297
0.6,0.05,0.05,0.15,0.05,0.1,1.0,0.301246,0.239992093
0.5,0.05,0.1,0.1,0.05,0.2,1.0,0.298603,0.244343989
0.55,0.05,0.05,0.1,0.05,0.2,1.0,0.298603,0.244343989
0.6,0.1,0.05,0.1,0.05,0.1,1.0,0.285391,0.266843231
0.5,0.05,0.1,0.15,0.15,0.05,1.0,0.28407,0.269161004
0.55,0.05,0.05,0.15,0.15,0.05,1.0,0.28407,0.269161004
0.55,0.05,0.1,0.15,0.1,0.05,1.0,0.28407,0.269161004
0.55,0.05,0.15,0.15,0.05,0.05,1.0,0.28407,0.269161004
0.55,0.1,0.05,0.1,0.05,0.15,1.0,0.28407,0.269161004
0.5,0.05,0.1,0.15,0.1,0.1,1.0,0.282748,0.271491111
