부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.7,0.05,0.05,0.05,0.1,0.05,1.0,0.436167,0.000620352
0.7,0.05,0.05,0.1,0.05,0.05,1.0,0.430281,0.000748274
0.7,0.05,0.05,0.05,0.05,0.1,1.0,0.429347,0.000770639
0.65,0.05,0.05,0.05,0.15,0.05,1.0,0.422502,0.000953787
0.65,0.05,0.05,0.1,0.05,0.1,1.0,0.417357,0.001116329
0.65,0.05,0.1,0.1,0.05,0.05,1.0,0.414741,0.001208176
0.6,0.05,0.05,0.05,0.2,0.05,1.0,0.412966,0.00127431
0.65,0.05,0.05,0.05,0.1,0.1,1.0,0.412094,0.001307972
0.65,0.05,0.05,0.1,0.1,0.05,1.0,0.408202,0.001468194
0.7,0.05,0.1,0.05,0.05,0.05,1.0,0.40487,0.001619085
0.6,0.05,0.1,0.1,0.1,0.05,1.0,0.402783,0.001720495
0.6,0.05,0.1,0.1,0.05,0.1,1.0,0.400136,0.001857307
0.55,0.05,0.05,0.05,0.25,0.05,1.0,0.397614,0.001996644
0.65,0.05,0.05,0.15,0.05,0.05,1.0,0.396243,0.00207618
0.55,0.05,0.1,0.1,0.15,0.05,1.0,0.393752,0.002228063
0.65,0.05,0.05,0.05,0.05,0.15,1.0,0.393285,0.002257619
0.6,0.05,0.05,0.1,0.1,0.1,1.0,0.392942,0.002279515
0.65,0.05,0.1,0.05,0.1,0.05,1.0,0.392382,0.002315753
0.6,0.05,0.05,0.05,0.15,0.1,1.0,0.389828,0.002487414
0.6,0.05,0.1,0.15,0.05,0.05,1.0,0.389455,0.002513462
0.6,0.05,0.1,0.05,0.15,0.05,1.0,0.388645,0.002570736
0.6,0.05,0.05,0.1,0.05,0.15,1.0,0.388458,0.002584116
0.55,0.05,0.1,0.1,0.1,0.1,1.0,0.388022,0.002615579
0.65,0.1,0.05,0.1,0.05,0.05,1.0,0.387866,0.002626898
0.7,0.1,0.05,0.05,0.05,0.05,1.0,0.38715,0.002679528
0.6,0.05,0.05,0.15,0.1,0.05,1.0,0.385437,0.002809201
0.65,0.05,0.1,0.05,0.05,0.1,1.0,0.385219,0.002826098
0.6,0.05,0.05,0.1,0.15,0.05,1.0,0.38279,0.003020583
0.5,0.05,0.1,0.05,0.25,0.05,1.0,0.382728,0.003025722
0.6,0.05,0.05,0.05,0.1,0.15,1.0,0.38251,0.00304377
0.5,0.05,0.05,0.05,0.3,0.05,1.0,0.3817,0.003111646
0.6,0.05,0.05,0.15,0.05,0.1,1.0,0.381545,0.003124852
0.55,0.05,0.05,0.05,0.2,0.1,1.0,0.379583,0.003295555
0.5,0.05,0.05,0.05,0.25,0.1,1.0,0.379334,0.003317813
0.55,0.05,0.1,0.15,0.1,0.05,1.0,0.379334,0.003317813
0.5,0.05,0.1,0.1,0.2,0.05,1.0,0.37815,0.003425364
0.65,0.1,0.05,0.05,0.1,0.05,1.0,0.37787,0.003451284
0.55,0.05,0.05,0.15,0.15,0.05,1.0,0.376718,0.003559679
0.55,0.05,0.1,0.05,0.2,0.05,1.0,0.375503,0.003677184
0.6,0.1,0.05,0.05,0.15,0.05,1.0,0.375503,0.003677184
0.6,0.05,0.1,0.05,0.1,0.1,1.0,0.374544,0.003772442
0.55,0.05,0.05,0.1,0.2,0.05,1.0,0.373292,0.003899937
0.55,0.05,0.1,0.15,0.05,0.1,1.0,0.373168,0.003912834
0.5,0.05,0.1,0.15,0.15,0.05,1.0,0.372078,0.004027299
0.65,0.05,0.15,0.05,0.05,0.05,1.0,0.372015,0.004033928
0.55,0.05,0.05,0.15,0.1,0.1,1.0,0.370365,0.00421315
0.55,0.05,0.1,0.1,0.05,0.15,1.0,0.370334,0.004216598
0.55,0.05,0.05,0.1,0.1,0.15,1.0,0.370303,0.004220049
0.55,0.05,0.05,0.1,0.05,0.2,1.0,0.369991,0.004254691
0.65,0.1,0.05,0.05,0.05,0.1,1.0,0.369867,0.004268618
0.55,0.05,0.1,0.05,0.15,0.1,1.0,0.369618,0.004296593
0.55,0.05,0.05,0.05,0.15,0.15,1.0,0.369421,0.004318798
0.55,0.1,0.1,0.1,0.1,0.05,1.0,0.369213,0.004342397
0.6,0.1,0.1,0.1,0.05,0.05,1.0,0.369119,0.004353028
0.6,0.05,0.05,0.05,0.05,0.2,1.0,0.36859,0.004413705
0.6,0.1,0.05,0.1,0.1,0.05,1.0,0.366815,0.00462263
0.6,0.05,0.15,0.05,0.1,0.05,1.0,0.366503,0.004660168
0.6,0.1,0.05,0.1,0.05,0.1,1.0,0.365476,0.004785956
0.55,0.05,0.05,0.1,0.15,0.1,1.0,0.365227,0.004816896
0.5,0.05,0.1,0.15,0.1,0.1,1.0,0.365195,0.004820776
0.55,0.05,0.05,0.15,0.05,0.15,1.0,0.363919,0.004982239
0.5,0.05,0.05,0.1,0.25,0.05,1.0,0.363794,0.004998243
0.5,0.05,0.05,0.15,0.15,0.1,1.0,0.363576,0.00502636
0.5,0.05,0.1,0.05,0.2,0.1,1.0,0.363078,0.005091149
0.55,0.1,0.1,0.1,0.05,0.1,1.0,0.361365,0.005319496
0.5,0.05,0.1,0.1,0.15,0.1,1.0,0.360991,0.005370496
0.65,0.1,0.1,0.05,0.05,0.05,1.0,0.360867,0.005387591
0.5,0.05,0.15,0.05,0.2,0.05,1.0,0.3604,0.005452125
0.55,0.05,0.15,0.05,0.15,0.05,1.0,0.360244,0.005473787
0.6,0.05,0.05,0.2,0.05,0.05,1.0,0.360119,0.00549117
