부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.5,0.05,0.3,0.05,0.05,0.05,1.0,0.208822,0.006598602
0.5,0.05,0.25,0.05,0.1,0.05,1.0,0.20661,0.007208967
0.5,0.05,0.25,0.1,0.05,0.05,1.0,0.202971,0.008322857
0.5,0.05,0.2,0.05,0.15,0.05,1.0,0.202374,0.008519449
0.55,0.05,0.25,0.05,0.05,0.05,1.0,0.200645,0.009112072
0.5,0.05,0.15,0.05,0.2,0.05,1.0,0.199934,0.009366304
0.5,0.05,0.2,0.1,0.1,0.05,1.0,0.198883,0.009753635
0.5,0.05,0.25,0.05,0.05,0.1,1.0,0.19714,0.010427037
0.5,0.05,0.2,0.05,0.1,0.1,1.0,0.193611,0.011917029
0.5,0.1,0.2,0.1,0.05,0.05,1.0,0.193219,0.012093539
0.55,0.05,0.2,0.05,0.1,0.05,1.0,0.193165,0.012118211
0.5,0.05,0.2,0.15,0.05,0.05,1.0,0.192555,0.012397935
0.5,0.05,0.2,0.1,0.05,0.1,1.0,0.18905,0.014118103
0.5,0.1,0.25,0.05,0.05,0.05,1.0,0.187483,0.014952208
0.6,0.05,0.2,0.05,0.05,0.05,1.0,0.186792,0.015333663
0.55,0.05,0.15,0.05,0.15,0.05,1.0,0.186225,0.015653096
0.5,0.05,0.15,0.05,0.15,0.1,1.0,0.184555,0.016626882
0.55,0.05,0.2,0.1,0.05,0.05,1.0,0.184008,0.016957323
0.55,0.05,0.2,0.05,0.05,0.1,1.0,0.183807,0.017080019
0.5,0.05,0.2,0.05,0.05,0.15,1.0,0.183464,0.017291454
0.5,0.15,0.2,0.05,0.05,0.05,1.0,0.182644,0.017805733
0.5,0.05,0.1,0.05,0.25,0.05,1.0,0.181851,0.01831637
0.5,0.05,0.15,0.1,0.15,0.05,1.0,0.181458,0.01857343
0.6,0.05,0.15,0.05,0.1,0.05,1.0,0.18004,0.019528666
0.5,0.1,0.2,0.05,0.1,0.05,1.0,0.179538,0.0198772
0.55,0.05,0.15,0.05,0.1,0.1,1.0,0.177034,0.021695788
0.5,0.1,0.15,0.1,0.1,0.05,1.0,0.176664,0.021976065
0.5,0.05,0.15,0.05,0.1,0.15,1.0,0.176463,0.022129532
0.5,0.05,0.15,0.1,0.1,0.1,1.0,0.175207,0.023111591
0.55,0.05,0.15,0.1,0.1,0.05,1.0,0.172899,0.025012767
0.5,0.05,0.1,0.05,0.2,0.1,1.0,0.172097,0.025704279
0.5,0.1,0.15,0.15,0.05,0.05,1.0,0.171575,0.026163601
0.5,0.1,0.2,0.05,0.05,0.1,1.0,0.170399,0.027222764
0.5,0.05,0.15,0.1,0.05,0.15,1.0,0.170021,0.027571075
0.55,0.1,0.2,0.05,0.05,0.05,1.0,0.169537,0.028022758
0.5,0.1,0.15,0.1,0.05,0.1,1.0,0.169487,0.028069003
0.55,0.05,0.15,0.1,0.05,0.1,1.0,0.169417,0.02813534
0.55,0.05,0.15,0.05,0.05,0.15,1.0,0.16822,0.029282346
0.5,0.1,0.15,0.05,0.15,0.05,1.0,0.168111,0.029389306
0.5,0.05,0.15,0.05,0.05,0.2,1.0,0.167531,0.029961403
0.65,0.05,0.15,0.05,0.05,0.05,1.0,0.167211,0.03028086
0.5,0.15,0.15,0.05,0.1,0.05,1.0,0.16656,0.030939618
0.5,0.15,0.15,0.1,0.05,0.05,1.0,0.166,0.031516535
0.55,0.05,0.1,0.05,0.2,0.05,1.0,0.165965,0.031552846
0.6,0.05,0.15,0.05,0.05,0.1,1.0,0.164906,0.032669884
0.55,0.1,0.15,0.1,0.05,0.05,1.0,0.164864,0.032715419
0.6,0.05,0.15,0.1,0.05,0.05,1.0,0.162023,0.03588238
0.5,0.15,0.15,0.05,0.05,0.1,1.0,0.161656,0.036309117
0.5,0.05,0.1,0.05,0.15,0.15,1.0,0.158124,0.040646906
0.55,0.15,0.15,0.05,0.05,0.05,1.0,0.157857,0.040991309
0.55,0.1,0.15,0.05,0.1,0.05,1.0,0.156743,0.042456373
0.5,0.1,0.15,0.05,0.1,0.1,1.0,0.156525,0.042748346
0.55,0.05,0.1,0.05,0.15,0.1,1.0,0.155521,0.044114657
0.5,0.1,0.15,0.05,0.05,0.15,1.0,0.155441,0.044225439
0.5,0.2,0.15,0.05,0.05,0.05,1.0,0.154901,0.044976604
0.55,0.1,0.15,0.05,0.05,0.1,1.0,0.153925,0.04636175
0.6,0.05,0.1,0.05,0.15,0.05,1.0,0.153126,0.047521648
0.5,0.05,0.15,0.15,0.1,0.05,1.0,0.152513,0.048427269
0.6,0.1,0.15,0.05,0.05,0.05,1.0,0.151921,0.049315711
0.5,0.05,0.1,0.05,0.1,0.2,1.0,0.149616,0.052908099
0.5,0.05,0.15,0.15,0.05,0.1,1.0,0.149157,0.053647722
0.5,0.1,0.1,0.05,0.2,0.05,1.0,0.147447,0.05648244
0.55,0.05,0.15,0.15,0.05,0.05,1.0,0.145072,0.06062159
0.65,0.05,0.1,0.05,0.1,0.05,1.0,0.144137,0.062318037
0.5,0.1,0.1,0.1,0.1,0.1,1.0,0.143708,0.063109878
0.55,0.05,0.1,0.05,0.1,0.15,1.0,0.143361,0.063755007
0.5,0.1,0.1,0.1,0.15,0.05,1.0,0.142187,0.06598211
0.6,0.05,0.1,0.05,0.1,0.1,1.0,0.142174,0.066006841
0.5,0.05,0.1,0.05,0.05,0.25,1.0,0.141537,0.067241812
0.5,0.05,0.15,0.2,0.05,0.05,1.0,0.140097,0.070102126
0.55,0.1,0.1,0.1,0.1,0.05,1.0,0.139778,0.070748074
0.55,0.05,0.1,0.05,0.05,0.2,1.0,0.138467,0.073459164
0.5,0.1,0.1,0.05,0.15,0.1,1.0,0.138179,0.07406441
0.5,0.05,0.1,0.1,0.2,0.05,1.0,0.138019,0.074404229
0.55,0.1,0.1,0.05,0.15,0.05,1.0,0.134953,0.081139368
0.6,0.05,0.1,0.05,0.05,0.15,1.0,0.134815,0.081451962
0.7,0.05,0.1,0.05,0.05,0.05,1.0,0.133685,0.084063427
