부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.6,0.05,0.2,0.05,0.05,0.05,1.0,0.689394,0.0
0.55,0.05,0.25,0.05,0.05,0.05,1.0,0.688728,0.0
0.65,0.05,0.15,0.05,0.05,0.05,1.0,0.682213,0.0
0.5,0.05,0.3,0.05,0.05,0.05,1.0,0.68093,0.0
0.55,0.05,0.2,0.05,0.05,0.1,1.0,0.680061,0.0
0.6,0.05,0.15,0.05,0.05,0.1,1.0,0.679553,0.0
0.7,0.05,0.1,0.05,0.05,0.05,1.0,0.678456,0.0
0.55,0.05,0.15,0.05,0.05,0.15,1.0,0.676931,0.0
0.6,0.05,0.15,0.05,0.1,0.05,1.0,0.676676,0.0
0.55,0.05,0.2,0.05,0.1,0.05,1.0,0.676409,0.0
0.5,0.05,0.25,0.05,0.05,0.1,1.0,0.67516,0.0
0.5,0.05,0.2,0.05,0.05,0.15,1.0,0.673571,0.0
0.6,0.05,0.15,0.1,0.05,0.05,1.0,0.673372,0.0
0.65,0.05,0.1,0.05,0.05,0.1,1.0,0.672669,0.0
0.55,0.05,0.15,0.05,0.1,0.1,1.0,0.672338,0.0
0.65,0.05,0.1,0.05,0.1,0.05,1.0,0.6723,0.0
0.5,0.05,0.25,0.05,0.1,0.05,1.0,0.671669,0.0
0.6,0.05,0.1,0.05,0.15,0.05,1.0,0.671665,0.0
0.6,0.05,0.1,0.05,0.1,0.1,1.0,0.671453,0.0
0.55,0.05,0.15,0.05,0.15,0.05,1.0,0.669996,0.0
0.6,0.05,0.1,0.05,0.05,0.15,1.0,0.669606,0.0
0.5,0.05,0.15,0.05,0.1,0.15,1.0,0.669483,0.0
0.5,0.05,0.15,0.05,0.05,0.2,1.0,0.669365,0.0
0.55,0.05,0.2,0.1,0.05,0.05,1.0,0.66845,0.0
0.5,0.05,0.2,0.05,0.1,0.1,1.0,0.667975,0.0
0.7,0.05,0.05,0.05,0.1,0.05,1.0,0.667865,0.0
0.6,0.1,0.15,0.05,0.05,0.05,1.0,0.666429,0.0
0.5,0.05,0.2,0.05,0.15,0.05,1.0,0.666392,0.0
0.7,0.05,0.05,0.05,0.05,0.1,1.0,0.666099,0.0
0.55,0.05,0.1,0.05,0.1,0.15,1.0,0.665167,0.0
0.55,0.05,0.1,0.05,0.05,0.2,1.0,0.664912,0.0
0.65,0.05,0.1,0.1,0.05,0.05,1.0,0.664705,0.0
0.5,0.05,0.15,0.05,0.15,0.1,1.0,0.664629,0.0
0.55,0.05,0.1,0.05,0.15,0.1,1.0,0.663629,0.0
0.55,0.1,0.2,0.05,0.05,0.05,1.0,0.663506,0.0
0.5,0.1,0.25,0.05,0.05,0.05,1.0,0.6621,0.0
0.65,0.05,0.05,0.05,0.15,0.05,1.0,0.659931,0.0
0.65,0.05,0.05,0.05,0.1,0.1,1.0,0.659884,0.0
0.7,0.05,0.05,0.1,0.05,0.05,1.0,0.659638,0.0
0.55,0.05,0.15,0.1,0.05,0.1,1.0,0.659219,0.0
0.5,0.05,0.25,0.1,0.05,0.05,1.0,0.659138,0.0
0.65,0.05,0.05,0.05,0.05,0.15,1.0,0.659049,0.0
0.65,0.1,0.1,0.05,0.05,0.05,1.0,0.658367,0.0
0.5,0.05,0.2,0.1,0.05,0.1,1.0,0.657423,0.0
0.55,0.1,0.15,0.05,0.1,0.05,1.0,0.656156,0.0
0.55,0.1,0.15,0.05,0.05,0.1,1.0,0.655868,0.0
0.55,0.05,0.15,0.1,0.1,0.05,1.0,0.655682,0.0
0.55,0.05,0.1,0.05,0.2,0.05,1.0,0.653869,0.0
0.5,0.1,0.2,0.05,0.05,0.1,1.0,0.653136,0.0
0.6,0.05,0.1,0.1,0.05,0.1,1.0,0.652729,0.0
0.6,0.05,0.05,0.05,0.15,0.1,1.0,0.652678,0.0
0.65,0.05,0.05,0.1,0.05,0.1,1.0,0.652632,0.0
0.6,0.05,0.05,0.05,0.1,0.15,1.0,0.652382,0.0
0.6,0.1,0.1,0.05,0.05,0.1,1.0,0.652293,0.0
0.5,0.05,0.15,0.05,0.2,0.05,1.0,0.651856,0.0
0.5,0.05,0.1,0.05,0.1,0.2,1.0,0.651708,0.0
0.65,0.05,0.05,0.1,0.1,0.05,1.0,0.651539,0.0
0.6,0.05,0.1,0.1,0.1,0.05,1.0,0.651162,0.0
0.5,0.05,0.1,0.05,0.05,0.25,1.0,0.650916,0.0
0.6,0.05,0.05,0.05,0.05,0.2,1.0,0.650386,0.0
0.5,0.05,0.2,0.1,0.1,0.05,1.0,0.649942,0.0
0.7,0.1,0.05,0.05,0.05,0.05,1.0,0.649696,0.0
0.5,0.1,0.2,0.05,0.1,0.05,1.0,0.649111,0.0
0.6,0.05,0.05,0.05,0.2,0.05,1.0,0.649005,0.0
0.6,0.1,0.1,0.05,0.1,0.05,1.0,0.647934,0.0
0.5,0.05,0.15,0.1,0.05,0.15,1.0,0.645872,0.0
0.5,0.05,0.1,0.05,0.15,0.15,1.0,0.645129,0.0
0.55,0.05,0.05,0.05,0.05,0.25,1.0,0.644286,0.0
0.5,0.1,0.15,0.05,0.05,0.15,1.0,0.644261,0.0
0.5,0.05,0.15,0.1,0.1,0.1,1.0,0.643181,0.0
0.5,0.1,0.15,0.05,0.1,0.1,1.0,0.642542,0.0
0.55,0.05,0.1,0.1,0.05,0.15,1.0,0.642427,0.0
0.65,0.1,0.05,0.05,0.05,0.1,1.0,0.641994,0.0
0.5,0.1,0.15,0.05,0.15,0.05,1.0,0.641397,0.0
0.55,0.05,0.05,0.05,0.1,0.2,1.0,0.641355,0.0
0.55,0.05,0.1,0.1,0.1,0.1,1.0,0.641075,0.0
0.55,0.1,0.1,0.05,0.05,0.15,1.0,0.640948,0.0
0.55,0.05,0.15,0.15,0.05,0.05,1.0,0.64069,0.0
0.65,0.1,0.05,0.05,0.1,0.05,1.0,0.64044,0.0
