부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.7,0.05,0.1,0.05,0.05,0.05,1.0,0.217258,0.003305129
0.6,0.05,0.2,0.05,0.05,0.05,1.0,0.215791,0.003528438
0.65,0.05,0.15,0.05,0.05,0.05,1.0,0.214204,0.003785096
0.55,0.05,0.25,0.05,0.05,0.05,1.0,0.214192,0.003787134
0.5,0.05,0.3,0.05,0.05,0.05,1.0,0.210476,0.004455444
0.65,0.05,0.1,0.05,0.05,0.1,1.0,0.20916,0.004716381
0.6,0.05,0.15,0.05,0.05,0.1,1.0,0.208052,0.004946802
0.65,0.05,0.1,0.05,0.1,0.05,1.0,0.207278,0.005113586
0.55,0.05,0.2,0.05,0.05,0.1,1.0,0.207222,0.005125811
0.5,0.05,0.25,0.05,0.1,0.05,1.0,0.204473,0.00576115
0.5,0.05,0.25,0.05,0.05,0.1,1.0,0.203635,0.00596836
0.55,0.05,0.2,0.05,0.1,0.05,1.0,0.203625,0.005970836
0.6,0.05,0.15,0.05,0.1,0.05,1.0,0.202948,0.006143207
0.55,0.05,0.15,0.05,0.05,0.15,1.0,0.202117,0.006360605
0.5,0.05,0.25,0.1,0.05,0.05,1.0,0.201706,0.006470874
0.5,0.05,0.2,0.05,0.05,0.15,1.0,0.201156,0.006620645
0.5,0.05,0.2,0.05,0.1,0.1,1.0,0.198748,0.007314832
0.55,0.05,0.2,0.1,0.05,0.05,1.0,0.198332,0.007440903
0.55,0.05,0.15,0.05,0.1,0.1,1.0,0.198139,0.007500169
0.55,0.1,0.2,0.05,0.05,0.05,1.0,0.19679,0.007925733
0.7,0.05,0.05,0.05,0.1,0.05,1.0,0.19655,0.008003805
0.7,0.05,0.05,0.05,0.05,0.1,1.0,0.196374,0.008061578
0.6,0.05,0.1,0.05,0.1,0.1,1.0,0.196057,0.008165957
0.6,0.1,0.15,0.05,0.05,0.05,1.0,0.195804,0.008250528
0.6,0.05,0.1,0.05,0.05,0.15,1.0,0.195516,0.008347338
