Industry,N_Score,N_Merged,Score_Min,Score_Max,Best_부실확률_w,Best_rho,Best_p,N_Sig_p05
M03_음식료품_제조업,7325,121,2.9,93.9,0.5,0.459654,1.14e-07,190
M04_섬유_가죽_신발_제조업,6409,25,3.8,91.7,0.5,0.50099,0.010740996,71
M08_화학_의약품_고무_플라스틱_제조업,17649,317,3.7,94.2,0.5,-0.065389,0.245699338,0
M10_제1차금속산업,6458,65,7.4,95.2,0.5,0.363373,0.002928092,84
M11_조립금속제품_제조업,9350,19,5.5,90.6,0.6,0.617084,0.004884131,56
M12_기타기계장비_제조업,15032,31,4.5,88.4,0.6,0.230301,0.212616219,0
M13_전자부품_컴퓨터_전기장비_제조업,15043,119,8.2,94.7,0.55,0.383916,1.6311e-05,251
M15_운송장비_제조업,11710,81,7.6,92.8,0.6,0.34834,0.00143872,238
M17_전기_가스_수도사업,4901,17,5.3,94.3,0.55,0.43205,0.083291901,0
M18_건설업,20497,58,2.7,92.5,0.7,0.436167,0.000620352,242
M19_도매및소매업,32801,168,4.0,96.3,0.5,0.208822,0.006598602,59
M20_숙박_음식점업,3083,5,10.0,91.9,0.5,,,0
M21_운수_창고업,8912,21,6.3,91.6,0.5,0.929547,1e-09,251
M22_정보통신업,11054,113,6.3,97.0,0.6,0.689394,0.0,251
M23_부동산_임대_사업서비스업,54751,181,0.6,94.4,0.7,0.217258,0.003305129,176
M25_오락_문화_개인서비스업,4216,11,7.8,87.2,0.5,0.358569,0.278872999,0
