사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,신용등급,등급_정제,등급_순위
1058111908,(주)신원,2015,성숙기,0,47.86,0.0,4.31,48.69,0.09,44.51,2016,BBB,BBB,9
1058111908,(주)신원,2016,성숙기,0,19.69,0.0,9.52,43.82,0.1,44.35,2017,BBB,BBB,9
1058111908,(주)신원,2017,성숙기,0,21.96,0.0,0.0,45.17,36.64,65.28,2018,BBB/A3,BBB,9
1058111908,(주)신원,2018,조정기,0,13.01,76.0,6.93,39.84,26.56,39.71,2019,BBB,BBB,9
1058111908,(주)신원,2019,성숙기,0,11.4,0.0,37.0,57.57,0.75,29.64,2020,BBB-,BBB-,10
1058111908,(주)신원,2020,성장기,0,100.0,0.0,34.58,40.16,30.04,63.88,2021,BBB-,BBB-,10
1058111908,(주)신원,2021,도입기,0,36.2,90.8,89.3,56.92,0.11,26.14,2022,BBB-(STABLE),BBB-,10
1058111908,(주)신원,2022,성장기,0,7.06,10.6,86.91,42.42,0.12,45.0,2023,BBB-(STABLE),BBB-,10
1058111908,(주)신원,2023,성장기,0,2.44,19.4,89.94,47.56,0.14,45.17,2024,BBB-(NEGATIVE),BBB-,10
1368107674,(주)동인기연,2022,성장기,0,7.06,10.6,86.91,46.7,0.08,45.02,2023,BB,BB,12
1368107674,(주)동인기연,2023,성장기,0,2.44,19.4,89.94,51.77,0.1,45.17,2024,BB,BB,12
1378192214,한세실업(주),2019,성숙기,0,11.4,0.0,37.0,59.25,0.05,44.99,2020,BBB/STABLE,BBB,9
1378192214,한세실업(주),2020,성숙기,0,100.0,4.6,34.58,42.17,0.11,45.97,2021,BBB/STABLE,BBB,9
1378192214,한세실업(주),2021,성숙기,0,36.2,0.0,89.3,60.33,0.1,45.07,2022,BBB/STABLE,BBB,9
1378192214,한세실업(주),2022,성숙기,0,7.06,0.0,86.91,40.63,0.01,44.95,2023,BBB/Positive,BBB,9
1378192214,한세실업(주),2023,성숙기,0,2.44,0.0,89.94,46.05,0.01,45.16,2024,BBB/STABLE,BBB,9
2118787724,(주)엘에프,2015,성장기,0,47.86,0.5,4.31,49.62,0.04,44.55,2016,AA-,AA-,4
2118787724,(주)엘에프,2016,성장기,0,19.69,2.5,9.52,45.49,0.01,44.32,2017,AA-,AA-,4
2118787724,(주)엘에프,2018,조정기,0,13.01,76.0,6.93,41.84,0.02,45.81,2019,AA-,AA-,4
2118787724,(주)엘에프,2019,성장기,0,11.4,2.6,37.0,56.99,0.01,45.02,2020,AA-,AA-,4
2118787724,(주)엘에프,2020,성장기,0,100.0,0.0,34.58,40.55,0.29,46.11,2021,AA-,AA-,4
2118787724,(주)엘에프,2021,성장기,0,36.2,1.6,89.3,59.52,0.04,44.92,2022,AA-,AA-,4
2118787724,(주)엘에프,2022,성숙기,0,7.06,0.0,86.91,42.09,0.03,45.0,2023,AA-,AA-,4
2118787724,(주)엘에프,2023,성숙기,0,2.44,0.0,89.94,47.26,0.16,45.23,2024,AA-,AA-,4
2198103482,(주)제이에스코퍼레이션,2023,성장기,0,2.44,19.4,89.94,55.23,0.02,45.16,2024,BBB-,BBB-,10
