사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,신용등급,등급_정제,등급_순위
1018195610,금호타이어(주),2015,성숙기,0,59.67,0.0,21.47,45.79,0.86,43.77,2016,BBB,BBB,9
1018195610,금호타이어(주),2016,성장기,0,38.42,3.1,0.0,59.39,1.67,36.33,2017,BBB,BBB,9
1018195610,금호타이어(주),2018,성장기,0,10.04,2.7,33.85,50.44,39.59,58.75,2019,BBB,BBB,9
1018195610,금호타이어(주),2019,성장기,1,46.52,5.5,18.08,52.67,41.07,39.84,2020,BBB,BBB,9
1018693655,(주)삼양패키징,2018,성숙기,0,10.04,0.0,33.85,55.57,0.19,38.13,2019,A-,A-,7
1018693655,(주)삼양패키징,2019,성숙기,0,46.52,0.0,18.08,55.88,0.03,39.37,2020,A-,A-,7
1018693655,(주)삼양패키징,2020,성숙기,0,100.0,0.0,55.74,68.12,0.09,36.88,2021,A-(긍정적),A-,7
1018693655,(주)삼양패키징,2021,성숙기,0,0.0,0.0,40.44,59.11,0.08,44.46,2022,A-(긍정적),A-,7
1018693655,(주)삼양패키징,2022,성장기,0,22.52,10.0,88.05,44.86,0.05,33.98,2023,A-(안정적),A-,7
1018693655,(주)삼양패키징,2023,성장기,0,38.19,12.8,89.05,54.03,0.04,48.49,2024,A-(긍정적),A-,7
1028131147,금호석유화학(주),2015,성숙기,0,59.67,0.0,21.47,49.34,0.28,43.49,2016,A-,A-,7
1028131147,금호석유화학(주),2016,성장기,0,38.42,3.1,0.0,59.42,0.28,35.66,2017,A-,A-,7
1028131147,금호석유화학(주),2018,성숙기,0,10.04,0.0,33.85,53.06,0.02,37.91,2019,A-,A-,7
1028131147,금호석유화학(주),2019,성숙기,0,46.52,0.0,18.08,52.01,0.03,39.47,2020,A-,A-,7
1028131147,금호석유화학(주),2020,성숙기,0,100.0,0.0,55.74,66.19,0.02,36.83,2021,A,A,6
1028131147,금호석유화학(주),2021,성숙기,0,0.0,0.0,40.44,55.38,0.01,44.46,2022,A+,A+,5
1028131147,금호석유화학(주),2022,성숙기,0,22.52,0.0,88.05,55.31,0.01,34.0,2023,A+,A+,5
1028131147,금호석유화학(주),2023,성숙기,0,38.19,0.0,89.05,59.28,0.01,48.49,2024,A+,A+,5
1028134955,(주)한솔케미칼,2015,성장기,0,59.67,3.2,21.47,48.08,0.13,43.43,2016,A-(Positive),A-,7
1028134955,(주)한솔케미칼,2016,성장기,0,38.42,3.1,0.0,62.04,0.11,35.64,2017,A-(Positive),A-,7
1028134955,(주)한솔케미칼,2018,성숙기,0,10.04,0.0,33.85,53.03,0.03,38.06,2019,A(STABLE),A,6
